Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C]
1/04/2020,0:00,x,1,14.2,14.47916667
1/04/2020,0:05,x,1,14.31,14.47964286
1/04/2020,0:10,x,1,14.4,14.47625
1/04/2020,0:15,x,1,14.65,14.43583333
1/04/2020,0:20,x,1,14.8,14.3895275
1/04/2020,0:25,x,1,14.68,14.35527727
1/04/2020,0:30,x,1,14.51,14.34893864
1/04/2020,0:35,x,1,14.48,14.35441818
1/04/2020,0:40,x,1,14.14,14.35353409
1/04/2020,0:45,x,0.99,14,14.32992273
1/04/2020,0:50,x,0.99,14.04,14.28355909
1/04/2020,0:55,x,0.99,14.13,14.25994773
1/04/2020,1:00,x,0.99,14.37,14.26903864
1/04/2020,1:05,x,0.99,14.39,14.28631136
1/04/2020,1:10,x,0.99,14.39,14.33724545
1/04/2020,1:15,x,1,14.29,14.41176591
1/04/2020,1:20,x,0.99,14.42,14.48810455
1/04/2020,1:25,x,1,14.61,14.56171591
1/04/2020,1:30,x,1,14.67,14.61623636
1/04/2020,1:35,x,0.99,14.7,14.66169091
1/04/2020,1:40,x,1,14.82,14.71075682
1/04/2020,1:45,x,1,14.88,14.74350909
1/04/2020,1:50,x,1,14.94,14.73987273
1/04/2020,1:55,x,1,14.97,14.74080682
1/04/2020,2:00,x,0.99,14.89,14.75355909
1/04/2020,2:05,x,1,14.93,14.77174091
1/04/2020,2:10,x,0.99,14.65,14.77903864
1/04/2020,2:15,x,0.99,14.38,14.73360909
1/04/2020,2:20,x,0.99,14.62,14.65184091
1/04/2020,2:25,x,0.99,14.81,14.57916364
1/04/2020,2:30,x,0.99,14.9,14.52009773
1/04/2020,2:35,x,0.99,14.9,14.43560227
1/04/2020,2:40,x,0.99,14.38,14.36108182
1/04/2020,2:45,x,0.98,14.04,14.30383409
1/04/2020,2:50,x,0.98,14.17,14.20749545
1/04/2020,2:55,x,0.98,14.24,14.09388409
1/04/2020,3:00,x,0.98,14,13.98118182
1/04/2020,3:05,x,0.98,13.83,13.88575227
1/04/2020,3:10,x,0.98,13.75,13.83577727
1/04/2020,3:15,x,0.98,13.56,13.73032273
1/04/2020,3:20,x,0.98,13.56,13.57125682
1/04/2020,3:25,x,0.98,13.66,13.40128182
1/04/2020,3:30,x,0.98,13.85,13.24403409
1/04/2020,3:35,x,0.98,13.83,13.06315
1/04/2020,3:40,x,0.98,12.88,12.88044773
1/04/2020,3:45,x,0.97,12.42,12.7032
1/04/2020,3:50,x,0.97,12.37,12.51686136
1/04/2020,3:55,x,0.97,12.27,12.33143182
1/04/2020,4:00,x,0.97,11.84,12.12872955
1/04/2020,4:05,x,0.97,11.74,11.97966364
1/04/2020,4:10,x,0.97,11.61,11.95784545
1/04/2020,4:15,x,0.97,11.51,11.99145682
1/04/2020,4:20,x,0.97,11.62,12.04688636
1/04/2020,4:25,x,0.97,11.62,12.11777045
1/04/2020,4:30,x,0.97,12.19,12.22501818
1/04/2020,4:35,x,0.98,12.64,12.35769545
1/04/2020,4:40,x,0.98,12.79,12.51491818
1/04/2020,4:45,x,0.98,12.98,12.68032273
1/04/2020,4:50,x,0.98,13.05,12.833
1/04/2020,4:55,x,0.98,13.02,12.98567727
1/04/2020,5:00,x,0.99,13.2,13.08744545
1/04/2020,5:05,x,0.99,13.34,13.16378409
1/04/2020,5:10,x,0.99,13.33,13.18648636
1/04/2020,5:15,x,0.99,13.3,13.12646136
1/04/2020,5:20,x,0.99,13.3,13.05643636
1/04/2020,5:25,x,0.99,13.31,12.992725
1/04/2020,5:30,x,0.99,13.48,12.88848864
1/04/2020,5:35,x,0.99,13.04,12.77955
1/04/2020,5:40,x,0.99,12.32,12.68311591
1/04/2020,5:45,x,0.99,12.28,12.59158864
1/04/2020,5:50,x,1.01,12.32,12.46206818
1/04/2020,5:55,0,1.23,12.06,12.30006136
1/04/2020,6:00,0,2.02,12.17,12.12195
1/04/2020,6:05,0,3.2,12.33,11.95411818
1/04/2020,6:10,0.01,4.51,12.39,11.81792273
1/04/2020,6:15,0.11,6.98,12.04,11.68554545
1/04/2020,6:20,0.24,10.52,11.79,11.60888409
1/04/2020,6:25,0.46,14.78,11.9,11.60328409
1/04/2020,6:30,0.79,20.85,11.74,11.59152727
1/04/2020,6:35,1.25,29.65,11.61,11.57466818
1/04/2020,6:40,1.9,40.85,11.92,11.54895682
1/04/2020,6:45,2.35,46.22,12.72,11.56201818
1/04/2020,6:50,2.51,47.47,13.27,11.63621818
1/04/2020,6:55,2.45,47.45,13.29,11.82096818
1/04/2020,7:00,2.29,45.58,13.31,12.11105909
1/04/2020,7:05,2.78,53.34,13.45,12.45242273
1/04/2020,7:10,4.18,75.21,14.06,12.76467955
1/04/2020,7:15,5.82,100.84,15.09,13.07836591
1/04/2020,7:20,5.98,100.88,16.3,13.457925
1/04/2020,7:25,5.98,96.45,17.01,13.79302727
1/04/2020,7:30,5.69,95.65,17.18,14.03554318
1/04/2020,7:35,7.6,131.22,17.84,14.35091591
1/04/2020,7:40,8.94,158.2,19.25,14.86406591
1/04/2020,7:45,7.68,132.01,19.77,15.27364091
1/04/2020,7:50,8.64,150.5,19.81,15.61749091
1/04/2020,7:55,13.54,244.21,21.44,15.90500682
1/04/2020,8:00,16.98,314.1,24.09,16.68178636
1/04/2020,8:05,15.62,281.95,25.39,17.25635909
1/04/2020,8:10,19.2,353.01,26.53,17.66649545
1/04/2020,8:15,22.82,395.34,28.18,17.97433636
1/04/2020,8:20,27.35,505.08,31.41,18.21195455
1/04/2020,8:25,15.76,263.12,30.33,18.56585227
1/04/2020,8:30,14.57,240.3,27.16,18.81642273
1/04/2020,8:35,15.19,259.6,26.55,18.81788409
1/04/2020,8:40,14.08,236.51,26.03,18.76108409
1/04/2020,8:45,11.08,184.18,23.35,18.54517273
1/04/2020,8:50,7.4,125.56,22.07,18.27154091
1/04/2020,8:55,4.58,79.69,20.4,17.55036136
1/04/2020,9:00,2.52,46.82,18.94,17.07251136
1/04/2020,9:05,2.42,47.73,17.51,16.75977727
1/04/2020,9:10,4.08,76.25,17.03,16.52136818
1/04/2020,9:15,5.81,103.26,17.35,16.47230227
1/04/2020,9:20,6.32,109.41,18.17,16.29439318
1/04/2020,9:25,6.83,123.44,18.69,16.23856591
1/04/2020,9:30,8.09,148.33,20.05,16.12815
1/04/2020,9:35,8.6,155.51,21.18,16.29166136
1/04/2020,9:40,8.05,140.17,21.6,16.58926364
1/04/2020,9:45,10.28,176.36,21.51,16.89296818
1/04/2020,9:50,7.32,124.93,21.03,17.08264318
1/04/2020,9:55,10.24,167.35,21.04,17.21345
1/04/2020,10:00,8.29,131.78,21.62,17.22368864
1/04/2020,10:05,6.05,94.3,20.8,17.10516818
1/04/2020,10:10,4.82,75.96,19.94,16.82769091
1/04/2020,10:15,3.58,61.54,18.94,16.57324545
1/04/2020,10:20,2.83,50.39,18.12,16.19005682
1/04/2020,10:25,2.35,42.78,17.26,15.86761818
1/04/2020,10:30,1.78,33.1,16.51,15.39649545
1/04/2020,10:35,1.57,30.07,15.52,14.88800227
1/04/2020,10:40,1.72,32.32,14.75,14.38983636
1/04/2020,10:45,2.09,39.66,14.47,13.950275
1/04/2020,10:50,2.64,49.78,14.26,13.56869773
1/04/2020,10:55,3.95,69.32,14.72,13.21076591
1/04/2020,11:00,4.55,76.97,14.73,12.91116136
1/04/2020,11:05,3.68,63.59,14.12,12.64479318
1/04/2020,11:10,3.49,63.91,14.17,12.41205455
1/04/2020,11:15,4.22,77.93,14.68,12.19575455
1/04/2020,11:20,5.24,90.68,14.64,12.09337273
1/04/2020,11:25,6.23,106.76,15.24,12.06347045
1/04/2020,11:30,9.26,155.89,16.05,12.091125
1/04/2020,11:35,11.6,190.87,16.55,12.19620909
1/04/2020,11:40,12.82,206.18,16.67,12.25004545
1/04/2020,11:45,10.55,171.46,16.48,12.26082955
1/04/2020,11:50,7.91,128.19,16.01,12.32847273
1/04/2020,11:55,7.61,120.09,16.22,12.31993636
1/04/2020,12:00,7.78,125.92,16.99,12.36122955
1/04/2020,12:05,10.14,159.83,17.4,12.48229545
1/04/2020,12:10,9.41,145.98,16.67,12.75487045
1/04/2020,12:15,7.48,124.35,16.31,13.13335227
1/04/2020,12:20,11.08,180.72,17.18,13.47539773
1/04/2020,12:25,14.71,232.1,18.6,13.73940455
1/04/2020,12:30,16.78,266.08,19.95,14.09010682
1/04/2020,12:35,16.99,265.15,21.29,14.41441591
1/04/2020,12:40,15.66,239.34,22.51,14.76697727
1/04/2020,12:45,15.07,237.19,22.77,15.16008864
1/04/2020,12:50,16.73,265.76,23.13,15.78564091
1/04/2020,12:55,14.53,230.73,23.73,16.51229773
1/04/2020,13:00,15.42,246.47,23.35,17.11603182
1/04/2020,13:05,16.91,270.41,23.97,17.51698864
1/04/2020,13:10,16.84,272.56,24.71,17.66094773
1/04/2020,13:15,13.3,219.59,25.13,17.61822045
