Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/08/2020,0:00,x,0.98,10.33,10.196475,0.976666667
1/08/2020,0:05,x,0.98,10.21,10.14888214,0.975714286
1/08/2020,0:10,x,0.98,9.97,10.1269375,0.975
1/08/2020,0:15,x,0.97,10.13,10.12875833,0.974444444
1/08/2020,0:20,x,0.98,10.5,10.133215,0.974
1/08/2020,0:25,x,0.97,10.2,10.14683636,0.974545455
1/08/2020,0:30,x,0.97,9.89,10.15958864,0.973636364
1/08/2020,0:35,x,0.97,10,10.16870455,0.972727273
1/08/2020,0:40,x,0.97,10.17,10.203275,0.971818182
1/08/2020,0:45,x,0.97,10.2,10.23145682,0.971818182
1/08/2020,0:50,x,0.98,10.31,10.24963864,0.971818182
1/08/2020,0:55,x,0.97,10.47,10.30325,0.972727273
1/08/2020,1:00,x,0.97,10.31,10.40595227,0.973636364
1/08/2020,1:05,x,0.97,10.35,10.5132,0.974545455
1/08/2020,1:10,x,0.97,10.44,10.61044773,0.975454545
1/08/2020,1:15,x,0.98,10.7,10.69769545,0.976363636
1/08/2020,1:20,x,0.98,10.79,10.78769545,0.976363636
1/08/2020,1:25,x,0.98,11.02,10.87494318,0.977272727
1/08/2020,1:30,x,0.98,11.18,10.96039773,0.977272727
1/08/2020,1:35,x,0.98,11.24,11.02039773,0.977272727
1/08/2020,1:40,x,0.98,11.16,11.09219091,0.978181818
1/08/2020,1:45,x,0.98,11.3,11.14037273,0.978181818
1/08/2020,1:50,x,0.98,11.43,11.15219091,0.978181818
1/08/2020,1:55,x,0.97,11.25,11.12857955,0.977272727
1/08/2020,2:00,x,0.97,11.01,11.08042273,0.976363636
1/08/2020,2:05,x,0.98,11.23,11.02953864,0.975454545
1/08/2020,2:10,x,0.98,11.23,10.99865455,0.974545455
1/08/2020,2:15,x,0.98,10.92,10.94777045,0.973636364
1/08/2020,2:20,x,0.97,10.76,10.88688636,0.972727273
1/08/2020,2:25,x,0.97,10.65,10.83506818,0.972727273
1/08/2020,2:30,x,0.97,10.68,10.81779545,0.972727273
1/08/2020,2:35,x,0.97,10.82,10.80597727,0.972727273
1/08/2020,2:40,x,0.97,10.74,10.79415909,0.972727273
1/08/2020,2:45,x,0.97,10.76,10.82234091,0.972727273
1/08/2020,2:50,x,0.97,10.68,10.863225,0.973636364
1/08/2020,2:55,x,0.97,10.82,10.91138182,0.974545455
1/08/2020,3:00,x,0.98,11.1,10.953175,0.975454545
1/08/2020,3:05,x,0.98,11.1,10.95860455,0.976363636
1/08/2020,3:10,x,0.98,11.23,10.97767045,0.977272727
1/08/2020,3:15,x,0.98,11.21,11.00946364,0.978181818
1/08/2020,3:20,x,0.98,11.18,11.02125682,0.979090909
1/08/2020,3:25,x,0.98,11.14,10.99671136,0.979090909
1/08/2020,3:30,x,0.98,10.88,10.95400909,0.978181818
1/08/2020,3:35,x,0.98,10.95,10.91039773,0.977272727
1/08/2020,3:40,x,0.98,11.11,10.85405909,0.976363636
1/08/2020,3:45,x,0.98,10.81,10.80226591,0.975454545
1/08/2020,3:50,x,0.97,10.55,10.75501818,0.974545455
1/08/2020,3:55,x,0.97,10.63,10.73140682,0.973636364
1/08/2020,4:00,x,0.97,10.62,10.75049773,0.973636364
1/08/2020,4:05,x,0.97,10.61,10.78049773,0.973636364
1/08/2020,4:10,x,0.97,10.64,10.78595227,0.973636364
1/08/2020,4:15,x,0.97,10.66,10.81052273,0.972727273
1/08/2020,4:20,x,0.97,10.88,10.86506818,0.972727273
1/08/2020,4:25,x,0.98,11.09,10.91234091,0.972727273
1/08/2020,4:30,x,0.98,11.28,10.96415909,0.972727273
1/08/2020,4:35,x,0.98,11.17,11.00779545,0.972727273
1/08/2020,4:40,x,0.97,11.08,11.05415909,0.972727273
1/08/2020,4:45,x,0.97,11.15,11.10506818,0.972727273
1/08/2020,4:50,x,0.97,11.15,11.14870455,0.972727273
1/08/2020,4:55,x,0.97,11.19,11.17054773,0.971818182
1/08/2020,5:00,x,0.97,11.09,11.15693636,0.970909091
1/08/2020,5:05,x,0.97,11.15,11.13877955,0.97
1/08/2020,5:10,x,0.97,11.22,11.13968864,0.97
1/08/2020,5:15,x,0.97,11.36,11.14420909,0.970909091
1/08/2020,5:20,x,0.97,11.33,11.16575227,0.980909091
1/08/2020,5:25,x,0.97,11.13,11.19958182,1.04
1/08/2020,5:30,x,0.97,10.97,11.23900909,1.16
1/08/2020,5:35,x,0.97,11.09,11.26927273,1.381818182
1/08/2020,5:40,x,0.98,11.2,11.2822,1.738181818
1/08/2020,5:45,x,1.08,11.39,11.27452273,2.281818182
1/08/2020,5:50,0,1.62,11.58,11.278125,2.977272727
1/08/2020,5:55,0,2.29,11.56,11.31490682,3.755454545
1/08/2020,6:00,0,3.41,11.55,11.36831591,4.755454545
1/08/2020,6:05,0.01,4.89,11.47,11.40945,6.201818182
1/08/2020,6:10,0.08,6.95,11.44,11.43383864,8.091818182
1/08/2020,6:15,0.13,8.62,11.58,11.43608182,10.62181818
1/08/2020,6:20,0.17,9.53,11.77,11.44144545,13.56727273
1/08/2020,6:25,0.29,11.97,11.86,11.46473864,17.51363636
1/08/2020,6:30,0.54,16.88,11.98,11.49715682,22.21909091
1/08/2020,6:35,0.79,21.77,12.04,11.53308864,27.39181818
1/08/2020,6:40,1.2,28.91,12.18,11.60055227,33.17
1/08/2020,6:45,1.52,34.02,12.53,11.68349318,40.30272727
1/08/2020,6:50,2.24,45.7,13.01,11.74854545,50.03636364
1/08/2020,6:55,2.86,55.17,13.33,11.85435,62.75090909
1/08/2020,7:00,3.28,61.79,13.43,12.07945227,74.30090909
1/08/2020,7:05,3.78,70.51,13.93,12.31566818,85.31454545
1/08/2020,7:10,4.81,87.08,14.65,12.58390909,96.25454545
1/08/2020,7:15,6.49,116.6,15.43,12.83432727,106.8509091
1/08/2020,7:20,8.76,151.83,16.87,13.07244545,117.1672727
1/08/2020,7:25,8.48,143.93,17.95,13.37484773,127.3609091
1/08/2020,7:30,8.28,142.92,17.97,13.72447045,138.1845455
1/08/2020,7:35,8.56,149.25,18.44,14.02157727,148.7690909
1/08/2020,7:40,8.63,150.58,18.49,14.28396364,156.4509091
1/08/2020,7:45,9.16,159.18,18.75,14.62418409,160.6081818
1/08/2020,7:50,9.76,167.3,19.74,14.96258636,161.8563636
1/08/2020,7:55,10.56,180.85,20.55,15.18677273,165.1090909
1/08/2020,8:00,11.09,186.94,20.4,15.45418409,169.6990909
1/08/2020,8:05,10.27,171.58,19.86,15.70527045,174.8827273
1/08/2020,8:10,9.78,162.33,20.43,15.94457955,180.7590909
1/08/2020,8:15,10.03,165.56,20.97,16.16862045,187.4881818
1/08/2020,8:20,11.02,179.71,21.4,16.25637727,196.9581818
1/08/2020,8:25,11.94,193.41,22.3,16.33039545,208.1509091
1/08/2020,8:30,12.72,206.27,22.77,16.42650455,219.9618182
1/08/2020,8:35,13.26,215.22,22.9,16.59607727,234.4236364
1/08/2020,8:40,14.3,233.2,23.25,16.70876818,252.1109091
1/08/2020,8:45,16.54,271.47,23.57,16.75159545,273.1981818
1/08/2020,8:50,18.47,303.97,24.75,16.84295682,297.6445455
1/08/2020,8:55,19.19,316.86,25.03,17.03368864,322.6427273
1/08/2020,9:00,19.8,330.66,26.1,17.08963636,357.2363636
1/08/2020,9:05,21.08,356.89,27.02,17.37599318,387.8481818
1/08/2020,9:10,23.18,397.52,27.82,17.76750227,414.0081818
1/08/2020,9:15,25.92,448.62,29.8,18.27305227,437.4427273
1/08/2020,9:20,26.86,468.39,31.96,18.57601364,467.6490909
1/08/2020,9:25,33.2,586.8,33.85,18.94364773,501.5863636
1/08/2020,9:30,31.08,551.95,35.31,19.27221818,538.1672727
1/08/2020,9:35,29.78,520.96,35.47,19.27311591,603.8536364
1/08/2020,9:40,30.34,529.25,36.22,19.86431818,656.6363636
1/08/2020,9:45,36.32,636.24,37.22,20.50782045,695.8809091
1/08/2020,9:50,39.31,690.17,39.34,20.79502045,735.6190909
1/08/2020,9:55,41.21,733.05,40.78,21.30844773,753.0481818
1/08/2020,10:00,58.44,1079.44,46.9,21.51201136,774.9681818
1/08/2020,10:05,52.49,978.13,50.29,21.342875,810.0772727
1/08/2020,10:10,47.69,880.31,48.75,21.27989773,846.45
1/08/2020,10:15,49.03,905.51,47.14,21.41870455,880.9727273
1/08/2020,10:20,44.03,778.52,44.77,21.57737273,903.6327273
1/08/2020,10:25,45.12,793.07,44.18,21.61516136,921.3990909
1/08/2020,10:30,50.59,907.16,44.23,21.90687955,907.9481818
1/08/2020,10:35,51.44,929.35,46.53,21.592075,904.2881818
1/08/2020,10:40,56.22,1015.99,49.19,21.12256591,910.0554545
1/08/2020,10:45,51.6,939.43,47.94,20.93587955,915.2572727
1/08/2020,10:50,51.31,928.48,46.57,20.79670455,928.3181818
1/08/2020,10:55,51.64,931.48,46.04,20.51747955,947.5627273
1/08/2020,11:00,51.82,937.87,45.72,20.63576136,955.5590909
1/08/2020,11:05,52.42,943.75,45.33,20.64115909,961.0818182
1/08/2020,11:10,53.15,962.73,46.66,20.45150227,961.4990909
1/08/2020,11:15,50.44,922.19,47.19,20.17923409,965.5154545
1/08/2020,11:20,55.97,1004.76,46.93,20.06799091,972.04
1/08/2020,11:25,55.22,995.12,47.95,20.17898864,974.8136364
1/08/2020,11:30,54.52,990.1,48.26,20.38389091,976.9163636
1/08/2020,11:35,56.09,1020.58,47.23,20.55134545,979.0254545
1/08/2020,11:40,53.21,983.61,46.16,20.30897727,981.2272727
1/08/2020,11:45,56.48,1000.25,47.32,19.65979773,987.5445455
1/08/2020,11:50,53.96,961.99,48.1,19.398625,986.9590909
1/08/2020,11:55,53.34,961,48.61,19.10523864,978.2227273
1/08/2020,12:00,53.54,966.95,47.81,18.98154091,982.4563636
1/08/2020,12:05,55.12,986.95,44.66,19.36548182,979.0072727
1/08/2020,12:10,56.09,991.68,41.96,19.62918636,979.4345455
1/08/2020,12:15,56.18,998.32,43.88,19.82886591,974.19
1/08/2020,12:20,51.34,899.02,42.08,19.78547045,971.6027273
1/08/2020,12:25,57.97,1036.67,48.18,19.74220682,968.2172727
1/08/2020,12:30,53.88,982.64,50.41,19.91791591,964.4063636
1/08/2020,12:35,55.51,988.31,49.19,20.48715909,957.5909091
1/08/2020,12:40,53.83,942.56,47.93,21.416075,948.87
1/08/2020,12:45,53.27,933.53,46.84,22.14976136,939.4136364
1/08/2020,12:50,52.72,923.76,47.11,22.50652955,938.87
1/08/2020,12:55,53.15,925.03,48.59,23.06686136,906.4281818
1/08/2020,13:00,52.52,911.98,48.86,23.22608636,874.4563636
1/08/2020,13:05,51.65,895.75,49.54,23.70209545,817.18
1/08/2020,13:10,51.26,894.3,49.09,23.145975,805.6009091
1/08/2020,13:15,50.26,893.04,45.84,23.12848182,789.8072727
1/08/2020,13:20,36.4,679.81,44.53,23.65923409,754.97
1/08/2020,13:25,36.72,630.95,42.49,23.62331364,711.02
1/08/2020,13:30,22.57,358.27,37.1,23.03196136,696.7881818
1/08/2020,13:35,46.4,815.19,38.31,23.31434773,651.3790909
1/08/2020,13:40,42.05,759.8,41.87,22.93939091,630.1709091
1/08/2020,13:45,31.18,540.55,42.41,23.06662273,608.3872727
1/08/2020,13:50,25.84,441.58,34.9,23.21580909,596.5490909
1/08/2020,13:55,39.88,755.43,38.05,22.78594318,597.3045455
1/08/2020,14:00,24.24,396.25,38.91,22.13784091,642.2272727
1/08/2020,14:05,36.28,661.01,38.55,22.71192955,653.9463636
1/08/2020,14:10,35.1,653.42,40.65,23.28630455,641.06
1/08/2020,14:15,30.23,549.59,42.59,22.53205,657.7436364
1/08/2020,14:20,34.09,639.26,37.99,22.15158864,677.2645455
1/08/2020,14:25,39.91,852.42,43.56,22.30295682,660.5536364
1/08/2020,14:30,41.62,944.1,48.17,21.66193182,651.5
1/08/2020,14:35,28,618.05,44.29,21.57018864,614.0427273
1/08/2020,14:40,31.42,724.07,39.16,21.17096136,573.9154545
1/08/2020,14:45,28.6,656.31,36.62,20.30346364,539.7418182
1/08/2020,14:50,28.93,571.61,34.66,19.97221818,498.8945455
1/08/2020,14:55,18.62,296.66,29.12,19.60573636,438.1054545
1/08/2020,15:00,15.9,248.98,26.21,19.05730227,368.5609091
1/08/2020,15:05,13.36,212.02,24.12,18.10141136,327.3536364
1/08/2020,15:10,10.66,173.68,22.71,17.87168636,273.8890909
1/08/2020,15:15,11.52,189.94,21.99,17.63971136,225.9609091
1/08/2020,15:20,11.09,183.74,21.14,17.36713636,184.2363636
1/08/2020,15:25,10.91,179.11,21.1,16.91013409,166.21
1/08/2020,15:30,10.19,164.77,21.31,16.60161818,151.6436364
1/08/2020,15:35,8.48,135.96,20.46,16.32306818,140.3181818
