Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/12/2019,0:00,x,1.02,13.55,13.56028333,1.02
1/12/2019,0:05,x,1.02,13.5,13.54052143,1.02
1/12/2019,0:10,x,1.02,13.56,13.5407,1.02
1/12/2019,0:15,x,1.02,13.62,13.55083889,1.02
1/12/2019,0:20,x,1.02,13.78,13.54695,1.02
1/12/2019,0:25,x,1.02,13.52,13.52558636,1.02
1/12/2019,0:30,x,1.02,13.45,13.51285909,1.02
1/12/2019,0:35,x,1.02,13.57,13.48379318,1.019090909
1/12/2019,0:40,x,1.02,13.66,13.45290909,1.018181818
1/12/2019,0:45,x,1.02,13.54,13.40109091,1.018181818
1/12/2019,0:50,x,1.02,13.34,13.332025,1.017272727
1/12/2019,0:55,x,1.02,13.41,13.30295909,1.016363636
1/12/2019,1:00,x,1.01,13.18,13.28571136,1.015454545
1/12/2019,1:05,x,1.01,13.22,13.23755455,1.014545455
1/12/2019,1:10,x,1.02,13.05,13.15846364,1.014545455
1/12/2019,1:15,x,1.01,13.02,13.102125,1.013636364
1/12/2019,1:20,x,1.01,13.2,13.08487727,1.012727273
1/12/2019,1:25,x,1.01,13.26,13.06490227,1.011818182
1/12/2019,1:30,x,1.01,13.04,13.06762955,1.011818182
1/12/2019,1:35,x,1.02,12.79,13.07399318,1.011818182
1/12/2019,1:40,x,1.01,12.92,13.1122,1.010909091
1/12/2019,1:45,x,1.01,13.15,13.16401818,1.010909091
1/12/2019,1:50,x,1.01,13.19,13.19583636,1.010909091
1/12/2019,1:55,x,1.01,13.21,13.21674545,1.010909091
1/12/2019,2:00,x,1.01,13.29,13.25674545,1.010909091
1/12/2019,2:05,x,1.01,13.47,13.31131591,1.01
1/12/2019,2:10,x,1.01,13.59,13.35040682,1.01
1/12/2019,2:15,x,1.01,13.55,13.36767955,1.01
1/12/2019,2:20,x,1.01,13.49,13.38404318,1.01
1/12/2019,2:25,x,1.01,13.48,13.41313409,1.01
1/12/2019,2:30,x,1.01,13.39,13.442225,1.01
1/12/2019,2:35,x,1.01,13.35,13.45586136,1.01
