Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2]
1/12/2020,0:00,x,0.98,14.17,14.28295833,0.983333333
1/12/2020,0:05,x,0.98,14.22,14.28154286,0.982857143
1/12/2020,0:10,x,0.98,14.27,14.29048125,0.9825
1/12/2020,0:15,x,0.99,14.35,14.28743333,0.982222222
1/12/2020,0:20,x,0.99,14.44,14.316995,0.982
1/12/2020,0:25,x,0.98,14.41,14.36209091,0.981818182
1/12/2020,0:30,x,0.98,14.3,14.41388409,0.982727273
1/12/2020,0:35,x,0.98,14.38,14.43842955,0.982727273
1/12/2020,0:40,x,0.98,14.29,14.37024773,0.982727273
1/12/2020,0:45,x,0.98,14.61,14.23938864,0.980909091
1/12/2020,0:50,x,0.98,14.84,14.07671136,0.979090909
1/12/2020,0:55,x,0.99,14.74,13.88491818,0.978181818
1/12/2020,1:00,x,0.98,14.49,13.68676136,0.977272727
1/12/2020,1:05,x,0.98,13.52,13.47587727,0.976363636
1/12/2020,1:10,x,0.97,12.91,13.26772045,0.975454545
1/12/2020,1:15,x,0.97,12.65,13.02592727,0.974545455
1/12/2020,1:20,x,0.97,12.3,12.76686136,0.973636364
1/12/2020,1:25,x,0.97,12.12,12.50509318,0.971818182
1/12/2020,1:30,x,0.97,12.06,12.2833,0.970909091
1/12/2020,1:35,x,0.97,12,12.16150682,0.97
1/12/2020,1:40,x,0.97,11.95,12.08787045,0.97
1/12/2020,1:45,x,0.97,11.99,12.01787045,0.97
1/12/2020,1:50,x,0.97,11.86,11.97241591,0.97
1/12/2020,1:55,x,0.97,12.05,11.94605227,0.97
1/12/2020,2:00,x,0.97,12.18,11.93877955,0.97
1/12/2020,2:05,x,0.97,12.1,11.953325,0.97
1/12/2020,2:10,x,0.97,11.88,11.99693636,0.970909091
1/12/2020,2:15,x,0.97,11.8,12.04693636,0.970909091
1/12/2020,2:20,x,0.97,11.83,12.12057273,0.970909091
1/12/2020,2:25,x,0.97,11.98,12.193275,0.971818182
1/12/2020,2:30,x,0.97,12.16,12.25415909,0.972727273
1/12/2020,2:35,x,0.98,12.43,12.32049773,0.973636364
1/12/2020,2:40,x,0.97,12.54,12.40592727,0.974545455
1/12/2020,2:45,x,0.97,12.67,12.49681136,0.975454545
1/12/2020,2:50,x,0.98,12.85,12.59953864,0.975454545
1/12/2020,2:55,x,0.98,12.85,12.67587727,0.976363636
1/12/2020,3:00,x,0.98,12.83,12.73405909,0.976363636
1/12/2020,3:05,x,0.98,12.82,12.77042273,0.976363636
1/12/2020,3:10,x,0.98,12.8,12.78494318,0.977272727
1/12/2020,3:15,x,0.97,12.96,12.78037273,0.978181818
1/12/2020,3:20,x,0.98,12.82,12.74676136,0.977272727
1/12/2020,3:25,x,0.97,12.8,12.69769545,0.976363636
1/12/2020,3:30,x,0.98,12.83,12.653175,0.975454545
1/12/2020,3:35,x,0.98,12.7,12.63501818,0.974545455
1/12/2020,3:40,x,0.98,12.62,12.64413409,0.973636364
1/12/2020,3:45,x,0.97,12.48,12.66049773,0.973636364
1/12/2020,3:50,x,0.97,12.31,12.70504318,0.973636364
1/12/2020,3:55,x,0.97,12.34,12.74501818,0.974545455
1/12/2020,4:00,x,0.97,12.62,12.7732,0.974545455
1/12/2020,4:05,x,0.97,12.9,12.82047273,0.974545455
1/12/2020,4:10,x,0.97,13.14,12.88867955,0.973636364
1/12/2020,4:15,x,0.98,13.31,12.97956364,0.974545455
1/12/2020,4:20,x,0.98,13.24,13.05592727,0.974545455
1/12/2020,4:25,x,0.98,13.14,13.12683636,0.974545455
1/12/2020,4:30,x,0.98,13.22,13.18592727,0.974545455
1/12/2020,4:35,x,0.97,13.37,13.23592727,0.974545455
1/12/2020,4:40,x,0.98,13.48,13.27501818,0.974545455
1/12/2020,4:45,x,0.97,13.15,13.30138182,0.974545455
1/12/2020,4:50,x,0.97,13.12,13.30231591,0.973636364
1/12/2020,4:55,x,0.97,13.27,13.30597727,0.972727273
1/12/2020,5:00,x,0.97,13.45,13.27782045,0.971818182
1/12/2020,5:05,x,0.97,13.57,13.223275,0.971818182
1/12/2020,5:10,x,0.98,13.6,13.18693636,0.970909091
1/12/2020,5:15,x,0.97,13.25,13.20138182,0.974545455
1/12/2020,5:20,x,0.97,13.18,13.21765455,1.010909091
1/12/2020,5:25,x,0.97,12.91,13.17417955,1.137272727
1/12/2020,5:30,x,0.97,12.77,13.10144545,1.567272727
1/12/2020,5:35,x,0.97,13.08,13.00412045,2.560909091
1/12/2020,5:40,x,1.01,13.31,12.88088182,4.265454545
1/12/2020,5:45,0,1.37,13.31,12.76767955,6.828181818
1/12/2020,5:50,0,2.36,12.83,12.65446591,10.71363636
1/12/2020,5:55,0.01,5.7,12.78,12.56232273,15.81636364
1/12/2020,6:00,0.18,11.9,12.8,12.48781591,21.86454545
1/12/2020,6:05,0.47,19.73,12.76,12.399875,28.73181818
1/12/2020,6:10,0.85,29.16,12.78,12.30967727,36.83818182
1/12/2020,6:15,1.5,43.71,13.11,12.22773636,46.76
1/12/2020,6:20,2.09,57.1,13.44,12.23221818,57.80363636
1/12/2020,6:25,2.53,67.5,13.78,12.26748864,69.05
1/12/2020,6:30,2.95,76.51,14.19,12.32131136,81.90272727
1/12/2020,6:35,3.55,90.18,14.77,12.44609773,96.04272727
1/12/2020,6:40,4.08,110.51,15.41,12.68717955,110.4827273
1/12/2020,6:45,4.49,123.84,16.22,12.99229318,125.4372727
1/12/2020,6:50,4.88,129.41,16.57,13.315875,144.15
1/12/2020,6:55,5.69,153.28,17.28,13.81535682,156.83
1/12/2020,7:00,6.47,175.27,18.41,14.23591591,169.57
1/12/2020,7:05,7,188,19.8,14.61923409,184.4245455
1/12/2020,7:10,7.63,208.21,20.99,15.22973864,190.7863636
1/12/2020,7:15,9.23,262.94,22.66,15.78941364,191.5254545
1/12/2020,7:20,7.86,206.98,23.11,16.11209091,196.6181818
1/12/2020,7:25,8.21,216.65,22.67,16.43805227,204.5336364
1/12/2020,7:30,9.53,253.58,23.48,16.85819773,211.2390909
1/12/2020,7:35,7.55,180.49,24.05,17.14994091,221.4236364
1/12/2020,7:40,5.84,131.97,22.6,17.47896364,236.2690909
1/12/2020,7:45,8.34,185.43,21.66,17.77010682,255.5663636
1/12/2020,7:50,10.8,240.35,23.26,18.28286364,267.4
1/12/2020,7:55,10.9,249.03,25.06,18.92322045,264.7754545
1/12/2020,8:00,12.97,300.03,26.09,19.50485,252.1872727
1/12/2020,8:05,15.79,371.51,29.1,19.69980682,243.5772727
1/12/2020,8:10,20.11,475.21,31.7,19.73708864,242.1554545
1/12/2020,8:15,14.54,337.15,32.33,19.91483182,236.8490909
1/12/2020,8:20,8.21,187.78,28.92,20.00434318,228.9990909
1/12/2020,8:25,4.93,115.11,26.07,19.90715909,225.2272727
1/12/2020,8:30,3.62,85.78,23.59,19.94799318,218.6845455
1/12/2020,8:35,5.12,116.33,22.58,19.92255909,208.3036364
1/12/2020,8:40,5.75,127.06,22.01,20.02802273,188.7
1/12/2020,8:45,7.02,154,21.87,19.821075,179.5972727
1/12/2020,8:50,9.49,207.54,22.85,19.58796818,182.3218182
1/12/2020,8:55,10.74,228.06,24.56,19.45884318,189.9263636
