Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2]
1/01/2020,0:00,0,1.02,14.68,13.57889167,1.01
1/01/2020,0:05,0,1.02,14.43,13.38797857,1.008571429
1/01/2020,0:10,0,1.01,13.98,13.23354375,1.0075
1/01/2020,0:15,0,1.01,13.29,13.11453889,1.006666667
1/01/2020,0:20,0,1,12.77,13.034335,1.006
1/01/2020,0:25,0,1,12.49,12.97689545,1.005454545
1/01/2020,0:30,0,1,12.27,12.76967273,1.003636364
1/01/2020,0:35,0,1,12.18,12.54424318,1.002727273
1/01/2020,0:40,0,1,12.19,12.32154091,1.001818182
1/01/2020,0:45,0,1,12.34,12.15611136,1.000909091
1/01/2020,0:50,0,1,12.43,12.05429318,1.000909091
1/01/2020,0:55,0,1,12.4,11.96156591,1.000909091
1/01/2020,1:00,0,1.01,11.95,11.87338409,1.000909091
1/01/2020,1:05,0,1,11.53,11.78520227,1.000909091
1/01/2020,1:10,0,1,11.47,11.68792955,1.000909091
1/01/2020,1:15,0,1,11.65,11.56520227,1.000909091
1/01/2020,1:20,0,1,11.47,11.41611136,1.000909091
1/01/2020,1:25,0,1,11.3,11.252475,1.000909091
1/01/2020,1:30,0,1,11.21,11.13068182,1
1/01/2020,1:35,0,1,11.12,11.05613636,1
1/01/2020,1:40,0,1,10.99,10.98522727,1
1/01/2020,1:45,0,1,10.79,10.89520227,1.000909091
1/01/2020,1:50,0,1,10.6,10.81429318,1.000909091
1/01/2020,1:55,0,1,10.61,10.74608636,1.001818182
1/01/2020,2:00,0,1,10.71,10.702425,1.002727273
1/01/2020,2:05,0,1,10.69,10.68421818,1.003636364
1/01/2020,2:10,0,1.01,10.66,10.69328409,1.004545455
1/01/2020,2:15,0,1,10.58,10.74144091,1.005454545
1/01/2020,2:20,0,1.01,10.55,10.81687045,1.006363636
1/01/2020,2:25,0,1.01,10.73,10.87775455,1.007272727
1/01/2020,2:30,0,1.01,10.92,10.91497727,1.009090909
1/01/2020,2:35,0,1.01,11.09,10.94677045,1.01
1/01/2020,2:40,0,1.01,11.32,10.97040682,1.01
1/01/2020,2:45,0,1.01,11.43,11.00038182,1.010909091
1/01/2020,2:50,0,1.01,11.28,11.04310909,1.010909091
1/01/2020,2:55,0,1.02,11.12,11.06583636,1.010909091
1/01/2020,3:00,0,1.01,11.04,11.06583636,1.010909091
1/01/2020,3:05,0,1.01,10.92,11.04583636,1.010909091
1/01/2020,3:10,0,1.01,10.91,10.99674545,1.010909091
1/01/2020,3:15,0,1.01,11.02,10.93401818,1.010909091
1/01/2020,3:20,0,1.01,10.98,10.86947273,1.010909091
1/01/2020,3:25,0,1.01,10.92,10.80040682,1.01
1/01/2020,3:30,0,1.01,10.87,10.71588636,1.009090909
1/01/2020,3:35,0,1.01,10.78,10.61770455,1.009090909
1/01/2020,3:40,0,1.01,10.74,10.51045682,1.008181818
1/01/2020,3:45,0,1.01,10.57,10.39411818,1.007272727
1/01/2020,3:50,0,1.01,10.36,10.272325,1.006363636
1/01/2020,3:55,0,1,10.11,10.15053182,1.005454545
1/01/2020,4:00,0,1.01,9.84,10.04692045,1.004545455
1/01/2020,4:05,0,1,9.73,9.963309091,1.003636364
1/01/2020,4:10,0,1,9.74,9.893309091,1.003636364
1/01/2020,4:15,0,1,9.64,9.864218182,1.003636364
1/01/2020,4:20,0,1,9.58,9.857854545,1.003636364
1/01/2020,4:25,0,1,9.73,9.8624,1.003636364
1/01/2020,4:30,0,1,9.86,9.891515909,1.002727273
1/01/2020,4:35,0,1.01,9.97,9.928763636,1.003636364
1/01/2020,4:40,0,1.01,10.25,9.9824,1.003636364
1/01/2020,4:45,0,1.01,10.29,10.03512727,1.003636364
1/01/2020,4:50,0,1,10.16,10.0824,1.003636364
1/01/2020,4:55,0,1,10.16,10.11876364,1.003636364
1/01/2020,5:00,0,1.01,10.14,10.14149091,1.003636364
1/01/2020,5:05,0,1,10.33,10.14333409,1.002727273
1/01/2020,5:10,0,1,10.22,10.10699545,1.001818182
1/01/2020,5:15,0,1,10.1,10.05611136,1.000909091
1/01/2020,5:20,0,1,10.13,10.00974773,1.000909091
1/01/2020,5:25,0,1,10.11,9.945177273,1.001818182
1/01/2020,5:30,0,1,9.99,9.875961364,1.006363636
1/01/2020,5:35,0,1,9.85,9.788781818,1.069090909
1/01/2020,5:40,0,1,9.73,9.713465909,1.295454545
1/01/2020,5:45,0,1,9.65,9.643193182,1.768181818
1/01/2020,5:50,0,1.01,9.45,9.570265909,2.502727273
1/01/2020,5:55,0,1.06,9.38,9.494015909,3.457272727
1/01/2020,6:00,0,1.69,9.39,9.426686364,4.616363636
1/01/2020,6:05,0.01,3.49,9.46,9.363931818,5.972727273
1/01/2020,6:10,0.11,6.2,9.47,9.316886364,7.518181818
1/01/2020,6:15,0.26,9.08,9.55,9.291797727,9.29
1/01/2020,6:20,0.41,11.5,9.56,9.294443182,11.54090909
1/01/2020,6:25,0.55,13.75,9.6,9.311731818,14.41636364
1/01/2020,6:30,0.72,15.92,9.57,9.321325,18.49727273
1/01/2020,6:35,0.85,18,9.68,9.115372727,37.88727273
1/01/2020,6:40,1.03,20.49,9.91,9.093509091,60.99636364
1/01/2020,6:45,1.36,25.77,10.16,9.233879545,86.23909091
1/01/2020,6:50,1.76,32.69,10.44,9.428163636,113.7527273
1/01/2020,6:55,2.81,46.58,10.73,9.754368182,142.4527273
1/01/2020,7:00,6.86,216.78,13.06,10.19875455,172.9709091
1/01/2020,7:05,8.76,260.4,16.22,10.65385682,205.2481818
1/01/2020,7:10,10.64,286.75,18.73,10.95108182,239.8945455
1/01/2020,7:15,12.42,314.15,20.02,11.25875227,275.4172727
1/01/2020,7:20,13.81,329.45,21.87,11.69434091,311.8090909
1/01/2020,7:25,15.83,351.62,23.69,12.22625227,348.9627273
1/01/2020,7:30,17.53,373.05,24.45,13.04980227,373.1972727
1/01/2020,7:35,19.2,401.6,23.66,13.81904318,395.3736364
1/01/2020,7:40,20.46,416.52,24.29,14.58026818,417.5109091
1/01/2020,7:45,22.08,433,26.24,15.37923864,439.5318182
1/01/2020,7:50,23.9,455.27,27.82,16.18227273,462
1/01/2020,7:55,25.81,483.36,29.45,16.97301364,484.1218182
1/01/2020,8:00,27.52,504.34,31.39,17.67785682,506.1936364
1/01/2020,8:05,29.12,530.26,33.8,18.46495909,527.4890909
1/01/2020,8:10,30.96,556.38,35.47,19.30638409,549.2554545
1/01/2020,8:15,32.4,576.6,37.5,19.988675,570.9572727
1/01/2020,8:20,33.77,594.96,39.08,20.627375,592.0954545
1/01/2020,8:25,35.6,615.84,38.88,21.22653409,612.1590909
1/01/2020,8:30,36.97,635.85,38.76,21.75552273,632.4272727
1/01/2020,8:35,38.35,655.95,40.13,22.08030909,652.3854545
1/01/2020,8:40,39.55,671.72,40.31,22.23432955,671.3136364
1/01/2020,8:45,40.58,687.79,41.24,22.24493864,689.5063636
1/01/2020,8:50,41.76,704.06,42.11,22.25520909,707.8436364
1/01/2020,8:55,43.28,727.29,43.34,22.50709545,725.3618182
1/01/2020,9:00,44.94,749.8,43.41,22.63855455,743.16
1/01/2020,9:05,46.14,764.59,42.89,22.83817273,760.3309091
1/01/2020,9:10,47.28,776.72,43.12,23.07372955,776.4263636
1/01/2020,9:15,48.49,796.67,44.74,23.46982955,791.8409091
1/01/2020,9:20,49.27,808.54,46.95,23.75454545,806.9090909
1/01/2020,9:25,50.98,831.63,45.59,23.82561364,821.8454545
1/01/2020,9:30,51.64,844.83,47.52,23.92102727,836.4254545
1/01/2020,9:35,51.67,848.77,47.77,24.15024545,850.7018182
1/01/2020,9:40,52.56,857.35,50.26,24.37738409,868.1281818
1/01/2020,9:45,53.84,869.81,49.8,24.45760455,889.74
1/01/2020,9:50,55.32,891.59,48.64,25.25477045,848.3554545
1/01/2020,9:55,56.68,910.18,48.87,25.35575,798.3363636
1/01/2020,10:00,57.55,921.63,49.73,24.199175,810.2118182
1/01/2020,10:05,60.47,968.41,50.89,23.7177,825.9018182
1/01/2020,10:10,64.33,1034.4,52.16,23.19761136,838.7645455
1/01/2020,10:15,20.35,353.31,43.2,22.66047273,855.1563636
1/01/2020,10:20,18.72,281.42,31.57,23.21460682,817.2209091
1/01/2020,10:25,60.67,975.46,38.39,22.55989318,825.8881818
1/01/2020,10:30,66.35,1021.36,47.22,22.67101136,780.4590909
1/01/2020,10:35,65.88,998.84,48.43,21.90527045,754.8827273
1/01/2020,10:40,67.27,1050.12,48.85,20.86309773,760.5154545
1/01/2020,10:45,34.04,474.3,43.26,19.71554091,828.8563636
1/01/2020,10:50,63.72,1005.52,44.29,19.78518409,899.8445455
1/01/2020,10:55,27.97,421.91,37.21,21.87023636,857.5781818
1/01/2020,11:00,44.47,687.07,34.73,22.11797727,866.3545455
1/01/2020,11:05,72.3,1096.36,42.4,23.55117045,820.85
1/01/2020,11:10,72.12,1105.06,51.25,24.42661818,743.8254545
1/01/2020,11:15,69.58,1062.29,53.81,22.55561136,791.2009091
1/01/2020,11:20,40.24,510.53,48.54,23.46195227,759.6645455
1/01/2020,11:25,72.4,1117.9,52.6,22.88524773,825.1645455
1/01/2020,11:30,34.72,498.29,50.43,23.71108864,866.7372727
1/01/2020,11:35,14.77,202.85,35.18,25.46885909,849.1654545
1/01/2020,11:40,69.42,995.43,37.01,25.86912727,826.3127273
1/01/2020,11:45,41.74,658.62,44.72,26.07243864,808.1427273
1/01/2020,11:50,75.25,1142.41,50.68,24.76078636,851.74
1/01/2020,11:55,73.78,1144.37,56.39,25.38780682,840.7409091
1/01/2020,12:00,59.47,903.07,56.42,25.71897273,834.4836364
1/01/2020,12:05,56.77,853.68,48.74,26.11594545,840.3127273
1/01/2020,12:10,57.34,862.42,50.55,27.85292273,764.1581818
1/01/2020,12:15,65.18,990.1,47.3,26.65168864,764.17
1/01/2020,12:20,64.06,996.91,56.17,26.31008182,760.6581818
1/01/2020,12:25,28.66,429.46,52.18,26.18752727,758.3709091
1/01/2020,12:30,18.55,266.97,41.31,26.36565682,757.5463636
1/01/2020,12:35,11.92,157.73,33.08,27.07955455,733.3054545
1/01/2020,12:40,46.58,658.75,31.51,27.57436818,704.6345455
1/01/2020,12:45,75.5,1103.78,45.86,28.76844091,633.1145455
1/01/2020,12:50,74.47,1119.21,54.35,28.86126818,558.5654545
1/01/2020,12:55,55.3,894,58.13,27.61090909,533.4545455
1/01/2020,13:00,39.44,587.03,49.26,26.72881818,523.0181818
1/01/2020,13:05,36.1,547.04,47.32,26.13043864,526.3972727
1/01/2020,13:10,15.88,203.38,38.8,26.90730455,489.0236364
1/01/2020,13:15,13.96,176.87,34.64,27.70149091,403.1854545
1/01/2020,13:20,11.86,153.24,30.83,27.68397045,314.5663636
1/01/2020,13:25,11.4,152.17,28.45,26.76860455,243.8854545
1/01/2020,13:30,14.82,194.9,27.52,25.86991591,199.97
1/01/2020,13:35,27.14,247.64,28.75,25.048425,157.1481818
1/01/2020,13:40,33.79,159.56,28.63,24.09613636,143.9090909
1/01/2020,13:45,19.75,144.4,27.35,23.39594318,132.5772727
1/01/2020,13:50,11.18,116.51,26.68,22.93079318,124.0372727
1/01/2020,13:55,9.24,103.96,26.09,22.64418636,116.7072727
1/01/2020,14:00,6.92,76,25.33,22.55760909,105.2109091
1/01/2020,14:05,4.78,57.75,24.32,22.45310455,89.90363636
1/01/2020,14:10,4.42,52.22,23.51,22.12127955,84.15181818
1/01/2020,14:15,5.03,59.3,23.13,21.93579091,77.57454545
1/01/2020,14:20,6.23,71.54,23.08,21.73188182,72.95636364
1/01/2020,14:25,5.86,68.44,23.09,21.52259091,68.6
1/01/2020,14:30,6.96,79.26,22.97,21.16246818,66.52181818
1/01/2020,14:35,10.74,96.29,23.24,20.54234318,66.52636364
1/01/2020,14:40,7.54,72.05,23.32,19.67443636,67.24363636
1/01/2020,14:45,7.09,65.71,23.04,18.69295682,70.73545455
1/01/2020,14:50,6.4,56.04,22.47,17.70075682,74.45181818
1/01/2020,14:55,5.24,53.14,20.74,16.67796591,78.58636364
1/01/2020,15:00,5.45,57.8,17.5,15.77198864,82.70454545
1/01/2020,15:05,5.28,60.11,14.18,14.91813409,83.37363636
1/01/2020,15:10,8.05,97.71,13.39,13.97145455,86.32727273
1/01/2020,15:15,9.53,112.42,13.29,12.90732045,97.71727273
1/01/2020,15:20,11.15,113.92,13.09,11.86227727,111.6527273
1/01/2020,15:25,11.57,124.56,14.25,11.02663409,126.7009091
1/01/2020,15:30,9.31,103.65,14.05,10.71504091,141.9654545
1/01/2020,15:35,11.44,104.54,13.8,10.81291364,160.4890909
1/01/2020,15:40,31.15,191,14.78,11.24298409,177.3790909
1/01/2020,15:45,20.26,209.33,15.19,11.85512955,190.5572727
1/01/2020,15:50,23.04,218.67,16.1,12.50829773,206.8718182
1/01/2020,15:55,27.43,225.71,18.69,13.24587273,217.5054545
1/01/2020,16:00,34.13,263.87,20.86,13.9624,230.8218182
1/01/2020,16:05,32.04,283.5,23.23,14.68554773,245.1536364
1/01/2020,16:10,32.93,257.38,24.01,15.48718182,257.1272727
1/01/2020,16:15,29.9,293.38,25.21,16.44359773,265.5881818
1/01/2020,16:20,26.45,241.53,25.58,17.35854773,272.3172727
1/01/2020,16:25,26.06,250.13,25.96,18.11353864,273.9209091
1/01/2020,16:30,23.96,262.19,26.09,18.86964091,265.4345455
1/01/2020,16:35,29.87,322.71,27.22,19.45826818,248.1290909
1/01/2020,16:40,28.36,302.4,28.27,19.82661591,229.9081818
1/01/2020,16:45,26.74,292.69,28.2,20.01697955,209.3990909
1/01/2020,16:50,23.98,243.35,27.48,19.96425682,193.5972727
1/01/2020,16:55,15.43,170.52,26.61,19.63134091,175.5545455
1/01/2020,17:00,9.28,93.14,24.47,19.04547273,156.4290909
1/01/2020,17:05,5.22,56.95,22.55,18.45668409,132.1536364
1/01/2020,17:10,7.15,67.78,21.1,17.58868636,111.8163636
1/01/2020,17:15,7.91,67.71,20.22,16.62582955,92.71363636
1/01/2020,17:20,5.75,51.66,16.84,15.66011591,75.23545455
1/01/2020,17:25,5.02,51.81,13.86,14.62520227,62.45545455
1/01/2020,17:30,4.32,55.68,13.4,13.64513409,54.75545455
1/01/2020,17:35,5.72,78.69,12.57,12.77654773,49.84454545
1/01/2020,17:40,6,82.56,11.83,12.06848636,43.82363636
1/01/2020,17:45,3.53,51.09,11.57,11.46697955,37.76272727
1/01/2020,17:50,1.87,29.94,11.36,11.15451364,33.15818182
1/01/2020,17:55,0.29,8.44,11.36,11.13057955,28.54090909
1/01/2020,18:00,0,2.93,11.51,11.17084091,23.57272727
1/01/2020,18:05,0,1.55,11.49,11.3559,16.51272727
1/01/2020,18:10,0,1.04,11.77,11.62608864,9.100909091
1/01/2020,18:15,0,1.01,12.01,11.86214773,4.55
1/01/2020,18:20,0,1.02,12.2,12.07260455,1.921818182
1/01/2020,18:25,0,1.03,12.34,12.23931136,1.248181818
1/01/2020,18:30,0,1.03,12.47,12.40769773,1.075454545
