Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C]
1/02/2020,0:00,x,1,12.37,12.06930417
1/02/2020,0:05,x,1,12.29,12.06408571
1/02/2020,0:10,x,1,12.16,12.05517188
1/02/2020,0:15,x,0.99,12.03,12.06157222
1/02/2020,0:20,x,0.99,11.91,12.098665
1/02/2020,0:25,x,0.99,11.82,12.14537727
1/02/2020,0:30,x,0.99,12.06,12.17446818
1/02/2020,0:35,x,0.99,12.02,12.19083182
1/02/2020,0:40,x,0.99,12.14,12.20537727
1/02/2020,0:45,x,1,12.46,12.24807955
1/02/2020,0:50,x,1,12.64,12.31805455
1/02/2020,0:55,x,1,12.69,12.38348409
1/02/2020,1:00,x,1,12.47,12.45891364
1/02/2020,1:05,x,1,12.32,12.54707045
1/02/2020,1:10,x,1,12.5,12.61431818
1/02/2020,1:15,x,1,12.68,12.64613636
1/02/2020,1:20,x,1,12.54,12.63340909
1/02/2020,1:25,x,1,12.89,12.57525227
1/02/2020,1:30,x,1,12.99,12.54345909
1/02/2020,1:35,x,1,12.88,12.54166591
1/02/2020,1:40,x,1,12.81,12.51987273
1/02/2020,1:45,x,1,12.5,12.48171591
1/02/2020,1:50,x,0.99,12.05,12.45719545
1/02/2020,1:55,x,0.99,12.12,12.42176591
1/02/2020,2:00,x,0.99,12.3,12.39722045
1/02/2020,2:05,x,0.99,12.26,12.40451818
1/02/2020,2:10,x,0.99,12.26,12.46815455
1/02/2020,2:15,x,0.99,12.27,12.59997273
1/02/2020,2:20,x,0.99,12.5,12.77719545
1/02/2020,2:25,x,1,12.72,12.96989773
1/02/2020,2:30,x,0.99,12.96,13.14984773
1/02/2020,2:35,x,1,13.51,13.33343409
1/02/2020,2:40,x,1,13.95,13.50611136
1/02/2020,2:45,x,1.01,14,13.65517727
1/02/2020,2:50,x,1,14.24,13.76606136
1/02/2020,2:55,x,1.01,14.28,13.85697045
1/02/2020,3:00,x,1.01,14.28,13.92694545
1/02/2020,3:05,x,1.01,14.16,13.95967273
1/02/2020,3:10,x,1,13.91,13.97149091
1/02/2020,3:15,x,1,13.72,13.97424318
1/02/2020,3:20,x,1,13.72,13.94969773
1/02/2020,3:25,x,1,13.73,13.94517727
1/02/2020,3:30,x,1,13.87,13.95974773
1/02/2020,3:35,x,1,14.08,13.97977273
1/02/2020,3:40,x,1,14.03,14.03340909
1/02/2020,3:45,x,1,13.97,14.09613636
1/02/2020,3:50,x,1,14.23,14.15704545
1/02/2020,3:55,x,1,14.44,14.20886364
1/02/2020,4:00,x,1,14.38,14.24886364
1/02/2020,4:05,x,1,14.5,14.2725
1/02/2020,4:10,x,1,14.41,14.31522727
1/02/2020,4:15,x,1,14.39,14.37338409
