Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/06/2020,0:00,x,0.99,12.66,12.29129167,0.983333333
1/06/2020,0:05,x,0.99,12.38,12.29154286,0.982857143
1/06/2020,0:10,x,0.98,12.19,12.31169688,0.98375
1/06/2020,0:15,x,0.98,12.14,12.31292778,0.984444444
1/06/2020,0:20,x,0.98,12.26,12.28394,0.984
1/06/2020,0:25,x,0.98,12.28,12.26022273,0.983636364
1/06/2020,0:30,x,0.98,12.32,12.21113182,0.983636364
1/06/2020,0:35,x,0.99,12.48,12.20115682,0.982727273
1/06/2020,0:40,x,0.99,12.35,12.20113182,0.983636364
1/06/2020,0:45,x,0.98,12.05,12.20022273,0.983636364
1/06/2020,0:50,x,0.98,12.05,12.18295,0.983636364
1/06/2020,0:55,x,0.99,12.12,12.15295,0.983636364
1/06/2020,1:00,x,0.98,12.27,12.11022273,0.983636364
1/06/2020,1:05,x,0.99,12.19,12.04661136,0.982727273
1/06/2020,1:10,x,0.98,12.13,12.01754545,0.981818182
1/06/2020,1:15,x,0.98,12.07,12.02936364,0.981818182
1/06/2020,1:20,x,0.98,11.95,12.05027273,0.981818182
1/06/2020,1:25,x,0.98,11.85,12.05936364,0.981818182
1/06/2020,1:30,x,0.98,11.78,12.04027273,0.981818182
1/06/2020,1:35,x,0.98,12.03,12.02757045,0.980909091
1/06/2020,1:40,x,0.98,12.18,12.03211591,0.980909091
1/06/2020,1:45,x,0.98,12.28,12.04029773,0.980909091
1/06/2020,1:50,x,0.99,12.22,12.05666136,0.980909091
1/06/2020,1:55,x,0.98,12.06,12.08393409,0.980909091
1/06/2020,2:00,x,0.98,12.05,12.11575227,0.980909091
1/06/2020,2:05,x,0.98,12.18,12.12393409,0.980909091
1/06/2020,2:10,x,0.98,12.16,12.12120682,0.980909091
1/06/2020,2:15,x,0.98,12.13,12.11211591,0.980909091
1/06/2020,2:20,x,0.98,12.15,12.10668636,0.98
1/06/2020,2:25,x,0.98,12.13,12.10759545,0.98
1/06/2020,2:30,x,0.98,12.12,12.10941364,0.98
1/06/2020,2:35,x,0.98,12.15,12.11668636,0.98
1/06/2020,2:40,x,0.98,12.18,12.13123182,0.98
1/06/2020,2:45,x,0.98,12.16,12.13941364,0.98
1/06/2020,2:50,x,0.98,12.07,12.13486818,0.98
1/06/2020,2:55,x,0.98,12.07,12.13032273,0.98
1/06/2020,3:00,x,0.98,12.26,12.13214091,0.98
1/06/2020,3:05,x,0.98,12.32,12.12395909,0.98
1/06/2020,3:10,x,0.98,12.22,12.10034773,0.979090909
1/06/2020,3:15,x,0.98,12.1,12.0631,0.978181818
1/06/2020,3:20,x,0.98,12.08,12.02403409,0.977272727
1/06/2020,3:25,x,0.98,12.14,11.96405909,0.976363636
