Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/03/2020,0:00,0,0.99,9.13,9.171108333,0.99
1/03/2020,0:05,0,0.99,9.2,9.169917857,0.99
1/03/2020,0:10,0,0.99,9.12,9.169025,0.99
1/03/2020,0:15,0,0.99,9.22,9.161663889,0.99
1/03/2020,0:20,0,0.99,9.28,9.149775,0.99
1/03/2020,0:25,0,0.99,9.24,9.139138636,0.99
1/03/2020,0:30,0,0.99,9.19,9.135502273,0.99
1/03/2020,0:35,0,0.99,9.19,9.127320455,0.99
1/03/2020,0:40,0,0.99,9.13,9.156386364,0.990909091
1/03/2020,0:45,0,0.99,9.07,9.187270455,0.991818182
1/03/2020,0:50,0,0.99,9.06,9.210906818,0.991818182
1/03/2020,0:55,0,0.99,9.09,9.206361364,0.991818182
1/03/2020,1:00,0,0.99,9.11,9.190906818,0.991818182
1/03/2020,1:05,0,1,9.44,9.177270455,0.991818182
1/03/2020,1:10,0,1,9.56,9.194543182,0.991818182
1/03/2020,1:15,0,0.99,9.54,9.239997727,0.991818182
1/03/2020,1:20,0,0.99,9.19,9.291815909,0.991818182
1/03/2020,1:25,0,0.99,9.02,9.332725,0.991818182
1/03/2020,1:30,0,0.99,9.04,9.356361364,0.991818182
1/03/2020,1:35,0,0.99,9.32,9.356411364,0.99
1/03/2020,1:40,0,0.99,9.57,9.337370455,0.988181818
1/03/2020,1:45,0,0.99,9.63,9.318304545,0.987272727
1/03/2020,1:50,0,0.99,9.54,9.334693182,0.986363636
1/03/2020,1:55,0,0.99,9.37,9.374693182,0.986363636
1/03/2020,2:00,0,0.98,9.44,9.438354545,0.985454545
1/03/2020,2:05,0,0.98,9.35,9.492925,0.984545455
1/03/2020,2:10,0,0.98,9.33,9.517495455,0.983636364
1/03/2020,2:15,0,0.98,9.37,9.523884091,0.982727273
1/03/2020,2:20,0,0.99,9.46,9.528454545,0.981818182
1/03/2020,2:25,0,0.98,9.74,9.539388636,0.980909091
1/03/2020,2:30,0,0.98,9.92,9.558479545,0.980909091
1/03/2020,2:35,0,0.98,9.84,9.612115909,0.980909091
1/03/2020,2:40,0,0.98,9.7,9.681206818,0.980909091
1/03/2020,2:45,0,0.98,9.59,9.759363636,0.981818182
1/03/2020,2:50,0,0.98,9.49,9.839363636,0.981818182
1/03/2020,2:55,0,0.98,9.65,9.919338636,0.982727273
1/03/2020,3:00,0,0.98,9.94,9.998404545,0.983636364
1/03/2020,3:05,0,0.98,10.09,10.07383409,0.984545455
1/03/2020,3:10,0,0.99,10.23,10.16653636,0.985454545
1/03/2020,3:15,0,0.99,10.34,10.28105682,0.986363636
1/03/2020,3:20,0,0.99,10.62,10.42285,0.987272727
1/03/2020,3:25,0,0.99,10.79,10.55555227,0.988181818
1/03/2020,3:30,0,0.99,10.67,10.65098182,0.989090909
1/03/2020,3:35,0,0.99,10.72,10.72459318,0.99
1/03/2020,3:40,0,0.99,10.85,10.78004773,0.99
