Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/05/2020,0:00,x,1.01,15.41,14.15240833,1.003333333
1/05/2020,0:05,x,1.01,14.93,13.99670714,1.002857143
1/05/2020,0:10,x,1.01,14.44,13.81246563,1.00125
1/05/2020,0:15,x,1,13.78,13.6725,1
1/05/2020,0:20,x,1,13.41,13.5735275,0.999
1/05/2020,0:25,x,0.99,13.11,13.48436818,0.998181818
1/05/2020,0:30,x,1,13.09,13.2326,0.996363636
1/05/2020,0:35,x,0.99,12.55,12.99537727,0.994545455
1/05/2020,0:40,x,0.99,12.58,12.78724545,0.992727273
1/05/2020,0:45,x,0.99,12.71,12.62636136,0.991818182
1/05/2020,0:50,x,0.99,12.62,12.50911364,0.990909091
1/05/2020,0:55,x,0.99,12.64,12.43365909,0.990909091
1/05/2020,1:00,x,0.99,12.32,12.37095682,0.99
1/05/2020,1:05,x,0.99,12.15,12.36641136,0.99
1/05/2020,1:10,x,0.99,12.01,12.362775,0.99
1/05/2020,1:15,x,0.99,12.12,12.34913864,0.99
1/05/2020,1:20,x,0.99,12.28,12.36550227,0.99
1/05/2020,1:25,x,0.99,12.4,12.382775,0.99
1/05/2020,1:30,x,0.99,12.5,12.422775,0.99
1/05/2020,1:35,x,0.99,12.54,12.46095682,0.99
1/05/2020,1:40,x,0.99,12.56,12.52004773,0.99
1/05/2020,1:45,x,0.99,12.8,12.55004773,0.99
1/05/2020,1:50,x,0.99,12.83,12.53459318,0.99
1/05/2020,1:55,x,0.99,12.76,12.48822955,0.99
1/05/2020,2:00,x,0.99,12.57,12.43732045,0.99
1/05/2020,2:05,x,0.99,12.66,12.372775,0.99
1/05/2020,2:10,x,0.99,12.45,12.31552727,0.989090909
1/05/2020,2:15,x,0.99,12.11,12.22555227,0.988181818
1/05/2020,2:20,x,0.99,11.89,12.13830455,0.987272727
1/05/2020,2:25,x,0.99,11.94,12.06375909,0.987272727
