Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2]
1/11/2019,0:00,0,1.02,10.74,11.095895,1.021666667
1/11/2019,0:05,0,1.02,11.08,11.12857083,1.021428571
1/11/2019,0:10,0,1.02,11.2,11.12619643,1.02125
1/11/2019,0:15,0,1.03,11.36,11.12816563,1.02
1/11/2019,0:20,0,1.02,11.24,11.09639444,1.019
1/11/2019,0:25,0,1.02,11.32,11.11109091,1.018181818
1/11/2019,0:30,0,1.02,11.14,11.17111591,1.017272727
1/11/2019,0:35,0,1.02,11.17,11.19929773,1.017272727
1/11/2019,0:40,0,1.01,10.87,11.20023182,1.016363636
1/11/2019,0:45,0,1.01,11.11,11.15573636,1.014545455
1/11/2019,0:50,0,1.01,11.3,11.09576136,1.013636364
1/11/2019,0:55,0,1.01,11.4,11.02033182,1.012727273
1/11/2019,1:00,0,1.02,11.39,10.98490227,1.011818182
1/11/2019,1:05,0,1.01,11.21,10.95947273,1.010909091
1/11/2019,1:10,0,1.01,10.87,10.97583636,1.010909091
1/11/2019,1:15,0,1.01,10.58,10.98765455,1.010909091
1/11/2019,1:20,0,1.01,10.49,11.00310909,1.010909091
1/11/2019,1:25,0,1.01,10.75,11.04947273,1.010909091
1/11/2019,1:30,0,1.01,10.89,11.07586136,1.01
1/11/2019,1:35,0,1.01,11.05,11.02679545,1.009090909
1/11/2019,1:40,0,1.01,11.24,10.97136591,1.008181818
1/11/2019,1:45,0,1.01,11.47,10.92957273,1.007272727
1/11/2019,1:50,0,1.01,11.91,10.87053182,1.005454545
1/11/2019,1:55,0,1.01,11.68,10.78512727,1.003636364
1/11/2019,2:00,0,1,10.67,10.72426818,1.001818182
1/11/2019,2:05,0,1,10.26,10.64065682,1.000909091
1/11/2019,2:10,0,1,10.12,10.52068182,1
1/11/2019,2:15,0,0.99,9.84,10.35707045,0.999090909
1/11/2019,2:20,0,0.99,9.81,10.14073182,0.998181818
1/11/2019,2:25,0,0.99,10.22,9.933509091,0.996363636
