Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/11/2020,0:00,x,0.98,13.58,13.31994583,0.971666667
1/11/2020,0:05,x,0.97,13.4,13.32471429,0.971428571
1/11/2020,0:10,x,0.97,13.28,13.34579063,0.97125
1/11/2020,0:15,x,0.97,13.27,13.37662778,0.971111111
1/11/2020,0:20,x,0.97,13.27,13.3992975,0.971
1/11/2020,0:25,x,0.97,13.28,13.40420909,0.970909091
1/11/2020,0:30,x,0.97,13.38,13.38423409,0.97
1/11/2020,0:35,x,0.97,13.52,13.37241591,0.97
1/11/2020,0:40,x,0.97,13.65,13.36877955,0.97
1/11/2020,0:45,x,0.97,13.63,13.37241591,0.97
1/11/2020,0:50,x,0.97,13.48,13.40877955,0.97
1/11/2020,0:55,x,0.97,13.36,13.46784545,0.970909091
1/11/2020,1:00,x,0.97,13.27,13.53600227,0.971818182
1/11/2020,1:05,x,0.97,13.24,13.59234091,0.972727273
1/11/2020,1:10,x,0.97,13.31,13.62958864,0.973636364
1/11/2020,1:15,x,0.97,13.67,13.66592727,0.974545455
1/11/2020,1:20,x,0.98,13.93,13.713175,0.975454545
1/11/2020,1:25,x,0.98,14.13,13.76405909,0.976363636
1/11/2020,1:30,x,0.98,14.14,13.82130682,0.977272727
1/11/2020,1:35,x,0.98,14.06,13.88494318,0.977272727
1/11/2020,1:40,x,0.98,14.03,13.96491818,0.978181818
1/11/2020,1:45,x,0.98,14,14.01762045,0.979090909
1/11/2020,1:50,x,0.98,13.92,14.043075,0.979090909
1/11/2020,1:55,x,0.98,13.9,14.033075,0.979090909
1/11/2020,2:00,x,0.97,13.94,13.99491818,0.978181818
1/11/2020,2:05,x,0.98,14.19,13.96130682,0.977272727
1/11/2020,2:10,x,0.98,14.25,13.93405909,0.976363636
1/11/2020,2:15,x,0.98,14.21,13.91953864,0.975454545
1/11/2020,2:20,x,0.98,14.02,13.92592727,0.974545455
1/11/2020,2:25,x,0.97,13.72,13.94413409,0.973636364
1/11/2020,2:30,x,0.97,13.69,13.95683636,0.974545455
1/11/2020,2:35,x,0.97,13.73,13.933225,0.973636364
1/11/2020,2:40,x,0.97,13.84,13.88234091,0.972727273
1/11/2020,2:45,x,0.97,13.99,13.81600227,0.971818182
1/11/2020,2:50,x,0.97,14.1,13.75420909,0.970909091
1/11/2020,2:55,x,0.98,14.08,13.71239091,0.970909091
1/11/2020,3:00,x,0.97,13.93,13.6633,0.970909091
1/11/2020,3:05,x,0.97,13.69,13.59239091,0.970909091
1/11/2020,3:10,x,0.97,13.48,13.49696136,0.97
1/11/2020,3:15,x,0.97,13.34,13.41241591,0.97
1/11/2020,3:20,x,0.97,13.26,13.34968864,0.97
1/11/2020,3:25,x,0.97,13.15,13.32516818,0.969090909
1/11/2020,3:30,x,0.97,12.95,13.33880455,0.969090909
1/11/2020,3:35,x,0.96,12.79,13.39150682,0.97
1/11/2020,3:40,x,0.97,13.06,13.47875455,0.970909091
1/11/2020,3:45,x,0.97,13.41,13.58418409,0.971818182
1/11/2020,3:50,x,0.97,13.81,13.69597727,0.972727273
1/11/2020,3:55,x,0.97,14.08,13.813225,0.973636364
1/11/2020,4:00,x,0.98,14.27,13.9432,0.974545455
1/11/2020,4:05,x,0.98,14.44,14.09224091,0.976363636
1/11/2020,4:10,x,0.98,14.5,14.20948864,0.977272727
1/11/2020,4:15,x,0.98,14.49,14.2831,0.978181818
1/11/2020,4:20,x,0.98,14.44,14.30855455,0.978181818
1/11/2020,4:25,x,0.98,14.38,14.30582727,0.978181818
1/11/2020,4:30,x,0.98,14.43,14.28767045,0.977272727
1/11/2020,4:35,x,0.98,14.35,14.26676136,0.977272727
1/11/2020,4:40,x,0.98,14.22,14.25403409,0.977272727
1/11/2020,4:45,x,0.97,14.09,14.25403409,0.977272727
1/11/2020,4:50,x,0.97,14.05,14.26039773,0.977272727
1/11/2020,4:55,x,0.97,14.07,14.24860455,0.976363636
1/11/2020,5:00,x,0.98,14.21,14.20590227,0.975454545
1/11/2020,5:05,x,0.98,14.36,14.13501818,0.974545455
1/11/2020,5:10,x,0.98,14.49,13.98865455,0.974545455
1/11/2020,5:15,x,0.98,14.51,13.83671136,0.979090909
1/11/2020,5:20,x,0.97,14.25,13.69992273,0.994545455
1/11/2020,5:25,x,0.97,13.96,13.57355227,1.060909091
1/11/2020,5:30,x,0.97,13.57,13.420225,1.446363636
1/11/2020,5:35,x,0.98,12.61,13.22074545,2.683636364
1/11/2020,5:40,x,1.02,12.42,12.97010227,5.186363636
1/11/2020,5:45,x,1.14,12.55,12.7016,8.669090909
1/11/2020,5:50,0,1.7,12.7,12.46633636,12.99272727
1/11/2020,5:55,0.02,5.22,12.64,12.27696591,17.16818182
1/11/2020,6:00,0.34,14.59,12.54,12.14324318,20.67545455
1/11/2020,6:05,0.92,28.51,12.49,12.09547727,23.9
1/11/2020,6:10,1.43,39.29,12.61,12.0569,27.38545455
1/11/2020,6:15,1.85,48.53,12.97,12.017975,30.61909091
1/11/2020,6:20,1.73,46.9,13.14,11.94132955,33.96818182
1/11/2020,6:25,1.36,39.55,13.16,11.88085682,37.35727273
1/11/2020,6:30,1.2,36.45,13.06,11.84438636,40.7
1/11/2020,6:35,1.32,39.36,13.05,11.854175,43.12090909
1/11/2020,6:40,1.24,36.71,13.1,11.87615682,45.52818182
1/11/2020,6:45,1.32,38.54,12.87,11.87684091,48.80909091
1/11/2020,6:50,1.51,42.5,13,11.91023182,51.56181818
1/11/2020,6:55,1.93,51.36,13.15,12.00608864,52.37363636
1/11/2020,7:00,2.16,55.14,13.33,12.07787727,53.99454545
1/11/2020,7:05,2.63,65.77,13.58,12.13632955,56.69545455
1/11/2020,7:10,3.42,84.62,13.97,12.13740455,60.29272727
1/11/2020,7:15,3.08,77.18,14.34,12.16083182,63.17636364
1/11/2020,7:20,1.94,48.48,14.46,12.188825,65.13363636
