Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C]
1/10/2019,0:00,x,1.04,10.27,10.34473333
1/10/2019,0:05,x,1.04,10.06,10.38711429
1/10/2019,0:10,x,1.04,10.25,10.41265
1/10/2019,0:15,x,1.04,10.46,10.41362222
1/10/2019,0:20,x,1.04,10.64,10.4054275
1/10/2019,0:25,x,1.04,10.56,10.38781364
1/10/2019,0:30,x,1.04,10.67,10.37511136
1/10/2019,0:35,x,1.04,10.62,10.39422727
1/10/2019,0:40,x,1.04,10.45,10.40061591
1/10/2019,0:45,x,1.03,10.36,10.38427727
1/10/2019,0:50,x,1.03,10.24,10.35066591
1/10/2019,0:55,x,1.03,10.13,10.30705455
1/10/2019,1:00,x,1.03,10.27,10.211625
1/10/2019,1:05,x,1.03,10.32,10.10985682
1/10/2019,1:10,x,1.03,10.28,10.02263409
1/10/2019,1:15,x,1.03,10.27,9.925386364
1/10/2019,1:20,x,1.03,10.08,9.827229545
1/10/2019,1:25,x,1.03,9.62,9.728163636
1/10/2019,1:30,x,1.02,9.5,9.617254545
1/10/2019,1:35,x,1.02,9.49,9.495436364
1/10/2019,1:40,x,1.02,9.29,9.376345455
1/10/2019,1:45,x,1.02,9.16,9.263618182
1/10/2019,1:50,x,1.02,9.04,9.169072727
1/10/2019,1:55,x,1.03,9.05,9.119981818
1/10/2019,2:00,x,1.03,8.98,9.089047727
1/10/2019,2:05,x,1.03,8.97,9.067179545
1/10/2019,2:10,x,1.03,9.03,9.084402273
1/10/2019,2:15,x,1.03,9.04,9.129806818
1/10/2019,2:20,x,1.03,9.08,9.195211364
1/10/2019,2:25,x,1.03,9.16,9.270615909
1/10/2019,2:30,x,1.04,9.25,9.357838636
1/10/2019,2:35,x,1.04,9.48,9.443268182
1/10/2019,2:40,x,1.04,9.66,9.526879545
1/10/2019,2:45,x,1.04,9.76,9.644127273
1/10/2019,2:50,x,1.05,9.88,9.794077273
1/10/2019,2:55,x,1.05,9.94,9.947663636
1/10/2019,3:00,x,1.04,9.91,10.081275
1/10/2019,3:05,x,1.04,9.95,10.13672955
1/10/2019,3:10,x,1.04,10.33,10.15491136
1/10/2019,3:15,x,1.05,10.73,10.17220909
1/10/2019,3:20,x,1.05,10.85,10.20953182
1/10/2019,3:25,x,1.05,10.72,10.25503636
1/10/2019,3:30,x,1.04,10.09,10.30324318
1/10/2019,3:35,x,1.04,9.86,10.33690455
1/10/2019,3:40,x,1.03,9.95,10.34783864
1/10/2019,3:45,x,1.03,10.29,10.32243409
1/10/2019,3:50,x,1.03,10.44,10.29339318
1/10/2019,3:55,x,1.03,10.44,10.29798864
1/10/2019,4:00,x,1.03,10.32,10.39253409
1/10/2019,4:05,x,1.03,10.45,10.52435227
1/10/2019,4:10,x,1.03,10.45,10.65069091
1/10/2019,4:15,x,1.03,10.53,10.73702955
1/10/2019,4:20,x,1.03,10.77,10.79702955
1/10/2019,4:25,x,1.04,11.13,10.84612045
1/10/2019,4:30,x,1.04,11.31,10.90612045
1/10/2019,4:35,x,1.04,11.34,10.95430227
1/10/2019,4:40,x,1.04,11.24,10.99975682
1/10/2019,4:45,x,1.03,11.1,11.03430227
1/10/2019,4:50,x,1.03,10.98,11.06248409
1/10/2019,4:55,x,1.03,10.98,11.07069091
1/10/2019,5:00,x,1.03,10.98,11.06707955
1/10/2019,5:05,x,1.03,10.95,11.05798864
1/10/2019,5:10,x,1.03,10.91,11.04702955
1/10/2019,5:15,x,1.03,11.08,11.04361136
1/10/2019,5:20,x,1.03,11.22,11.06996136
1/10/2019,5:25,x,1.03,11.27,11.10777273
1/10/2019,5:30,x,1.04,11.24,11.14730682
1/10/2019,5:35,x,1.06,11.12,11.19197727
1/10/2019,5:40,0,1.67,11.08,11.22601364
1/10/2019,5:45,0,2.49,11.31,11.22216818
1/10/2019,5:50,0,3.36,11.46,11.20527955
1/10/2019,5:55,0.08,5.58,11.54,11.20425227
1/10/2019,6:00,0.26,8.98,11.66,11.23460682
1/10/2019,6:05,0.85,16.87,11.72,11.30662727
