Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2]
1/10/2020,0:00,x,0.98,11.05,11.44805,0.98
1/10/2020,0:05,x,0.98,11.52,11.47305,0.98
1/10/2020,0:10,x,0.98,11.62,11.49055,0.98
1/10/2020,0:15,x,0.98,11.6,11.51305,0.98
1/10/2020,0:20,x,0.98,11.55,11.55505,0.98
1/10/2020,0:25,x,0.98,11.51,11.60123182,0.98
1/10/2020,0:30,x,0.98,11.65,11.70759545,0.98
1/10/2020,0:35,x,0.98,11.64,11.78395909,0.98
1/10/2020,0:40,x,0.98,11.72,11.84032273,0.98
1/10/2020,0:45,x,0.98,11.96,11.89759545,0.98
1/10/2020,0:50,x,0.98,12.09,11.96577727,0.98
1/10/2020,0:55,x,0.98,12.22,12.04123182,0.98
1/10/2020,1:00,x,0.98,12.36,12.11034773,0.979090909
1/10/2020,1:05,x,0.98,12.24,12.19943864,0.979090909
1/10/2020,1:10,x,0.98,12.23,12.293075,0.979090909
1/10/2020,1:15,x,0.98,12.3,12.373075,0.979090909
1/10/2020,1:20,x,0.98,12.34,12.433075,0.979090909
1/10/2020,1:25,x,0.97,12.41,12.48580227,0.979090909
1/10/2020,1:30,x,0.98,12.62,12.52671136,0.979090909
1/10/2020,1:35,x,0.98,12.75,12.56762045,0.979090909
1/10/2020,1:40,x,0.98,12.84,12.60216591,0.979090909
1/10/2020,1:45,x,0.98,12.75,12.633075,0.979090909
1/10/2020,1:50,x,0.98,12.8,12.64582727,0.978181818
1/10/2020,1:55,x,0.98,12.81,12.65128182,0.978181818
1/10/2020,2:00,x,0.98,12.69,12.64039773,0.977272727
1/10/2020,2:05,x,0.98,12.61,12.62587727,0.976363636
1/10/2020,2:10,x,0.98,12.64,12.60862955,0.975454545
1/10/2020,2:15,x,0.97,12.48,12.60592727,0.974545455
1/10/2020,2:20,x,0.97,12.47,12.60956364,0.974545455
1/10/2020,2:25,x,0.97,12.5,12.59865455,0.974545455
1/10/2020,2:30,x,0.97,12.59,12.54413409,0.973636364
1/10/2020,2:35,x,0.97,12.65,12.48234091,0.972727273
1/10/2020,2:40,x,0.97,12.72,12.41600227,0.971818182
1/10/2020,2:45,x,0.98,12.84,12.35509318,0.971818182
1/10/2020,2:50,x,0.98,12.69,12.28418409,0.971818182
1/10/2020,2:55,x,0.97,12.09,12.21782045,0.971818182
1/10/2020,3:00,x,0.97,11.93,12.16600227,0.971818182
1/10/2020,3:05,x,0.97,11.91,12.10963864,0.971818182
1/10/2020,3:10,x,0.97,11.81,12.05602727,0.970909091
1/10/2020,3:15,x,0.97,11.69,11.99153182,0.969090909
1/10/2020,3:20,x,0.97,11.77,11.95973864,0.968181818
1/10/2020,3:25,x,0.97,12.02,11.983375,0.968181818
1/10/2020,3:30,x,0.97,12.03,12.00064773,0.968181818
