,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
72,1/04/2020,6:00,0,2.02,12.17,12.12195,4.292727273
73,1/04/2020,6:05,0,3.2,12.33,11.95411818,6.098181818
74,1/04/2020,6:10,0.01,4.51,12.39,11.81792273,8.703636364
75,1/04/2020,6:15,0.11,6.98,12.04,11.68554545,12.32727273
76,1/04/2020,6:20,0.24,10.52,11.79,11.60888409,16.43727273
77,1/04/2020,6:25,0.46,14.78,11.9,11.60328409,20.64090909
78,1/04/2020,6:30,0.79,20.85,11.74,11.59152727,24.77090909
79,1/04/2020,6:35,1.25,29.65,11.61,11.57466818,28.62363636
80,1/04/2020,6:40,1.9,40.85,11.92,11.54895682,33.06272727
81,1/04/2020,6:45,2.35,46.22,12.72,11.56201818,39.26545455
82,1/04/2020,6:50,2.51,47.47,13.27,11.63621818,47.47636364
83,1/04/2020,6:55,2.45,47.45,13.29,11.82096818,55.30363636
84,1/04/2020,7:00,2.29,45.58,13.31,12.11105909,62.17636364
85,1/04/2020,7:05,2.78,53.34,13.45,12.45242273,68.17636364
86,1/04/2020,7:10,4.18,75.21,14.06,12.76467955,76.39181818
87,1/04/2020,7:15,5.82,100.84,15.09,13.07836591,86.57181818
88,1/04/2020,7:20,5.98,100.88,16.3,13.457925,94.25727273
89,1/04/2020,7:25,5.98,96.45,17.01,13.79302727,103.6254545
90,1/04/2020,7:30,5.69,95.65,17.18,12.631988862,121.68272730000001
91,1/04/2020,7:35,7.6,131.22,17.84,12.915824319,145.3881818
92,1/04/2020,7:40,8.94,158.2,19.25,13.377659319000001,164.1827273
93,1/04/2020,7:45,7.68,132.01,19.77,13.746276819,187.10727269999998
94,1/04/2020,7:50,8.64,150.5,19.81,14.055741819000001,213.8763636
95,1/04/2020,7:55,13.54,244.21,21.44,14.314506138,251.02454550000002
96,1/04/2020,8:00,16.98,314.1,24.09,14.179518406,266.2490909
97,1/04/2020,8:05,15.62,281.95,25.39,14.6679052265,276.1654545
98,1/04/2020,8:10,19.2,353.01,26.53,15.0165211325,285.38363639999994
99,1/04/2020,8:15,22.82,395.34,28.18,15.278185906,294.88363639999994
100,1/04/2020,8:20,27.35,505.08,31.41,13.658965912500001,297.9454545
101,1/04/2020,8:25,15.76,263.12,30.33,13.9243892025,287.1590909
102,1/04/2020,8:30,14.57,240.3,27.16,14.1123170475,265.8490909
103,1/04/2020,8:35,15.19,259.6,26.55,14.1134130675,244.4736364
104,1/04/2020,8:40,14.08,236.51,26.03,14.070813067500001,216.7209091
105,1/04/2020,8:45,11.08,184.18,23.35,13.9088795475,187.7127273
106,1/04/2020,8:50,7.4,125.56,22.07,13.703655682499999,151.1836364
107,1/04/2020,8:55,4.58,79.69,20.4,14.917807156,137.21
108,1/04/2020,9:00,2.52,46.82,18.94,14.511634656,126.5863636
109,1/04/2020,9:05,2.42,47.73,17.51,14.2458106795,116.4709091
110,1/04/2020,9:10,4.08,76.25,17.03,14.043162953,109.1072727
111,1/04/2020,9:15,5.81,103.26,17.35,14.0014569295,105.1063636
112,1/04/2020,9:20,6.32,109.41,18.17,13.850234203,109.7245455
113,1/04/2020,9:25,6.83,123.44,18.69,13.802781023499998,113.8372727
114,1/04/2020,9:30,8.09,148.33,20.05,13.708927500000001,124.79454550000001
115,1/04/2020,9:35,8.6,155.51,21.18,13.847912156,132.4354545
116,1/04/2020,9:40,8.05,140.17,21.6,14.100874093999998,134.0763636
