,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
72,1/08/2020,6:00,0,3.41,11.55,11.36831591,4.755454545,11.36831591
73,1/08/2020,6:05,0.01,4.89,11.47,11.40945,6.201818182,11.40945
74,1/08/2020,6:10,0.08,6.95,11.44,11.43383864,8.091818182,11.43383864
75,1/08/2020,6:15,0.13,8.62,11.58,11.43608182,10.62181818,11.43608182
76,1/08/2020,6:20,0.17,9.53,11.77,11.44144545,13.56727273,11.44144545
77,1/08/2020,6:25,0.29,11.97,11.86,11.46473864,17.51363636,11.46473864
78,1/08/2020,6:30,0.54,16.88,11.98,11.49715682,22.21909091,11.49715682
79,1/08/2020,6:35,0.79,21.77,12.04,11.53308864,27.39181818,11.53308864
80,1/08/2020,6:40,1.2,28.91,12.18,11.60055227,33.17,11.60055227
81,1/08/2020,6:45,1.52,34.02,12.53,11.68349318,40.30272727,11.68349318
82,1/08/2020,6:50,2.24,45.7,13.01,11.74854545,50.03636364,11.74854545
83,1/08/2020,6:55,2.86,55.17,13.33,11.85435,62.75090909,11.85435
84,1/08/2020,7:00,3.28,61.79,13.43,12.07945227,74.30090909,12.07945227
85,1/08/2020,7:05,3.78,70.51,13.93,12.31566818,85.31454545,12.31566818
86,1/08/2020,7:10,4.81,87.08,14.65,12.58390909,96.25454545,12.58390909
87,1/08/2020,7:15,6.49,116.6,15.43,12.83432727,106.8509091,12.83432727
88,1/08/2020,7:20,8.76,151.83,16.87,13.07244545,117.1672727,13.07244545
89,1/08/2020,7:25,8.48,143.93,17.95,13.37484773,127.3609091,13.37484773
90,1/08/2020,7:30,8.28,142.92,17.97,13.72447045,138.1845455,13.72447045
91,1/08/2020,7:35,8.56,149.25,18.44,12.619419543,148.7690909,12.619419543
92,1/08/2020,7:40,8.63,150.58,18.49,12.855567276,156.4509091,12.855567276
93,1/08/2020,7:45,9.16,159.18,18.75,13.161765681,160.6081818,13.161765681
94,1/08/2020,7:50,9.76,167.3,19.74,13.466327724,161.85636359999998,13.466327724
95,1/08/2020,7:55,10.56,180.85,20.55,13.668095457,165.1090909,13.668095457
96,1/08/2020,8:00,11.09,186.94,20.4,13.908765681,169.6990909,13.908765681
97,1/08/2020,8:05,10.27,171.58,19.86,14.134743405,174.8827273,14.134743405
98,1/08/2020,8:10,9.78,162.33,20.43,14.350121595000001,180.7590909,14.350121595000001
99,1/08/2020,8:15,10.03,165.56,20.97,13.743327382499999,187.4881818,13.743327382499999
100,1/08/2020,8:20,11.02,179.71,21.4,13.8179206795,196.95818180000003,13.8179206795
101,1/08/2020,8:25,11.94,193.41,22.3,13.8808361325,208.1509091,13.8808361325
102,1/08/2020,8:30,12.72,206.27,22.77,13.9625288675,219.9618182,13.9625288675
103,1/08/2020,8:35,13.26,215.22,22.9,14.106665679499999,234.4236364,14.106665679499999
104,1/08/2020,8:40,14.3,233.2,23.25,14.202452953,252.11090910000001,14.202452953
105,1/08/2020,8:45,16.54,271.47,23.57,14.238856132499999,273.1981818,14.238856132499999
106,1/08/2020,8:50,18.47,303.97,24.75,14.316513297,297.6445455,14.316513297
107,1/08/2020,8:55,19.19,316.86,25.03,14.478635344,322.6427273,14.478635344
108,1/08/2020,9:00,19.8,330.66,26.1,14.526190906,357.23636360000006,14.526190906
109,1/08/2020,9:05,21.08,356.89,27.02,14.769594202999999,387.8481818,14.769594202999999
110,1/08/2020,9:10,23.18,397.52,27.82,15.1023769295,414.0081818,15.1023769295
111,1/08/2020,9:15,25.92,448.62,29.8,13.7047892025,437.4427273,13.7047892025
112,1/08/2020,9:20,26.86,468.39,31.96,13.93201023,467.6490909,13.93201023
113,1/08/2020,9:25,33.2,586.8,33.85,14.2077357975,501.58636359999997,14.2077357975
114,1/08/2020,9:30,31.08,551.95,35.31,14.454163635,538.1672727000001,14.454163635
115,1/08/2020,9:35,29.78,520.96,35.47,14.454836932500001,603.8536364,14.454836932500001
116,1/08/2020,9:40,30.34,529.25,36.22,14.898238635000002,656.6363636,14.898238635000002
117,1/08/2020,9:45,36.32,636.24,37.22,15.380865337500001,695.8809091,15.380865337500001
118,1/08/2020,9:50,39.31,690.17,39.34,15.5962653375,735.6190909,15.5962653375
119,1/08/2020,9:55,41.21,733.05,40.78,15.981335797500002,753.0481818,15.981335797500002
