,Fecha,Hora,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],Lluvioso,Nublado,Soleado
0,1/10/2019,6:00,0.26,8.98,11.66,0,1,0
1,1/10/2019,6:05,0.85,16.87,11.72,0,1,0
2,1/10/2019,6:10,1.78,28.75,11.8,0,1,0
3,1/10/2019,6:15,2.17,33.24,11.92,0,1,0
4,1/10/2019,6:20,2.12,32.35,12.12,0,1,0
5,1/10/2019,6:25,2.04,31.08,12.4,0,1,0
6,1/10/2019,6:30,2.26,34.07,12.82,0,1,0
7,1/10/2019,6:35,2.9,42.81,13.4,0,1,0
8,1/10/2019,6:40,2.99,43.02,13.95,0,1,0
9,1/10/2019,6:45,3.02,43.14,14.26,0,1,0
10,1/10/2019,6:50,3.95,53.67,14.73,0,1,0
11,1/10/2019,6:55,3.67,49.47,14.87,0,1,0
12,1/10/2019,7:00,4.37,57.08,15.13,0,1,0
13,1/10/2019,7:05,5.71,73.87,15.49,0,1,0
14,1/10/2019,7:10,7.76,101.24,16.13,0,1,0
15,1/10/2019,7:15,11.23,144.43,17.19,0,1,0
16,1/10/2019,7:20,14.76,198.53,18.62,0,1,0
17,1/10/2019,7:25,23.42,375.09,22.01,0,1,0
18,1/10/2019,7:30,25.69,478.27,27.4,0,1,0
19,1/10/2019,7:35,21.83,357.46,30.34,0,1,0
20,1/10/2019,7:40,22.37,388.58,32.01,0,1,0
21,1/10/2019,7:45,20.14,335.1,29.38,0,1,0
22,1/10/2019,7:50,16.67,266.49,28.87,0,1,0
23,1/10/2019,7:55,8.69,139.27,25.1,0,1,0
24,1/10/2019,8:00,21.6,345.45,24.97,0,0,1
25,1/10/2019,8:05,28.67,423.02,28.54,0,0,1
26,1/10/2019,8:10,49.42,752.68,35.4,0,0,1
27,1/10/2019,8:15,45.48,707.6,39.21,0,0,1
28,1/10/2019,8:20,37.1,537.04,37.49,0,0,1
29,1/10/2019,8:25,21.82,322.26,32.86,0,0,1
30,1/10/2019,8:30,28.04,400.6,31.27,0,0,1
31,1/10/2019,8:35,53.84,801.87,36.04,0,0,1
32,1/10/2019,8:40,42.28,630.22,40.31,0,0,1
33,1/10/2019,8:45,44.9,723.44,41.08,0,0,1
34,1/10/2019,8:50,29.12,414.0,41.93,0,0,1
35,1/10/2019,8:55,15.17,209.24,32.73,0,0,1
36,1/10/2019,9:00,18.2,246.95,27.34,0,1,0
37,1/10/2019,9:05,30.62,425.74,29.58,0,1,0
38,1/10/2019,9:10,27.54,358.13,28.16,0,1,0
39,1/10/2019,9:15,40.37,525.85,29.87,0,1,0
40,1/10/2019,9:20,49.61,699.36,33.95,0,1,0
41,1/10/2019,9:25,42.17,560.8,34.12,0,1,0
42,1/10/2019,9:30,42.19,588.75,33.45,0,1,0
43,1/10/2019,9:35,21.68,284.5,30.11,0,1,0
44,1/10/2019,9:40,60.88,858.17,32.9,0,1,0
45,1/10/2019,9:45,43.26,654.1,38.19,0,1,0
46,1/10/2019,9:50,24.24,309.5,32.66,0,1,0
