Time,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C],
2019-01-10 07:00:00,25.00333333,94.155,15.985,
2019-01-10 07:20:00,25.60035714,352.3375,24.5925,
2019-01-10 07:40:00,27.264375,282.36,28.84,
2019-01-10 08:00:00,28.94555556,557.1875,32.03,
2019-01-10 08:20:00,29.15175,515.4425,34.415,
2019-01-10 08:40:00,29.15931818,494.225,39.0125,
2019-01-10 09:00:00,31.21568182,389.1675,28.7375,
2019-01-10 09:20:00,31.24795455,533.3525,32.9075,
2019-01-10 09:40:00,31.23954545,588.7425,33.585,
2019-01-10 10:00:00,29.81772727,388.135,29.505,
2019-01-10 10:20:00,31.11318182,369.1575,26.945,
2019-01-10 10:40:00,30.53590909,374.925,27.9175,
2019-01-10 11:00:00,29.77681818,271.685,27.8675,
2019-01-10 11:20:00,29.00545455,202.285,25.0925,
2019-01-10 11:40:00,28.40681818,253.235,26.52,
2019-01-10 12:00:00,30.94977273,725.835,40.525,
2019-01-10 12:20:00,30.705,333.475,36.3875,
2019-01-10 12:40:00,30.63181818,259.0225,30.125,
2019-01-10 13:00:00,31.06409091,380.31,31.09,
2019-01-10 13:20:00,31.29227273,440.84,29.3175,
2019-01-10 13:40:00,30.39590909,853.285,49.6675,
2019-01-10 14:00:00,27.29318182,358.1725,39.6575,
2019-01-10 14:20:00,25.03704545,183.35,25.82,
2019-01-10 14:40:00,23.26,192.305,26.215,
2019-01-10 15:00:00,20.91681818,106.755,23.23,
2019-01-10 15:20:00,19.12795455,101.4625,21.875,
2019-01-10 15:40:00,15.81545455,96.59,21.325,
2019-01-10 16:00:00,16.40795455,20.8825,18.9625,
2019-01-10 16:20:00,16.31590909,17.0725,17.7025,
2019-01-10 16:40:00,17.96227273,28.8575,17.9,
2019-01-11 07:00:00,19.08022727,326.9775,22.5825,
2019-01-11 07:20:00,20.09454545,414.9825,28.79,
2019-01-11 07:40:00,20.47090909,538.02,31.9175,
2019-01-11 08:00:00,24.23,449.0925,32.6475,
2019-01-11 08:20:00,29.26409091,683.875,39.23,
2019-01-11 08:40:00,34.17613636,490.07,37.5025,
2019-01-11 09:00:00,39.60295455,308.5375,28.325,
2019-01-11 09:20:00,41.20590909,243.34,28.94,
2019-01-11 09:40:00,40.39159091,597.9475,38.975,
2019-01-11 10:00:00,40.18840909,832.67,40.6,
2019-01-11 10:20:00,39.20454545,872.96,48.415,
2019-01-11 10:40:00,41.05636364,1181.5775,51.19,
2019-01-11 11:00:00,44.27545455,547.1525,34.8825,
2019-01-11 11:20:00,45.11522727,306.4025,26.7,
2019-01-11 11:40:00,44.20340909,317.11,25.455,
2019-01-11 12:00:00,42.17090909,411.3375,29.0675,
2019-01-11 12:20:00,39.97295455,654.675,35.3825,
2019-01-11 12:40:00,37.4625,739.485,42.575,
2019-01-11 13:00:00,37.60636364,358.9325,29.68,
2019-01-11 13:20:00,36.59704545,394.175,32.9825,
2019-01-11 13:40:00,34.79931818,379.2575,33.56,
2019-01-11 14:00:00,32.47886364,325.115,27.01,
2019-01-11 14:20:00,28.185,212.55,24.9225,
2019-01-11 14:40:00,23.24068182,151.9025,22.8575,
2019-01-11 15:00:00,20.65954545,118.06,23.425,
2019-01-11 15:20:00,19.15272727,66.22,21.0225,
2019-01-11 15:40:00,17.66159091,100.0075,21.3675,
2019-01-11 16:00:00,15.30954545,56.4325,20.4925,
2019-01-11 16:20:00,11.67227273,35.9775,19.8475,
2019-01-11 16:40:00,9.583636364,7.8875,16.51,
2019-01-12 07:00:00,10.10840909,368.06,25.19,
2019-01-12 07:20:00,11.78409091,342.16,27.505,
2019-01-12 07:40:00,12.74613636,125.285,21.2875,
2019-01-12 08:00:00,14.57090909,113.885,19.155,
2019-01-12 08:20:00,16.85931818,273.145,24.5075,
2019-01-12 08:40:00,20.44386364,260.4425,27.4075,
