,Fecha,Potencia [kW],Irradiacion [W/m2],Temperatura de modulos[C]
0,1/10/2019,7.2675,94.155,15.985
1,1/10/2019,21.425,352.3375,24.5925
2,1/10/2019,16.9675,282.36,28.84
3,1/10/2019,36.2925,557.1875,32.03
4,1/10/2019,35.2,515.4425,34.415
5,1/10/2019,32.8675,494.225,39.0125
6,1/10/2019,29.1825,389.1675,28.7375
7,1/10/2019,38.9125,533.3525,32.9075
8,1/10/2019,42.395,588.7425000000001,33.585
9,1/10/2019,31.0075,388.135,29.505
10,1/10/2019,29.235,369.1575,26.945
11,1/10/2019,29.8875,374.925,27.9175
12,1/10/2019,21.78,271.685,27.8675
13,1/10/2019,16.875,202.285,25.0925
14,1/10/2019,20.6525,253.235,26.52
15,1/10/2019,49.45,725.8349999999999,40.52499999999999
16,1/10/2019,26.5175,333.475,36.3875
17,1/10/2019,20.8325,259.0225,30.125
18,1/10/2019,30.4275,380.3100000000001,31.09
19,1/10/2019,35.81,440.84,29.3175
20,1/10/2019,58.98,853.2850000000001,49.6675
21,1/10/2019,26.5425,358.1725,39.65749999999999
22,1/10/2019,29.0825,183.35,25.82
23,1/10/2019,26.535,192.305,26.215
24,1/10/2019,19.385,106.755,23.23
25,1/10/2019,10.7925,101.4625,21.875
26,1/10/2019,15.32,96.59,21.325
27,1/10/2019,1.7,20.8825,18.9625
28,1/10/2019,1.285,17.0725,17.7025
29,1/10/2019,4.6525,28.8575,17.9
30,2/10/2019,16.1325,326.9775,22.5825
31,2/10/2019,22.5425,414.9825,28.79
32,2/10/2019,33.06,538.0200000000001,31.9175
33,2/10/2019,28.07,449.0925,32.6475
34,2/10/2019,44.645,683.875,39.23
35,2/10/2019,31.6825,490.07,37.5025
36,2/10/2019,21.95,308.5375,28.325
37,2/10/2019,19.46,243.34,28.94
38,2/10/2019,43.05,597.9475,38.975
39,2/10/2019,56.66,832.6700000000001,40.59999999999999
40,2/10/2019,58.685,872.96,48.415
41,2/10/2019,75.8275,1181.5775,51.19
42,2/10/2019,40.175,547.1524999999999,34.8825
43,2/10/2019,24.1025,306.4025,26.7
44,2/10/2019,25.835,317.11,25.455
45,2/10/2019,33.82250000000001,411.3375,29.0675
46,2/10/2019,52.0525,654.6750000000001,35.3825
47,2/10/2019,57.36,739.485,42.575
48,2/10/2019,28.6975,358.9325,29.68
49,2/10/2019,33.02,394.175,32.9825
50,2/10/2019,34.3025,379.2575,33.56
51,2/10/2019,34.50749999999999,325.115,27.01
52,2/10/2019,48.21250000000001,212.55,24.9225
53,2/10/2019,41.75749999999999,151.9025,22.8575
54,2/10/2019,13.0,118.06,23.425
55,2/10/2019,6.06,66.22,21.0225
56,2/10/2019,8.2975,100.0075,21.3675
57,2/10/2019,4.82,56.4325,20.4925
58,2/10/2019,2.9725,35.97750000000001,19.8475
59,2/10/2019,0.305,7.8875,16.51
60,3/10/2019,16.445,368.0599999999999,25.19
61,3/10/2019,17.9,342.16,27.505
62,3/10/2019,8.635,125.285,21.2875
63,3/10/2019,8.2025,113.885,19.155
64,3/10/2019,18.7825,273.145,24.5075
65,3/10/2019,18.7725,260.4425,27.4075
66,3/10/2019,24.4925,362.0425,30.1925
67,3/10/2019,18.88,264.63,28.995
68,3/10/2019,24.8925,343.9475,26.65
69,3/10/2019,28.145,426.63,30.875
70,3/10/2019,39.735,600.8675,31.715
71,3/10/2019,41.2825,606.0875,37.6925
72,3/10/2019,25.015,320.5725,29.7075
73,3/10/2019,37.385,498.0075000000001,32.5
74,3/10/2019,32.2775,432.1525,31.41
75,3/10/2019,39.42749999999999,534.05,30.2325
76,3/10/2019,53.92,780.1350000000001,46.67999999999999
77,3/10/2019,31.795,441.43,35.15
78,3/10/2019,62.2975,596.925,35.0175
79,3/10/2019,64.0725,158.965,23.425
80,3/10/2019,60.115,107.08,20.7675
81,3/10/2019,47.0675,81.77499999999999,20.005
82,3/10/2019,51.035,98.735,20.6375
83,3/10/2019,47.72000000000001,51.1375,18.87
84,3/10/2019,37.71,38.4425,17.99
85,3/10/2019,31.61,34.38500000000001,17.56
86,3/10/2019,26.1325,31.985,17.075
87,3/10/2019,19.3475,29.09,16.8525
88,3/10/2019,11.6125,24.83,16.51
89,3/10/2019,5.257500000000001,20.6425,16.0875
90,4/10/2019,7.0425,103.15,14.1625
91,4/10/2019,17.9925,300.0325,21.5875
92,4/10/2019,27.88,436.7825,30.2075
93,4/10/2019,30.975,480.695,34.0225
94,4/10/2019,21.2325,315.54,30.1025
95,4/10/2019,27.505,389.9225,29.4975
96,4/10/2019,27.5325,382.155,28.11
97,4/10/2019,36.315,497.5075,30.9425
98,4/10/2019,19.64,261.32,30.1175
99,4/10/2019,19.57,250.735,24.6325
100,4/10/2019,39.0025,518.9675,32.3425
101,4/10/2019,45.7025,655.8800000000001,41.2675
102,4/10/2019,35.36,482.2475,36.565
103,4/10/2019,30.075,381.4325,31.4225
104,4/10/2019,32.4775,418.6225000000001,31.07
105,4/10/2019,20.69,264.5225,30.3475
106,4/10/2019,41.66249999999999,566.0725,34.315
107,4/10/2019,50.8925,686.575,47.0725
108,4/10/2019,20.9825,268.7675,32.5475
109,4/10/2019,28.295,336.6849999999999,19.5075
110,4/10/2019,44.62,552.53,33.14
111,4/10/2019,37.05,203.3425,27.1475
112,4/10/2019,28.5175,202.48,26.025
113,4/10/2019,14.7125,136.4125,25.3125
114,4/10/2019,10.94,113.2675,24.1625
115,4/10/2019,4.0175,44.355,20.8425
116,4/10/2019,9.5075,99.05499999999999,21.84
117,4/10/2019,2.2075,32.59,15.875
118,4/10/2019,7.807499999999999,92.75,17.7075
119,4/10/2019,4.805000000000001,56.0775,18.4025
120,5/10/2019,11.23,157.49,21.25
121,5/10/2019,18.96,323.7125,24.705
122,5/10/2019,25.195,387.2175,33.0
123,5/10/2019,18.285,262.545,28.8625
124,5/10/2019,4.055,55.2675,21.175
125,5/10/2019,7.097499999999999,90.5375,18.2575
126,5/10/2019,17.23,208.4225,18.2975
127,5/10/2019,23.645,277.555,27.5425
128,5/10/2019,13.5325,161.5125,25.43
129,5/10/2019,18.985,226.555,18.915
130,5/10/2019,26.7725,318.11,20.4875
131,5/10/2019,32.5425,380.0725,23.8675
132,5/10/2019,34.595,417.0375,29.885
133,5/10/2019,38.07,458.8775,34.3525
134,5/10/2019,44.15000000000001,539.215,36.1725
135,5/10/2019,45.46250000000001,625.705,43.4075
136,5/10/2019,15.26,181.115,24.3975
137,5/10/2019,15.8475,198.7225,23.7875
138,5/10/2019,12.405,159.8975,24.435
139,5/10/2019,7.499999999999999,96.08500000000001,23.52
140,5/10/2019,3.83,55.025,21.6675
141,5/10/2019,1.2125,21.7425,19.42
142,5/10/2019,2.4625,34.4975,17.0875
143,5/10/2019,4.017499999999999,54.305,18.3925
144,5/10/2019,4.615,62.355,19.185
145,5/10/2019,4.6575,62.0275,17.7425
146,5/10/2019,5.09,69.6475,19.3975
147,5/10/2019,1.415,22.565,18.7225
148,5/10/2019,1.1925,19.825,17.8725
149,5/10/2019,1.635,25.795,17.7725
150,6/10/2019,4.4,65.345,15.64
151,6/10/2019,9.475,129.3125,18.6775
152,6/10/2019,11.385,153.32,21.1975
153,6/10/2019,15.7275,212.0125,23.7675
154,6/10/2019,14.06,185.135,24.645
155,6/10/2019,25.24,368.48,29.57
156,6/10/2019,16.02,215.24,26.67
157,6/10/2019,23.4875,345.0225,27.8875
158,6/10/2019,30.4575,436.57,33.1025
159,6/10/2019,27.195,366.6075,31.6975
160,6/10/2019,15.8275,198.92,25.955
161,6/10/2019,14.345,188.1225,22.9575
162,6/10/2019,20.965,261.7825,26.195
163,6/10/2019,11.185,136.365,23.0875
164,6/10/2019,10.42,131.69,20.7075
165,6/10/2019,31.7825,394.165,28.98
166,6/10/2019,39.8475,533.0024999999999,36.34999999999999
167,6/10/2019,18.375,233.9975,27.45
168,6/10/2019,27.465,339.9625,27.9475
169,6/10/2019,24.1,302.7925,28.255
170,6/10/2019,19.06,239.7175,27.595
171,6/10/2019,22.9,282.2275,24.6275
172,6/10/2019,23.5975,288.395,26.0325
173,6/10/2019,24.5775,247.945,25.9425
174,6/10/2019,25.06,153.225,21.66
175,6/10/2019,28.7525,77.0025,17.2375
176,6/10/2019,27.3525,81.31,17.62
177,6/10/2019,11.255,72.7325,18.635
178,6/10/2019,7.565,46.86,18.51
179,6/10/2019,6.757499999999999,41.2825,18.0925
180,7/10/2019,0.1375,6.75,10.1225
181,7/10/2019,0.4825,11.9575,9.6525
182,7/10/2019,1.565,26.195,9.605
183,7/10/2019,2.1875,33.1125,9.39
184,7/10/2019,5.467499999999999,71.6075,9.969999999999999
185,7/10/2019,10.7475,131.65,11.4
