Fecha,Hora,Energia [kWh],Irradiacion [Wh/m2],Irradiacion extraterrestre [Wh/m2]
1/10/2019,6:00,2.334166667,34.7875,0
1/10/2019,7:00,15.22,242.9508333,343.7061697
1/10/2019,8:00,34.78666667,522.285,671.3021739
1/10/2019,9:00,36.83,503.7541667,952.6152402
1/10/2019,10:00,30.04333333,377.4058333,1168.474348
1/10/2019,11:00,19.76916667,242.4016667,1304.169056
1/10/2019,12:00,32.26666667,439.4441667,1350.451994
1/10/2019,13:00,41.73916667,558.145,1304.169056
1/10/2019,14:00,27.38666667,244.6091667,1168.474348
1/10/2019,15:00,15.16583333,101.6025,952.6152402
1/10/2019,16:00,2.545833333,22.27083333,671.3021739
1/10/2019,17:00,1.3975,16.11916667,343.7061697
2/10/2019,6:00,2.770833333,45.585,0
2/10/2019,7:00,17.63833333,279.9883333,342.9622434
2/10/2019,8:00,26.57083333,395.3858333,670.5730875
2/10/2019,9:00,27.82916667,380.3275,951.8988972
2/10/2019,10:00,34.75833333,475.1941667,1167.767783
2/10/2019,11:00,32.6375,427.4341667,1303.468638
2/10/2019,12:00,37.74833333,505.7233333,1349.753673
2/10/2019,13:00,31.29916667,385.9941667,1303.468638
2/10/2019,14:00,26.76,180.745,1167.767783
2/10/2019,15:00,8.155,85.55916667,951.8988972
2/10/2019,16:00,4.94,60.4725,670.5730875
2/10/2019,17:00,0.598333333,10.56166667,342.9622434
3/10/2019,6:00,0.0125,3.6425,0
3/10/2019,7:00,0.728333333,14.9675,342.2039726
3/10/2019,8:00,6.134166667,78.79,669.8143304
3/10/2019,9:00,15.72666667,191.2441667,951.1397224
3/10/2019,10:00,28.76,347.48,1167.008288
3/10/2019,11:00,33.825,411.3158333,1302.708941
3/10/2019,12:00,25.82583333,316.0091667,1348.993907
3/10/2019,13:00,29.07333333,337.6941667,1302.708941
3/10/2019,14:00,26.61833333,287.1425,1167.008288
3/10/2019,15:00,18.085,191.1608333,951.1397224
3/10/2019,16:00,7.229166667,71.66916667,669.8143304
3/10/2019,17:00,1.755833333,22.65583333,342.2039726
4/10/2019,6:00,3.163333333,44.23583333,0
4/10/2019,7:00,9.539166667,121.8825,341.4317791
4/10/2019,8:00,27.52583333,383.8375,669.0264732
4/10/2019,9:00,53.505,737.3816667,950.3384145
4/10/2019,10:00,67.48416667,995.2016667,1166.196659
4/10/2019,11:00,62.0975,903.0958333,1301.890824
4/10/2019,12:00,56.35416667,784.9633333,1348.173577
4/10/2019,13:00,55.25666667,739.3333333,1301.890824
4/10/2019,14:00,18.585,215.0033333,1166.196659
4/10/2019,15:00,19,158.405,950.3384145
4/10/2019,16:00,7.775833333,49.12833333,669.0264732
4/10/2019,17:00,0.880833333,12.7375,341.4317791
5/10/2019,6:00,2.543333333,38.91666667,0
5/10/2019,7:00,18.3925,314.135,340.6461036
5/10/2019,8:00,43.105,644.7791667,668.2101246
5/10/2019,9:00,35.17166667,490.3475,949.4957263
5/10/2019,10:00,25.80166667,321.0308333,1165.33376
5/10/2019,11:00,27.48916667,347.0108333,1301.01522
5/10/2019,12:00,27.3425,338.8458333,1347.293639
5/10/2019,13:00,26.42416667,308.2716667,1301.01522
5/10/2019,14:00,30.18333333,214.71,1165.33376
5/10/2019,15:00,16.91166667,171.3758333,949.4957263
5/10/2019,16:00,7.135,83.92083333,668.2101246
5/10/2019,17:00,1.609166667,25.155,340.6461036
6/10/2019,6:00,2.885,44.42583333,0
6/10/2019,7:00,15.495,243.4391667,339.8474058
6/10/2019,8:00,36.65083333,543.2041667,667.3659306
6/10/2019,9:00,60.35666667,883.0725,948.6124638
6/10/2019,10:00,69.2175,1060.691667,1164.420519
6/10/2019,11:00,60.9275,935.9133333,1300.083134
6/10/2019,12:00,48.015,668.4466667,1346.355125
6/10/2019,13:00,49.65333333,645.5258333,1300.083134
6/10/2019,14:00,13.6925,115.8041667,1164.420519
6/10/2019,15:00,11.48666667,93.06833333,948.6124638
6/10/2019,16:00,3.285,36.12166667,667.3659306
6/10/2019,17:00,0.353333333,7.626666667,339.8474058
7/10/2019,6:00,5.380833333,72.88,0
7/10/2019,7:00,13.7575,182.2683333,339.0361634
7/10/2019,8:00,23.795,324.2341667,666.4945738
7/10/2019,9:00,44.18666667,598.9491667,947.6894856
