Fecha,Potencia [kW],Insolacion [W/m2]
0:00,0.0,0.97
0:05,0.0,0.96
0:10,0.0,0.96
0:15,0.0,0.96
0:20,0.0,0.96
0:25,0.0,0.96
0:30,0.0,0.96
0:35,0.0,0.96
0:40,0.0,0.96
0:45,0.0,0.96
0:50,0.0,0.96
0:55,0.0,0.96
1:00,0.0,0.96
1:05,0.0,0.96
1:10,0.0,0.96
1:15,0.0,0.96
1:20,0.0,0.96
1:25,0.0,0.96
1:30,0.0,0.95
1:35,0.0,0.96
1:40,0.0,0.95
1:45,0.0,0.95
1:50,0.0,0.95
1:55,0.0,0.95
2:00,0.0,0.95
2:05,0.0,0.96
2:10,0.0,0.96
2:15,0.0,0.96
2:20,0.0,0.96
2:25,0.0,0.97
2:30,0.0,0.96
2:35,0.0,0.96
2:40,0.0,0.97
2:45,0.0,0.97
2:50,0.0,0.97
2:55,0.0,0.97
3:00,0.0,0.97
3:05,0.0,0.97
3:10,0.0,0.97
3:15,0.0,0.97
3:20,0.0,0.97
3:25,0.0,0.96
3:30,0.0,0.96
3:35,0.0,0.96
3:40,0.0,0.96
3:45,0.0,0.96
3:50,0.0,0.96
3:55,0.0,0.96
4:00,0.0,0.96
4:05,0.0,0.96
4:10,0.0,0.96
4:15,0.0,0.95
4:20,0.0,0.95
4:25,0.0,0.95
4:30,0.0,0.95
4:35,0.0,0.95
4:40,0.0,0.95
4:45,0.0,0.95
4:50,0.0,0.95
4:55,0.0,0.95
5:00,0.0,0.95
5:05,0.0,0.96
5:10,0.0,0.96
5:15,0.0,0.95
5:20,0.0,0.95
5:25,0.0,0.96
5:30,0.0,0.96
5:35,0.0,0.95
5:40,0.0,0.96
5:45,0.0,0.96
5:50,0.0,0.96
5:55,0.0,0.99
6:00,0,1.24
6:05,0,2.69
6:10,0,4.68
6:15,0.04,6.89
6:20,0.13,10.04
6:25,0.23,12.59
6:30,0.43,18.02
6:35,1.13,35.62
6:40,2.12,56.85
6:45,2.08,52.78
6:50,2,52.03
6:55,2.59,67.27
7:00,3.18,79.7
7:05,3.83,105.06
7:10,4.06,102.37
7:15,5.86,147.7
7:20,11.84,373.12
7:25,14.8,459.66
7:30,14.03,426.66
7:35,11.72,342.58
7:40,11.16,319.81
7:45,15.41,458.75
7:50,16.12,479.51
7:55,18.78,551.2
8:00,19.99,580.03
8:05,20.06,569.47
8:10,21.68,604.34
8:15,21.58,599.29
8:20,21.72,607.61
8:25,22.18,617.93
8:30,22.76,627.03
8:35,23.54,644.48
8:40,24.46,668.77
8:45,25.42,691.58
8:50,26.12,711
8:55,26.82,731.78
9:00,24.12,655.84
9:05,25.51,687.49
9:10,28.99,781.67
9:15,28.99,782.36
9:20,29.33,789.95
9:25,29.92,804.31
9:30,31.12,831.68
9:35,27.26,721.02
9:40,32.27,858.01
9:45,32.41,859.92
9:50,32.8,873.64
9:55,33.54,892.5
10:00,34.3,907.04
10:05,35.04,924.55
10:10,34.99,928.98
10:15,35.3,933.12
10:20,36.38,963.27
10:25,36.97,976.28
10:30,38.33,1002.63
10:35,37.93,986.09
10:40,38.52,1008.98
10:45,39.55,1030.45
10:50,38.45,981.64
10:55,40.02,1037.64
11:00,40.79,1051.82
11:05,41.24,1060.96
11:10,41.64,1067.65
11:15,42.6,1082.03
11:20,43.38,1101.33
11:25,42.06,1089.28
11:30,34.72,924.87
11:35,46.99,1178.93
11:40,42.36,1089.98
11:45,38.7,974.82
11:50,38.86,972.12
11:55,43.37,1103.4
12:00,38.46,960.52
12:05,40.15,1000.21
12:10,41.51,1036.32
12:15,42.17,1051.86
12:20,40.31,1003.42
12:25,41.21,1032.72
12:30,40.37,991
12:35,37.7,913.55
12:40,44.42,1098.96
12:45,43.81,1079.18
12:50,38.89,939.38
12:55,37.58,892.6
13:00,37.96,896
13:05,39.24,928.87
13:10,38.81,938.11
13:15,30.62,702.59
13:20,33.25,750.59
13:25,35.93,810.22
13:30,30.17,509.12
13:35,38.45,253.86
13:40,35.09,255.98
13:45,18.46,232.79
13:50,42.82,179.46
13:55,37.21,137.41
14:00,35.94,133.29
14:05,32.71,136.71
14:10,34.33,118.79
14:15,38.23,99.3
14:20,38.14,93.6
14:25,29.74,102.1
14:30,35.53,146.75
14:35,13.06,148.83
14:40,9.3,132.99
14:45,8.8,158.47
14:50,22.68,176.76
14:55,32.71,167.08
15:00,23.02,166.97
15:05,21.38,148.86
15:10,20.96,153.98
15:15,13.44,151.98
15:20,10.86,143.74
15:25,10.9,134.85
15:30,12.28,124.29
