,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
72,1/12/2020,6:00,0.18,11.9,12.8,12.48781591,21.86454545,12.48781591
73,1/12/2020,6:05,0.47,19.73,12.76,12.399875,28.73181818,12.399875
74,1/12/2020,6:10,0.85,29.16,12.78,12.30967727,36.83818182,12.30967727
75,1/12/2020,6:15,1.5,43.71,13.11,12.22773636,46.76,12.22773636
76,1/12/2020,6:20,2.09,57.1,13.44,12.23221818,57.80363636,12.23221818
77,1/12/2020,6:25,2.53,67.5,13.78,12.26748864,69.05,12.26748864
78,1/12/2020,6:30,2.95,76.51,14.19,12.32131136,81.90272727,12.32131136
79,1/12/2020,6:35,3.55,90.18,14.77,12.44609773,96.04272727,12.44609773
80,1/12/2020,6:40,4.08,110.51,15.41,12.68717955,110.48272730000001,12.68717955
81,1/12/2020,6:45,4.49,123.84,16.22,12.99229318,125.4372727,12.99229318
82,1/12/2020,6:50,4.88,129.41,16.57,13.315875,144.15,13.315875
83,1/12/2020,6:55,5.69,153.28,17.28,13.81535682,156.83,13.81535682
84,1/12/2020,7:00,6.47,175.27,18.41,12.812324319,169.57,12.812324319
85,1/12/2020,7:05,7,188.0,19.8,13.157310681,184.4245455,13.157310681
86,1/12/2020,7:10,7.63,208.21,20.99,13.706764776000002,190.7863636,13.706764776000002
87,1/12/2020,7:15,9.23,262.94,22.66,14.210472275999999,191.5254545,14.210472275999999
88,1/12/2020,7:20,7.86,206.98,23.11,13.695277273499999,196.61818180000003,13.695277273499999
89,1/12/2020,7:25,8.21,216.65,22.67,13.9723444295,204.5336364,13.9723444295
90,1/12/2020,7:30,9.53,253.58,23.48,14.3294680705,211.2390909,14.3294680705
91,1/12/2020,7:35,7.55,180.49,24.05,14.577449773500001,221.4236364,14.577449773500001
92,1/12/2020,7:40,5.84,131.97,22.6,14.857119094,236.2690909,14.857119094
93,1/12/2020,7:45,8.34,185.43,21.66,15.104590796999998,255.5663636,15.104590796999998
94,1/12/2020,7:50,10.8,240.35,23.26,13.712147729999998,267.4,13.712147729999998
95,1/12/2020,7:55,10.9,249.03,25.06,14.192415337499998,264.77545449999997,14.192415337499998
96,1/12/2020,8:00,12.97,300.03,26.09,14.6286375,252.1872727,14.6286375
97,1/12/2020,8:05,15.79,371.51,29.1,14.774855115,243.5772727,14.774855115
98,1/12/2020,8:10,20.11,475.21,31.7,14.80281648,242.1554545,14.80281648
99,1/12/2020,8:15,14.54,337.15,32.33,14.936123864999999,236.8490909,14.936123864999999
100,1/12/2020,8:20,8.21,187.78,28.92,15.003257385,228.9990909,15.003257385
101,1/12/2020,8:25,4.93,115.11,26.07,14.9303693175,225.2272727,14.9303693175
102,1/12/2020,8:30,3.62,85.78,23.59,14.960994885000002,218.6845455,14.960994885000002
103,1/12/2020,8:35,5.12,116.33,22.58,14.9419193175,208.30363640000002,14.9419193175
104,1/12/2020,8:40,5.75,127.06,22.01,15.021017047499999,188.7,15.021017047499999
105,1/12/2020,8:45,7.02,154.0,21.87,14.86580625,179.5972727,14.86580625
106,1/12/2020,8:50,9.49,207.54,22.85,14.690976135,182.32181819999997,14.690976135
107,1/12/2020,8:55,10.74,228.06,24.56,14.594132384999998,189.9263636,14.594132384999998
108,1/12/2020,9:00,11.86,257.32,25.68,14.598956249999999,197.99,14.598956249999999
109,1/12/2020,9:05,11.96,259.57,26.93,14.705403412499999,203.5727273,14.705403412499999
110,1/12/2020,9:10,11.1,237.02,27.3,14.764750567499998,211.80272730000002,14.764750567499998
111,1/12/2020,9:15,10.3,217.75,27.18,14.85854148,222.72636359999998,14.85854148
112,1/12/2020,9:20,9.35,198.76,26.95,15.0206420475,227.9909091,15.0206420475
113,1/12/2020,9:25,8.02,174.48,26.1,15.18677727,229.2581818,15.18677727
114,1/12/2020,9:30,8.27,177.74,25.83,15.3747204525,226.6581818,15.3747204525
115,1/12/2020,9:35,9.85,217.59,25.37,15.508223864999998,221.8381818,15.508223864999998
116,1/12/2020,9:40,12.16,274.16,26.55,15.626432385,212.6027273,15.626432385
117,1/12/2020,9:45,12.08,265.45,26.82,15.647967614999999,204.5172727,15.647967614999999
118,1/12/2020,9:50,11.27,242.0,27.38,15.5443909125,199.62181819999998,15.5443909125
119,1/12/2020,9:55,10.87,228.72,27.65,15.140463067499999,205.95,15.140463067499999
120,1/12/2020,10:00,10.24,206.55,27.43,14.7788403375,215.2518182,14.7788403375
121,1/12/2020,10:05,6.53,135.43,26.24,14.703586365,220.4872727,14.703586365
122,1/12/2020,10:10,5.57,128.81,25.05,14.804100000000002,214.5890909,14.804100000000002
123,1/12/2020,10:15,6.31,144.91,23.95,14.832688635,209.9963636,14.832688635
124,1/12/2020,10:20,11.18,244.09,22.09,14.786780115000001,202.63545449999998,14.786780115000001
125,1/12/2020,10:25,13.22,280.06,23.34,14.540892615,204.7390909,14.540892615
126,1/12/2020,10:30,12.43,275.18,25.85,13.97535852,237.08454550000002,13.97535852
127,1/12/2020,10:35,9.62,209.28,26.24,15.2875706795,303.17636360000006,15.2875706795
128,1/12/2020,10:40,10.9,214.93,25.85,13.812932385,353.6209091,13.812932385
129,1/12/2020,10:45,8.15,161.03,24.48,14.635314202500002,363.9627273,14.635314202500002
130,1/12/2020,10:50,11.69,251.86,24.68,15.41275398,357.67363639999996,15.41275398
131,1/12/2020,10:55,25.61,562.35,28.92,15.934624432499998,356.10636360000007,15.934624432499998
132,1/12/2020,11:00,37.08,862.44,39.1,16.23619602,354.01363639999994,16.23619602
133,1/12/2020,11:05,30.67,683.7,45.06,16.1027284125,367.0963636,16.1027284125
134,1/12/2020,11:10,11.7,258.67,39.14,15.8852829525,393.54,15.8852829525
135,1/12/2020,11:15,8.02,174.91,31.59,15.816944317499999,425.1509091,15.816944317499999
136,1/12/2020,11:20,12.05,262.82,30.52,15.888584662499998,441.1154545,15.888584662499998
137,1/12/2020,11:25,11.65,252.16,29.64,16.366689202499998,422.1990909,16.366689202499998
138,1/12/2020,11:30,16.33,353.19,28.24,16.741926135,366.1545455,16.741926135
139,1/12/2020,11:35,22.92,505.81,30.66,16.2404931825,324.91272730000003,16.2404931825
140,1/12/2020,11:40,23.21,508.75,33.04,15.247571587500001,322.3436364,15.247571587500001
141,1/12/2020,11:45,19.98,427.47,30.56,14.453855115,332.5954545,14.453855115
142,1/12/2020,11:50,16.99,354.27,30.21,14.0848840875,331.08,14.0848840875
143,1/12/2020,11:55,11.77,245.95,27.65,13.923865912499998,322.92,13.923865912499998
144,1/12/2020,12:00,11.11,230.04,25.23,14.075846587500001,302.4272727,14.075846587500001
145,1/12/2020,12:05,10.88,230.41,23.8,14.327631817499999,269.7236364,14.327631817499999
146,1/12/2020,12:10,13.09,287.68,23.05,14.3976017025,239.1245455,14.3976017025
147,1/12/2020,12:15,11.32,246.15,24.65,14.444411932500001,222.9045455,14.444411932500001
148,1/12/2020,12:20,7.3,162.4,24.81,13.9029409125,251.5709091,13.9029409125
149,1/12/2020,12:25,5.64,127.77,24.27,13.53643125,331.6881818,13.53643125
150,1/12/2020,12:30,6.56,146.07,24.46,14.433163635,365.00363639999995,14.433163635
