,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],Insolacion media [W/m2]
72,1/01/2020,6:00,0.0,1.69,9.39,9.426686364,4.616363636
73,1/01/2020,6:05,0.01,3.49,9.46,9.363931818,5.972727272999999
74,1/01/2020,6:10,0.11,6.2,9.47,9.316886364,7.5181818179999995
75,1/01/2020,6:15,0.26,9.08,9.55,9.291797727,9.29
76,1/01/2020,6:20,0.41,11.5,9.56,9.294443182,11.54090909
77,1/01/2020,6:25,0.55,13.75,9.6,9.311731818,14.41636364
78,1/01/2020,6:30,0.72,15.92,9.57,9.321325,18.49727273
79,1/01/2020,6:35,0.85,18.0,9.68,9.115372727,37.88727273
80,1/01/2020,6:40,1.03,20.49,9.91,9.093509091,60.99636364
81,1/01/2020,6:45,1.36,25.77,10.16,9.233879545,86.23909091
82,1/01/2020,6:50,1.76,32.69,10.44,9.428163636,113.7527273
83,1/01/2020,6:55,2.81,46.58,10.73,9.754368182,142.4527273
84,1/01/2020,7:00,6.86,216.78,13.06,10.19875455,172.9709091
85,1/01/2020,7:05,8.76,260.4,16.22,10.65385682,205.24818180000003
86,1/01/2020,7:10,10.64,286.75,18.73,10.95108182,239.89454550000002
87,1/01/2020,7:15,12.42,314.15,20.02,11.25875227,275.4172727
88,1/01/2020,7:20,13.81,329.45,21.87,11.69434091,311.8090909
89,1/01/2020,7:25,15.83,351.62,23.69,12.22625227,348.9627273
90,1/01/2020,7:30,17.53,373.05,24.45,13.04980227,373.1972727
91,1/01/2020,7:35,19.2,401.6,23.66,13.81904318,395.37363639999995
92,1/01/2020,7:40,20.46,416.52,24.29,13.122241361999999,417.5109091
93,1/01/2020,7:45,22.08,433.0,26.24,13.841314776,439.5318182
94,1/01/2020,7:50,23.9,455.27,27.82,13.754931820500001,462.0
95,1/01/2020,7:55,25.81,483.36,29.45,14.427061594000001,484.1218182
96,1/01/2020,8:00,27.52,504.34,31.39,15.026178296999998,506.1936364
97,1/01/2020,8:05,29.12,530.26,33.8,13.8487193175,527.4890909
98,1/01/2020,8:10,30.96,556.38,35.47,14.479788067500001,549.2554545
99,1/01/2020,8:15,32.4,576.6,37.5,14.99150625,570.9572727000001
100,1/01/2020,8:20,33.77,594.96,39.08,15.47053125,592.0954545
101,1/01/2020,8:25,35.6,615.84,38.88,15.919900567500001,612.1590909
102,1/01/2020,8:30,36.97,635.85,38.76,16.3166420475,632.4272727000001
103,1/01/2020,8:35,38.35,655.95,40.13,16.5602318175,652.3854545
104,1/01/2020,8:40,39.55,671.72,40.31,16.675747162500002,671.3136364
105,1/01/2020,8:45,40.58,687.79,41.24,16.68370398,689.5063636
106,1/01/2020,8:50,41.76,704.06,42.11,16.691406817500003,707.8436364
107,1/01/2020,8:55,43.28,727.29,43.34,16.8803215875,725.3618182
108,1/01/2020,9:00,44.94,749.8,43.41,16.9789159125,743.16
109,1/01/2020,9:05,46.14,764.59,42.89,17.1286295475,760.3309091
110,1/01/2020,9:10,47.28,776.72,43.12,17.3052971625,776.4263636
111,1/01/2020,9:15,48.49,796.67,44.74,17.6023721625,791.8409091
112,1/01/2020,9:20,49.27,808.54,46.95,17.8159090875,806.9090909
113,1/01/2020,9:25,50.98,831.63,45.59,17.86921023,821.8454545
114,1/01/2020,9:30,51.64,844.83,47.52,17.9407704525,836.4254545
