,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/06/2020,6:00,0.13,7.7,11.51,11.41686818,13.99818182,11.41686818
1,1/06/2020,6:05,0.37,12.47,11.7,11.41763409,19.02818182,11.41763409
2,1/06/2020,6:10,0.71,19.24,11.92,11.45234318,25.79909091,11.45234318
3,1/06/2020,6:15,1.13,26.8,12.24,11.52388636,34.17272727,11.52388636
4,1/06/2020,6:20,1.57,34.1,12.43,11.64343409,42.81727273,11.64343409
5,1/06/2020,6:25,2.04,42.39,12.57,11.776375,51.40454545,11.776375
6,1/06/2020,6:30,2.8,56.36,13.23,11.93551591,59.40272727,11.93551591
7,1/06/2020,6:35,3.94,75.77,14.0,12.11386136,66.53727273,12.11386136
8,1/06/2020,6:40,5.14,94.0,14.75,12.26888182,74.52,12.26888182
9,1/06/2020,6:45,5.46,97.79,15.3,12.43264318,83.60636364,12.43264318
10,1/06/2020,6:50,5.59,98.83,15.44,12.66210682,92.22090909,12.66210682
11,1/06/2020,6:55,5.47,95.68,15.68,12.90106364,101.2836364,12.90106364
12,1/06/2020,7:00,5.24,90.95,15.82,13.13480909,108.9490909,13.13480909
13,1/06/2020,7:05,6.07,107.05,16.04,13.36228182,113.6690909,13.36228182
14,1/06/2020,7:10,7.19,126.75,16.79,13.55506136,117.7663636,13.55506136
15,1/06/2020,7:15,7.42,128.86,17.56,13.73506136,123.2209091,13.73506136
16,1/06/2020,7:20,8.21,142.08,17.94,13.91267727,129.0927273,13.91267727
17,1/06/2020,7:25,8.16,140.68,18.12,12.611094543,136.74181819999998,12.611094543
18,1/06/2020,7:30,7.49,127.69,17.93,12.677514543,146.4218182,12.677514543
19,1/06/2020,7:35,8.0,139.07,18.11,12.786095457000004,155.2909091,12.786095457000004
20,1/06/2020,7:40,8.98,157.79,18.93,12.931026138,162.19545449999995,12.931026138
21,1/06/2020,7:45,9.2,163.42,19.17,13.054868181000002,170.0181818,13.054868181000002
