,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/03/2020,6:00,0.0,1.35,9.58,9.630529545,4.179090909,9.630529545
1,1/03/2020,6:05,0.0,2.38,9.59,9.632584091,5.757272727,9.632584091
2,1/03/2020,6:10,0.02,4.6,9.52,9.646056818,7.713636364,9.646056818
3,1/03/2020,6:15,0.16,7.45,9.63,9.656779545,10.13363636,9.656779545
4,1/03/2020,6:20,0.34,10.83,9.81,9.672025,13.01727273,9.672025
5,1/03/2020,6:25,0.58,14.4,10.02,9.685747727,16.41909091,9.685747727
6,1/03/2020,6:30,0.84,18.34,10.31,9.703015909,20.22090909,9.703015909
7,1/03/2020,6:35,1.1,22.5,10.55,9.727195455,24.63090909,9.727195455
8,1/03/2020,6:40,1.46,27.6,10.71,9.770859091,29.45636364,9.770859091
9,1/03/2020,6:45,1.79,32.71,10.91,9.835038636,34.59363636,9.835038636
10,1/03/2020,6:50,2.11,38.45,10.88,9.925311364,39.57545455,9.925311364
11,1/03/2020,6:55,2.41,43.17,10.92,10.02597045,44.31181818,10.02597045
12,1/03/2020,7:00,2.83,50.89,11.19,10.12386136,49.44636364,10.12386136
13,1/03/2020,7:05,3.22,57.68,11.46,10.24799318,54.32090909,10.24799318
14,1/03/2020,7:10,3.59,63.96,11.89,10.36926818,59.36545455,10.36926818
15,1/03/2020,7:15,3.77,65.63,12.31,10.35107727,72.42363636,10.35107727
16,1/03/2020,7:20,3.89,66.5,12.56,10.43446364,96.43272727,10.43446364
17,1/03/2020,7:25,4.37,74.82,12.94,10.93755909,110.6672727,10.93755909
18,1/03/2020,7:30,4.3,76.12,13.39,11.17598864,142.5590909,11.17598864
19,1/03/2020,7:35,4.82,83.09,13.57,11.65653182,180.7872727,11.65653182
20,1/03/2020,7:40,8.38,176.35,14.66,12.35309318,221.0445455,12.35309318
21,1/03/2020,7:45,14.93,302.55,19.06,13.15342727,262.8836364,13.15342727
22,1/03/2020,7:50,9.64,199.75,20.76,12.620382957,305.98636360000006,12.620382957
23,1/03/2020,7:55,19.74,401.7,23.46,13.400991819000001,349.7854545,13.400991819000001
24,1/03/2020,8:00,24.11,478.19,28.31,14.121525681,395.2845455,14.121525681
25,1/03/2020,8:05,26.1,506.79,31.73,13.866044203,439.23,13.866044203
26,1/03/2020,8:10,28.38,525.86,33.77,14.346943297000001,482.5245455,14.346943297000001
27,1/03/2020,8:15,29.41,540.63,35.16,14.696005452999998,516.0872727,14.696005452999998
28,1/03/2020,8:20,30.42,556.61,35.73,14.680185797,561.7227272999999,14.680185797
29,1/03/2020,8:25,31.43,576.61,35.96,14.770023070499999,590.9372727000001,14.770023070499999
30,1/03/2020,8:30,30.91,566.49,33.71,14.64567,614.9018182,14.64567
