,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/05/2020,6:00,0.0,2.51,11.78,11.81328636,3.649090909,11.81328636
1,1/05/2020,6:05,0.0,3.58,11.89,11.84268409,4.662727273,11.84268409
2,1/05/2020,6:10,0.01,4.8,11.83,11.86210909,5.774545455,11.86210909
3,1/05/2020,6:15,0.06,6.13,12.01,11.86936818,6.998181818,11.86936818
4,1/05/2020,6:20,0.11,7.46,12.1,11.87764545,8.250909091,11.87764545
5,1/05/2020,6:25,0.24,10.03,12.21,11.89776364,9.403636364,11.89776364
6,1/05/2020,6:30,0.34,12.13,12.44,11.92362955,10.24818182,11.92362955
7,1/05/2020,6:35,0.38,13.22,12.39,11.93120227,10.96454545,11.93120227
8,1/05/2020,6:40,0.48,14.47,12.4,11.95520909,11.84363636,11.95520909
9,1/05/2020,6:45,0.5,14.91,12.4,11.93844091,12.75090909,11.93844091
10,1/05/2020,6:50,0.47,14.2,12.27,11.91778864,13.76636364,11.91778864
11,1/05/2020,6:55,0.34,11.8,12.32,11.88775682,14.56090909,11.88775682
12,1/05/2020,7:00,0.31,11.46,12.19,11.860575,15.25181818,11.860575
13,1/05/2020,7:05,0.46,14.47,12.36,11.86806591,16.03727273,11.86806591
14,1/05/2020,7:10,0.56,16.11,12.1,11.894975,16.91,11.894975
15,1/05/2020,7:15,0.71,18.63,12.18,11.92377273,17.94545455,11.92377273
16,1/05/2020,7:20,0.72,18.77,12.12,11.94389545,19.29636364,11.94389545
17,1/05/2020,7:25,0.78,19.73,12.35,11.95662727,21.31272727,11.95662727
18,1/05/2020,7:30,0.9,21.86,12.71,11.96218409,24.68090909,11.96218409
19,1/05/2020,7:35,1.03,24.07,12.96,11.9574,28.82181818,11.9574
20,1/05/2020,7:40,1.2,26.3,13.03,11.98538409,32.56454545,11.98538409
21,1/05/2020,7:45,1.33,29.06,12.9,12.04471136,35.23363636,12.04471136
22,1/05/2020,7:50,1.63,33.98,13.07,12.07969773,37.73,12.07969773
23,1/05/2020,7:55,2.5,48.51,13.27,12.11908182,40.33090909,12.11908182
24,1/05/2020,8:00,3.16,60.02,13.56,12.13280455,43.36909091,12.13280455
25,1/05/2020,8:05,3.01,57.28,13.54,12.16164773,46.75,12.16164773
26,1/05/2020,8:10,2.47,47.99,13.64,12.22745227,49.28272727,12.22745227
27,1/05/2020,8:15,2.4,46.23,13.26,12.28516818,51.51454545,12.28516818
28,1/05/2020,8:20,2.66,48.34,13.57,12.30912955,54.41181818,12.30912955
29,1/05/2020,8:25,3.0,55.28,13.78,12.30663636,59.16363636,12.30663636
30,1/05/2020,8:30,3.34,61.26,14.3,12.29956136,64.87545455,12.29956136
31,1/05/2020,8:35,2.84,54.16,14.52,12.25927727,72.85272727,12.25927727
32,1/05/2020,8:40,2.83,53.61,14.21,12.16693636,83.51636364,12.16693636
33,1/05/2020,8:45,3.67,65.85,14.21,12.12505,94.36181818,12.12505
34,1/05/2020,8:50,5.9,100.78,14.68,12.09846591,103.6590909,12.09846591
35,1/05/2020,8:55,7.32,122.85,15.21,12.07088409,112.0009091,12.07088409
36,1/05/2020,9:00,8.59,145.03,15.51,11.95351364,124.1036364,11.95351364
37,1/05/2020,9:05,10.06,165.29,15.85,11.849075,140.3972727,11.849075
38,1/05/2020,9:10,10.12,165.53,16.08,11.77643182,160.4272727,11.77643182
39,1/05/2020,9:15,9.07,150.61,16.09,11.78809091,181.1272727,11.78809091
40,1/05/2020,9:20,8.77,147.04,16.0,11.950775,195.6081818,11.950775
41,1/05/2020,9:25,11.99,194.39,16.67,12.14595,205.9654545,12.14595
42,1/05/2020,9:30,14.57,233.39,18.3,12.39853864,212.6481818,12.39853864
43,1/05/2020,9:35,17.0,273.94,19.47,12.52788636,227.4818182,12.52788636
44,1/05/2020,9:40,18.44,293.55,20.6,12.61644545,253.0218182,12.61644545
45,1/05/2020,9:45,16.58,260.07,20.85,12.75887955,295.1481818,12.75887955
46,1/05/2020,9:50,15.12,236.78,20.49,13.65291818,306.1418182,13.65291818
47,1/05/2020,9:55,13.69,218.54,20.31,12.947561595,313.4281818,12.947561595
48,1/05/2020,10:00,19.7,328.46,21.76,13.593448638,316.1581818,13.593448638
49,1/05/2020,10:05,26.69,446.47,24.78,14.219081595,315.8718182,14.219081595
50,1/05/2020,10:10,37.46,614.0,30.4,14.013020797000001,312.0827273,14.013020797000001
51,1/05/2020,10:15,16.97,267.97,29.16,14.471441249999998,308.9009091,14.471441249999998
52,1/05/2020,10:20,17.16,274.54,26.94,14.7606576175,307.6354545,14.7606576175
53,1/05/2020,10:25,16.46,263.42,27.02,14.944139773500002,313.0090909,14.944139773500002
54,1/05/2020,10:30,17.14,270.79,27.03,15.1997038675,321.2163636,15.1997038675
55,1/05/2020,10:35,16.24,251.87,27.01,13.9283369325,313.7445455,13.9283369325
56,1/05/2020,10:40,14.66,225.07,25.82,14.39543352,283.6263636000001,14.39543352
57,1/05/2020,10:45,14.04,222.86,23.85,14.1757125,293.42,14.1757125
58,1/05/2020,10:50,17.33,277.65,24.31,14.18454375,314.4463636000001,14.18454375
59,1/05/2020,10:55,26.16,418.74,27.55,13.846007385,364.7445455,13.846007385
60,1/05/2020,11:00,24.12,364.28,30.1,13.651447162499998,453.5827273,13.651447162499998
61,1/05/2020,11:05,17.69,282.7,28.14,14.6432846625,506.5845455,14.6432846625
62,1/05/2020,11:10,22.27,375.7,28.9,15.852623865000002,518.2309091,15.852623865000002
63,1/05/2020,11:15,30.77,505.83,33.43,16.8425693175,518.3327273,16.8425693175
64,1/05/2020,11:20,45.29,816.7,37.27,17.436700567499994,515.3445455,17.436700567499994
65,1/05/2020,11:25,68.06,1248.01,51.05,17.4835840875,522.6581818,17.4835840875
66,1/05/2020,11:30,42.84,834.89,57.59,17.5050340875,545.9818182,17.5050340875
67,1/05/2020,11:35,20.42,353.18,47.08,17.7291596625,556.9663636,17.7291596625
68,1/05/2020,11:40,13.38,223.98,38.4,17.90514375,546.4172727000001,17.90514375
69,1/05/2020,11:45,14.7,244.78,32.12,17.564146020000006,535.81,17.564146020000006
70,1/05/2020,11:50,31.4,499.19,30.45,17.672336932500006,500.2172727,17.672336932500006
71,1/05/2020,11:55,36.68,620.84,37.47,17.76398352,414.8481818,17.76398352
72,1/05/2020,12:00,23.62,403.53,34.75,16.5199721625,377.0481818,16.5199721625
73,1/05/2020,12:05,16.61,259.66,28.29,15.3121994325,380.1027273,15.3121994325
