,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/11/2020,6:00,0.34,14.59,12.54,12.14324318,20.67545455,12.14324318
1,1/11/2020,6:05,0.92,28.51,12.49,12.09547727,23.9,12.09547727
2,1/11/2020,6:10,1.43,39.29,12.61,12.0569,27.38545455,12.0569
3,1/11/2020,6:15,1.85,48.53,12.97,12.017975,30.61909091,12.017975
4,1/11/2020,6:20,1.73,46.9,13.14,11.94132955,33.96818182,11.94132955
5,1/11/2020,6:25,1.36,39.55,13.16,11.88085682,37.35727273,11.88085682
6,1/11/2020,6:30,1.2,36.45,13.06,11.84438636,40.7,11.84438636
7,1/11/2020,6:35,1.32,39.36,13.05,11.854175,43.12090909,11.854175
8,1/11/2020,6:40,1.24,36.71,13.1,11.87615682,45.52818182,11.87615682
9,1/11/2020,6:45,1.32,38.54,12.87,11.87684091,48.80909091,11.87684091
10,1/11/2020,6:50,1.51,42.5,13.0,11.91023182,51.56181818,11.91023182
11,1/11/2020,6:55,1.93,51.36,13.15,12.00608864,52.37363636,12.00608864
12,1/11/2020,7:00,2.16,55.14,13.33,12.07787727,53.99454545,12.07787727
13,1/11/2020,7:05,2.63,65.77,13.58,12.13632955,56.69545455,12.13632955
14,1/11/2020,7:10,3.42,84.62,13.97,12.13740455,60.29272727,12.13740455
15,1/11/2020,7:15,3.08,77.18,14.34,12.16083182,63.17636364,12.16083182
16,1/11/2020,7:20,1.94,48.48,14.46,12.188825,65.13363636,12.188825
17,1/11/2020,7:25,2.38,54.28,14.34,12.22105909,65.44909091,12.22105909
18,1/11/2020,7:30,3.16,69.07,14.51,12.26035682,65.73909091,12.26035682
19,1/11/2020,7:35,3.53,76.28,14.2,12.28148636,66.62363636,12.28148636
20,1/11/2020,7:40,3.11,70.26,14.0,12.36616136,64.63545455,12.36616136
21,1/11/2020,7:45,2.7,64.03,13.9,12.37953182,65.04181818,12.37953182
22,1/11/2020,7:50,2.28,54.83,13.6,12.31710455,69.39454545,12.31710455
23,1/11/2020,7:55,2.47,58.33,13.85,12.24494318,75.88636364,12.24494318
