,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2],Temp Ambiente [C]
0,1/10/2019,6:00,0.26,8.98,11.66,11.23460682,15.03909091,11.23460682
1,1/10/2019,6:05,0.85,16.87,11.72,11.30662727,18.04,11.30662727
2,1/10/2019,6:10,1.78,28.75,11.8,11.41468636,21.78,11.41468636
3,1/10/2019,6:15,2.17,33.24,11.92,11.55336136,25.46454545,11.55336136
4,1/10/2019,6:20,2.12,32.35,12.12,11.70845682,29.08090909,11.70845682
5,1/10/2019,6:25,2.04,31.08,12.4,11.87823182,33.45272727,11.87823182
6,1/10/2019,6:30,2.26,34.07,12.82,12.068825,37.13363636,12.068825
7,1/10/2019,6:35,2.9,42.81,13.4,12.2783,40.78909091,12.2783
8,1/10/2019,6:40,2.99,43.02,13.95,12.50095455,44.89090909,12.50095455
9,1/10/2019,6:45,3.02,43.14,14.26,12.71368182,51.07272727,12.71368182
10,1/10/2019,6:50,3.95,53.67,14.73,12.89439091,61.26181818,12.89439091
11,1/10/2019,6:55,3.67,49.47,14.87,13.04122045,76.48454545,13.04122045
12,1/10/2019,7:00,4.37,57.08,15.13,13.024125,107.4863636,13.024125
13,1/10/2019,7:05,5.71,73.87,15.49,13.20820227,147.0736364,13.20820227
14,1/10/2019,7:10,7.76,101.24,16.13,13.91210227,175.6590909,13.91210227
15,1/10/2019,7:15,11.23,144.43,17.19,13.195924775999998,207.0627273,13.195924775999998
16,1/10/2019,7:20,14.76,198.53,18.62,13.761343638,232.6472727,13.761343638
17,1/10/2019,7:25,23.42,375.09,22.01,13.617475226499998,252.3763636,13.617475226499998
18,1/10/2019,7:30,25.69,478.27,27.4,14.2132305705,259.8481818,14.2132305705
19,1/10/2019,7:35,21.83,357.46,30.34,14.368668523499998,284.5372727,14.368668523499998
20,1/10/2019,7:40,22.37,388.58,32.01,14.6438405705,313.79,14.6438405705
21,1/10/2019,7:45,20.14,335.1,29.38,14.758445679499998,369.0854545,14.758445679499998
22,1/10/2019,7:50,16.67,266.49,28.87,15.2677173825,415.3645455,15.2677173825
23,1/10/2019,7:55,8.69,139.27,25.1,14.223313635,430.0872727,14.223313635
24,1/10/2019,8:00,21.6,345.45,24.97,14.888105114999998,415.9045455,14.888105114999998
25,1/10/2019,8:05,28.67,423.02,28.54,14.8706267025,419.8263636,14.8706267025
26,1/10/2019,8:10,49.42,752.68,35.4,14.370480682500002,457.3981818,14.370480682500002
27,1/10/2019,8:15,45.48,707.6,39.21,14.5623579525,484.2272727,14.5623579525
28,1/10/2019,8:20,37.1,537.04,37.49,14.5380767025,525.7681818,14.5380767025
29,1/10/2019,8:25,21.82,322.26,32.86,15.170457952499998,550.7436364,15.170457952499998
30,1/10/2019,8:30,28.04,400.6,31.27,15.954942615,538.3609091,15.954942615
31,1/10/2019,8:35,53.84,801.87,36.04,16.2032556825,522.3545455,16.2032556825
32,1/10/2019,8:40,42.28,630.22,40.31,16.41945,492.6327273,16.41945
33,1/10/2019,8:45,44.9,723.44,41.08,16.3212971625,460.8627273,16.3212971625
34,1/10/2019,8:50,29.12,414.0,41.93,15.8227329525,459.8454545,15.8227329525
35,1/10/2019,8:55,15.17,209.24,32.73,15.189988635,494.1272727,15.189988635
36,1/10/2019,9:00,18.2,246.95,27.34,15.083931817500002,508.6909091,15.083931817500002
37,1/10/2019,9:05,30.62,425.74,29.58,15.3069409125,489.3163636,15.3069409125
38,1/10/2019,9:10,27.54,358.13,28.16,15.259711365,457.8872727,15.259711365
39,1/10/2019,9:15,40.37,525.85,29.87,14.4493653375,470.1354545,14.4493653375
40,1/10/2019,9:20,49.61,699.36,33.95,13.7441778375,491.9627273,13.7441778375
41,1/10/2019,9:25,42.17,560.8,34.12,13.551417615000002,501.0772727,13.551417615000002
42,1/10/2019,9:30,42.19,588.75,33.45,15.001128406,527.1,15.001128406
43,1/10/2019,9:35,21.68,284.5,30.11,15.067470905999999,528.2618182,15.067470905999999
44,1/10/2019,9:40,60.88,858.17,32.9,15.192362953,528.3072727,15.192362953
45,1/10/2019,9:45,43.26,654.1,38.19,13.6411005675,514.2827273,13.6411005675
46,1/10/2019,9:50,24.24,309.5,32.66,13.850938635000002,485.5963636,13.850938635000002
47,1/10/2019,9:55,41.2,533.2,30.59,13.718342047500002,475.1327273,13.718342047500002
48,1/10/2019,10:00,34.52,438.52,30.79,13.7708215875,450.6709091,13.7708215875
49,1/10/2019,10:05,29.05,358.63,29.79,15.119204999999996,458.28,15.119204999999996
50,1/10/2019,10:10,29.98,371.58,29.09,13.8256244325,411.4518182,13.8256244325
51,1/10/2019,10:15,30.48,383.81,28.35,13.53823977,387.0054545,13.53823977
52,1/10/2019,10:20,34.97,445.7,29.01,14.785325,395.4727273,14.785325
53,1/10/2019,10:25,26.32,319.67,26.82,14.916130344,381.7445455,14.916130344
54,1/10/2019,10:30,29.44,368.2,26.1,15.00600625,371.85,15.00600625
55,1/10/2019,10:35,26.21,343.06,25.85,15.043269094000001,366.8509091,15.043269094000001
56,1/10/2019,10:40,30.59,385.19,26.58,15.1577351175,360.83,15.1577351175
57,1/10/2019,10:45,31.96,402.64,28.0,13.546486365,350.4072727,13.546486365
58,1/10/2019,10:50,30.77,382.19,28.13,13.802203979999998,328.8518182,13.802203979999998
59,1/10/2019,10:55,26.23,329.68,28.96,13.936307385,316.36636360000006,13.936307385
60,1/10/2019,11:00,24.6,303.64,28.76,14.197557952500002,300.0963636,14.197557952500002
61,1/10/2019,11:05,24.25,305.35,28.75,14.4007892025,287.6972727,14.4007892025
62,1/10/2019,11:10,21.66,269.16,27.72,14.60074602,273.6718182,14.60074602
63,1/10/2019,11:15,16.61,208.59,26.24,14.721789202499998,261.22454550000003,14.721789202499998
64,1/10/2019,11:20,15.13,182.33,25.01,14.89231875,248.4936364,14.89231875
65,1/10/2019,11:25,16.12,189.23,25.01,14.9360130675,237.6809091,14.9360130675
66,1/10/2019,11:30,17.1,206.67,25.08,14.8307420475,236.8345455,14.8307420475
67,1/10/2019,11:35,19.15,230.91,25.27,14.5005954525,255.2218182,14.5005954525
68,1/10/2019,11:40,20.98,265.72,26.01,13.83238125,338.0663636000001,13.83238125
69,1/10/2019,11:45,19.48,242.15,26.78,14.4020642025,368.3627273,14.4020642025
70,1/10/2019,11:50,17.14,210.74,26.33,14.9048880675,413.0081818,14.9048880675
71,1/10/2019,11:55,25.01,294.33,26.96,15.62243523,423.5072727,15.62243523
72,1/10/2019,12:00,36.41,507.61,29.47,16.030931250000002,442.7427273,16.030931250000002
73,1/10/2019,12:05,77.04,1180.45,42.98,16.643110229999998,447.1109091,16.643110229999998
74,1/10/2019,12:10,36.58,541.85,43.76,17.0895920475,453.1327273,17.0895920475
75,1/10/2019,12:15,47.77,673.43,45.89,17.3216778375,461.7809091,17.3216778375
76,1/10/2019,12:20,22.85,304.72,38.71,17.56261023,461.0745455,17.56261023
77,1/10/2019,12:25,32.99,418.26,36.89,17.804836365,455.5781818,17.804836365
78,1/10/2019,12:30,22.67,278.96,35.57,18.24700227,433.2472727,18.24700227
79,1/10/2019,12:35,27.56,331.96,34.38,18.860159662500006,358.4936364,18.860159662500006
80,1/10/2019,12:40,27.78,337.28,32.8,18.0207494325,365.1427273,18.0207494325
81,1/10/2019,12:45,16.22,202.97,29.65,17.7245846625,335.0063636000001,17.7245846625
82,1/10/2019,12:50,18.5,233.87,28.85,17.2548392025,326.04636360000006,17.2548392025
83,1/10/2019,12:55,20.83,261.97,29.2,17.04186477,305.1327273,17.04186477
84,1/10/2019,13:00,28.88,358.16,29.36,16.4949903375,296.7718182,16.4949903375
