,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
72,1/09/2020,6:00,0.01,5.08,9.64,9.399890909,6.88
73,1/09/2020,6:05,0.08,7.02,9.53,9.407027272999999,8.934545455
74,1/09/2020,6:10,0.17,9.42,9.4,9.437618182000001,11.78909091
75,1/09/2020,6:15,0.29,11.87,9.38,9.478893182,15.01545455
76,1/09/2020,6:20,0.44,14.96,9.52,9.524152273,18.49363636
77,1/09/2020,6:25,0.59,18.4,9.93,9.571795455,23.00909091
78,1/09/2020,6:30,0.86,23.58,10.36,9.627327272999999,29.28727273
79,1/09/2020,6:35,1.32,32.42,10.72,9.734020455,36.74636364
80,1/09/2020,6:40,1.56,36.88,10.98,9.914943182,44.61363636
81,1/09/2020,6:45,1.75,40.41,11.19,10.16119773,53.31181818
82,1/09/2020,6:50,2.4,53.06,11.6,10.45444545,62.91272727
83,1/09/2020,6:55,3.61,74.14,12.15,10.77152955,74.32454545
84,1/09/2020,7:00,4.66,89.07,12.96,11.11292955,87.00090909
85,1/09/2020,7:05,5.23,95.96,13.77,11.45094773,99.50272727
86,1/09/2020,7:10,5.94,107.55,14.72,11.77958864,112.2463636
87,1/09/2020,7:15,6.86,120.57,15.65,12.10212273,124.1872727
88,1/09/2020,7:20,8.28,143.93,16.87,12.38712955,135.9390909
89,1/09/2020,7:25,9.38,163.02,17.95,12.747975,144.4372727
90,1/09/2020,7:30,9.7,169.94,18.22,12.94615,161.5945455
91,1/09/2020,7:35,10.28,177.06,18.45,13.25012045,181.25181819999997
92,1/09/2020,7:40,9.84,171.76,18.35,13.52652273,213.8454545
93,1/09/2020,7:45,10.62,182.33,18.29,12.749612724,246.0872727
94,1/09/2020,7:50,9.48,167.62,18.69,13.415361138,280.4445455
95,1/09/2020,7:55,14.17,277.8,20.33,14.366065905,292.8090909
96,1/09/2020,8:00,15.53,312.19,23.06,14.267955117499998,305.8045455
97,1/09/2020,8:05,22.75,466.08,27.62,14.8223231795,318.7163636
98,1/09/2020,8:10,23.46,475.23,32.44,13.576321020000002,324.4318182
99,1/09/2020,8:15,26.26,521.86,35.4,13.97551875,331.12636360000005
100,1/09/2020,8:20,16.93,299.03,33.31,14.293767615,339.63
101,1/09/2020,8:25,17.99,312.89,31.21,14.549048865,346.1618182
102,1/09/2020,8:30,18.14,319.09,29.53,14.596955115,360.2027273
103,1/09/2020,8:35,13.94,234.63,27.38,14.68335,370.2618182
104,1/09/2020,8:40,14.88,255.97,26.17,14.858163067499998,363.6372727
105,1/09/2020,8:45,15.68,261.16,25.93,14.636899432499998,349.9354545
106,1/09/2020,8:50,19.72,349.65,26.05,13.915655115,360.1445455
107,1/09/2020,8:55,24.88,466.64,28.01,15.1732302265,365.82
108,1/09/2020,9:00,31.1,576.73,31.93,14.0828019295,407.8081818
109,1/09/2020,9:05,22.81,402.36,33.0,14.177059776,458.6936364
110,1/09/2020,9:10,21.4,371.14,28.01,13.6687275,513.1827273
111,1/09/2020,9:15,23.38,411.33,25.82,12.998491362,579.6018182
112,1/09/2020,9:20,21.52,375.32,25.19,12.950024319,624.37
113,1/09/2020,9:25,41.9,780.96,28.12,13.363245000000001,623.7072727000001
114,1/09/2020,9:30,41.86,794.37,33.8,13.598142957,606.8445455
115,1/09/2020,9:35,46.98,855.35,36.44,13.312644543000001,602.2145455
116,1/09/2020,9:40,53.95,991.77,37.83,13.327265457,599.6072727000001
117,1/09/2020,9:45,45.65,842.1,39.0,13.683221595000001,592.4318182
118,1/09/2020,9:50,25.88,459.35,32.86,14.019034095,588.6818182
119,1/09/2020,9:55,23.04,391.24,29.7,14.147351703,546.4681818
120,1/09/2020,10:00,20.56,351.43,28.11,14.596655905999999,500.4036364
121,1/09/2020,10:05,19.84,342.46,27.4,15.0816369295,445.8045455
122,1/09/2020,10:10,19.32,332.4,28.0,13.916723864999998,378.2745455
123,1/09/2020,10:15,19.55,334.07,28.16,14.0604715875,326.8090909
124,1/09/2020,10:20,18.67,316.61,27.09,13.903675567499999,309.5518182
125,1/09/2020,10:25,17.04,287.66,25.68,13.80932727,297.8618182
126,1/09/2020,10:30,15.48,254.76,26.2,13.758259087499999,291.28
127,1/09/2020,10:35,15.36,248.94,26.34,13.650216480000001,287.13
128,1/09/2020,10:40,16.85,275.98,25.54,13.561912500000002,286.4527273
129,1/09/2020,10:45,16.48,269.52,25.34,13.6491630675,284.07363639999994
130,1/09/2020,10:50,16.14,262.65,24.78,13.822898864999999,279.91454550000003
131,1/09/2020,10:55,17.28,279.03,25.37,13.9968767025,278.55363639999996
132,1/09/2020,11:00,18.41,296.81,24.56,13.979488635,283.36363639999996
133,1/09/2020,11:05,19.75,324.95,26.5,13.994667615,285.0409091
134,1/09/2020,11:10,18.6,307.9,28.72,14.19600852,281.2954545
135,1/09/2020,11:15,16.16,270.86,28.38,14.3406732975,280.2318182
136,1/09/2020,11:20,15.91,272.69,27.82,14.437685797500002,283.8918182
137,1/09/2020,11:25,17.95,307.67,27.4,14.4521079525,290.3
138,1/09/2020,11:30,15.71,267.39,27.07,14.5312482975,304.0827273
139,1/09/2020,11:35,13.82,234.78,27.36,14.5090278375,327.2427273
140,1/09/2020,11:40,15.08,257.82,27.14,14.516594317500001,343.8345455
141,1/09/2020,11:45,18.26,302.91,27.31,14.4958534125,362.0963636
142,1/09/2020,11:50,21.4,349.52,27.52,14.489592615,380.3172727
143,1/09/2020,11:55,27.56,448.42,29.89,14.5587681825,396.2690909
144,1/09/2020,12:00,35.02,579.71,33.18,14.56116648,414.5990909
145,1/09/2020,12:05,29.89,490.41,33.85,14.5308818175,432.5963636
146,1/09/2020,12:10,28.73,471.74,33.6,14.769441480000001,443.7736364
147,1/09/2020,12:15,28.9,473.12,33.24,15.135528412500001,447.8090909
148,1/09/2020,12:20,29.59,483.14,33.24,15.530761365,443.2909091
149,1/09/2020,12:25,29.47,469.02,32.65,15.8089875,432.41272730000003
150,1/09/2020,12:30,26.83,432.75,32.36,15.947708519999999,416.0009091
151,1/09/2020,12:35,24.26,380.77,34.02,15.953035230000001,407.4781818
152,1/09/2020,12:40,22.01,347.3,33.9,15.973503412500001,399.9072727
153,1/09/2020,12:45,18.77,299.82,31.95,16.0617784125,394.9
154,1/09/2020,12:50,20.35,328.76,30.68,16.1568971625,394.2881818
155,1/09/2020,12:55,24.79,399.18,30.25,16.373607952500002,398.5909091
156,1/09/2020,13:00,24.68,396.66,31.35,16.569975,412.24363639999996
157,1/09/2020,13:05,23.77,388.46,31.61,16.6368681825,438.0581818
158,1/09/2020,13:10,25.9,418.04,33.02,16.942880115,449.37
159,1/09/2020,13:15,29.62,476.41,34.45,17.0945931825,472.5927273
160,1/09/2020,13:20,32.47,516.35,37.13,17.324023297500002,488.6754545
161,1/09/2020,13:25,35.8,582.93,39.37,17.7282954525,499.0909091
162,1/09/2020,13:30,39.46,664.73,42.81,17.778357952500002,531.9363636
163,1/09/2020,13:35,28.1,471.73,41.81,17.7686642025,589.4972727
164,1/09/2020,13:40,32.95,555.27,41.2,17.9596653375,631.9390909
165,1/09/2020,13:45,30.8,505.67,38.91,18.4412590875,622.7709091
166,1/09/2020,13:50,31.7,513.75,39.33,18.4268556825,617.8163636
167,1/09/2020,13:55,39.2,757.96,42.02,18.36537102,602.0536364
168,1/09/2020,14:00,47.02,1021.63,48.88,18.0920045475,577.9854545
169,1/09/2020,14:05,40.4,884.9,48.66,17.3231079525,584.1909091
170,1/09/2020,14:10,20.99,375.56,38.74,16.8826568175,592.3890909
171,1/09/2020,14:15,24.72,461.85,35.42,16.77272727,609.0909091
172,1/09/2020,14:20,22.14,409.54,33.7,16.812112499999998,627.0490909
173,1/09/2020,14:25,21.25,399.98,31.52,17.229248865000002,626.3945455
174,1/09/2020,14:30,25.43,539.99,32.41,17.783524432500002,604.2809091
175,1/09/2020,14:35,28.26,645.45,37.22,18.435230115,571.5590909
176,1/09/2020,14:40,28.64,689.39,42.35,18.8799732975,565.9627272999999
177,1/09/2020,14:45,28.84,711.29,45.34,19.6049215875,540.5327272999999
178,1/09/2020,14:50,31.12,750.76,47.94,20.0411607975,516.5718182
179,1/09/2020,14:55,33.35,778.38,50.32,20.360911365,492.7381818
180,1/09/2020,15:00,24.28,524.96,48.32,20.69279148,455.49
181,1/09/2020,15:05,15.5,314.0,43.57,20.80355625,407.70636360000003
182,1/09/2020,15:10,9.66,182.12,38.36,20.61555852,356.2263636
183,1/09/2020,15:15,9.01,145.97,32.85,20.2348806825,302.1545455
184,1/09/2020,15:20,8.86,137.81,29.0,19.7623329525,244.10727269999998
185,1/09/2020,15:25,7.82,130.26,26.01,19.1500056825,182.3909091
186,1/09/2020,15:30,6.84,119.83,24.39,18.17556648,142.62818180000002
187,1/09/2020,15:35,6.89,123.11,24.02,17.105994885,121.59363640000001
188,1/09/2020,15:40,6.36,116.5,23.4,16.1232954525,111.45454550000001
189,1/09/2020,15:45,6.18,112.24,23.45,15.4355369325,103.57727270000001
190,1/09/2020,15:50,5.6,99.5,22.67,14.9922170475,95.55090909
191,1/09/2020,15:55,4.94,87.57,22.0,14.749031250000002,87.07727273
