Energia [kWh],Horas Insolacion (h)
188.35,2.34844
249.21,3.18218
184.45,2.91314
295.26,4.05965
347.87,4.77125
256.83,3.37591
310.57,4.563
261.71,3.64762
291.34,4.0204
325.75,4.87716
259.49,3.36677
171.92,2.16253
318.25,4.23735
114.32,1.4555
159.74,2.00407
290.63,4.19935
197.48,2.52197
326.15,4.63829
441.16,6.48133
274.3,4.00021
333.93,4.71704
178.91,2.35644
233.18,3.05967
261.14,3.42279
279.99,3.88231
167.86,2.00558
323.39,4.63256
424.95,6.12775
165.12,2.02073
314.28,4.16233
289.74,3.77368
442.85,6.56326
252.64,3.30414
443.45,6.49305
292.3,3.87664
281.66,3.67102
233.63,2.91114
294.29,4.04448
344.76,4.82488
334.16,4.6508
305.42,3.88894
301.75,3.75998
249.78,3.083
144.94,1.95095
74.28,0.98249
136.15,1.7106
97.86,1.25015
373.89,5.01123
308.67,4.07248
179.5,2.34861
235.07,3.25601
244.52,2.81941
446.3,5.51899
170.74,2.13247
365.7,5.11697
185.96,2.44769
328.15,4.42674
259.49,3.31911
251.74,3.24673
193.77,2.28631
381.18,5.15844
262.13,3.31223
372.05,5.29133
295.53,3.87387
129.14,1.66078
356.5,4.01045
202.7,2.42132
172.01,2.08443
226.25,2.54604
424.17,5.62295
218.68,2.42341
175.12,2.39742
168.71,2.16788
210.49,2.72236
161.12,2.19142
240.61,2.77126
299.12,4.01133
217.22,2.92577
152.16,2.13617
167.44,2.35887
263.46,2.89073
409.86,4.67665
273.67,2.99495
274.51,3.70543
233.61,2.62186
397.24,4.38214
241.98,2.91226
260.57,3.03267
317.5,4.14894
158.8,2.07965
269.5,3.06997
483.74,5.23306
383.75,4.77718
333.26,3.74927
280.9,3.20091
412.08,4.27751
178.46,2.21125
224.76,3.2608
249.09,2.84285
202.62,2.38897
81.46,1.06615
150.84,2.1152
192.87,2.45671
222.58,2.66557
254.66,3.08411
197.31,2.84187
170.56,2.33768
139.48,1.93735
137.06,1.86597
327.51,4.7505
231.09,3.24373
297.66,4.49222
189.47,2.40486
206.43,2.65034
226.17,2.94715
219.88,3.34199
234.53,3.60685
320.23,2.86678
199.97,2.30973
301.95,4.46081
425.33,5.07057
353.38,5.04834
326.37,4.7758
224.19,3.27886
163.85,2.4331
314.04,3.6337
388.95,4.97398
196.58,3.04163
280.65,3.66216
209.31,2.77093
119.29,1.57837
167.51,2.28927
322.2,3.88039
251.8,3.19933
262.75,2.97806
250.3,3.38751
240.23,3.53623
197.36,2.71862
228.93,2.71409
207,2.60108
200.23,2.74626
228.54,2.5187
273.2,3.74804
171.59,2.3339
245.06,3.10452
412.51,5.32022
203.31,2.52864
177.74,2.58049
336.26,5.01201
390.33,5.48444
380.03,5.36087
432.12,5.65812
367.51,5.32225
444.9,5.64873
458.74,5.44382
398.59,5.37529
451.23,5.56211
483.56,5.56309
221.35,2.94888
216.86,2.88028
