Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura ambiente [C],Insolacion media [W/m2]
1/09/2020,0:00,x,0.99,12.11,12.46272917,0.991666667
1/09/2020,0:05,x,0.99,12.1,12.46559286,0.991428571
1/09/2020,0:10,x,0.99,12.29,12.43774063,0.99125
1/09/2020,0:15,x,0.99,12.64,12.41941111,0.991111111
1/09/2020,0:20,x,0.99,12.91,12.421775,0.99
1/09/2020,0:25,x,1,12.89,12.41913864,0.99
1/09/2020,0:30,x,0.99,12.51,12.45550227,0.99
1/09/2020,0:35,x,0.99,12.27,12.50186591,0.99
1/09/2020,0:40,x,0.99,12.3,12.55459318,0.99
1/09/2020,0:45,x,0.98,12.47,12.59275,0.990909091
1/09/2020,0:50,x,0.99,12.42,12.59820455,0.990909091
1/09/2020,0:55,x,0.99,12.51,12.57729545,0.990909091
1/09/2020,1:00,x,0.99,12.61,12.57184091,0.990909091
1/09/2020,1:05,x,0.99,12.87,12.57184091,0.990909091
1/09/2020,1:10,x,1,13.06,12.56002273,0.990909091
1/09/2020,1:15,x,0.99,12.97,12.53090682,0.991818182
1/09/2020,1:20,x,1,12.66,12.48729545,0.990909091
1/09/2020,1:25,x,0.99,12.45,12.40186591,0.99
1/09/2020,1:30,x,0.99,12.27,12.34007273,0.989090909
1/09/2020,1:35,x,0.99,12.17,12.28191591,0.988181818
1/09/2020,1:40,x,0.99,12.15,12.21560227,0.986363636
1/09/2020,1:45,x,0.98,11.94,12.16653636,0.985454545
1/09/2020,1:50,x,0.98,11.57,12.15837955,0.984545455
1/09/2020,1:55,x,0.98,11.93,12.16383409,0.984545455
1/09/2020,2:00,x,0.98,12.23,12.16567727,0.983636364
1/09/2020,2:05,x,0.98,12.33,12.15385909,0.983636364
1/09/2020,2:10,x,0.98,12.43,12.13842955,0.982727273
1/09/2020,2:15,x,0.99,12.57,12.14933864,0.982727273
1/09/2020,2:20,x,0.99,12.51,12.19570227,0.982727273
1/09/2020,2:25,x,0.98,12.29,12.22206591,0.982727273
1/09/2020,2:30,x,0.99,12.04,12.23752045,0.982727273
1/09/2020,2:35,x,0.98,11.98,12.24933864,0.982727273
1/09/2020,2:40,x,0.98,12.06,12.25113182,0.983636364
1/09/2020,2:45,x,0.98,12.08,12.23752045,0.982727273
1/09/2020,2:50,x,0.98,12.22,12.21754545,0.981818182
1/09/2020,2:55,x,0.98,12.4,12.20936364,0.981818182
1/09/2020,3:00,x,0.98,12.46,12.22120682,0.980909091
1/09/2020,3:05,x,0.99,12.45,12.23029773,0.980909091
1/09/2020,3:10,x,0.98,12.42,12.22393409,0.980909091
1/09/2020,3:15,x,0.98,12.29,12.19211591,0.980909091
1/09/2020,3:20,x,0.98,12.2,12.113,0.981818182
1/09/2020,3:25,x,0.98,12.17,12.00118182,0.981818182
1/09/2020,3:30,x,0.98,12.08,11.89663636,0.981818182
1/09/2020,3:35,x,0.98,11.99,11.78211591,0.980909091
1/09/2020,3:40,x,0.98,11.73,11.63575227,0.980909091
1/09/2020,3:45,x,0.99,11.35,11.46938864,0.980909091
1/09/2020,3:50,x,0.98,11.17,11.29666136,0.980909091
1/09/2020,3:55,x,0.98,11.31,11.12575227,0.980909091
1/09/2020,4:00,x,0.98,11.19,10.95211591,0.980909091
1/09/2020,4:05,x,0.98,10.81,10.76938864,0.980909091
1/09/2020,4:10,x,0.98,10.46,10.59938864,0.980909091
1/09/2020,4:15,x,0.98,10.3,10.46123182,0.98
1/09/2020,4:20,x,0.98,10.29,10.35668636,0.98
1/09/2020,4:25,x,0.98,10.17,10.25941364,0.98
1/09/2020,4:30,x,0.98,9.98,10.18305,0.98
1/09/2020,4:35,x,0.98,9.86,10.14395909,0.98
1/09/2020,4:40,x,0.98,9.83,10.11759545,0.98
1/09/2020,4:45,x,0.98,10.02,10.08032273,0.98
1/09/2020,4:50,x,0.98,10.24,10.02941364,0.98
1/09/2020,4:55,x,0.98,10.35,9.984868182,0.98
1/09/2020,5:00,x,0.98,10.38,9.968504545,0.98
1/09/2020,5:05,x,0.98,10.17,9.965777273,0.98
1/09/2020,5:10,x,0.98,9.89,9.950322727,0.98
1/09/2020,5:15,x,0.98,9.73,9.904768182,0.983636364
1/09/2020,5:20,x,0.98,9.68,9.841015909,1.020909091
1/09/2020,5:25,x,0.98,9.8,9.773545455,1.127272727
1/09/2020,5:30,x,0.98,9.83,9.706611364,1.346363636
1/09/2020,5:35,x,0.98,9.66,9.648179545,1.719090909
1/09/2020,5:40,x,1.02,9.52,9.600352273,2.268181818
1/09/2020,5:45,0,1.39,9.55,9.549252273,3.035454545
1/09/2020,5:50,0,2.15,9.64,9.494754545,4.025454545
1/09/2020,5:55,0,3.39,9.71,9.43435,5.296363636
1/09/2020,6:00,0.01,5.08,9.64,9.399890909,6.88
1/09/2020,6:05,0.08,7.02,9.53,9.407027273,8.934545455
1/09/2020,6:10,0.17,9.42,9.4,9.437618182,11.78909091
1/09/2020,6:15,0.29,11.87,9.38,9.478893182,15.01545455
1/09/2020,6:20,0.44,14.96,9.52,9.524152273,18.49363636
1/09/2020,6:25,0.59,18.4,9.93,9.571795455,23.00909091
1/09/2020,6:30,0.86,23.58,10.36,9.627327273,29.28727273
1/09/2020,6:35,1.32,32.42,10.72,9.734020455,36.74636364
1/09/2020,6:40,1.56,36.88,10.98,9.914943182,44.61363636
1/09/2020,6:45,1.75,40.41,11.19,10.16119773,53.31181818
1/09/2020,6:50,2.4,53.06,11.6,10.45444545,62.91272727
1/09/2020,6:55,3.61,74.14,12.15,10.77152955,74.32454545
1/09/2020,7:00,4.66,89.07,12.96,11.11292955,87.00090909
1/09/2020,7:05,5.23,95.96,13.77,11.45094773,99.50272727
1/09/2020,7:10,5.94,107.55,14.72,11.77958864,112.2463636
1/09/2020,7:15,6.86,120.57,15.65,12.10212273,124.1872727
1/09/2020,7:20,8.28,143.93,16.87,12.38712955,135.9390909
1/09/2020,7:25,9.38,163.02,17.95,12.747975,144.4372727
1/09/2020,7:30,9.7,169.94,18.22,12.94615,161.5945455
1/09/2020,7:35,10.28,177.06,18.45,13.25012045,181.2518182
1/09/2020,7:40,9.84,171.76,18.35,13.52652273,213.8454545
1/09/2020,7:45,10.62,182.33,18.29,14.16623636,246.0872727
1/09/2020,7:50,9.48,167.62,18.69,14.90595682,280.4445455
1/09/2020,7:55,14.17,277.8,20.33,15.96229545,292.8090909
1/09/2020,8:00,15.53,312.19,23.06,16.78582955,305.8045455
1/09/2020,8:05,22.75,466.08,27.62,17.43802727,318.7163636
1/09/2020,8:10,23.46,475.23,32.44,18.10176136,324.4318182
1/09/2020,8:15,26.26,521.86,35.4,18.634025,331.1263636
1/09/2020,8:20,16.93,299.03,33.31,19.05835682,339.63
1/09/2020,8:25,17.99,312.89,31.21,19.39873182,346.1618182
1/09/2020,8:30,18.14,319.09,29.53,19.46260682,360.2027273
1/09/2020,8:35,13.94,234.63,27.38,19.5778,370.2618182
1/09/2020,8:40,14.88,255.97,26.17,19.81088409,363.6372727
1/09/2020,8:45,15.68,261.16,25.93,19.51586591,349.9354545
1/09/2020,8:50,19.72,349.65,26.05,18.55420682,360.1445455
1/09/2020,8:55,24.88,466.64,28.01,17.85085909,365.82
1/09/2020,9:00,31.1,576.73,31.93,16.56800227,407.8081818
1/09/2020,9:05,22.81,402.36,33,15.75228864,458.6936364
1/09/2020,9:10,21.4,371.14,28.01,15.187475,513.1827273
1/09/2020,9:15,23.38,411.33,25.82,14.44276818,579.6018182
1/09/2020,9:20,21.52,375.32,25.19,14.38891591,624.37
1/09/2020,9:25,41.9,780.96,28.12,14.84805,623.7072727
1/09/2020,9:30,41.86,794.37,33.8,15.10904773,606.8445455
1/09/2020,9:35,46.98,855.35,36.44,14.79182727,602.2145455
1/09/2020,9:40,53.95,991.77,37.83,14.80807273,599.6072727
1/09/2020,9:45,45.65,842.1,39,15.20357955,592.4318182
1/09/2020,9:50,25.88,459.35,32.86,15.57670455,588.6818182
1/09/2020,9:55,23.04,391.24,29.7,16.64394318,546.4681818
1/09/2020,10:00,20.56,351.43,28.11,17.17253636,500.4036364
1/09/2020,10:05,19.84,342.46,27.4,17.74310227,445.8045455
1/09/2020,10:10,19.32,332.4,28,18.55563182,378.2745455
1/09/2020,10:15,19.55,334.07,28.16,18.74729545,326.8090909
1/09/2020,10:20,18.67,316.61,27.09,18.53823409,309.5518182
1/09/2020,10:25,17.04,287.66,25.68,18.41243636,297.8618182
1/09/2020,10:30,15.48,254.76,26.2,18.34434545,291.28
1/09/2020,10:35,15.36,248.94,26.34,18.20028864,287.13
1/09/2020,10:40,16.85,275.98,25.54,18.08255,286.4527273
1/09/2020,10:45,16.48,269.52,25.34,18.19888409,284.0736364
1/09/2020,10:50,16.14,262.65,24.78,18.43053182,279.9145455
1/09/2020,10:55,17.28,279.03,25.37,18.66250227,278.5536364
1/09/2020,11:00,18.41,296.81,24.56,18.63931818,283.3636364
1/09/2020,11:05,19.75,324.95,26.5,18.65955682,285.0409091
1/09/2020,11:10,18.6,307.9,28.72,18.92801136,281.2954545
1/09/2020,11:15,16.16,270.86,28.38,19.12089773,280.2318182
1/09/2020,11:20,15.91,272.69,27.82,19.25024773,283.8918182
1/09/2020,11:25,17.95,307.67,27.4,19.26947727,290.3
1/09/2020,11:30,15.71,267.39,27.07,19.37499773,304.0827273
1/09/2020,11:35,13.82,234.78,27.36,19.34537045,327.2427273
1/09/2020,11:40,15.08,257.82,27.14,19.35545909,343.8345455
1/09/2020,11:45,18.26,302.91,27.31,19.32780455,362.0963636
1/09/2020,11:50,21.4,349.52,27.52,19.31945682,380.3172727
1/09/2020,11:55,27.56,448.42,29.89,19.41169091,396.2690909
1/09/2020,12:00,35.02,579.71,33.18,19.41488864,414.5990909
1/09/2020,12:05,29.89,490.41,33.85,19.37450909,432.5963636
1/09/2020,12:10,28.73,471.74,33.6,19.69258864,443.7736364
1/09/2020,12:15,28.9,473.12,33.24,20.18070455,447.8090909
1/09/2020,12:20,29.59,483.14,33.24,20.70768182,443.2909091
1/09/2020,12:25,29.47,469.02,32.65,21.07865,432.4127273
1/09/2020,12:30,26.83,432.75,32.36,21.26361136,416.0009091
1/09/2020,12:35,24.26,380.77,34.02,21.27071364,407.4781818
1/09/2020,12:40,22.01,347.3,33.9,21.29800455,399.9072727
1/09/2020,12:45,18.77,299.82,31.95,21.41570455,394.9
1/09/2020,12:50,20.35,328.76,30.68,21.54252955,394.2881818
1/09/2020,12:55,24.79,399.18,30.25,21.83147727,398.5909091
1/09/2020,13:00,24.68,396.66,31.35,22.0933,412.2436364
1/09/2020,13:05,23.77,388.46,31.61,22.18249091,438.0581818
1/09/2020,13:10,25.9,418.04,33.02,22.59050682,449.37
1/09/2020,13:15,29.62,476.41,34.45,22.79279091,472.5927273
1/09/2020,13:20,32.47,516.35,37.13,23.09869773,488.6754545
1/09/2020,13:25,35.8,582.93,39.37,23.63772727,499.0909091
1/09/2020,13:30,39.46,664.73,42.81,23.70447727,531.9363636
1/09/2020,13:35,28.1,471.73,41.81,23.69155227,589.4972727
1/09/2020,13:40,32.95,555.27,41.2,23.94622045,631.9390909
1/09/2020,13:45,30.8,505.67,38.91,24.58834545,622.7709091
1/09/2020,13:50,31.7,513.75,39.33,24.56914091,617.8163636
1/09/2020,13:55,39.2,757.96,42.02,24.48716136,602.0536364
1/09/2020,14:00,47.02,1021.63,48.88,24.12267273,577.9854545
1/09/2020,14:05,40.4,884.9,48.66,23.09747727,584.1909091
1/09/2020,14:10,20.99,375.56,38.74,22.51020909,592.3890909
1/09/2020,14:15,24.72,461.85,35.42,22.36363636,609.0909091
1/09/2020,14:20,22.14,409.54,33.7,22.41615,627.0490909
1/09/2020,14:25,21.25,399.98,31.52,22.97233182,626.3945455
1/09/2020,14:30,25.43,539.99,32.41,23.71136591,604.2809091
1/09/2020,14:35,28.26,645.45,37.22,24.58030682,571.5590909
1/09/2020,14:40,28.64,689.39,42.35,25.17329773,565.9627273
1/09/2020,14:45,28.84,711.29,45.34,26.13989545,540.5327273
1/09/2020,14:50,31.12,750.76,47.94,26.72154773,516.5718182
1/09/2020,14:55,33.35,778.38,50.32,27.14788182,492.7381818
1/09/2020,15:00,24.28,524.96,48.32,27.59038864,455.49
1/09/2020,15:05,15.5,314,43.57,27.738075,407.7063636
1/09/2020,15:10,9.66,182.12,38.36,27.48741136,356.2263636
1/09/2020,15:15,9.01,145.97,32.85,26.97984091,302.1545455
1/09/2020,15:20,8.86,137.81,29,26.34977727,244.1072727
