location,Bogotá,Bogotá,Bogotá,Bogotá
lat,4.65067,4.65067,4.65067,4.65067
lon,-74.11948,-74.11948,-74.11948,-74.11948
asl,2485.715,2485.715,2485.715,2485.715
variable,Temperature,Relative Humidity,Wind Speed,Wind Direction
unit,°C,%,km/h,°
level,2 m elevation corrected,2 m,10 m,10 m
resolution,hourly,hourly,hourly,hourly
aggregation,None,None,None,None
timestamp,Bogotá Temperature [2 m elevation corrected],Bogotá Relative Humidity [2 m],Bogotá Wind Speed [10 m],Bogotá Wind Direction [10 m]
20201221T0000,11.604146,82.0,6.924738,98.97262
20201221T0100,11.284146,79.0,7.5685663,92.72631
20201221T0200,10.924147,79.0,7.928178,87.39744
20201221T0300,10.5841465,82.0,7.928178,87.39744
20201221T0400,10.224147,84.0,7.5685663,92.72631
20201221T0500,9.884147,86.0,7.9526596,95.19443
20201221T0600,9.594147,85.0,7.5942073,95.44032
20201221T0700,10.704146,77.0,6.8399997,89.99999
20201221T0800,13.224147,63.0,6.12,89.99999
20201221T0900,15.794147,52.0,6.151683,110.556046
20201221T1000,17.574146,46.0,3.219938,116.56505
20201221T1100,18.894146,43.0,0.71999997,270.0
20201221T1200,19.254147,44.0,3.7064266,299.0546
20201221T1300,19.294147,47.0,2.968636,284.03625
20201221T1400,19.634148,49.0,2.9024127,187.12502
20201221T1500,18.394146,55.0,5.937272,194.03624
20201221T1600,16.974148,64.0,5.00128,210.25644
20201221T1700,16.034145,70.0,3.396233,212.00539
20201221T1800,15.314146,73.0,1.08,180.0
20201221T1900,14.664146,75.0,1.08,89.99999
20201221T2000,14.024146,79.0,3.319036,102.52881
20201221T2100,13.384147,80.0,5.2416787,105.9454
20201221T2200,13.0841465,77.0,5.937272,104.03624
20201221T2300,13.054147,75.0,5.937272,104.03624
20201222T0000,12.504147,78.0,6.379216,106.38954
20201222T0100,12.284146,80.0,6.28713,103.24051
20201222T0200,12.284146,79.0,7.42159,104.03624
20201222T0300,11.984146,77.0,7.8625183,105.9454
20201222T0400,11.934147,75.0,7.42159,104.03624
20201222T0500,11.254147,80.0,7.6367526,98.1301
20201222T0600,10.434147,86.0,8.049845,100.30484
20201222T0700,11.274146,74.0,6.130579,86.63353
20201222T0800,13.714147,65.0,5.1544156,77.905235
20201222T0900,15.944146,57.0,3.6,89.99999
20201222T1000,17.744148,52.0,2.16,360.0
20201222T1100,18.444145,51.0,3.7064266,299.0546
20201222T1200,18.544147,53.0,3.6,270.0
20201222T1300,19.294147,51.0,4.5820518,225.0
20201222T1400,18.204147,56.0,6.3690495,222.7094
20201222T1500,17.384148,63.0,7.491114,234.78241
20201222T1600,16.624146,68.0,5.904439,232.43141
20201222T1700,16.324146,67.0,3.8268526,228.81409
20201222T1800,15.424146,72.0,1.8,216.8699
20201222T1900,14.524146,78.0,1.08,180.0
20201222T2000,13.854146,82.0,1.2979984,123.69006
20201222T2100,13.244146,84.0,2.5455842,98.1301
20201222T2200,12.664146,84.0,3.9763298,95.19443
20201222T2300,12.124146,83.0,5.04,89.99999
20201223T0000,11.544147,82.0,5.8048253,97.125015
20201223T0100,11.0841465,80.0,6.5693827,99.46232
20201223T0200,10.494146,79.0,7.342588,101.30993
20201223T0300,9.8341465,78.0,7.9932976,97.76516
20201223T0400,9.304147,77.0,8.350138,97.431404
20201223T0500,8.894147,76.0,8.707238,97.125015
20201223T0600,8.604146,77.0,8.707238,97.125015
20201223T0700,11.124146,78.0,6.12,89.99999
20201223T0800,13.404146,68.0,3.7585104,73.30075
20201223T0900,15.464147,57.0,1.4399999,89.99999
20201223T1000,17.334145,51.0,0.5091169,225.0
20201223T1100,18.844147,47.0,3.6179552,264.28943
20201223T1200,19.794147,47.0,5.3999996,270.0
20201223T1300,19.844147,50.0,8.64,270.0
20201223T1400,17.904148,61.0,13.084402,262.09283
20201223T1500,16.994148,68.0,13.493999,260.78897
20201223T1600,15.644147,74.0,9.114471,260.90973
20201223T1700,15.074146,77.0,4.73506,261.25385
20201223T1800,14.5841465,78.0,1.8,270.0
20201223T1900,14.494146,79.0,0.0,180.0
20201223T2000,14.544147,79.0,1.08,89.99999
20201223T2100,14.404146,78.0,2.16,89.99999
20201223T2200,13.694146,80.0,3.319036,102.52881
20201223T2300,12.874146,82.0,5.0911684,98.1301
20201224T0000,12.154146,83.0,6.519877,96.34019
20201224T0100,11.714147,83.0,7.2359104,95.71059
20201224T0200,11.524146,82.0,7.2805495,98.53076
20201224T0300,11.244146,83.0,7.342588,101.30993
20201224T0400,10.874146,86.0,7.072878,104.74355
20201224T0500,10.594147,87.0,7.42159,104.03624
20201224T0600,10.474147,86.0,7.6367526,98.1301
20201224T0700,12.954146,82.0,4.3349743,94.76365
20201224T0800,14.3341465,74.0,2.4149535,116.56505
20201224T0900,15.864146,65.0,2.5959969,146.30994
20201224T1000,17.424145,57.0,3.5455887,156.0375
20201224T1100,18.654148,52.0,2.8799999,180.0
20201224T1200,19.454147,50.0,3.2599385,263.65982
20201224T1300,19.614147,51.0,5.771239,266.42368
20201224T1400,17.994148,60.0,8.759178,260.5377
20201224T1500,16.944145,67.0,9.779817,263.65982
20201224T1600,16.104145,71.0,9.028754,265.4261
20201224T1700,15.124146,76.0,7.5599995,270.0
20201224T1800,14.0841465,81.0,5.4477882,277.59464
20201224T1900,13.354146,85.0,3.5455887,293.9625
20201224T2000,12.824146,85.0,1.609969,333.43497
20201224T2100,12.704146,83.0,1.0182338,44.999985
20201224T2200,12.684147,82.0,1.1384199,71.56504
20201224T2300,12.364146,85.0,0.8049845,63.43495
20201225T0000,11.764147,89.0,0.8049845,26.565033
