"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [C]","Temperatura Ambiente [C]"
"15/04/2020","0:00","x","1","13,09","13,26755417"
"15/04/2020","0:05","x","1","13,11","13,298975"
"15/04/2020","0:10","x","1","13,21","13,34254063"
"15/04/2020","0:15","x","0,99","13,36","13,39198056"
"15/04/2020","0:20","x","1","13,45","13,4395325"
"15/04/2020","0:25","x","1","13,58","13,48480227"
"15/04/2020","0:30","x","1","13,52","13,54025682"
"15/04/2020","0:35","x","1","13,68","13,58755909"
"15/04/2020","0:40","x","1","13,82","13,61940682"
"15/04/2020","0:45","x","1","13,9","13,66486136"
"15/04/2020","0:50","x","1","13,97","13,70940682"
"15/04/2020","0:55","x","1","13,7","13,70943636"
"15/04/2020","1:00","x","0,99","13,63","13,69128409"
"15/04/2020","1:05","x","0,99","13,56","13,65131364"
"15/04/2020","1:10","x","0,99","13,86","13,569525"
"15/04/2020","1:15","x","1","13,94","13,44322045"
"15/04/2020","1:20","x","0,99","13,58","13,297825"
"15/04/2020","1:25","x","0,99","13,32","13,19061136"
"15/04/2020","1:30","x","0,99","13,24","13,12700455"
"15/04/2020","1:35","x","0,99","12,92","13,10339773"
"15/04/2020","1:40","x","0,98","12,51","13,07703409"
"15/04/2020","1:45","x","0,98","12,37","13,04615455"
"15/04/2020","1:50","x","0,98","12,52","13,03342727"
"15/04/2020","1:55","x","0,98","12,93","13,04615455"
"15/04/2020","2:00","x","0,98","13,3","13,05709318"
"15/04/2020","2:05","x","0,99","13,57","13,09163864"
"15/04/2020","2:10","x","0,99","13,6","13,15982045"
"15/04/2020","2:15","x","0,99","13,44","13,205275"
"15/04/2020","2:20","x","0,99","13,46","13,22800227"
"15/04/2020","2:25","x","0,98","13,36","13,20891136"
"15/04/2020","2:30","x","0,99","13,3","13,16709318"
"15/04/2020","2:35","x","0,98","13,26","13,09621364"
"15/04/2020","2:40","x","0,98","12,87","12,95260682"
"15/04/2020","2:45","x","0,98","12,77","12,76175682"
"15/04/2020","2:50","x","0,98","12,72","12,53181591"
"15/04/2020","2:55","x","0,98","12,84","12,29002727"
"15/04/2020","3:00","x","0,98","12,79","12,03554091"
"15/04/2020","3:05","x","0,98","12,02","11,78378182"
"15/04/2020","3:10","x","0,97","11,34","11,56562955"
"15/04/2020","3:15","x","0,97","10,93","11,34656818"
"15/04/2020","3:20","x","0,97","10,7","11,13750682"
"15/04/2020","3:25","x","0,97","10,5","10,95117273"
"15/04/2020","3:30","x","0,96","10,49","10,79935455"
"15/04/2020","3:35","x","0,97","10,47","10,74571818"
"15/04/2020","3:40","x","0,97","10,36","10,77841591"
"15/04/2020","3:45","x","0,97","10,42","10,85472045"
"15/04/2020","3:50","x","0,97","10,79","10,951025"
"15/04/2020","3:55","x","0,98","11,12","11,06369318"
"15/04/2020","4:00","x","0,98","11,43","11,16996818"
"15/04/2020","4:05","x","0,98","11,7","11,23990909"
"15/04/2020","4:10","x","0,99","11,77","11,29075909"
"15/04/2020","4:15","x","0,99","11,76","11,32800227"
"15/04/2020","4:20","x","0,99","11,74","11,31615455"
"15/04/2020","4:25","x","0,99","11,66","11,26979091"
"15/04/2020","4:30","x","0,99","11,24","11,25157955"
"15/04/2020","4:35","x","0,99","10,92","11,24791364"
"15/04/2020","4:40","x","0,98","10,83","11,21064091"
"15/04/2020","4:45","x","0,98","10,66","11,11339773"
"15/04/2020","4:50","x","0,98","10,61","10,9707"
"15/04/2020","4:55","x","0,99","11,23","10,81709318"
"15/04/2020","5:00","x","0,99","11,66","10,69075909"
"15/04/2020","5:05","x","0,99","11,36","10,57624318"
"15/04/2020","5:10","x","0,98","10,69","10,45351591"
"15/04/2020","5:15","x","0,98","10,17","10,33336818"
"15/04/2020","5:20","x","0,98","9,97","10,21543864"
"15/04/2020","5:25","x","0,98","9,85","10,04144318"
"15/04/2020","5:30","x","0,98","9,66","9,839129545"
"15/04/2020","5:35","x","0,98","9,48","9,692556818"
"15/04/2020","5:40","x","1,03","9,34","9,589418182"
"15/04/2020","5:45","0","1,51","9,33","9,509772727"
"15/04/2020","5:50","0","2,65","9,37","9,435504545"
"15/04/2020","5:55","0,02","4,85","9,56","9,364477273"
"15/04/2020","6:00","0,13","7,83","9,97","9,308775"
"15/04/2020","6:05","0,23","10,35","9,86","9,263947727"
"15/04/2020","6:10","0,34","12,86","9,68","9,232027273"
"15/04/2020","6:15","0,48","15,04","9,61","9,195625"
"15/04/2020","6:20","0,59","17,02","9,59","9,165540909"
"15/04/2020","6:25","0,7","18,91","9,63","9,122559091"
"15/04/2020","6:30","0,77","20,46","9,62","9,143254545"
"15/04/2020","6:35","0,84","21,68","9,66","9,349570455"
"15/04/2020","6:40","1,01","24,6","9,68","9,615879545"
"15/04/2020","6:45","1,25","29,14","9,9","9,848472727"
"15/04/2020","6:50","2,74","55,09","10,72","10,24517273"
"15/04/2020","6:55","4,73","88,21","12,81","10,62460227"
"15/04/2020","7:00","4,13","76,52","14,28","10,88653182"
"15/04/2020","7:05","4,68","87,34","15,03","11,03462727"
"15/04/2020","7:10","7,2","134,47","16,05","10,81516591"
"15/04/2020","7:15","5,35","103,06","16,75","10,93009091"
"15/04/2020","7:20","3,26","66,18","15,34","11,28878409"
"15/04/2020","7:25","3,12","60,73","13,81","12,08941364"
"15/04/2020","7:30","4,32","78,94","13,15","12,51976364"
"15/04/2020","7:35","12,67","316,11","16,74","13,02427045"
"15/04/2020","7:40","17,99","374,55","22,39","13,56404091"
"15/04/2020","7:45","19,92","407,84","26,13","13,83479091"
"15/04/2020","7:50","12,79","232,92","26,32","13,64129545"
"15/04/2020","7:55","15,01","265,94","25,17","13,71953182"
"15/04/2020","8:00","13,57","238,43","25,49","14,7014"
"15/04/2020","8:05","10,69","186,24","23,67","15,90158864"
"15/04/2020","8:10","11,7","208,96","23,17","16,58024318"
"15/04/2020","8:15","22,92","470,44","26,35","17,17654773"
"15/04/2020","8:20","30,65","598,25","32,14","17,01981591"
"15/04/2020","8:25","22,01","418","34,97","17,68289773"
"15/04/2020","8:30","19,63","358,2","31,31","17,65096591"
"15/04/2020","8:35","23,21","426,39","31,54","17,89137727"
"15/04/2020","8:40","21,97","419,86","33,08","18,10632273"
"15/04/2020","8:45","27,83","513,66","33,72","19,46716364"
"15/04/2020","8:50","17,82","313,82","34,02","19,96992727"
"15/04/2020","8:55","27,95","528,93","34,58","19,54504773"
"15/04/2020","9:00","28,18","516,87","37,06","19,34862273"
"15/04/2020","9:05","35,45","669,44","40,5","19,54170909"
"15/04/2020","9:10","20,88","393,54","38,82","19,63089318"
"15/04/2020","9:15","30,44","565,93","36,62","20,34017955"
"15/04/2020","9:20","37,09","657,19","38,07","20,30590682"
"15/04/2020","9:25","41,6","780,99","42,89","20,31546136"
"15/04/2020","9:30","44,09","836,73","47","20,52281818"
"15/04/2020","9:35","45,1","842,29","47,79","20,8449"
"15/04/2020","9:40","32,23","587,44","43,92","20,47682273"
"15/04/2020","9:45","24,35","425,42","37,27","20,759"
"15/04/2020","9:50","30,91","587,85","36,6","20,93393409"
"15/04/2020","9:55","21,61","350,38","33,93","20,89447727"
"15/04/2020","10:00","17,64","288,12","31,65","20,71621818"
"15/04/2020","10:05","14,3","242,12","29,85","20,45499091"
"15/04/2020","10:10","9,76","164,27","26,67","19,62612273"
"15/04/2020","10:15","11,83","195,52","24,99","18,72812727"
"15/04/2020","10:20","13,79","222,96","24,32","19,24885682"
"15/04/2020","10:25","14,36","238,91","25,61","19,09952955"
"15/04/2020","10:30","15,71","262,09","26,06","18,85471136"
"15/04/2020","10:35","20,48","323,98","26,24","18,11436364"
"15/04/2020","10:40","29,29","522,28","30,54","18,27337045"
"15/04/2020","10:45","14,81","242,68","31,11","18,34882045"
"15/04/2020","10:50","16,46","278,46","29,95","19,16605455"
"15/04/2020","10:55","20,2","356,52","31,18","19,66472955"
"15/04/2020","11:00","39,35","661,93","35,35","19,02596136"
"15/04/2020","11:05","26,27","462,76","38,12","19,69735227"
"15/04/2020","11:10","38,44","673,06","41,34","20,45967045"
"15/04/2020","11:15","13,14","218,05","33,15","19,98418409"
"15/04/2020","11:20","11,52","185,82","29,37","18,97544091"
"15/04/2020","11:25","39,6","640,75","31,34","19,02196818"
"15/04/2020","11:30","17,87","304,74","33","19,02264091"
"15/04/2020","11:35","12,98","212,88","28,87","19,45779773"
"15/04/2020","11:40","18,6","301,46","27,79","19,36984091"
"15/04/2020","11:45","46,82","794,65","35,63","17,39449091"
"15/04/2020","11:50","29,04","489,08","36","15,97949091"
"15/04/2020","11:55","44,1","854,01","41,6","15,95572273"
"15/04/2020","12:00","15,79","261,63","36,37","15,03330455"
"15/04/2020","12:05","20,71","334,83","29,38","14,56950682"
"15/04/2020","12:10","54,36","902,63","33,67","15,24851364"
"15/04/2020","12:15","61,78","1107,82","43,77","15,85178864"
"15/04/2020","12:20","62,81","1125,41","46,83","15,41118409"
"15/04/2020","12:25","58,1","1024,02","46,23","16,26489318"
"15/04/2020","12:30","47,57","869,55","45,11","15,40434773"
"15/04/2020","12:35","19,94","299,95","35,21","15,63798409"
"15/04/2020","12:40","28,57","455,08","31,23","17,03165682"
"15/04/2020","12:45","28,92","453,9","30,01","18,22053182"
"15/04/2020","12:50","15,89","261,37","31,73","18,90283864"
"15/04/2020","12:55","23,98","382,43","30,83","19,53033409"
"15/04/2020","13:00","12,74","186,83","27,14","19,66745227"
"15/04/2020","13:05","14,03","206,31","26,37","19,06788409"
"15/04/2020","13:10","11,93","178,97","26,66","19,53217045"
"15/04/2020","13:15","18,35","293,86","27,31","19,97683636"
"15/04/2020","13:20","11,39","184,56","25,85","19,47056136"
"15/04/2020","13:25","12,66","189,91","24,53","19,703275"
"15/04/2020","13:30","15,98","229,65","26,33","19,57392273"
"15/04/2020","13:35","10,78","150,86","26,45","19,48911364"
"15/04/2020","13:40","10,57","167,09","25,58","19,44467045"
"15/04/2020","13:45","17,87","293,34","27,2","19,48498182"
"15/04/2020","13:50","12,64","191,05","27,17","18,89205"
"15/04/2020","13:55","14,75","233,38","27,23","19,19530455"
"15/04/2020","14:00","17,5","271,63","27,56","19,71553182"
"15/04/2020","14:05","14,08","218,32","27,45","20,06074091"
"15/04/2020","14:10","18,61","310,37","28,29","19,83254545"
"15/04/2020","14:15","30,89","573,86","31,98","20,67183409"
"15/04/2020","14:20","29,77","579,27","40,52","20,77025227"
"15/04/2020","14:25","25,37","480,65","40,21","20,95098864"
"15/04/2020","14:30","20,3","362,02","37,11","21,23099545"
"15/04/2020","14:35","31,58","651,71","38,82","21,86863409"
"15/04/2020","14:40","25,08","468,35","42,12","22,87655"
"15/04/2020","14:45","26,56","554,97","40,08","24,17143409"
"15/04/2020","14:50","32,46","703,9","44,51","24,58843636"
"15/04/2020","14:55","31,36","687,32","44,15","24,5244"
"15/04/2020","15:00","23,3","464,35","42,46","24,20063864"
"15/04/2020","15:05","12,41","206,46","36","24,70240909"
"15/04/2020","15:10","8,78","141,13","32,16","24,13319545"
"15/04/2020","15:15","5,69","88,9","29,17","23,46316591"
"15/04/2020","15:20","5,83","88,17","26,75","23,63283182"
"15/04/2020","15:25","7,64","146,37","26,54","23,74097727"
"15/04/2020","15:30","6,36","77,88","25,69","23,04973864"
"15/04/2020","15:35","8,12","133,93","24,99","22,24959318"
"15/04/2020","15:40","19,56","482,98","30,37","21,56701136"
"15/04/2020","15:45","16,32","267,09","32,18","21,05456591"
"15/04/2020","15:50","13,42","167,64","28,45","20,71279318"
"15/04/2020","15:55","16,56","226","27,11","20,60375455"
"15/04/2020","16:00","16,92","243,74","28,41","20,3862"
"15/04/2020","16:05","13,8","199,85","26,56","20,475225"
"15/04/2020","16:10","12,13","177,42","26,41","21,06236818"
"15/04/2020","16:15","11,71","168,77","25,61","20,8345"
"15/04/2020","16:20","11,26","154,66","25,61","20,67199773"
"15/04/2020","16:25","10,33","149,36","25,62","20,83534318"
"15/04/2020","16:30","7,93","114,26","25,33","20,88630227"
"15/04/2020","16:35","7,87","104,87","24,54","20,86185682"
"15/04/2020","16:40","7,44","104,83","24,4","20,76192273"
"15/04/2020","16:45","5,94","85,41","23,99","20,74916136"
"15/04/2020","16:50","4,1","60,56","23,53","20,66225455"
"15/04/2020","16:55","3,74","54,8","22,83","20,43111818"
"15/04/2020","17:00","4,18","65,97","21,94","20,05235682"
"15/04/2020","17:05","3,78","65,09","21,66","19,738525"
"15/04/2020","17:10","3,04","50,32","21,62","19,43299091"
"15/04/2020","17:15","2,42","40,69","20,95","19,08022273"
"15/04/2020","17:20","3,12","50,36","19,86","18,68375455"
"15/04/2020","17:25","4,39","68,61","19,68","18,36734091"
"15/04/2020","17:30","3,48","55,09","19,47","18,15900455"
"15/04/2020","17:35","2,26","37,78","18,86","17,97409545"
"15/04/2020","17:40","1,85","31,27","18,35","17,73221136"
"15/04/2020","17:45","1,75","31,98","18,24","17,48081591"
"15/04/2020","17:50","1,45","27,74","18,47","17,30187045"
"15/04/2020","17:55","0,55","14,33","17,97","17,15159773"
"15/04/2020","18:00","0,19","8,29","17,78","16,95495682"
"15/04/2020","18:05","0","2,65","17,41","16,74171818"
"15/04/2020","18:10","0","1,47","16,91","16,53288182"
"15/04/2020","18:15","0","1,08","16,29","16,31068864"
"15/04/2020","18:20","0","1,01","15,83","16,02960455"
"15/04/2020","18:25","0","1,03","15,55","15,743475"
"15/04/2020","18:30","x","1,03","15,32","15,46677273"
"15/04/2020","18:35","x","1,03","15,07","15,21886136"
"15/04/2020","18:40","x","1,03","14,79","15,00200909"
"15/04/2020","18:45","x","1,03","14,51","14,85218636"
"15/04/2020","18:50","x","1,02","14,39","14,77852045"
"15/04/2020","18:55","x","1,02","14,5","14,74124773"
