Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiental [øC]
04/29/2020,12:00:00 AM,x,0.99,12.05,12.50422083
04/29/2020,12:05:00 AM,x,1,12.33,12.58178571
04/29/2020,12:10:00 AM,x,1,12.53,12.635
04/29/2020,12:15:00 AM,x,1,12.68,12.67524167
04/29/2020,12:20:00 AM,x,1,12.79,12.7074675
04/29/2020,12:25:00 AM,x,1,12.84,12.742925
04/29/2020,12:30:00 AM,x,1.01,13.08,12.85925909
04/29/2020,12:35:00 AM,x,1,13.04,12.98380455
04/29/2020,12:40:00 AM,x,1.01,13.03,13.10107727
04/29/2020,12:45:00 AM,x,1,13.03,13.17198636
04/29/2020,12:50:00 AM,x,1,13.13,13.21380455
04/29/2020,12:55:00 AM,x,1,13.33,13.26925909
04/29/2020,01:00:00 AM,x,1,13.7,13.32565227
04/29/2020,01:05:00 AM,x,1,13.82,13.40201591
04/29/2020,01:10:00 AM,x,1,13.46,13.47568182
04/29/2020,01:15:00 AM,x,1,13.25,13.55113636
04/29/2020,01:20:00 AM,x,1,13.45,13.60022727
04/29/2020,01:25:00 AM,x,1,13.7,13.58204545
04/29/2020,01:30:00 AM,x,1,13.88,13.48116591
04/29/2020,01:35:00 AM,x,1,13.84,13.34755909
04/29/2020,01:40:00 AM,x,1,13.86,13.26031591
04/29/2020,01:45:00 AM,x,1,13.67,13.21216364
04/29/2020,01:50:00 AM,x,1,13.13,13.12676818
04/29/2020,01:55:00 AM,x,0.99,12.59,13.00591818
04/29/2020,02:00:00 AM,x,0.99,12.35,12.88415909
04/29/2020,02:05:00 AM,x,0.99,12.5,12.7824
04/29/2020,02:10:00 AM,x,0.99,12.72,12.65518636
04/29/2020,02:15:00 AM,x,0.98,12.51,12.50433636
04/29/2020,02:20:00 AM,x,0.98,12.37,12.37348636
04/29/2020,02:25:00 AM,x,0.98,12.54,12.27172727
04/29/2020,02:30:00 AM,x,0.98,12.72,12.17724091
04/29/2020,02:35:00 AM,x,0.98,12.46,12.05366364
