Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
08/05/2020,12:00:00 AM,x,0.99,11.84,11.6546
08/05/2020,12:05:00 AM,x,0.99,11.78,11.63934643
08/05/2020,12:10:00 AM,x,0.99,11.76,11.62919688
08/05/2020,12:15:00 AM,x,0.99,11.68,11.633525
08/05/2020,12:20:00 AM,x,0.98,11.56,11.654955
08/05/2020,12:25:00 AM,x,0.98,11.5,11.68703409
08/05/2020,12:30:00 AM,x,0.99,11.58,11.71882273
08/05/2020,12:35:00 AM,x,0.98,11.59,11.76336818
08/05/2020,12:40:00 AM,x,0.98,11.7,11.83064091
08/05/2020,12:45:00 AM,x,0.99,11.88,11.91700455
08/05/2020,12:50:00 AM,x,0.99,12.04,12.02330909
08/05/2020,12:55:00 AM,x,1,12.19,12.13688636
08/05/2020,01:00:00 AM,x,0.99,12.27,12.23503864
08/05/2020,01:05:00 AM,x,0.99,12.5,12.33861591
08/05/2020,01:10:00 AM,x,0.99,12.63,12.42767727
08/05/2020,01:15:00 AM,x,1,12.73,12.48949545
08/05/2020,01:20:00 AM,x,1,12.75,12.52495
08/05/2020,01:25:00 AM,x,1,12.66,12.53497955
08/05/2020,01:30:00 AM,x,1,12.73,12.49319091
08/05/2020,01:35:00 AM,x,0.99,12.68,12.36322045
08/05/2020,01:40:00 AM,x,0.99,12.56,12.19052273
08/05/2020,01:45:00 AM,x,0.99,12.43,12.00330909
08/05/2020,01:50:00 AM,x,0.99,12.3,11.82976136
08/05/2020,01:55:00 AM,x,0.98,11.81,11.68254773
08/05/2020,02:00:00 AM,x,0.98,11.07,11.53897045
08/05/2020,02:05:00 AM,x,0.98,10.73,11.44172727
08/05/2020,02:10:00 AM,x,0.98,10.67,11.39902955
08/05/2020,02:15:00 AM,x,0.97,10.84,11.39542273
08/05/2020,02:20:00 AM,x,0.98,11.04,11.41999773
08/05/2020,02:25:00 AM,x,0.98,11.15,11.48996818
08/05/2020,02:30:00 AM,x,0.98,11.61,11.61087727
08/05/2020,02:35:00 AM,x,0.98,12.09,11.73633182
08/05/2020,02:40:00 AM,x,0.98,12.39,11.86087727
08/05/2020,02:45:00 AM,x,0.98,12.57,11.99084773
08/05/2020,02:50:00 AM,x,0.99,12.58,12.11812045
08/05/2020,02:55:00 AM,x,0.98,12.4,12.24445455
08/05/2020,03:00:00 AM,x,0.98,12.11,12.334425
08/05/2020,03:05:00 AM,x,0.98,12.04,12.36351591
08/05/2020,03:10:00 AM,x,0.98,12.27,12.35533409
08/05/2020,03:15:00 AM,x,0.98,12.44,12.30897045
08/05/2020,03:20:00 AM,x,0.99,12.54,12.25627273
08/05/2020,03:25:00 AM,x,0.99,12.6,12.22536364
08/05/2020,03:30:00 AM,x,0.98,12.41,12.22354545
08/05/2020,03:35:00 AM,x,0.98,12.3,12.23354545
08/05/2020,03:40:00 AM,x,0.98,12.06,12.22536364
08/05/2020,03:45:00 AM,x,0.98,12,12.21081818
08/05/2020,03:50:00 AM,x,0.98,12.06,12.18266591
08/05/2020,03:55:00 AM,x,0.98,12.09,12.16087727
08/05/2020,04:00:00 AM,x,0.98,12.15,12.18905909
08/05/2020,04:05:00 AM,x,0.98,12.18,12.23633182
08/05/2020,04:10:00 AM,x,0.98,12.28,12.30542273
08/05/2020,04:15:00 AM,x,0.98,12.23,12.37178636
08/05/2020,04:20:00 AM,x,0.98,12.36,12.43815
08/05/2020,04:25:00 AM,x,0.98,12.72,12.49451364
08/05/2020,04:30:00 AM,x,0.98,12.82,12.53360455
08/05/2020,04:35:00 AM,x,0.98,12.82,12.57724091
08/05/2020,04:40:00 AM,x,0.98,12.73,12.61451364
08/05/2020,04:45:00 AM,x,0.98,12.79,12.64360455
08/05/2020,04:50:00 AM,x,0.98,12.71,12.64181591
08/05/2020,04:55:00 AM,x,0.98,12.58,12.592725
08/05/2020,05:00:00 AM,x,0.98,12.66,12.53636136
08/05/2020,05:05:00 AM,x,0.98,12.69,12.47999773
08/05/2020,05:10:00 AM,x,0.98,12.55,12.43363409
08/05/2020,05:15:00 AM,x,0.97,12.34,12.37633182
08/05/2020,05:20:00 AM,x,0.98,12.18,12.32778182
08/05/2020,05:25:00 AM,x,0.98,12.2,12.28127955
08/05/2020,05:30:00 AM,x,0.98,12.2,12.15789773
08/05/2020,05:35:00 AM,x,0.98,12.22,11.97360455
08/05/2020,05:40:00 AM,x,0.99,12.16,11.76517045
08/05/2020,05:45:00 AM,0,1.72,12.2,11.55174091
08/05/2020,05:50:00 AM,0,1.95,12.1,11.35441136
08/05/2020,05:55:00 AM,0,2.74,11.36,11.17603636
08/05/2020,06:00:00 AM,0.02,5.51,10.81,11.039425
08/05/2020,06:05:00 AM,0.16,8.45,10.5,10.97203182
08/05/2020,06:10:00 AM,0.42,12.9,10.38,10.96515909
08/05/2020,06:15:00 AM,0.7,18.23,10.57,10.98252955
08/05/2020,06:20:00 AM,0.83,20.43,10.87,11.02705682
08/05/2020,06:25:00 AM,1.24,26.91,11.54,11.16902955
08/05/2020,06:30:00 AM,1.56,31.79,12.48,11.35553636
08/05/2020,06:35:00 AM,1.64,33.47,13.14,11.62616818
08/05/2020,06:40:00 AM,2.24,42.61,13.72,11.93541818
08/05/2020,06:45:00 AM,2.54,48.11,14.09,12.21335
08/05/2020,06:50:00 AM,2.4,46.38,14.34,12.4359
08/05/2020,06:55:00 AM,3.13,59,14.6,12.55647045
08/05/2020,07:00:00 AM,2.63,50.39,14.84,12.61518636
08/05/2020,07:05:00 AM,2.68,51,15.02,12.66728864
08/05/2020,07:10:00 AM,3.36,62.93,15.08,12.69425227
08/05/2020,07:15:00 AM,3.43,64.49,14.75,12.72927955
08/05/2020,07:20:00 AM,4.6,83.64,14.71,12.74913864
08/05/2020,07:25:00 AM,5.1,88.84,14.98,12.84598636
08/05/2020,07:30:00 AM,4.92,87.22,15.46,12.93953864
08/05/2020,07:35:00 AM,5.95,103.33,15.99,13.06675
08/05/2020,07:40:00 AM,6.84,116.87,16.71,13.23528182
08/05/2020,07:45:00 AM,7.57,130.12,17.28,13.35585227
08/05/2020,07:50:00 AM,7.49,128.99,17.94,13.46642955
08/05/2020,07:55:00 AM,7.68,128.88,18.42,13.57214773
08/05/2020,08:00:00 AM,7.08,117.79,18.59,13.66937727
08/05/2020,08:05:00 AM,7.38,124.35,18.93,13.76321136
08/05/2020,08:10:00 AM,8.77,145.22,18.7,13.72275227
08/05/2020,08:15:00 AM,8.59,140.06,17.76,13.80467727
08/05/2020,08:20:00 AM,8.29,139.52,17.79,13.87484091
08/05/2020,08:25:00 AM,9.42,155.85,18.76,14.01441818
08/05/2020,08:30:00 AM,10.51,174.34,19.33,14.08231364
08/05/2020,08:35:00 AM,14.58,244.41,20.41,14.06505909
08/05/2020,08:40:00 AM,15.94,267.93,22.66,13.966925
08/05/2020,08:45:00 AM,15.6,265.55,23.15,14.06934318
08/05/2020,08:50:00 AM,16.32,280.1,24.87,14.06210455
08/05/2020,08:55:00 AM,17.59,302.81,25.35,13.86158182
08/05/2020,09:00:00 AM,17.12,290.19,24.13,13.67951136
08/05/2020,09:05:00 AM,17.88,303.05,22.75,13.832125
08/05/2020,09:10:00 AM,14.71,244.78,22.29,13.81659773
08/05/2020,09:15:00 AM,16.37,277.97,22.21,13.65461591
08/05/2020,09:20:00 AM,18.82,328.95,22.18,13.47515227
08/05/2020,09:25:00 AM,21.77,377.81,23.94,12.93377045
08/05/2020,09:30:00 AM,18.54,318.91,24.51,12.82129091
08/05/2020,09:35:00 AM,21.67,376.57,26.02,12.8205
08/05/2020,09:40:00 AM,25.51,432.99,26.81,12.76244773
08/05/2020,09:45:00 AM,23.28,398.38,26.74,12.728975
08/05/2020,09:50:00 AM,30.76,534.97,26.94,13.21691136
08/05/2020,09:55:00 AM,26.71,464.26,28.55,13.47541818
08/05/2020,10:00:00 AM,28.22,479.01,28.46,13.37145909
08/05/2020,10:05:00 AM,23.87,406.89,26.92,13.37800909
08/05/2020,10:10:00 AM,26.18,438.53,27.06,13.31023182
08/05/2020,10:15:00 AM,23.57,384.11,29.34,13.09429545
08/05/2020,10:20:00 AM,23.2,381.7,26.91,13.34038636
08/05/2020,10:25:00 AM,26.42,444.25,27.44,12.06395682
08/05/2020,10:30:00 AM,25.86,417.43,27.42,11.82506364
08/05/2020,10:35:00 AM,24.91,407.93,25.25,11.63312045
08/05/2020,10:40:00 AM,28.16,469.62,26.68,11.01284091
08/05/2020,10:45:00 AM,25.5,423.37,26.02,10.853825
08/05/2020,10:50:00 AM,56.53,1012.59,32.33,11.30766818
08/05/2020,10:55:00 AM,43.08,778.02,35.55,11.223175
08/05/2020,11:00:00 AM,41.54,795.24,37.43,11.30231818
08/05/2020,11:05:00 AM,59.75,1103.24,41.84,11.49244773
08/05/2020,11:10:00 AM,51.32,960.7,46.33,11.47825455
08/05/2020,11:15:00 AM,35.7,601.63,39.05,11.81376818
08/05/2020,11:20:00 AM,51.19,920.54,41.99,13.25799318
08/05/2020,11:25:00 AM,41.9,781.72,40.13,14.18901136
08/05/2020,11:30:00 AM,37.91,646.04,35.08,14.98007045
08/05/2020,11:35:00 AM,40.49,692.27,33.76,15.97953636
08/05/2020,11:40:00 AM,23.42,371.35,28.02,15.65162727
08/05/2020,11:45:00 AM,30,475.16,30.75,14.830975
08/05/2020,11:50:00 AM,16.21,253.06,28.73,14.57207955
08/05/2020,11:55:00 AM,13.56,208.42,27.06,14.04340227
08/05/2020,12:00:00 PM,13.57,210.19,23.81,13.61210227
08/05/2020,12:05:00 PM,19.03,296.3,21.13,13.61185227
08/05/2020,12:10:00 PM,16.62,252.62,18.68,13.21631136
08/05/2020,12:15:00 PM,17.82,278.32,18.27,12.83104318
08/05/2020,12:20:00 PM,19.03,293.58,18.45,11.82380682
08/05/2020,12:25:00 PM,18.18,278.48,18.39,10.80129318
08/05/2020,12:30:00 PM,13.97,212.97,18.18,10.07230909
08/05/2020,12:35:00 PM,11.56,180.61,17.47,9.801311364
08/05/2020,12:40:00 PM,13.25,204.02,17.7,9.707552273
08/05/2020,12:45:00 PM,16.66,260.74,17.9,9.764611364
08/05/2020,12:50:00 PM,16.5,256.04,17.36,9.529752273
08/05/2020,12:55:00 PM,11.82,184,14.94,9.519402273
08/05/2020,01:00:00 PM,10.27,160.33,13.73,9.349738636
08/05/2020,01:05:00 PM,8.88,138.2,13.93,9.402561364
08/05/2020,01:10:00 PM,6.65,106.7,13.32,9.336938636
08/05/2020,01:15:00 PM,14.17,227.84,13.73,9.460056818
08/05/2020,01:20:00 PM,12.01,193.06,15.5,9.623281818
08/05/2020,01:25:00 PM,15.91,251.01,17.55,9.839636364
08/05/2020,01:30:00 PM,10.46,168.27,17.65,9.943893182
08/05/2020,01:35:00 PM,10.73,173,15.97,10.05086136
08/05/2020,01:40:00 PM,8.71,136.3,15.21,10.16987045
08/05/2020,01:45:00 PM,9.08,137.41,15.3,10.70427955
08/05/2020,01:50:00 PM,8.87,131.08,15.6,10.93329318
08/05/2020,01:55:00 PM,9.96,152.12,14.61,11.35541818
08/05/2020,02:00:00 PM,9.4,137.38,15.08,11.46313409
08/05/2020,02:05:00 PM,11.7,178.42,16.96,11.73409091
08/05/2020,02:10:00 PM,11.21,166.04,17.6,12.00961591
08/05/2020,02:15:00 PM,13.99,215.24,18.74,12.35309773
08/05/2020,02:20:00 PM,10.1,157.06,19.14,12.65640455
08/05/2020,02:25:00 PM,10.96,172.12,18.96,12.88630455
08/05/2020,02:30:00 PM,12.16,194.83,19.66,12.86415682
08/05/2020,02:35:00 PM,11.9,182.43,19.74,12.98600909
08/05/2020,02:40:00 PM,10.3,157.77,19.74,13.03106818
08/05/2020,02:45:00 PM,10.43,160.73,19.9,13.23692273
08/05/2020,02:50:00 PM,15.13,242,20.06,13.11394318
08/05/2020,02:55:00 PM,19.87,323.03,20.87,13.20293636
08/05/2020,03:00:00 PM,19.78,312.87,22.67,13.28080227
08/05/2020,03:05:00 PM,22.06,364.02,24.53,13.44773409
08/05/2020,03:10:00 PM,19.49,315.72,24.27,13.43760909
08/05/2020,03:15:00 PM,20.27,340.53,23.75,13.48342045
08/05/2020,03:20:00 PM,18.65,315.23,24.59,13.72764091
08/05/2020,03:25:00 PM,17.11,287.86,23.54,14.21535909
08/05/2020,03:30:00 PM,14.65,225.93,22.99,14.46536136
08/05/2020,03:35:00 PM,15.71,250.12,22.63,14.71176818
08/05/2020,03:40:00 PM,14.6,241.84,23.04,14.93217045
08/05/2020,03:45:00 PM,15.4,270.11,23.66,15.29697955
08/05/2020,03:50:00 PM,14.64,240.11,23.54,15.413475
08/05/2020,03:55:00 PM,13.84,234.1,22.86,15.41420455
08/05/2020,04:00:00 PM,13.24,219.39,22.54,15.23234773
08/05/2020,04:05:00 PM,11.75,185.43,22.46,15.24888182
08/05/2020,04:10:00 PM,9.41,151.21,21.61,15.24459545
08/05/2020,04:15:00 PM,7.73,126.57,19.74,15.26784091
08/05/2020,04:20:00 PM,7.69,126.69,18.31,15.22395682
08/05/2020,04:25:00 PM,8.22,137.02,18.1,15.21832955
08/05/2020,04:30:00 PM,7.03,114.37,18.4,15.19296591
08/05/2020,04:35:00 PM,6.12,102.06,18.45,15.09736364
08/05/2020,04:40:00 PM,6.22,102.55,18.47,14.91076136
08/05/2020,04:45:00 PM,6.32,102.04,18.57,14.78862727
08/05/2020,04:50:00 PM,5.87,96.62,18.33,14.76902045
08/05/2020,04:55:00 PM,5.11,84.59,17.88,14.84434545
08/05/2020,05:00:00 PM,4.6,73.48,17.77,14.88068182
08/05/2020,05:05:00 PM,5.06,82.06,17.31,14.95563864
08/05/2020,05:10:00 PM,5.54,87.6,17.13,14.96418864
08/05/2020,05:15:00 PM,5.94,91.48,16.95,15.002325
08/05/2020,05:20:00 PM,5.76,90.91,17.43,15.01335909
08/05/2020,05:25:00 PM,5.89,91.61,18.06,14.99751136
08/05/2020,05:30:00 PM,3.79,60.69,17.93,14.92065227
08/05/2020,05:35:00 PM,4.27,69.81,17.5,14.91500909
08/05/2020,05:40:00 PM,2.41,41.44,17.02,14.942475
08/05/2020,05:45:00 PM,1.55,28.27,16.23,14.98560682
08/05/2020,05:50:00 PM,0.97,19.8,15.6,14.96578182
08/05/2020,05:55:00 PM,0.56,13.34,14.97,14.88401818
08/05/2020,06:00:00 PM,0.23,7.97,14.84,14.72031591
08/05/2020,06:05:00 PM,0.02,4.15,14.72,14.60631591
08/05/2020,06:10:00 PM,0,2.42,14.53,14.44482955
08/05/2020,06:15:00 PM,0,1.62,14.31,14.29718864
08/05/2020,06:20:00 PM,0,1.13,14.22,14.13634091
08/05/2020,06:25:00 PM,0,1.02,14.19,13.96189091
08/05/2020,06:30:00 PM,0,1.01,14.01,13.74793864
08/05/2020,06:35:00 PM,x,1.02,13.93,13.50451818
08/05/2020,06:40:00 PM,x,1.01,13.72,13.25416818
08/05/2020,06:45:00 PM,x,1.01,13.22,13.00418182
08/05/2020,06:50:00 PM,x,1,12.65,12.75911136
08/05/2020,06:55:00 PM,x,1,12.26,12.51644318
08/05/2020,07:00:00 PM,x,1,11.94,12.28829091
08/05/2020,07:05:00 PM,x,1,11.73,12.08289545
08/05/2020,07:10:00 PM,x,1,11.54,11.90019773
08/05/2020,07:15:00 PM,x,1,11.52,11.74659091
08/05/2020,07:20:00 PM,x,1,11.52,11.63022727
08/05/2020,07:25:00 PM,x,1,11.5,11.53295455
08/05/2020,07:30:00 PM,x,1,11.67,11.45386364
08/05/2020,07:35:00 PM,x,1,11.71,11.38662045
08/05/2020,07:40:00 PM,x,1,11.53,11.32392273
08/05/2020,07:45:00 PM,x,1,11.37,11.25758864
08/05/2020,07:50:00 PM,x,1,11.19,11.19307273
08/05/2020,07:55:00 PM,x,1,11.07,11.14582955
