Fecha,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [C],Temperatura Ambiente [C]
12/03/2019,12:00:00 AM,x,1,9.98,9.899166667
12/03/2019,12:05:00 AM,x,1,10.02,9.940357143
12/03/2019,12:10:00 AM,x,1,9.88,9.98375
12/03/2019,12:15:00 AM,x,1,9.9,10.02635278
12/03/2019,12:20:00 AM,x,1,9.91,10.0614675
12/03/2019,12:25:00 AM,x,1,9.9,10.06656136
12/03/2019,12:30:00 AM,x,1,10.22,10.07383409
12/03/2019,12:35:00 AM,x,1,10.32,10.09837955
12/03/2019,12:40:00 AM,x,1.01,10.4,10.14744091
12/03/2019,12:45:00 AM,x,1,10.41,10.20289545
12/03/2019,12:50:00 AM,x,1,10.15,10.25562273
12/03/2019,12:55:00 AM,x,1,10.06,10.30653182
12/03/2019,01:00:00 AM,x,1,10.29,10.33380455
12/03/2019,01:05:00 AM,x,1.01,10.42,10.36925909
12/03/2019,01:10:00 AM,x,1,10.51,10.40928864
12/03/2019,01:15:00 AM,x,1,10.49,10.46744091
12/03/2019,01:20:00 AM,x,1,10.46,10.55922955
12/03/2019,01:25:00 AM,x,1,10.52,10.66647273
12/03/2019,01:30:00 AM,x,1,10.71,10.75371591
12/03/2019,01:35:00 AM,x,1,10.84,10.814625
12/03/2019,01:40:00 AM,x,1.01,11.05,10.86005
12/03/2019,01:45:00 AM,x,1.01,11.16,10.89732273
12/03/2019,01:50:00 AM,x,1.01,11.24,10.93550455
12/03/2019,01:55:00 AM,x,1.01,11.25,10.96823182
12/03/2019,02:00:00 AM,x,1.01,11.09,10.975475
12/03/2019,02:05:00 AM,x,1.01,11.01,10.965475
12/03/2019,02:10:00 AM,x,1,10.9,10.93550455
12/03/2019,02:15:00 AM,x,1,10.88,10.894625
12/03/2019,02:20:00 AM,x,1,10.88,10.85647273
12/03/2019,02:25:00 AM,x,1.01,10.79,10.84283636
12/03/2019,02:30:00 AM,x,1,10.73,10.84010909
12/03/2019,02:35:00 AM,x,1,10.72,10.83738182
12/03/2019,02:40:00 AM,x,1,10.71,10.8592
12/03/2019,02:45:00 AM,x,1,10.82,10.91826136
12/03/2019,02:50:00 AM,x,1.01,11.1,10.99277727
12/03/2019,02:55:00 AM,x,1.01,11.06,11.08186818
12/03/2019,03:00:00 AM,x,1.01,10.98,11.18092955
12/03/2019,03:05:00 AM,x,1,11.14,11.28362727
12/03/2019,03:10:00 AM,x,1.01,11.53,11.38087045
12/03/2019,03:15:00 AM,x,1.01,11.7,11.43359773
12/03/2019,03:20:00 AM,x,1.01,11.77,11.4409
12/03/2019,03:25:00 AM,x,1.01,11.82,11.44638409
12/03/2019,03:30:00 AM,x,1.01,11.85,11.45368636
12/03/2019,03:35:00 AM,x,1.01,11.78,11.43095909
12/03/2019,03:40:00 AM,x,1,11.4,11.35283636
12/03/2019,03:45:00 AM,x,1,11.18,11.24744091
12/03/2019,03:50:00 AM,x,1,11.12,11.14204545
12/03/2019,03:55:00 AM,x,1,11.06,11.02937727
12/03/2019,04:00:00 AM,x,1,10.89,10.91670909
12/03/2019,04:05:00 AM,x,0.99,10.67,10.81313182
12/03/2019,04:10:00 AM,x,0.99,10.54,10.73770682
12/03/2019,04:15:00 AM,x,0.99,10.61,10.66046364
12/03/2019,04:20:00 AM,x,0.99,10.58,10.57685682
12/03/2019,04:25:00 AM,x,0.99,10.61,10.49325
12/03/2019,04:30:00 AM,x,0.99,10.64,10.41876364
12/03/2019,04:35:00 AM,x,0.99,10.57,10.35330909
12/03/2019,04:40:00 AM,x,0.99,10.33,10.30785455
12/03/2019,04:45:00 AM,x,0.99,10.2,10.27330909
12/03/2019,04:50:00 AM,x,0.99,10.14,10.24785455
12/03/2019,04:55:00 AM,x,0.98,10.07,10.22512727
12/03/2019,05:00:00 AM,x,0.99,9.95,10.18785455
12/03/2019,05:05:00 AM,x,0.99,10.04,10.16967273
12/03/2019,05:10:00 AM,x,0.99,10.23,10.16146136
12/03/2019,05:15:00 AM,x,0.99,10.3,10.14497955
12/03/2019,05:20:00 AM,x,0.99,10.36,10.12217955
12/03/2019,05:25:00 AM,x,0.99,10.23,10.10424545
12/03/2019,05:30:00 AM,x,0.99,10.37,10.08792727
12/03/2019,05:35:00 AM,x,1,10.24,10.04150909
12/03/2019,05:40:00 AM,x,1.03,10.02,9.970934091
12/03/2019,05:45:00 AM,0,1.63,9.91,9.887777273
12/03/2019,05:50:00 AM,0,3.05,9.94,9.826102273
12/03/2019,05:55:00 AM,0.06,5.59,9.92,9.802331818
12/03/2019,06:00:00 AM,0.36,11.47,9.87,9.777772727
12/03/2019,06:05:00 AM,0.77,17.8,10,9.779868182
12/03/2019,06:10:00 AM,1.22,24.52,10.15,9.802572727
12/03/2019,06:15:00 AM,1.63,30.48,10.64,9.819863636
12/03/2019,06:20:00 AM,2.04,36.42,11.12,9.785438636
12/03/2019,06:25:00 AM,2.4,41.61,11.42,9.771136364
12/03/2019,06:30:00 AM,2.74,47.06,11.76,9.770570455
12/03/2019,06:35:00 AM,3.07,52.73,11.95,9.930440909
12/03/2019,06:40:00 AM,3.9,75.47,12.5,10.22865909
12/03/2019,06:45:00 AM,5.72,136.24,13.89,10.60146136
12/03/2019,06:50:00 AM,7.06,169.2,15.08,10.92235909
12/03/2019,06:55:00 AM,9.46,229.2,16.94,11.33343409
12/03/2019,07:00:00 AM,10.48,247.69,19.23,11.7672
12/03/2019,07:05:00 AM,12.08,272.2,21.48,12.16206136
12/03/2019,07:10:00 AM,12.73,271.07,22.56,12.43161136
12/03/2019,07:15:00 AM,14.32,298.27,23.16,12.79253182
12/03/2019,07:20:00 AM,15.2,307.4,24.58,13.30779091
12/03/2019,07:25:00 AM,17.35,333.17,25.83,13.94182955
12/03/2019,07:30:00 AM,19.74,375.7,26.79,14.40463636
12/03/2019,07:35:00 AM,22.33,407.93,26.27,14.66392273
12/03/2019,07:40:00 AM,24.02,430.39,27.42,14.89643182
12/03/2019,07:45:00 AM,26.23,463.42,30.31,15.213075
12/03/2019,07:50:00 AM,27.5,478.91,32.03,15.549225
12/03/2019,07:55:00 AM,29.51,506.74,32.74,15.98210455
12/03/2019,08:00:00 AM,31.38,533.98,32.84,16.39599773
12/03/2019,08:05:00 AM,32.74,556.99,34.41,16.91846136
12/03/2019,08:10:00 AM,34.52,577.56,35.72,17.5598
12/03/2019,08:15:00 AM,35.41,591.78,37.52,17.96639773
12/03/2019,08:20:00 AM,35.66,591.58,38.99,18.32450227
12/03/2019,08:25:00 AM,37.25,614.69,39.11,18.84064091
12/03/2019,08:30:00 AM,40.08,661.25,40.25,19.42527045
12/03/2019,08:35:00 AM,39.73,654.86,41.77,19.67326364
12/03/2019,08:40:00 AM,35.89,602.11,39.29,19.34683409
12/03/2019,08:45:00 AM,34.78,557.09,38.51,18.94216818
12/03/2019,08:50:00 AM,22.99,392.97,34.72,19.12293636
12/03/2019,08:55:00 AM,19.61,303.49,31.78,18.86271818
12/03/2019,09:00:00 AM,20.93,318.9,29.4,19.39131136
12/03/2019,09:05:00 AM,37.97,581.89,32.27,19.48657955
12/03/2019,09:10:00 AM,46.73,742.59,37.97,19.70505227
12/03/2019,09:15:00 AM,34.92,555.32,39.8,19.99715682
12/03/2019,09:20:00 AM,52.14,828.61,43.2,19.777725
12/03/2019,09:25:00 AM,42.9,687.88,46.93,20.08964545
12/03/2019,09:30:00 AM,40.5,674,43.44,20.38893864
12/03/2019,09:35:00 AM,47.69,755.55,46.68,21.56835909
12/03/2019,09:40:00 AM,48.54,792.07,49.36,22.76619091
12/03/2019,09:45:00 AM,57.37,924.47,49.58,22.92428409
12/03/2019,09:50:00 AM,49.73,782.84,50.79,23.18386364
12/03/2019,09:55:00 AM,55,856.37,50.16,23.12983409
12/03/2019,10:00:00 AM,46.48,720.24,49.74,23.29467727
12/03/2019,10:05:00 AM,34.66,553.17,44.99,22.74929318
12/03/2019,10:10:00 AM,33.43,519.35,40.37,23.42941136
12/03/2019,10:15:00 AM,41.9,641.06,39.96,23.61301818
12/03/2019,10:20:00 AM,46.54,695.09,46.57,22.69612273
12/03/2019,10:25:00 AM,42.89,623.13,43.6,22.12343636
12/03/2019,10:30:00 AM,63.86,977.68,47.9,20.89263864
