Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
12/18/2019,12:00:00 AM,x,1.01,14.62,14.45050833
12/18/2019,12:05:00 AM,x,1.01,14.62,14.34007857
12/18/2019,12:10:00 AM,x,1.01,14.63,14.21100625
12/18/2019,12:15:00 AM,x,1.01,14.52,14.06395
12/18/2019,12:20:00 AM,x,1.01,14.37,13.921305
12/18/2019,12:25:00 AM,x,1.01,14.14,13.80277727
12/18/2019,12:30:00 AM,x,1,13.71,13.61644318
12/18/2019,12:35:00 AM,x,1,13.34,13.43192727
12/18/2019,12:40:00 AM,x,1,12.92,13.26650227
12/18/2019,12:45:00 AM,x,1,12.67,13.13013864
12/18/2019,12:50:00 AM,x,1,12.65,13.00922955
12/18/2019,12:55:00 AM,x,1,12.57,12.90013864
12/18/2019,01:00:00 AM,x,1,12.59,12.81465455
12/18/2019,01:05:00 AM,x,1,12.81,12.75007955
12/18/2019,01:10:00 AM,x,1.01,13.02,12.71641364
12/18/2019,01:15:00 AM,x,1.01,13.04,12.69456591
12/18/2019,01:20:00 AM,x,1.01,12.94,12.66092955
12/18/2019,01:25:00 AM,x,1.01,12.77,12.63180909
12/18/2019,01:30:00 AM,x,1.01,12.63,12.57814318
12/18/2019,01:35:00 AM,x,1.01,12.55,12.49087045
12/18/2019,01:40:00 AM,x,1.01,12.43,12.36908182
12/18/2019,01:45:00 AM,x,1,12.28,12.22820227
12/18/2019,01:50:00 AM,x,1.01,12.25,12.08732273
12/18/2019,01:55:00 AM,x,1.01,12,11.944625
12/18/2019,02:00:00 AM,x,1,11.85,11.79101818
12/18/2019,02:05:00 AM,x,1,11.68,11.63559318
12/18/2019,02:10:00 AM,x,1,11.49,11.49107727
12/18/2019,02:15:00 AM,x,1,11.39,11.35837955
12/18/2019,02:20:00 AM,x,1,11.2,11.21389318
12/18/2019,02:25:00 AM,x,1,10.94,11.07940682
12/18/2019,02:30:00 AM,x,1,10.84,10.95758864
12/18/2019,02:35:00 AM,x,1,10.84,10.84849773
12/18/2019,02:40:00 AM,x,0.99,10.82,10.75577045
12/18/2019,02:45:00 AM,x,0.99,10.66,10.67031591
12/18/2019,02:50:00 AM,x,0.99,10.52,10.61031591
12/18/2019,02:55:00 AM,x,1,10.51,10.57031591
12/18/2019,03:00:00 AM,x,1,10.48,10.54304318
12/18/2019,03:05:00 AM,x,1,10.47,10.511225
12/18/2019,03:10:00 AM,x,1,10.45,10.45846818
12/18/2019,03:15:00 AM,x,1,10.54,10.40571136
12/18/2019,03:20:00 AM,x,1,10.5,10.36659091
12/18/2019,03:25:00 AM,x,1,10.54,10.31204545
12/18/2019,03:30:00 AM,x,1,10.49,10.24568182
12/18/2019,03:35:00 AM,x,1,10.24,10.18480227
12/18/2019,03:40:00 AM,x,1,10.08,10.13389318
12/18/2019,03:45:00 AM,x,1,10.09,10.08934773
12/18/2019,03:50:00 AM,x,1,9.91,10.04843864
12/18/2019,03:55:00 AM,x,1,9.75,10.00116591
12/18/2019,04:00:00 AM,x,0.99,9.8,9.958438636
12/18/2019,04:05:00 AM,x,1,9.89,9.928438636
12/18/2019,04:10:00 AM,x,1,10.05,9.902075
12/18/2019,04:15:00 AM,x,1,10.05,9.867529545
12/18/2019,04:20:00 AM,x,1,10.02,9.847529545
12/18/2019,04:25:00 AM,x,1,10.02,9.834802273
12/18/2019,04:30:00 AM,x,1,9.91,9.820227273
12/18/2019,04:35:00 AM,x,1,9.79,9.794772727
12/18/2019,04:40:00 AM,x,1,9.71,9.751136364
12/18/2019,04:45:00 AM,x,1,9.69,9.700227273
12/18/2019,04:50:00 AM,x,1,9.61,9.632954545
12/18/2019,04:55:00 AM,x,1,9.64,9.549318182
12/18/2019,05:00:00 AM,x,1,9.61,9.480227273
12/18/2019,05:05:00 AM,x,1,9.57,9.446590909
12/18/2019,05:10:00 AM,x,1,9.49,9.409318182
12/18/2019,05:15:00 AM,x,1,9.28,9.364772727
12/18/2019,05:20:00 AM,x,1,9.1,9.318320455
12/18/2019,05:25:00 AM,x,1,9.15,9.262793182
12/18/2019,05:30:00 AM,x,1,9.42,9.208029545
12/18/2019,05:35:00 AM,x,1,9.3,9.149572727
12/18/2019,05:40:00 AM,x,1,9.2,9.091684091
12/18/2019,05:45:00 AM,x,1.03,9.1,9.052936364
12/18/2019,05:50:00 AM,0,1.64,9.05,9.035975
12/18/2019,05:55:00 AM,0,2.92,9.07,9.015870455
12/18/2019,06:00:00 AM,0.01,4.17,9.03,8.963384091
12/18/2019,06:05:00 AM,0.16,7.67,9.07,8.910045455
12/18/2019,06:10:00 AM,0.28,10.73,9.17,8.881545455
12/18/2019,06:15:00 AM,0.48,13.51,9.32,8.892813636
12/18/2019,06:20:00 AM,0.67,16.42,9.43,8.9194
12/18/2019,06:25:00 AM,0.86,19.38,9.44,8.886261364
12/18/2019,06:30:00 AM,1.07,22.13,9.4,8.700629545
12/18/2019,06:35:00 AM,1.25,24.8,9.66,8.779613636
12/18/2019,06:40:00 AM,1.4,27.37,10.08,8.968834091
12/18/2019,06:45:00 AM,1.6,30.18,10.27,9.280654545
12/18/2019,06:50:00 AM,2.93,64.29,10.7,9.696131818
12/18/2019,06:55:00 AM,7.45,236.23,14.53,10.16628864
12/18/2019,07:00:00 AM,9.06,253.86,17.94,10.67309773
12/18/2019,07:05:00 AM,10.81,288.84,20.29,11.26682273
12/18/2019,07:10:00 AM,12.6,314.74,22.54,11.907875
12/18/2019,07:15:00 AM,14.46,340.72,24.54,12.51712727
12/18/2019,07:20:00 AM,16.33,368.25,25.95,13.14526364
