Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
01/01/2020,12:00:00 AM,x,1.02,14.68,13.57384167
01/01/2020,12:05:00 AM,x,1.02,14.43,13.38293571
01/01/2020,12:10:00 AM,x,1.01,13.98,13.22850625
01/01/2020,12:15:00 AM,x,1.01,13.29,13.10950556
01/01/2020,12:20:00 AM,x,1,12.77,13.029305
01/01/2020,12:25:00 AM,x,1,12.49,12.97186818
01/01/2020,12:30:00 AM,x,1,12.27,12.76465455
01/01/2020,12:35:00 AM,x,1,12.18,12.53922955
01/01/2020,12:40:00 AM,x,1,12.19,12.31653182
01/01/2020,12:45:00 AM,x,1,12.34,12.15110682
01/01/2020,12:50:00 AM,x,1,12.43,12.04928864
01/01/2020,12:55:00 AM,x,1,12.4,11.95656136
01/01/2020,01:00:00 AM,x,1.01,11.95,11.86837955
01/01/2020,01:05:00 AM,x,1,11.53,11.78019773
01/01/2020,01:10:00 AM,x,1,11.47,11.682925
01/01/2020,01:15:00 AM,x,1,11.65,11.56019773
01/01/2020,01:20:00 AM,x,1,11.47,11.41110682
01/01/2020,01:25:00 AM,x,1,11.3,11.24747045
01/01/2020,01:30:00 AM,x,1,11.21,11.12568182
01/01/2020,01:35:00 AM,x,1,11.12,11.05113636
01/01/2020,01:40:00 AM,x,1,10.99,10.98022727
01/01/2020,01:45:00 AM,x,1,10.79,10.89019773
01/01/2020,01:50:00 AM,x,1,10.6,10.80928864
01/01/2020,01:55:00 AM,x,1,10.61,10.74107727
01/01/2020,02:00:00 AM,x,1,10.71,10.69741136
01/01/2020,02:05:00 AM,x,1,10.69,10.6792
01/01/2020,02:10:00 AM,x,1.01,10.66,10.68826136
01/01/2020,02:15:00 AM,x,1,10.58,10.73641364
01/01/2020,02:20:00 AM,x,1.01,10.55,10.81183864
01/01/2020,02:25:00 AM,x,1.01,10.73,10.87271818
01/01/2020,02:30:00 AM,x,1.01,10.92,10.90993182
01/01/2020,02:35:00 AM,x,1.01,11.09,10.94172045
01/01/2020,02:40:00 AM,x,1.01,11.32,10.96535682
01/01/2020,02:45:00 AM,x,1.01,11.43,10.99532727
01/01/2020,02:50:00 AM,x,1.01,11.28,11.03805455
01/01/2020,02:55:00 AM,x,1.02,11.12,11.06078182
01/01/2020,03:00:00 AM,x,1.01,11.04,11.06078182
01/01/2020,03:05:00 AM,x,1.01,10.92,11.04078182
