Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura Ambiente [øC]
01/15/2020,12:00:00 AM,x,1,10.42,10.2975
01/15/2020,12:05:00 AM,x,1,10.37,10.2575
01/15/2020,12:10:00 AM,x,1,10.32,10.21916667
01/15/2020,12:15:00 AM,x,1,10.33,10.15916667
01/15/2020,12:20:00 AM,x,1,10.37,10.0825
01/15/2020,12:25:00 AM,x,1,10.17,10.03583333
01/15/2020,12:30:00 AM,x,1,10.18,10.01083333
01/15/2020,12:35:00 AM,x,1,10.14,9.9575
01/15/2020,12:40:00 AM,x,1,9.96,9.919220833
01/15/2020,12:45:00 AM,x,1,9.87,9.902554167
01/15/2020,12:50:00 AM,x,1,10.09,9.902554167
01/15/2020,12:55:00 AM,x,1,10.02,9.8458875
01/15/2020,01:00:00 AM,x,1,9.86,9.774275
01/15/2020,01:05:00 AM,x,0.99,9.91,9.712608333
01/15/2020,01:10:00 AM,x,1,9.86,9.644220833
01/15/2020,01:15:00 AM,x,1,9.87,9.5858875
01/15/2020,01:20:00 AM,x,1,9.75,9.514220833
01/15/2020,01:25:00 AM,x,0.99,9.59,9.432554167
01/15/2020,01:30:00 AM,x,1,9.49,9.374220833
01/15/2020,01:35:00 AM,x,1,9.5,9.320941667
01/15/2020,01:40:00 AM,x,1,9.51,9.260941667
01/15/2020,01:45:00 AM,x,1,9.44,9.195941667
01/15/2020,01:50:00 AM,x,1,9.26,9.130995833
01/15/2020,01:55:00 AM,x,0.99,9.24,9.080995833
01/15/2020,02:00:00 AM,x,0.99,9.17,9.027608333
01/15/2020,02:05:00 AM,x,1,9.14,8.9908875
01/15/2020,02:10:00 AM,x,1,9.12,8.952554167
01/15/2020,02:15:00 AM,x,0.99,9.05,8.899220833
01/15/2020,02:20:00 AM,x,1,8.96,8.834220833
01/15/2020,02:25:00 AM,x,1,8.92,8.797608333
01/15/2020,02:30:00 AM,x,1,8.95,8.7726625
01/15/2020,02:35:00 AM,x,1,8.91,8.722716667
01/15/2020,02:40:00 AM,x,1,8.8,8.652770833
01/15/2020,02:45:00 AM,x,0.99,8.66,8.592825
01/15/2020,02:50:00 AM,x,0.99,8.74,8.562825
01/15/2020,02:55:00 AM,x,0.99,8.77,8.529491667
01/15/2020,03:00:00 AM,x,0.99,8.65,8.489491667
01/15/2020,03:05:00 AM,x,0.99,8.49,8.447825
01/15/2020,03:10:00 AM,x,0.99,8.44,8.426158333
01/15/2020,03:15:00 AM,x,0.99,8.48,8.414491667
01/15/2020,03:20:00 AM,x,0.99,8.54,8.362825
01/15/2020,03:25:00 AM,x,0.99,8.53,8.296158333
01/15/2020,03:30:00 AM,x,0.99,8.4,8.222825
01/15/2020,03:35:00 AM,x,0.99,8.36,8.172825
01/15/2020,03:40:00 AM,x,0.99,8.37,8.162825
01/15/2020,03:45:00 AM,x,0.99,8.17,8.154491667
01/15/2020,03:50:00 AM,x,0.99,8.14,8.207825
01/15/2020,03:55:00 AM,x,0.99,8.09,8.257825
01/15/2020,04:00:00 AM,x,0.99,8.1,8.336158333
01/15/2020,04:05:00 AM,x,0.99,8.3,8.434491667
01/15/2020,04:10:00 AM,x,0.99,8.32,8.466158333
01/15/2020,04:15:00 AM,x,0.99,8.49,8.512879167
01/15/2020,04:20:00 AM,x,0.99,8.44,8.5746
01/15/2020,04:25:00 AM,x,0.99,8.56,8.672933333
01/15/2020,04:30:00 AM,x,0.99,8.69,8.7646
01/15/2020,04:35:00 AM,x,0.99,8.49,8.827933333
01/15/2020,04:40:00 AM,x,0.98,8.6,8.8579875
01/15/2020,04:45:00 AM,x,0.98,8.86,8.874654167
01/15/2020,04:50:00 AM,x,0.99,9.03,8.8429875
01/15/2020,04:55:00 AM,x,0.99,9.11,8.786375
01/15/2020,05:00:00 AM,x,0.99,9.07,8.726429167
01/15/2020,05:05:00 AM,x,0.98,8.67,8.674816667
