Fecha ,Hora,Potencia [kW],Insolaci½n [W/mì],Temperatura de modulos [›C],Temperatura ambiente [›C]
01/22/2020,12:00:00 AM,x,1,11.54,11.38583333
01/22/2020,12:05:00 AM,x,1,11.46,11.34178571
01/22/2020,12:10:00 AM,x,1,11.45,11.295
01/22/2020,12:15:00 AM,x,1,11.45,11.24972222
01/22/2020,12:20:00 AM,x,1,11.37,11.1985
01/22/2020,12:25:00 AM,x,1,11.24,11.15022727
01/22/2020,12:30:00 AM,x,1,11.11,11.06659091
01/22/2020,12:35:00 AM,x,1,11,10.99022727
01/22/2020,12:40:00 AM,x,1,10.92,10.92568182
01/22/2020,12:45:00 AM,x,1,10.77,10.88022727
01/22/2020,12:50:00 AM,x,1,10.7,10.83386364
01/22/2020,12:55:00 AM,x,1,10.62,10.77659091
01/22/2020,01:00:00 AM,x,1,10.62,10.7175
01/22/2020,01:05:00 AM,x,1,10.74,10.66477273
01/22/2020,01:10:00 AM,x,1,10.95,10.61568182
01/22/2020,01:15:00 AM,x,1,10.86,10.56840909
01/22/2020,01:20:00 AM,x,1,10.61,10.51843864
01/22/2020,01:25:00 AM,x,1,10.46,10.47210455
01/22/2020,01:30:00 AM,x,1,10.42,10.44028636
01/22/2020,01:35:00 AM,x,1,10.38,10.39755909
01/22/2020,01:40:00 AM,x,1,10.25,10.33665
01/22/2020,01:45:00 AM,x,0.99,10.15,10.27483182
01/22/2020,01:50:00 AM,x,0.99,10.11,10.23028636
01/22/2020,01:55:00 AM,x,1,10.27,10.19301364
01/22/2020,02:00:00 AM,x,1,10.27,10.15119545
01/22/2020,02:05:00 AM,x,1,10.28,10.10846818
01/22/2020,02:10:00 AM,x,1,10.18,10.07846818
01/22/2020,02:15:00 AM,x,1,10.12,10.05480227
01/22/2020,02:20:00 AM,x,1,10.05,10.03659091
01/22/2020,02:25:00 AM,x,1,9.96,10.00295455
01/22/2020,02:30:00 AM,x,1,9.91,9.9775
01/22/2020,02:35:00 AM,x,1,9.92,9.953863636
01/22/2020,02:40:00 AM,x,1,9.89,9.932954545
01/22/2020,02:45:00 AM,x,1,9.91,9.912954545
01/22/2020,02:50:00 AM,x,1,9.9,9.896590909
01/22/2020,02:55:00 AM,x,1,9.99,9.895681818
01/22/2020,03:00:00 AM,x,1,10.02,9.9175
01/22/2020,03:05:00 AM,x,1,9.95,9.952954545
01/22/2020,03:10:00 AM,x,1,9.9,9.999318182
01/22/2020,03:15:00 AM,x,1,9.87,10.05022727
01/22/2020,03:20:00 AM,x,1,9.95,10.12113636
01/22/2020,03:25:00 AM,x,1,10.15,10.18204545
01/22/2020,03:30:00 AM,x,1,10.31,10.23477273
01/22/2020,03:35:00 AM,x,1,10.4,10.31568182
01/22/2020,03:40:00 AM,x,1,10.47,10.40295455
01/22/2020,03:45:00 AM,x,1,10.68,10.50480227
01/22/2020,03:50:00 AM,x,1,10.66,10.63025682
01/22/2020,03:55:00 AM,x,1,10.6,10.71480227
01/22/2020,04:00:00 AM,x,1,10.84,10.79574091
01/22/2020,04:05:00 AM,x,1,10.86,10.90937727
01/22/2020,04:10:00 AM,x,0.99,10.99,11.01392273
01/22/2020,04:15:00 AM,x,1,11.33,11.10758864
01/22/2020,04:20:00 AM,x,1,11.08,11.24940682
01/22/2020,04:25:00 AM,x,0.99,11.2,11.41304318
01/22/2020,04:30:00 AM,x,1,11.65,11.56304318
01/22/2020,04:35:00 AM,x,1,11.62,11.72849773
01/22/2020,04:40:00 AM,x,0.99,11.71,11.912075
01/22/2020,04:45:00 AM,x,1,12.22,12.08477273
01/22/2020,04:50:00 AM,x,1,12.4,12.292925
01/22/2020,04:55:00 AM,x,1,12.49,12.50013864
01/22/2020,05:00:00 AM,x,1,12.68,12.67738182
01/22/2020,05:05:00 AM,x,1.01,13.01,12.864625
01/22/2020,05:10:00 AM,x,1.01,13.23,13.05638409
01/22/2020,05:15:00 AM,x,1.01,13.37,13.19908182
