Fecha ,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
01/29/2020,12:00:00 AM,x,1,12.06,11.55115833
01/29/2020,12:05:00 AM,x,0.99,11.74,11.47211071
01/29/2020,12:10:00 AM,x,0.99,11.6,11.411575
01/29/2020,12:15:00 AM,x,0.99,11.52,11.36115833
01/29/2020,12:20:00 AM,x,0.99,11.38,11.310825
01/29/2020,12:25:00 AM,x,0.98,11.2,11.25964318
01/29/2020,12:30:00 AM,x,0.99,11.03,11.14512727
01/29/2020,12:35:00 AM,x,0.99,11.02,11.07967273
01/29/2020,12:40:00 AM,x,0.99,10.99,11.08149091
01/29/2020,12:45:00 AM,x,0.99,10.89,11.15237045
01/29/2020,12:50:00 AM,x,0.99,10.78,11.27325
01/29/2020,12:55:00 AM,x,0.99,10.8,11.42497955
01/29/2020,01:00:00 AM,x,0.99,11.02,11.57673864
01/29/2020,01:05:00 AM,x,0.99,11.62,11.68670909
01/29/2020,01:10:00 AM,x,1,12.3,11.75758864
01/29/2020,01:15:00 AM,x,1,12.71,11.82667955
01/29/2020,01:20:00 AM,x,1.01,12.87,11.88577045
01/29/2020,01:25:00 AM,x,1.01,12.7,11.93031591
01/29/2020,01:30:00 AM,x,1,12.23,11.92395227
01/29/2020,01:35:00 AM,x,1,11.77,11.87758864
01/29/2020,01:40:00 AM,x,0.99,11.65,11.82125455
01/29/2020,01:45:00 AM,x,0.99,11.43,11.75582955
01/29/2020,01:50:00 AM,x,0.99,11.29,11.61404091
01/29/2020,01:55:00 AM,x,0.99,10.95,11.43591818
01/29/2020,02:00:00 AM,x,0.99,11.11,11.27415909
01/29/2020,02:05:00 AM,x,0.99,11.68,11.13512727
01/29/2020,02:10:00 AM,x,0.99,11.99,11.01424773
01/29/2020,02:15:00 AM,x,1,11.31,10.93973182
01/29/2020,02:20:00 AM,x,0.99,10.74,10.90700455
01/29/2020,02:25:00 AM,x,0.98,10.45,10.92700455
01/29/2020,02:30:00 AM,x,0.98,10.24,10.95155
01/29/2020,02:35:00 AM,x,0.98,10.32,10.93064091
01/29/2020,02:40:00 AM,x,0.98,10.61,10.86427727
01/29/2020,02:45:00 AM,x,0.99,10.93,10.83521591
01/29/2020,02:50:00 AM,x,0.99,11.17,10.84157955
01/29/2020,02:55:00 AM,x,0.99,11.38,10.87700455
01/29/2020,03:00:00 AM,x,0.99,11.45,10.93879318
01/29/2020,03:05:00 AM,x,0.99,11.26,10.99330909
01/29/2020,03:10:00 AM,x,0.99,10.99,11.03055227
01/29/2020,03:15:00 AM,x,0.99,10.81,11.04600682
01/29/2020,03:20:00 AM,x,0.99,10.84,11.02873409
01/29/2020,03:25:00 AM,x,0.99,10.92,10.96691591
01/29/2020,03:30:00 AM,x,0.99,10.92,10.86327955
01/29/2020,03:35:00 AM,x,0.99,11.02,10.747825
01/29/2020,03:40:00 AM,x,0.99,11.1,10.63418864
01/29/2020,03:45:00 AM,x,0.99,10.98,10.52237045
01/29/2020,03:50:00 AM,x,0.99,10.7,10.40603636
01/29/2020,03:55:00 AM,x,0.99,10.31,10.30785455
01/29/2020,04:00:00 AM,x,0.99,9.99,10.25785455
01/29/2020,04:05:00 AM,x,0.99,9.74,10.23694545
01/29/2020,04:10:00 AM,x,0.99,9.58,10.22600682
01/29/2020,04:15:00 AM,x,0.98,9.56,10.23327955
01/29/2020,04:20:00 AM,x,0.99,9.84,10.27143182
01/29/2020,04:25:00 AM,x,0.99,10.37,10.34506818
01/29/2020,04:30:00 AM,x,0.99,10.79,10.45961364
01/29/2020,04:35:00 AM,x,1,10.98,10.60415909
01/29/2020,04:40:00 AM,x,0.99,11.06,10.75870455
01/29/2020,04:45:00 AM,x,1,11.12,10.90140227
01/29/2020,04:50:00 AM,x,0.99,11.12,10.98776591
01/29/2020,04:55:00 AM,x,0.99,11.25,11.00503864
01/29/2020,05:00:00 AM,x,0.99,11.33,10.95234091
01/29/2020,05:05:00 AM,x,0.99,11.28,10.85694545
01/29/2020,05:10:00 AM,x,0.99,11.13,10.73152045
01/29/2020,05:15:00 AM,x,0.99,10.79,10.58703409
01/29/2020,05:20:00 AM,x,0.99,10.56,10.43888182
01/29/2020,05:25:00 AM,x,0.98,10.21,10.27618409
01/29/2020,05:30:00 AM,x,0.98,9.93,10.10439545
01/29/2020,05:35:00 AM,x,0.98,9.68,9.935304545
01/29/2020,05:40:00 AM,x,0.98,9.53,9.779022727
01/29/2020,05:45:00 AM,x,0.98,9.49,9.636822727
01/29/2020,05:50:00 AM,x,0.98,9.46,9.500975
01/29/2020,05:55:00 AM,x,0.98,9.44,9.385702273
01/29/2020,06:00:00 AM,x,0.99,9.42,9.290406818
01/29/2020,06:05:00 AM,0,1.27,9.42,9.208452273
01/29/2020,06:10:00 AM,0,2.35,9.27,9.139247727
01/29/2020,06:15:00 AM,0,4.2,9.17,9.084734091
01/29/2020,06:20:00 AM,0.12,7.38,9.15,9.024229545
01/29/2020,06:25:00 AM,0.29,11.08,9.21,8.953281818
01/29/2020,06:30:00 AM,0.52,15.18,9.24,8.892
01/29/2020,06:35:00 AM,0.76,19.48,9.37,8.699356818
01/29/2020,06:40:00 AM,0.91,22.2,9.58,8.623034091
01/29/2020,06:45:00 AM,1.25,27.92,9.67,8.663334091
01/29/2020,06:50:00 AM,1.69,36.07,9.8,8.797670455
01/29/2020,06:55:00 AM,2.06,43.27,10.12,8.894934091
01/29/2020,07:00:00 AM,4.13,122.78,11.25,9.025045455
01/29/2020,07:05:00 AM,5.69,164.49,13.7,9.32265
01/29/2020,07:10:00 AM,6.34,178.56,15.28,9.499690909
01/29/2020,07:15:00 AM,6.49,178.22,16.18,9.627538636
01/29/2020,07:20:00 AM,7.73,210.16,16.75,9.754615909
01/29/2020,07:25:00 AM,9.66,235.45,17.83,9.978481818
01/29/2020,07:30:00 AM,8.21,179.06,17.83,10.38493864
01/29/2020,07:35:00 AM,7.81,172.74,16.42,10.76261136
01/29/2020,07:40:00 AM,10.25,215.11,17.16,11.08657045
01/29/2020,07:45:00 AM,13.42,302.29,19.85,11.40777727
01/29/2020,07:50:00 AM,15.29,339.5,22.21,11.71613182
01/29/2020,07:55:00 AM,17.04,369.21,23.73,12.09171364
01/29/2020,08:00:00 AM,19.63,400.97,25.54,12.42505682
01/29/2020,08:05:00 AM,21.49,433.22,27.12,12.95086136
01/29/2020,08:10:00 AM,23.2,467.35,29.11,13.636125
01/29/2020,08:15:00 AM,25.3,495.64,29.42,14.19698409
01/29/2020,08:20:00 AM,26.92,520.33,31.22,14.49546591
01/29/2020,08:25:00 AM,28.42,548.39,33.5,14.70734318
01/29/2020,08:30:00 AM,30.46,578.16,35.38,14.93433409
01/29/2020,08:35:00 AM,32.58,611.79,37.59,15.21462727
01/29/2020,08:40:00 AM,33.86,635.23,36.84,15.44610682
01/29/2020,08:45:00 AM,34.9,653.86,35.71,15.74049773
01/29/2020,08:50:00 AM,36.26,673.19,35.94,16.07873409
01/29/2020,08:55:00 AM,37.28,688.45,37.38,16.27799545
01/29/2020,09:00:00 AM,38.35,703.89,39,16.38113182
01/29/2020,09:05:00 AM,39.01,712.08,39.61,16.43947045
01/29/2020,09:10:00 AM,39.85,724,40.08,16.68452045
01/29/2020,09:15:00 AM,41.11,745.85,42.27,17.16496136
01/29/2020,09:20:00 AM,41.59,760.64,42.59,17.89932727
01/29/2020,09:25:00 AM,42.29,767.56,42.67,18.40265909
01/29/2020,09:30:00 AM,43.56,780.66,43.72,18.62113864
01/29/2020,09:35:00 AM,46.16,820.29,45.55,18.76276591
01/29/2020,09:40:00 AM,47.38,844.48,47.19,18.85919091
01/29/2020,09:45:00 AM,46.66,820.02,48.79,19.01936364
01/29/2020,09:50:00 AM,47.44,827.63,47.44,19.18263864
01/29/2020,09:55:00 AM,48.72,845.02,45.99,19.34101591
01/29/2020,10:00:00 AM,49,840.76,45.35,20.11657727
01/29/2020,10:05:00 AM,52.01,893.21,46.64,20.14088182
01/29/2020,10:10:00 AM,52.02,899.33,49.02,19.14962045
01/29/2020,10:15:00 AM,47.98,785.07,45.18,18.47121591
01/29/2020,10:20:00 AM,46.58,721.34,42.91,18.37009773
01/29/2020,10:25:00 AM,22.49,354.47,38.4,18.87185682
01/29/2020,10:30:00 AM,26.4,425.91,33,20.13596364
01/29/2020,10:35:00 AM,56.66,925.83,38.93,20.55849091
01/29/2020,10:40:00 AM,59.02,991.48,46.9,20.80639318
01/29/2020,10:45:00 AM,56.89,958.47,50.58,21.12525227
01/29/2020,10:50:00 AM,46.3,749.04,48.39,21.95588864
01/29/2020,10:55:00 AM,16.5,259.37,40.36,21.70903636
01/29/2020,11:00:00 AM,31.1,440.97,36.59,21.89458636
01/29/2020,11:05:00 AM,29.02,452.04,37.21,23.11238864
01/29/2020,11:10:00 AM,31.44,535.61,40.58,23.85635682
01/29/2020,11:15:00 AM,13.25,201.74,35.16,23.68407273
01/29/2020,11:20:00 AM,16.9,254.02,32.42,22.55850909
01/29/2020,11:25:00 AM,23.83,385.57,33.73,21.867975
01/29/2020,11:30:00 AM,20.1,312.42,32.39,22.55164545
01/29/2020,11:35:00 AM,20.59,311.06,32.97,22.61547045
01/29/2020,11:40:00 AM,36.4,518.32,34.38,21.44369318
01/29/2020,11:45:00 AM,65.87,1050,45.79,20.61578182
01/29/2020,11:50:00 AM,50.95,822.32,51.06,20.41770455
01/29/2020,11:55:00 AM,21.06,323.42,40.29,20.62009545
01/29/2020,12:00:00 PM,25.85,370.13,35.25,20.73402955
01/29/2020,12:05:00 PM,60.8,945.75,41.02,21.15563409
01/29/2020,12:10:00 PM,48.25,776.11,44.72,21.84095227
