Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
02/12/2020,12:00:00 AM,x,0.99,9.52,9.357716667
02/12/2020,12:05:00 AM,x,1,9.51,9.329160714
02/12/2020,12:10:00 AM,x,0.99,9.44,9.29649375
02/12/2020,12:15:00 AM,x,1,9.31,9.27105
02/12/2020,12:20:00 AM,x,0.99,9.28,9.2647275
02/12/2020,12:25:00 AM,x,0.99,9.28,9.266827273
02/12/2020,12:30:00 AM,x,0.99,9.19,9.251372727
02/12/2020,12:35:00 AM,x,0.99,9.1,9.240493182
02/12/2020,12:40:00 AM,x,1,9.1,9.238675
02/12/2020,12:45:00 AM,x,0.99,9.24,9.238704545
02/12/2020,12:50:00 AM,x,0.99,9.32,9.232340909
02/12/2020,12:55:00 AM,x,0.99,9.35,9.221431818
02/12/2020,01:00:00 AM,x,0.99,9.39,9.219613636
02/12/2020,01:05:00 AM,x,0.99,9.42,9.220522727
02/12/2020,01:10:00 AM,x,0.99,9.31,9.230552273
02/12/2020,01:15:00 AM,x,0.99,9.21,9.216006818
02/12/2020,01:20:00 AM,x,0.99,9.16,9.189643182
02/12/2020,01:25:00 AM,x,0.99,9.17,9.163279545
02/12/2020,01:30:00 AM,x,0.99,9.11,9.115097727
02/12/2020,01:35:00 AM,x,0.99,9.21,9.056945455
02/12/2020,01:40:00 AM,x,0.99,9.08,9.002429545
02/12/2020,01:45:00 AM,x,0.99,9.03,8.95155
02/12/2020,01:50:00 AM,x,0.99,9.06,8.907034091
02/12/2020,01:55:00 AM,x,0.99,8.86,8.861609091
02/12/2020,02:00:00 AM,x,0.98,8.78,8.842547727
02/12/2020,02:05:00 AM,x,0.98,8.71,8.816213636
02/12/2020,02:10:00 AM,x,0.98,8.65,8.795304545
02/12/2020,02:15:00 AM,x,0.98,8.67,8.768061364
02/12/2020,02:20:00 AM,x,0.98,8.67,8.726272727
02/12/2020,02:25:00 AM,x,0.98,8.9,8.701756818
02/12/2020,02:30:00 AM,x,0.98,8.92,8.684484091
02/12/2020,02:35:00 AM,x,0.99,8.85,8.676302273
02/12/2020,02:40:00 AM,x,0.98,8.73,8.665393182
02/12/2020,02:45:00 AM,x,0.98,8.6,8.645393182
02/12/2020,02:50:00 AM,x,0.98,8.59,8.624484091
02/12/2020,02:55:00 AM,x,0.98,8.59,8.579029545
02/12/2020,03:00:00 AM,x,0.98,8.62,8.528120455
02/12/2020,03:05:00 AM,x,0.98,8.53,8.47815
02/12/2020,03:10:00 AM,x,0.98,8.45,8.434513636
02/12/2020,03:15:00 AM,x,0.98,8.44,8.409968182
02/12/2020,03:20:00 AM,x,0.98,8.4,8.383604545
02/12/2020,03:25:00 AM,x,0.98,8.36,8.356331818
02/12/2020,03:30:00 AM,x,0.98,8.3,8.320877273
02/12/2020,03:35:00 AM,x,0.98,8.25,8.292695455
02/12/2020,03:40:00 AM,x,0.98,8.33,8.269968182
02/12/2020,03:45:00 AM,x,0.98,8.3,8.251786364
02/12/2020,03:50:00 AM,x,0.98,8.29,8.241786364
02/12/2020,03:55:00 AM,x,0.98,8.23,8.233604545
02/12/2020,04:00:00 AM,x,0.98,8.22,8.236331818
02/12/2020,04:05:00 AM,x,0.98,8.2,8.233604545
02/12/2020,04:10:00 AM,x,0.98,8.24,8.209997727
02/12/2020,04:15:00 AM,x,0.98,8.29,8.182754545
02/12/2020,04:20:00 AM,x,0.98,8.27,8.146420455
02/12/2020,04:25:00 AM,x,0.98,8.33,8.094631818
02/12/2020,04:30:00 AM,x,0.98,8.22,8.035570455
02/12/2020,04:35:00 AM,x,0.97,8.07,7.971054545
02/12/2020,04:40:00 AM,x,0.97,8,7.911993182
02/12/2020,04:45:00 AM,x,0.97,7.89,7.883840909
02/12/2020,04:50:00 AM,x,0.97,7.66,7.880204545
02/12/2020,04:55:00 AM,x,0.97,7.57,7.886568182
02/12/2020,05:00:00 AM,x,0.97,7.49,7.885659091
02/12/2020,05:05:00 AM,x,0.97,7.59,7.882902273
02/12/2020,05:10:00 AM,x,0.97,7.98,7.857447727
02/12/2020,05:15:00 AM,x,0.98,8.23,7.827447727
02/12/2020,05:20:00 AM,x,0.98,8.4,7.812902273
02/12/2020,05:25:00 AM,x,0.98,8.21,7.810175
02/12/2020,05:30:00 AM,x,0.98,8.04,7.817418182
02/12/2020,05:35:00 AM,x,0.97,7.72,7.812370455
02/12/2020,05:40:00 AM,x,0.97,7.56,7.756163636
02/12/2020,05:45:00 AM,x,0.97,7.5,7.667231818
02/12/2020,05:50:00 AM,x,0.97,7.54,7.550956818
02/12/2020,05:55:00 AM,x,0.98,7.57,7.446415909
02/12/2020,06:00:00 AM,x,1.14,7.54,7.365693182
02/12/2020,06:05:00 AM,0,1.84,7.39,7.331109091
02/12/2020,06:10:00 AM,0,3.08,7.32,7.333868182
02/12/2020,06:15:00 AM,0.02,4.95,7.25,7.382388636
02/12/2020,06:20:00 AM,0.11,7.44,7.27,7.43925
02/12/2020,06:25:00 AM,0.2,9.84,7.44,7.491659091
02/12/2020,06:30:00 AM,0.35,12.06,7.7,7.552697727
02/12/2020,06:35:00 AM,0.48,14.19,8.02,7.64215
02/12/2020,06:40:00 AM,0.6,16.24,8.53,7.752625
02/12/2020,06:45:00 AM,0.73,18.34,8.73,7.876747727
02/12/2020,06:50:00 AM,0.88,20.78,8.79,7.714565909
02/12/2020,06:55:00 AM,1.02,23.25,8.93,7.684509091
02/12/2020,07:00:00 AM,1.15,25.41,9.14,7.834065909
02/12/2020,07:05:00 AM,1.3,28.15,9.35,8.096218182
02/12/2020,07:10:00 AM,1.54,32.17,9.5,8.432931818
02/12/2020,07:15:00 AM,3.38,170.64,10.79,8.800540909
02/12/2020,07:20:00 AM,9.26,275.09,15.73,9.152695455
02/12/2020,07:25:00 AM,11.75,300.21,18.71,9.605895455
02/12/2020,07:30:00 AM,13.42,327,21.07,10.0732
02/12/2020,07:35:00 AM,15.07,353.66,23.2,10.55885227
02/12/2020,07:40:00 AM,16.43,376.38,24.41,11.18033409
02/12/2020,07:45:00 AM,18.36,402.82,25.08,12.18415682
02/12/2020,07:50:00 AM,20.22,427.09,27.04,13.15368636
02/12/2020,07:55:00 AM,22.06,454.63,28.23,13.95220682
02/12/2020,08:00:00 AM,24.05,479.16,29.35,14.67208864
02/12/2020,08:05:00 AM,25.69,502.13,31.61,15.33949318
02/12/2020,08:10:00 AM,27.19,527.5,33.43,15.94822727
