Fecha,Hora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
02/26/2020,12:00:00 AM,x,0.99,13.59,13.8993833333333
02/26/2020,12:05:00 AM,x,0.99,13.82,13.8891142857143
02/26/2020,12:10:00 AM,x,0.99,13.84,13.8601625
02/26/2020,12:15:00 AM,x,0.99,13.98,13.8398666666667
02/26/2020,12:20:00 AM,x,1,14.17,13.82163
02/26/2020,12:25:00 AM,x,1,14.19,13.8076181818182
02/26/2020,12:30:00 AM,x,1,13.86,13.8158
02/26/2020,12:35:00 AM,x,1,13.69,13.8039818181818
02/26/2020,12:40:00 AM,x,1,13.71,13.7876181818182
02/26/2020,12:45:00 AM,x,1,13.69,13.7685272727273
02/26/2020,12:50:00 AM,x,1,13.7,13.7631022727273
02/26/2020,12:55:00 AM,x,0.99,13.68,13.7594659090909
02/26/2020,01:00:00 AM,x,0.99,13.69,13.8012840909091
02/26/2020,01:05:00 AM,x,0.99,13.66,13.8640113636364
02/26/2020,01:10:00 AM,x,0.99,13.77,13.9194659090909
02/26/2020,01:15:00 AM,x,0.99,14.11,13.9767386363636
02/26/2020,01:20:00 AM,x,1,14.15,14.0267386363636
02/26/2020,01:25:00 AM,x,1,14.32,14.0767090909091
02/26/2020,01:30:00 AM,x,1,14.38,14.1048613636364
02/26/2020,01:35:00 AM,x,1,14.32,14.1248613636364
02/26/2020,01:40:00 AM,x,1,14.32,14.1257704545455
02/26/2020,01:45:00 AM,x,1,14.25,14.1021340909091
02/26/2020,01:50:00 AM,x,1,14.23,14.0867090909091
02/26/2020,01:55:00 AM,x,1,14,14.0730727272727
02/26/2020,02:00:00 AM,x,0.99,13.88,14.0494659090909
02/26/2020,02:05:00 AM,x,0.99,13.78,13.9922227272727
02/26/2020,02:10:00 AM,x,0.99,13.85,13.9040704545455
02/26/2020,02:15:00 AM,x,0.99,13.98,13.778675
02/26/2020,02:20:00 AM,x,1,14.17,13.6396431818182
02/26/2020,02:25:00 AM,x,0.99,14.12,13.5106113636364
02/26/2020,02:30:00 AM,x,0.99,13.69,13.3970045454545
02/26/2020,02:35:00 AM,x,0.99,13.35,13.3133977272727
02/26/2020,02:40:00 AM,x,0.98,12.87,13.2397909090909
02/26/2020,02:45:00 AM,x,0.98,12.7,13.1680022727273
02/26/2020,02:50:00 AM,x,0.98,12.58,13.0916681818182
02/26/2020,02:55:00 AM,x,0.98,12.63,13.00985
02/26/2020,03:00:00 AM,x,0.98,12.86,12.9634863636364
02/26/2020,03:05:00 AM,x,0.98,13.04,12.9471522727273
02/26/2020,03:10:00 AM,x,0.98,13.19,12.9853340909091
02/26/2020,03:15:00 AM,x,0.99,13.33,13.04985
02/26/2020,03:20:00 AM,x,0.99,13.22,13.1361840909091
02/26/2020,03:25:00 AM,x,0.99,13.18,13.2216090909091
02/26/2020,03:30:00 AM,x,0.98,13.17,13.2770340909091
02/26/2020,03:35:00 AM,x,0.98,13.29,13.2824590909091
02/26/2020,03:40:00 AM,x,0.99,13.41,13.2433386363636
02/26/2020,03:45:00 AM,x,0.99,13.53,13.1824295454545
02/26/2020,03:50:00 AM,x,0.99,13.57,13.0806409090909
02/26/2020,03:55:00 AM,x,0.99,13.47,12.9933977272727
02/26/2020,04:00:00 AM,x,0.99,13.1,12.9252159090909
02/26/2020,04:05:00 AM,x,0.99,12.76,12.8243068181818
02/26/2020,04:10:00 AM,x,0.99,12.66,12.6952454545455
02/26/2020,04:15:00 AM,x,0.98,12.1,12.5498204545455
02/26/2020,04:20:00 AM,x,0.98,12.22,12.4034863636364
02/26/2020,04:25:00 AM,x,0.98,12.42,12.274425
02/26/2020,04:30:00 AM,x,0.98,12.18,12.1880909090909
02/26/2020,04:35:00 AM,x,0.98,11.99,12.1608477272727
02/26/2020,04:40:00 AM,x,0.98,11.93,12.1526954545455
02/26/2020,04:45:00 AM,x,0.98,11.96,12.1963318181818
02/26/2020,04:50:00 AM,x,0.98,12.05,12.2326954545455
