Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
07/22/2020,12:00:00 AM,x,0.97,11.11,11.10180833
07/22/2020,12:05:00 AM,x,0.97,11.13,11.11561786
07/22/2020,12:10:00 AM,x,0.97,11.12,11.12093438
07/22/2020,12:15:00 AM,x,0.97,11.13,11.11843889
07/22/2020,12:20:00 AM,x,0.97,11.12,11.1194425
07/22/2020,12:25:00 AM,x,0.97,11.19,11.12659773
07/22/2020,12:30:00 AM,x,0.97,11.23,11.14568864
07/22/2020,12:35:00 AM,x,0.98,11.19,11.179325
07/22/2020,12:40:00 AM,x,0.97,11.13,11.22384091
07/22/2020,12:45:00 AM,x,0.97,11.16,11.26653864
07/22/2020,12:50:00 AM,x,0.98,11.23,11.28108409
07/22/2020,12:55:00 AM,x,0.97,11.32,11.23744773
07/22/2020,01:00:00 AM,x,0.97,11.5,11.13838636
07/22/2020,01:05:00 AM,x,0.98,11.61,11.02117273
07/22/2020,01:10:00 AM,x,0.98,11.6,10.898475
07/22/2020,01:15:00 AM,x,0.97,11.28,10.79032273
07/22/2020,01:20:00 AM,x,0.97,10.71,10.69038182
07/22/2020,01:25:00 AM,x,0.96,10.14,10.58856364
07/22/2020,01:30:00 AM,x,0.96,9.9,10.47492727
07/22/2020,01:35:00 AM,x,0.96,9.78,10.35950227
07/22/2020,01:40:00 AM,x,0.96,9.97,10.25407727
07/22/2020,01:45:00 AM,x,0.96,10.13,10.18589545
07/22/2020,01:50:00 AM,x,0.97,10.2,10.17316818
07/22/2020,01:55:00 AM,x,0.97,10.25,10.21586591
07/22/2020,02:00:00 AM,x,0.97,10.34,10.28401818
07/22/2020,02:05:00 AM,x,0.97,10.44,10.35395909
07/22/2020,02:10:00 AM,x,0.97,10.53,10.40844545
07/22/2020,02:15:00 AM,x,0.97,10.57,10.45475
07/22/2020,02:20:00 AM,x,0.97,10.61,10.500175
07/22/2020,02:25:00 AM,x,0.97,10.65,10.54650909
07/22/2020,02:30:00 AM,x,0.98,10.55,10.58829773
07/22/2020,02:35:00 AM,x,0.98,10.57,10.62281364
07/22/2020,02:40:00 AM,x,0.98,10.64,10.66096591
07/22/2020,02:45:00 AM,x,0.98,10.7,10.70911818
07/22/2020,02:50:00 AM,x,0.98,10.76,10.76817955
07/22/2020,02:55:00 AM,x,0.98,10.8,10.83269545
07/22/2020,03:00:00 AM,x,0.98,10.82,10.88178636
07/22/2020,03:05:00 AM,x,0.98,10.95,10.89905909
07/22/2020,03:10:00 AM,x,0.98,11.1,10.89636136
07/22/2020,03:15:00 AM,x,0.98,11.26,10.92275455
07/22/2020,03:20:00 AM,x,0.98,11.36,10.96184545
07/22/2020,03:25:00 AM,x,0.98,11.09,11.00002727
07/22/2020,03:30:00 AM,x,0.98,10.76,11.04460227
07/22/2020,03:35:00 AM,x,0.97,10.61,11.08917727
07/22/2020,03:40:00 AM,x,0.97,10.99,11.12008636
07/22/2020,03:45:00 AM,x,0.98,11.19,11.14735909
07/22/2020,03:50:00 AM,x,0.98,11.22,11.16372273
07/22/2020,03:55:00 AM,x,0.97,11.31,11.19463182
07/22/2020,04:00:00 AM,x,0.97,11.44,11.23557045
07/22/2020,04:05:00 AM,x,0.98,11.44,11.28738864
07/22/2020,04:10:00 AM,x,0.98,11.56,11.30193409
07/22/2020,04:15:00 AM,x,0.98,11.54,11.31650909
07/22/2020,04:20:00 AM,x,0.98,11.43,11.33653864
07/22/2020,04:25:00 AM,x,0.97,11.21,11.34472045
07/22/2020,04:30:00 AM,x,0.97,11.18,11.33199318
07/22/2020,04:35:00 AM,x,0.97,11.15,11.31293182
07/22/2020,04:40:00 AM,x,0.97,11.35,11.25568864
07/22/2020,04:45:00 AM,x,0.97,11.44,11.1639
07/22/2020,04:50:00 AM,x,0.97,11.4,11.04486818
07/22/2020,04:55:00 AM,x,0.97,11.3,10.91944318
07/22/2020,05:00:00 AM,x,0.97,11.23,10.77313864
07/22/2020,05:05:00 AM,x,0.97,10.93,10.61862273
07/22/2020,05:10:00 AM,x,0.97,10.53,10.44410682
07/22/2020,05:15:00 AM,x,0.96,10.12,10.25319773
07/22/2020,05:20:00 AM,x,0.96,9.83,10.06471364
07/22/2020,05:25:00 AM,x,0.95,9.57,9.919593182
07/22/2020,05:30:00 AM,x,0.96,9.45,9.829145455
07/22/2020,05:35:00 AM,x,0.96,9.43,9.795604545
07/22/2020,05:40:00 AM,x,0.97,9.34,9.800877273
07/22/2020,05:45:00 AM,0,1.38,9.34,9.843854545
07/22/2020,05:50:00 AM,0,1.78,9.73,9.918093182
07/22/2020,05:55:00 AM,0,2.66,10.29,10.012525
07/22/2020,06:00:00 AM,0.02,4.63,10.68,10.13422727
07/22/2020,06:05:00 AM,0.08,6.57,10.77,10.27273182
07/22/2020,06:10:00 AM,0.13,8.26,10.83,10.426275
07/22/2020,06:15:00 AM,0.25,10.91,10.97,10.56653636
07/22/2020,06:20:00 AM,0.72,19.45,11.21,10.69781364
07/22/2020,06:25:00 AM,1.57,34.23,11.87,10.79054318
07/22/2020,06:30:00 AM,2.62,51.62,12.6,10.90992045
07/22/2020,06:35:00 AM,3.26,62.54,13.03,11.022
07/22/2020,06:40:00 AM,4.2,78.83,13.4,11.12908636
07/22/2020,06:45:00 AM,5.14,93.04,14.14,11.26654318
07/22/2020,06:50:00 AM,6.01,107.89,14.73,11.44397273
07/22/2020,06:55:00 AM,5.81,103.61,15.21,11.687575
07/22/2020,07:00:00 AM,6.1,108.02,15.3,12.00418409
07/22/2020,07:05:00 AM,7.21,127.4,15.88,12.46320455
07/22/2020,07:10:00 AM,8.21,142.54,16.76,12.93965682
07/22/2020,07:15:00 AM,9.85,172.32,18.13,13.36436818
07/22/2020,07:20:00 AM,10.84,187.78,19.54,13.68584773
07/22/2020,07:25:00 AM,11.57,200.46,20.92,14.00632955
07/22/2020,07:30:00 AM,10.57,180.41,21.91,14.37424318
07/22/2020,07:35:00 AM,10.3,174.8,21.76,14.79522727
07/22/2020,07:40:00 AM,10.02,170.83,21.34,15.16527045
07/22/2020,07:45:00 AM,13.03,228.62,22.19,15.3912
07/22/2020,07:50:00 AM,13.94,244.37,23.31,15.423975
07/22/2020,07:55:00 AM,14.14,250.88,23.99,15.36480227
07/22/2020,08:00:00 AM,13.73,239.99,24.17,15.15689773
07/22/2020,08:05:00 AM,10.18,173.91,21.85,14.91693182
07/22/2020,08:10:00 AM,8.42,145.39,19.74,14.90638864
07/22/2020,08:15:00 AM,10.3,169.61,19.31,15.11049545
07/22/2020,08:20:00 AM,11.3,184.18,19.74,14.97559091
07/22/2020,08:25:00 AM,13.1,214.47,20.73,15.05844318
07/22/2020,08:30:00 AM,17.29,289.25,22.84,15.01273864
07/22/2020,08:35:00 AM,14.84,244.86,23.63,15.11187045
07/22/2020,08:40:00 AM,12.41,207.23,23.74,15.40643636
07/22/2020,08:45:00 AM,16.61,282.03,23.05,15.76255909
07/22/2020,08:50:00 AM,13.09,214.53,23.72,15.95250909
07/22/2020,08:55:00 AM,15.67,264.69,24.47,16.26529318
07/22/2020,09:00:00 AM,15.85,268.05,26,16.56105
07/22/2020,09:05:00 AM,15.65,256.46,26.59,16.322775
07/22/2020,09:10:00 AM,15.82,259.23,26.14,16.01085682
