Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
06/17/2020,12:00:00 AM,x,0.98,10.98,11.06981667
06/17/2020,12:05:00 AM,x,0.98,11.03,11.12243571
06/17/2020,12:10:00 AM,x,0.98,11.07,11.1719
06/17/2020,12:15:00 AM,x,0.98,11.05,11.19148333
06/17/2020,12:20:00 AM,x,0.98,11.13,11.18715
06/17/2020,12:25:00 AM,x,0.98,11.35,11.17087727
06/17/2020,12:30:00 AM,x,0.98,11.47,11.16636136
06/17/2020,12:35:00 AM,x,0.98,11.55,11.16093636
06/17/2020,12:40:00 AM,x,0.98,11.38,11.15369318
06/17/2020,12:45:00 AM,x,0.98,11.18,11.14372273
06/17/2020,12:50:00 AM,x,0.98,11.04,11.12738864
06/17/2020,12:55:00 AM,x,0.97,10.93,11.09466136
06/17/2020,01:00:00 AM,x,0.97,10.97,11.05287273
06/17/2020,01:05:00 AM,x,0.97,10.99,10.99744773
06/17/2020,01:10:00 AM,x,0.97,10.94,10.95202273
06/17/2020,01:15:00 AM,x,0.97,10.95,10.92114318
06/17/2020,01:20:00 AM,x,0.98,10.99,10.90844545
06/17/2020,01:25:00 AM,x,0.97,11.01,10.90299091
06/17/2020,01:30:00 AM,x,0.97,10.94,10.90299091
06/17/2020,01:35:00 AM,x,0.97,10.88,10.92026364
06/17/2020,01:40:00 AM,x,0.97,10.84,10.94299091
06/17/2020,01:45:00 AM,x,0.97,10.9,10.96480909
06/17/2020,01:50:00 AM,x,0.97,10.87,10.97480909
06/17/2020,01:55:00 AM,x,0.97,10.97,10.98117273
06/17/2020,02:00:00 AM,x,0.97,11.18,10.97844545
06/17/2020,02:05:00 AM,x,0.97,11.19,10.98935455
06/17/2020,02:10:00 AM,x,0.97,11.19,11.00026364
06/17/2020,02:15:00 AM,x,0.98,11.1,11.0039
06/17/2020,02:20:00 AM,x,0.97,11.08,11.00571818
06/17/2020,02:25:00 AM,x,0.97,10.91,11.00117273
06/17/2020,02:30:00 AM,x,0.97,11,10.97026364
06/17/2020,02:35:00 AM,x,0.97,10.96,10.93935455
06/17/2020,02:40:00 AM,x,0.97,10.94,10.90844545
06/17/2020,02:45:00 AM,x,0.97,10.89,10.88938409
06/17/2020,02:50:00 AM,x,0.97,10.92,10.878475
06/17/2020,02:55:00 AM,x,0.97,10.84,10.89392955
06/17/2020,03:00:00 AM,x,0.97,10.85,10.89665682
06/17/2020,03:05:00 AM,x,0.97,10.85,10.90574773
06/17/2020,03:10:00 AM,x,0.97,10.89,10.90029318
06/17/2020,03:15:00 AM,x,0.97,10.96,10.89844545
06/17/2020,03:20:00 AM,x,0.97,11.08,10.88935455
06/17/2020,03:25:00 AM,x,0.97,11.03,10.89662727
06/17/2020,03:30:00 AM,x,0.97,11.06,10.90571818
06/17/2020,03:35:00 AM,x,0.97,10.88,10.9139
06/17/2020,03:40:00 AM,x,0.98,10.87,10.91935455
06/17/2020,03:45:00 AM,x,0.97,10.82,10.91117273
06/17/2020,03:50:00 AM,x,0.97,10.92,10.88844545
06/17/2020,03:55:00 AM,x,0.97,10.95,10.87208182
06/17/2020,04:00:00 AM,x,0.97,10.94,10.85026364
06/17/2020,04:05:00 AM,x,0.97,10.95,10.83844545
06/17/2020,04:10:00 AM,x,0.97,10.87,10.82665682
06/17/2020,04:15:00 AM,x,0.97,10.83,10.818475
06/17/2020,04:20:00 AM,x,0.97,10.85,10.80029318
06/17/2020,04:25:00 AM,x,0.97,10.82,10.78029318
06/17/2020,04:30:00 AM,x,0.97,10.75,10.76029318
06/17/2020,04:35:00 AM,x,0.97,10.74,10.74029318
06/17/2020,04:40:00 AM,x,0.97,10.73,10.73029318
06/17/2020,04:45:00 AM,x,0.97,10.72,10.72665682
06/17/2020,04:50:00 AM,x,0.97,10.73,10.72665682
06/17/2020,04:55:00 AM,x,0.97,10.72,10.72756591
06/17/2020,05:00:00 AM,x,0.97,10.73,10.73665682
06/17/2020,05:05:00 AM,x,0.97,10.76,10.73935455
06/17/2020,05:10:00 AM,x,0.97,10.79,10.73269545
06/17/2020,05:15:00 AM,x,0.97,10.85,10.71095227
06/17/2020,05:20:00 AM,x,0.97,10.83,10.67712045
06/17/2020,05:25:00 AM,x,0.97,10.85,10.63432727
06/17/2020,05:30:00 AM,x,0.98,10.77,10.55693864
06/17/2020,05:35:00 AM,x,1.07,10.66,10.47507955
06/17/2020,05:40:00 AM,0,1.56,10.5,10.37356591
06/17/2020,05:45:00 AM,0,3.19,10.43,10.30993182
06/17/2020,05:50:00 AM,0.23,9.3,10.52,10.28408636
06/17/2020,05:55:00 AM,1.25,26.24,10.7,10.25912273
06/17/2020,06:00:00 AM,1.75,34.83,10.96,10.23403636
06/17/2020,06:05:00 AM,2.59,49.79,11.26,10.19683409
06/17/2020,06:10:00 AM,2.98,54.2,11.88,10.195875
06/17/2020,06:15:00 AM,3.12,57.41,12.38,10.19258182
06/17/2020,06:20:00 AM,3.74,70.65,12.84,10.26081591
06/17/2020,06:25:00 AM,4.19,76.24,12.94,10.42103182
06/17/2020,06:30:00 AM,4.06,75.2,12.66,10.59060455
06/17/2020,06:35:00 AM,4.24,78.5,12.99,10.75363409
06/17/2020,06:40:00 AM,5.89,104.92,13.7,10.94315682
06/17/2020,06:45:00 AM,6.29,109.59,14.53,11.15211364
06/17/2020,06:50:00 AM,5.77,99.09,14.83,11.29665
06/17/2020,06:55:00 AM,5.92,103.59,15.06,11.37533182
06/17/2020,07:00:00 AM,6.67,117.38,15.25,11.2455
06/17/2020,07:05:00 AM,6.86,119.9,16.1,11.37822273
06/17/2020,07:10:00 AM,6.74,116.84,16.61,11.54792045
06/17/2020,07:15:00 AM,7.15,125.73,16.22,11.77690682
06/17/2020,07:20:00 AM,8.32,146.84,16.1,12.03398636
06/17/2020,07:25:00 AM,13.12,278.22,17.83,12.34260455
06/17/2020,07:30:00 AM,10.88,188.04,18.01,12.75410455
06/17/2020,07:35:00 AM,11.58,197.33,18.57,13.08151591
06/17/2020,07:40:00 AM,11.77,201.01,20.02,13.24478864
06/17/2020,07:45:00 AM,10.58,186.54,20.5,13.363325
06/17/2020,07:50:00 AM,9.77,171.75,20.67,13.55401818
06/17/2020,07:55:00 AM,7.92,137.18,20.42,14.00515682
06/17/2020,08:00:00 AM,7.33,126.93,19.93,14.23801364
06/17/2020,08:05:00 AM,8.16,140.04,19.16,14.49486591
06/17/2020,08:10:00 AM,10,169.61,18.95,14.61044545
06/17/2020,08:15:00 AM,11.72,193.99,19.73,14.15038864
06/17/2020,08:20:00 AM,13.01,214.45,20.72,14.21642955
06/17/2020,08:25:00 AM,13.97,230.15,21.94,14.47058864
06/17/2020,08:30:00 AM,14.5,241.78,22.84,14.749725
06/17/2020,08:35:00 AM,16.8,284.66,24.01,15.20009773
06/17/2020,08:40:00 AM,30.04,551.79,27.31,15.71760455
06/17/2020,08:45:00 AM,25.22,453.09,30.54,16.32022273
06/17/2020,08:50:00 AM,19.88,340.08,29.81,16.57847955
06/17/2020,08:55:00 AM,17.16,291.53,28.35,16.78096364
06/17/2020,09:00:00 AM,13.87,237.76,27.29,17.01191364
06/17/2020,09:05:00 AM,13.36,228.3,26.55,17.16334545
06/17/2020,09:10:00 AM,8.16,138.95,24.57,17.83972727
06/17/2020,09:15:00 AM,9.36,159.04,21.76,18.01573182
06/17/2020,09:20:00 AM,10.4,170.54,22.23,17.83179318
06/17/2020,09:25:00 AM,9,147.92,22.33,17.75183182
06/17/2020,09:30:00 AM,9.78,167.56,21.87,17.49303864
06/17/2020,09:35:00 AM,11.52,189.63,22.98,17.23897955
06/17/2020,09:40:00 AM,9.54,158.75,22.91,16.91368182
06/17/2020,09:45:00 AM,10.66,180.49,22.6,17.07485455
06/17/2020,09:50:00 AM,6.96,116.44,21.78,17.11604318
06/17/2020,09:55:00 AM,6.61,118.89,20.58,17.06841591
06/17/2020,10:00:00 AM,8.2,143.52,21,17.0639
06/17/2020,10:05:00 AM,9.08,159.82,21.67,17.11733182
06/17/2020,10:10:00 AM,6.14,101.72,21.67,17.06041364
06/17/2020,10:15:00 AM,6.29,113.83,20.84,17.02259773
06/17/2020,10:20:00 AM,6.44,116.04,20.77,17.130125
06/17/2020,10:25:00 AM,8.16,143.55,21.04,17.33395227
06/17/2020,10:30:00 AM,8.05,126.93,21.53,17.42848409
06/17/2020,10:35:00 AM,8.54,138.63,21.63,17.35336818
06/17/2020,10:40:00 AM,12.95,210.52,23.16,16.82151364
06/17/2020,10:45:00 AM,9.12,150.2,24.06,16.83811818
06/17/2020,10:50:00 AM,7.69,130.21,23.19,16.99280682
06/17/2020,10:55:00 AM,11.44,184.14,23.36,16.75019318
06/17/2020,11:00:00 AM,15.55,247.09,23.68,16.32825682
06/17/2020,11:05:00 AM,21.79,342.04,23.63,16.16490909
06/17/2020,11:10:00 AM,15.67,244.21,25.26,16.26230682
