Fecha,ora,Potencia [kW],Insolación [W/m²],Temperatura de modulos [°C],Temperatura ambiente [°C]
03/04/2020,12:00:00 AM,x,1,12.11,11.98922083
03/04/2020,12:05:00 AM,x,1,12.07,11.98754643
03/04/2020,12:10:00 AM,x,1,11.98,11.98879063
03/04/2020,12:15:00 AM,x,0.99,12.04,11.98753611
03/04/2020,12:20:00 AM,x,1,12.03,11.9895
03/04/2020,12:25:00 AM,x,1,11.9,11.97840909
03/04/2020,12:30:00 AM,x,1,12.01,11.96204545
03/04/2020,12:35:00 AM,x,1,12.03,11.9375
03/04/2020,12:40:00 AM,x,1,12.01,11.93295455
03/04/2020,12:45:00 AM,x,1.01,12.04,11.93837955
03/04/2020,12:50:00 AM,x,1,11.9,11.92928864
03/04/2020,12:55:00 AM,x,1,11.93,11.91113636
03/04/2020,01:00:00 AM,x,1,11.8,11.87480227
03/04/2020,01:05:00 AM,x,1,11.93,11.83301364
03/04/2020,01:10:00 AM,x,1,12.1,11.81577045
03/04/2020,01:15:00 AM,x,1,11.93,11.79310227
03/04/2020,01:20:00 AM,x,0.99,11.7,11.79495
03/04/2020,01:25:00 AM,x,0.99,11.61,11.79407045
03/04/2020,01:30:00 AM,x,0.99,11.57,11.77773636
03/04/2020,01:35:00 AM,x,0.99,11.82,11.73140227
03/04/2020,01:40:00 AM,x,0.99,11.79,11.66055227
03/04/2020,01:45:00 AM,x,0.99,11.92,11.60424773
03/04/2020,01:50:00 AM,x,0.99,11.92,11.57061136
03/04/2020,01:55:00 AM,x,0.99,11.62,11.54973182
03/04/2020,02:00:00 AM,x,0.99,11.42,11.51521591
03/04/2020,02:05:00 AM,x,0.98,11.32,11.46067045
03/04/2020,02:10:00 AM,x,0.98,11.31,11.43157955
03/04/2020,02:15:00 AM,x,0.99,11.33,11.38794318
03/04/2020,02:20:00 AM,x,0.98,11.38,11.33248864
03/04/2020,02:25:00 AM,x,0.98,11.19,11.29794318
03/04/2020,02:30:00 AM,x,0.99,11.22,11.30521591
03/04/2020,02:35:00 AM,x,0.99,11.47,11.33245909
03/04/2020,02:40:00 AM,x,0.99,11.44,11.37694545
03/04/2020,02:45:00 AM,x,0.99,11.31,11.42327955
03/04/2020,02:50:00 AM,x,0.99,11.24,11.45597727
03/04/2020,02:55:00 AM,x,0.99,11.5,11.51412955
03/04/2020,03:00:00 AM,x,0.99,11.62,11.57140227
03/04/2020,03:05:00 AM,x,1,11.8,11.61776591
