Fecha ,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
03/18/2020,12:00:00 AM,x,1.02,15.23,14.13666667
03/18/2020,12:05:00 AM,x,1.02,15.46,14.11857143
03/18/2020,12:10:00 AM,x,1.02,15.47,14.1025
03/18/2020,12:15:00 AM,x,1.02,15.12,14.05666667
03/18/2020,12:20:00 AM,x,1.01,14.8,13.995
03/18/2020,12:25:00 AM,x,1.01,14.84,13.91363636
03/18/2020,12:30:00 AM,x,1.01,15.02,13.77545455
03/18/2020,12:35:00 AM,x,1.01,15,13.61090909
03/18/2020,12:40:00 AM,x,1.01,14.7,13.45
03/18/2020,12:45:00 AM,x,1,14.44,13.33181818
03/18/2020,12:50:00 AM,x,1,14.1,13.26090909
03/18/2020,12:55:00 AM,x,1,13.69,13.18
03/18/2020,01:00:00 AM,x,1,13.63,13.09181818
03/18/2020,01:05:00 AM,x,1,13.68,13.00727273
03/18/2020,01:10:00 AM,x,1,13.8,12.95909091
03/18/2020,01:15:00 AM,x,1,14.01,12.91181818
03/18/2020,01:20:00 AM,x,1.01,13.95,12.87909091
03/18/2020,01:25:00 AM,x,1,14.04,12.86454545
03/18/2020,01:30:00 AM,x,1,14.06,12.84545455
03/18/2020,01:35:00 AM,x,1,14.16,12.82272727
03/18/2020,01:40:00 AM,x,1,13.92,12.77090909
03/18/2020,01:45:00 AM,x,1,13.74,12.69181818
03/18/2020,01:50:00 AM,x,1,13.53,12.61636364
03/18/2020,01:55:00 AM,x,0.99,13.41,12.51545455
03/18/2020,02:00:00 AM,x,1,13.43,12.40181818
03/18/2020,02:05:00 AM,x,1,13.23,12.24818182
03/18/2020,02:10:00 AM,x,1,13.14,12.07909091
03/18/2020,02:15:00 AM,x,1,13.11,11.89818182
03/18/2020,02:20:00 AM,x,1,12.93,11.72818182
03/18/2020,02:25:00 AM,x,1,12.81,11.56454545
03/18/2020,02:30:00 AM,x,1,12.47,11.41181818
03/18/2020,02:35:00 AM,x,1,12.06,11.28909091
03/18/2020,02:40:00 AM,x,0.99,11.74,11.18454545
03/18/2020,02:45:00 AM,x,0.99,11.65,11.07818182
03/18/2020,02:50:00 AM,x,0.99,11.61,10.96909091
03/18/2020,02:55:00 AM,x,0.99,11.74,10.85
03/18/2020,03:00:00 AM,x,0.99,11.87,10.74727273
03/18/2020,03:05:00 AM,x,1,11.99,10.69818182
03/18/2020,03:10:00 AM,x,1,11.94,10.69818182
03/18/2020,03:15:00 AM,x,1,11.73,10.73272727
03/18/2020,03:20:00 AM,x,0.99,11.49,10.76272727
03/18/2020,03:25:00 AM,x,0.99,11.33,10.76727273
03/18/2020,03:30:00 AM,x,0.99,11.51,10.75454545
03/18/2020,03:35:00 AM,x,0.99,11.74,10.70727273
03/18/2020,03:40:00 AM,x,1,12.04,10.66727273
03/18/2020,03:45:00 AM,x,1,11.95,10.64818182
03/18/2020,03:50:00 AM,x,0.99,11.79,10.63181818
03/18/2020,03:55:00 AM,x,0.99,11.73,10.60636364
03/18/2020,04:00:00 AM,x,0.99,11.46,10.55545455
03/18/2020,04:05:00 AM,x,0.99,11.49,10.47181818
03/18/2020,04:10:00 AM,x,0.99,11.51,10.34727273
03/18/2020,04:15:00 AM,x,0.99,11.31,10.20909091
03/18/2020,04:20:00 AM,x,0.99,11.05,10.07090909
03/18/2020,04:25:00 AM,x,0.99,10.95,9.936363636
03/18/2020,04:30:00 AM,x,0.99,10.82,9.843636364
03/18/2020,04:35:00 AM,x,0.99,10.66,9.756363636
03/18/2020,04:40:00 AM,x,0.99,10.42,9.697272727
03/18/2020,04:45:00 AM,x,0.99,10.27,9.672727273
03/18/2020,04:50:00 AM,x,0.99,10.25,9.666363636
03/18/2020,04:55:00 AM,x,0.99,10.44,9.648181818
03/18/2020,05:00:00 AM,x,0.99,10.53,9.644545455
03/18/2020,05:05:00 AM,x,0.99,10.86,9.676363636
03/18/2020,05:10:00 AM,x,1,11.05,9.742727273
03/18/2020,05:15:00 AM,x,0.99,10.98,9.816363636
03/18/2020,05:20:00 AM,x,0.99,10.75,9.889090909
03/18/2020,05:25:00 AM,x,0.99,10.78,9.938181818
03/18/2020,05:30:00 AM,x,1,11.02,9.931818182
03/18/2020,05:35:00 AM,x,0.99,11.15,9.847272727
03/18/2020,05:40:00 AM,x,0.99,11.08,9.66
03/18/2020,05:45:00 AM,x,1,11.06,9.224545455
03/18/2020,05:50:00 AM,x,1.01,11,8.69
03/18/2020,05:55:00 AM,0,1.44,10.91,7.669090909
03/18/2020,06:00:00 AM,0,1.83,10.77,5.758181818
03/18/2020,06:05:00 AM,0,2.7,10.69,3.201818182
03/18/2020,06:10:00 AM,0.05,5.62,10.82,0.648181818
03/18/2020,06:15:00 AM,0.1,7.24,11.12,-2.03
03/18/2020,06:20:00 AM,0.36,12.73,11.29,-5.279090909
03/18/2020,06:25:00 AM,0.9,22.44,11.44,-9.47
03/18/2020,06:30:00 AM,1.33,29.72,11.76,-14.79090909
03/18/2020,06:35:00 AM,1.39,29.88,11.88,-21.35636364
03/18/2020,06:40:00 AM,1.52,31.47,12.07,-28.68090909
03/18/2020,06:45:00 AM,1.88,37.93,12.18,-36.7
03/18/2020,06:50:00 AM,2.5,48.66,12.03,-46.72181818
03/18/2020,06:55:00 AM,3.29,61.83,12.24,-56.56363636
03/18/2020,07:00:00 AM,4.1,76.82,12.59,-66.37272727
03/18/2020,07:05:00 AM,4.75,88.52,13.15,-76.72545455
03/18/2020,07:10:00 AM,5.29,97.71,13.38,-87.78272727
03/18/2020,07:15:00 AM,6.82,125.54,13.86,-111.5236364
03/18/2020,07:20:00 AM,7.15,133.72,14.46,-135.2618182
03/18/2020,07:25:00 AM,7.54,140.81,14.95,-160.3172727
03/18/2020,07:30:00 AM,7.9,147.29,15.41,-186.2018182
03/18/2020,07:35:00 AM,8.45,156.96,15.93,-213.94
03/18/2020,07:40:00 AM,13.45,305.11,18.21,-239.8109091
03/18/2020,07:45:00 AM,15.28,319.84,22.09,-265.3354545
03/18/2020,07:50:00 AM,16.6,349.36,24.16,-295.3454545
03/18/2020,07:55:00 AM,18.42,374.91,25.95,-328.7354545
03/18/2020,08:00:00 AM,20.21,407.91,27.42,-362.2336364
03/18/2020,08:05:00 AM,19.82,397.48,28.57,-393.9890909
03/18/2020,08:10:00 AM,21.22,422.36,29.91,-386.0863636
03/18/2020,08:15:00 AM,24.24,481.54,32.17,-408.16
03/18/2020,08:20:00 AM,26.52,527.66,34.51,-431.5545455
03/18/2020,08:25:00 AM,27.24,536.24,35.88,-415.8972727
03/18/2020,08:30:00 AM,26.38,526.84,36.5,-430.8390909
03/18/2020,08:35:00 AM,9.53,232.93,32.96,-448.3709091
03/18/2020,08:40:00 AM,29.09,573.23,32.67,-471.1409091
03/18/2020,08:45:00 AM,31.67,618.28,35.74,-489.2172727
03/18/2020,08:50:00 AM,10.08,209.08,32.35,-505.9572727
03/18/2020,08:55:00 AM,28.45,575.53,30.68,-520.5827273
03/18/2020,09:00:00 AM,28.93,595.93,34.17,-537.64
03/18/2020,09:05:00 AM,35.66,679.34,36.42,-584.3318182
03/18/2020,09:10:00 AM,36.2,687.36,39.15,-596.6763636
03/18/2020,09:15:00 AM,37.88,718,40.71,-604.7727273
03/18/2020,09:20:00 AM,37.03,702.85,41.61,-647.1127273
03/18/2020,09:25:00 AM,38.54,720.25,42.28,-659.2936364
03/18/2020,09:30:00 AM,40.81,757.15,43.57,-675.6581818
03/18/2020,09:35:00 AM,39.05,720.73,44.38,-687.3654545
03/18/2020,09:40:00 AM,38.76,716.5,44.9,-700.4881818
03/18/2020,09:45:00 AM,37.55,686.42,43.95,-705.7727273
03/18/2020,09:50:00 AM,39.37,721.86,43.02,-687.33
03/18/2020,09:55:00 AM,42.84,787.02,45.25,-652.5490909
03/18/2020,10:00:00 AM,44.47,819.65,47.95,-628.3145455
03/18/2020,10:05:00 AM,45.23,843.43,50.87,-624.0881818
03/18/2020,10:10:00 AM,42.61,783.24,47.82,-625.6763636
03/18/2020,10:15:00 AM,28.07,500.94,42.57,-624.1645455
03/18/2020,10:20:00 AM,18.96,328.23,32.85,-628.4709091
03/18/2020,10:25:00 AM,27.37,480.52,33.52,-623.3772727
03/18/2020,10:30:00 AM,38.75,668.11,38.25,-602.3336364
03/18/2020,10:35:00 AM,40.62,732.21,43.14,-594.0536364
03/18/2020,10:40:00 AM,37.33,670.01,44.17,-608.8318182
03/18/2020,10:45:00 AM,42.61,770.88,44.67,-644.4781818
03/18/2020,10:50:00 AM,40.7,730.15,44.41,-692.2736364
