Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
03/25/2020,12:00:00 AM,x,0.99,10.93,10.912825
03/25/2020,12:05:00 AM,x,0.99,11,10.85949167
03/25/2020,12:10:00 AM,x,0.99,11.07,10.767825
03/25/2020,12:15:00 AM,x,0.99,10.99,10.64115833
03/25/2020,12:20:00 AM,x,0.99,10.89,10.49449167
03/25/2020,12:25:00 AM,x,0.99,10.79,10.34449167
03/25/2020,12:30:00 AM,x,0.99,10.61,10.21449167
03/25/2020,12:35:00 AM,x,0.99,10.45,10.112825
03/25/2020,12:40:00 AM,x,0.99,10.31,10.03115833
03/25/2020,12:45:00 AM,x,0.99,10.11,9.971158333
03/25/2020,12:50:00 AM,x,0.99,9.99,9.939491667
03/25/2020,12:55:00 AM,x,0.99,10.01,9.917825
03/25/2020,01:00:00 AM,x,0.99,10,9.874491667
03/25/2020,01:05:00 AM,x,0.99,9.96,9.822825
03/25/2020,01:10:00 AM,x,0.99,9.95,9.777825
03/25/2020,01:15:00 AM,x,0.99,9.92,9.809491667
03/25/2020,01:20:00 AM,x,0.99,9.86,9.907825
03/25/2020,01:25:00 AM,x,0.99,9.75,10.052825
03/25/2020,01:30:00 AM,x,0.99,9.69,10.1744375
03/25/2020,01:35:00 AM,x,0.99,9.69,10.24277083
03/25/2020,01:40:00 AM,x,0.99,10.14,10.27777083
03/25/2020,01:45:00 AM,x,0.99,10.51,10.1994375
03/25/2020,01:50:00 AM,x,0.99,10.73,10.04449167
03/25/2020,01:55:00 AM,x,1,10.48,9.829545833
03/25/2020,02:00:00 AM,x,0.99,10.1,9.629654167
03/25/2020,02:05:00 AM,x,0.99,9.9,9.473041667
03/25/2020,02:10:00 AM,x,0.99,9.67,9.368095833
03/25/2020,02:15:00 AM,x,0.98,9.58,9.30315
03/25/2020,02:20:00 AM,x,0.98,9.44,9.25315
03/25/2020,02:25:00 AM,x,0.98,9.28,9.23815
03/25/2020,02:30:00 AM,x,0.98,9.16,9.294816667
03/25/2020,02:35:00 AM,x,0.98,9.27,9.44815
03/25/2020,02:40:00 AM,x,0.98,9.28,9.6947625
03/25/2020,02:45:00 AM,x,0.98,9.28,10.03304167
03/25/2020,02:50:00 AM,x,0.98,9.35,10.41465417
03/25/2020,02:55:00 AM,x,0.98,9.62,10.74793333
03/25/2020,03:00:00 AM,x,0.98,10.08,11.02454583
