Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiental [øC]
05/13/2020,12:00:00 AM,x,0.99,12.3,12.24790625
05/13/2020,12:05:00 AM,x,0.99,12.26,12.275955
05/13/2020,12:10:00 AM,x,x,x,12.3196
05/13/2020,12:15:00 AM,x,x,x,12.330775
05/13/2020,12:20:00 AM,x,0.98,12.32,12.32669688
05/13/2020,12:25:00 AM,x,0.99,12.24,12.33126667
05/13/2020,12:30:00 AM,x,0.98,12.42,12.36571111
05/13/2020,12:35:00 AM,x,0.99,12.57,12.41237778
05/13/2020,12:40:00 AM,x,0.99,12.43,12.4359225
05/13/2020,12:45:00 AM,x,0.98,12.33,12.45155
05/13/2020,12:50:00 AM,x,0.99,12.4,12.47882273
05/13/2020,12:55:00 AM,x,0.99,12.61,12.51339773
05/13/2020,01:00:00 AM,x,0.99,12.68,12.53339773
05/13/2020,01:05:00 AM,x,0.99,12.68,12.54524545
05/13/2020,01:10:00 AM,x,0.99,12.64,12.575275
05/13/2020,01:15:00 AM,x,0.98,12.62,12.62888182
05/13/2020,01:20:00 AM,x,0.98,12.62,12.70342727
05/13/2020,01:25:00 AM,x,0.98,12.64,12.75524545
05/13/2020,01:30:00 AM,x,0.98,12.7,12.78524545
05/13/2020,01:35:00 AM,x,0.98,12.76,12.80251818
05/13/2020,01:40:00 AM,x,0.99,12.92,12.81345682
05/13/2020,01:45:00 AM,x,0.99,13.22,12.81982045
05/13/2020,01:50:00 AM,x,0.99,13.18,12.82891136
05/13/2020,01:55:00 AM,x,0.99,13.01,12.83618409
05/13/2020,02:00:00 AM,x,0.99,12.87,12.82982045
05/13/2020,02:05:00 AM,x,0.98,12.76,12.81254773
05/13/2020,02:10:00 AM,x,0.98,12.69,12.77985
05/13/2020,02:15:00 AM,x,0.98,12.72,12.71806136
05/13/2020,02:20:00 AM,x,0.98,12.72,12.65718182
05/13/2020,02:25:00 AM,x,0.98,12.63,12.60993864
05/13/2020,02:30:00 AM,x,0.98,12.57,12.57542273
05/13/2020,02:35:00 AM,x,0.98,12.56,12.56269545
05/13/2020,02:40:00 AM,x,0.98,12.54,12.57815
05/13/2020,02:45:00 AM,x,0.98,12.51,12.61178636
05/13/2020,02:50:00 AM,x,0.98,12.49,12.64812045
05/13/2020,02:55:00 AM,x,0.98,12.49,12.70990909
05/13/2020,03:00:00 AM,x,0.98,12.62,12.78806136
05/13/2020,03:05:00 AM,x,0.98,12.86,12.84530455
05/13/2020,03:10:00 AM,x,0.98,13.09,12.82621364
05/13/2020,03:15:00 AM,x,0.99,13.12,12.76075909
05/13/2020,03:20:00 AM,x,0.99,13.31,12.67439545
05/13/2020,03:25:00 AM,x,0.99,13.43,12.61078864
05/13/2020,03:30:00 AM,x,0.99,13.19,12.51990909
05/13/2020,03:35:00 AM,x,0.98,12.33,12.409
05/13/2020,03:40:00 AM,x,0.98,11.79,12.28630227
05/13/2020,03:45:00 AM,x,0.98,11.54,12.17542273
05/13/2020,03:50:00 AM,x,0.97,11.79,12.04545227
05/13/2020,03:55:00 AM,x,0.97,11.62,11.90551136
05/13/2020,04:00:00 AM,x,0.98,11.64,11.77829773
05/13/2020,04:05:00 AM,x,0.97,11.74,11.7056
05/13/2020,04:10:00 AM,x,0.98,11.9,11.67472045
05/13/2020,04:15:00 AM,x,0.98,11.88,11.68384091
05/13/2020,04:20:00 AM,x,0.97,11.89,11.69475
05/13/2020,04:25:00 AM,x,0.97,11.79,11.72565909
05/13/2020,04:30:00 AM,x,0.97,11.53,11.71023409
05/13/2020,04:35:00 AM,x,0.97,11.45,11.66480909
05/13/2020,04:40:00 AM,x,0.97,11.64,11.59577727
05/13/2020,04:45:00 AM,x,0.97,11.91,11.52038182
05/13/2020,04:50:00 AM,x,0.97,11.96,11.46222955
05/13/2020,04:55:00 AM,x,0.97,11.47,11.41135
05/13/2020,05:00:00 AM,x,0.96,11.24,11.38225909
05/13/2020,05:05:00 AM,x,0.96,11.14,11.35680455
05/13/2020,05:10:00 AM,x,0.96,11.05,11.30674545
05/13/2020,05:15:00 AM,x,0.96,11.25,11.262725
05/13/2020,05:20:00 AM,x,0.96,11.23,11.22148409
05/13/2020,05:25:00 AM,x,0.97,11.21,11.23008182
05/13/2020,05:30:00 AM,x,0.97,11.17,11.2707
05/13/2020,05:35:00 AM,x,0.99,11.09,11.33985682
05/13/2020,05:40:00 AM,x,1.1,11.43,11.4045
05/13/2020,05:45:00 AM,0,1.39,11.52,11.43432045
05/13/2020,05:50:00 AM,0,2.06,11.6,11.45812045
05/13/2020,05:55:00 AM,0,3.52,11.77,11.47900455
05/13/2020,06:00:00 AM,0.02,4.63,12.02,11.51533182
05/13/2020,06:05:00 AM,0.07,5.85,11.92,11.57053182
05/13/2020,06:10:00 AM,0.13,7.79,11.8,11.59887273
05/13/2020,06:15:00 AM,0.22,9.52,11.77,11.61874318
05/13/2020,06:20:00 AM,0.34,11.44,11.78,11.62133864
05/13/2020,06:25:00 AM,0.46,13.29,11.97,11.60594318
05/13/2020,06:30:00 AM,0.58,15.23,12.16,11.5678
05/13/2020,06:35:00 AM,0.79,19.2,12.33,11.52675
05/13/2020,06:40:00 AM,1.03,23.28,12.45,11.48621136
05/13/2020,06:45:00 AM,1.25,26.72,12.43,11.45387045
05/13/2020,06:50:00 AM,1.54,31.5,12.51,11.441325
05/13/2020,06:55:00 AM,1.99,37.54,12.67,11.43389091
05/13/2020,07:00:00 AM,2.8,49.59,12.89,11.47510909
05/13/2020,07:05:00 AM,3.97,68.28,13.32,11.53778409
05/13/2020,07:10:00 AM,5.06,86.62,13.92,11.64101818
05/13/2020,07:15:00 AM,5.92,101.84,14.58,11.77055227
05/13/2020,07:20:00 AM,6.32,109.96,15.03,11.91559545
05/13/2020,07:25:00 AM,6.42,110.51,15.71,12.0694
05/13/2020,07:30:00 AM,7.25,122.91,16.39,12.16181591
05/13/2020,07:35:00 AM,7.97,133.57,17.17,12.18731591
05/13/2020,07:40:00 AM,8.71,146.57,17.75,12.314075
05/13/2020,07:45:00 AM,8.57,144.87,17.79,12.56631818
05/13/2020,07:50:00 AM,8.56,148.56,17.97,12.93423182
05/13/2020,07:55:00 AM,10.37,185.08,18.31,13.21385909
05/13/2020,08:00:00 AM,16.09,304.88,21.29,13.39282727
05/13/2020,08:05:00 AM,17.58,340.64,23.57,13.47307727
05/13/2020,08:10:00 AM,17.41,323.85,24.57,13.52217955
05/13/2020,08:15:00 AM,12.43,220.82,22.68,13.636625
05/13/2020,08:20:00 AM,12.29,216.79,22.24,13.81276591
05/13/2020,08:25:00 AM,12.61,220.49,21.53,14.10503864
05/13/2020,08:30:00 AM,12.84,220.87,20.89,14.55688636
05/13/2020,08:35:00 AM,13.8,232.72,21.09,15.02543864
05/13/2020,08:40:00 AM,14.75,246.75,22.36,15.40027727
05/13/2020,08:45:00 AM,16.81,280.02,24.18,15.60202045
05/13/2020,08:50:00 AM,18.37,303.08,25.36,15.80992273
05/13/2020,08:55:00 AM,17.87,292.87,25.87,16.06801364
05/13/2020,09:00:00 AM,17.38,281.13,26.79,16.43590682
05/13/2020,09:05:00 AM,15.58,250.52,26.31,16.72017955
05/13/2020,09:10:00 AM,14.83,240.23,25.53,16.96271591
05/13/2020,09:15:00 AM,14.26,229.5,24.94,17.08571364
05/13/2020,09:20:00 AM,15.28,243.29,25.11,17.11104545
05/13/2020,09:25:00 AM,13.8,216.66,24.8,17.01427273
05/13/2020,09:30:00 AM,13.91,217.12,23.71,16.87767045
05/13/2020,09:35:00 AM,13.82,219.43,24.14,16.76836364
05/13/2020,09:40:00 AM,16.03,266.39,25.09,16.74410227
05/13/2020,09:45:00 AM,19.3,308.66,25.82,16.75391136
05/13/2020,09:50:00 AM,20.4,323.47,25.8,16.84678182
05/13/2020,09:55:00 AM,20.83,331.98,26.94,16.88564318
