Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C]
11/19/2019,12:00:00 AM,x,1.02,13.77,13.5539
11/19/2019,12:05:00 AM,x,1.03,13.82,13.49301875
11/19/2019,12:10:00 AM,x,1.02,13.71,13.44566667
11/19/2019,12:15:00 AM,x,1.02,13.67,13.415785
11/19/2019,12:20:00 AM,x,1.03,13.54,13.39951818
11/19/2019,12:25:00 AM,x,1.02,13.39,13.40429583
11/19/2019,12:30:00 AM,x,1.02,13.21,13.38762917
11/19/2019,12:35:00 AM,x,1.02,13.1,13.37682292
11/19/2019,12:40:00 AM,x,1.02,13.1,13.36265625
11/19/2019,12:45:00 AM,x,1.02,13.18,13.3409625
11/19/2019,12:50:00 AM,x,1.02,13.27,13.31848958
11/19/2019,12:55:00 AM,x,1.02,13.49,13.29098958
11/19/2019,01:00:00 AM,x,1.02,13.57,13.27598958
11/19/2019,01:05:00 AM,x,1.02,13.69,13.26598958
11/19/2019,01:10:00 AM,x,1.02,13.54,13.25348958
11/19/2019,01:15:00 AM,x,1.03,13.41,13.22848958
11/19/2019,01:20:00 AM,x,1.02,13.27,13.20682292
11/19/2019,01:25:00 AM,x,1.02,13.06,13.17265625
11/19/2019,01:30:00 AM,x,1.02,13.03,13.1459625
11/19/2019,01:35:00 AM,x,1.02,12.98,13.12762917
11/19/2019,01:40:00 AM,x,1.02,12.95,13.13426875
11/19/2019,01:45:00 AM,x,1.02,12.88,13.14593542
11/19/2019,01:50:00 AM,x,1.02,13.01,13.18674167
11/19/2019,01:55:00 AM,x,1.02,13.08,13.26004792
11/19/2019,02:00:00 AM,x,1.03,13.25,13.3441875
11/19/2019,02:05:00 AM,x,1.02,13.47,13.43749375
11/19/2019,02:10:00 AM,x,1.03,13.62,13.50996667
11/19/2019,02:15:00 AM,x,1.03,13.55,13.5483
11/19/2019,02:20:00 AM,x,1.03,13.76,13.5533
11/19/2019,02:25:00 AM,x,1.03,13.94,13.54496667
11/19/2019,02:30:00 AM,x,1.03,14.04,13.50252083
11/19/2019,02:35:00 AM,x,1.03,14.1,13.43171458
11/19/2019,02:40:00 AM,x,1.03,13.82,13.36176875
11/19/2019,02:45:00 AM,x,1.02,13.34,13.31515625
11/19/2019,02:50:00 AM,x,1.02,13.07,13.26104375
11/19/2019,02:55:00 AM,x,1.02,12.98,13.20359792
11/19/2019,03:00:00 AM,x,1.01,12.74,13.13195833
11/19/2019,03:05:00 AM,x,1.01,12.62,13.0495125
11/19/2019,03:10:00 AM,x,1.01,12.78,12.97706667
11/19/2019,03:15:00 AM,x,1.01,12.99,12.90959375
11/19/2019,03:20:00 AM,x,1.01,13.11,12.84795417
11/19/2019,03:25:00 AM,x,1.01,13.25,12.77631458
11/19/2019,03:30:00 AM,x,1.02,13.18,12.71881458
11/19/2019,03:35:00 AM,x,1.01,13.11,12.67214792
11/19/2019,03:40:00 AM,x,1.01,12.95,12.61798125
11/19/2019,03:45:00 AM,x,1.01,12.53,12.55631458
11/19/2019,03:50:00 AM,x,1.01,12.33,12.48964792
11/19/2019,03:55:00 AM,x,1.01,12.12,12.42712083
11/19/2019,04:00:00 AM,x,1.01,12.05,12.3937875
11/19/2019,04:05:00 AM,x,1.01,12.06,12.37542708
11/19/2019,04:10:00 AM,x,1.01,12.13,12.37456667
11/19/2019,04:15:00 AM,x,1.01,12.25,12.40953958
11/19/2019,04:20:00 AM,x,1.01,12.31,12.45617917
11/19/2019,04:25:00 AM,x,1.02,12.5,12.51281875
11/19/2019,04:30:00 AM,x,1.02,12.78,12.60029167
11/19/2019,04:35:00 AM,x,1.02,12.89,12.66609792
11/19/2019,04:40:00 AM,x,1.02,12.94,12.7077375
11/19/2019,04:45:00 AM,x,1.02,12.95,12.72940417
11/19/2019,04:50:00 AM,x,1.02,12.89,12.7527375
11/19/2019,04:55:00 AM,x,1.02,12.8,12.76526458
11/19/2019,05:00:00 AM,x,1.02,13.1,12.73276458
11/19/2019,05:05:00 AM,x,1.02,12.85,12.68276458
11/19/2019,05:10:00 AM,x,1.02,12.63,12.63058333
11/19/2019,05:15:00 AM,x,1.01,12.51,12.56991458
11/19/2019,05:20:00 AM,x,1.01,12.59,12.505875
11/19/2019,05:25:00 AM,x,1.01,12.65,12.42660208
11/19/2019,05:30:00 AM,x,1.02,12.39,12.2892125
11/19/2019,05:35:00 AM,x,1.02,12.29,12.1444
11/19/2019,05:40:00 AM,0,1.21,12.32,12.00241042
11/19/2019,05:45:00 AM,0,2.19,12.26,11.86015833
11/19/2019,05:50:00 AM,0.01,4.05,12.22,11.696975
11/19/2019,05:55:00 AM,0.1,6.29,12.02,11.53014167
11/19/2019,06:00:00 AM,0.3,10.21,11.75,11.39281667
11/19/2019,06:05:00 AM,0.62,15.72,11.59,11.13121875
11/19/2019,06:10:00 AM,1.03,22.37,11.62,10.90406458
11/19/2019,06:15:00 AM,1.37,27.38,11.66,10.80879167
11/19/2019,06:20:00 AM,1.84,33.57,11.69,10.88609792
11/19/2019,06:25:00 AM,2.5,42.61,12,11.1102625
11/19/2019,06:30:00 AM,4,64.34,12.8,11.46080417
11/19/2019,06:35:00 AM,7.93,165.61,14.5,11.90956458
11/19/2019,06:40:00 AM,11.26,269.39,18.31,12.4432
11/19/2019,06:45:00 AM,12.83,309.06,21.09,13.12718125
11/19/2019,06:50:00 AM,12.89,305.66,22.95,13.45492917
11/19/2019,06:55:00 AM,12.79,305.06,24.42,13.84142917
11/19/2019,07:00:00 AM,14.45,330.01,26.35,14.24530417
11/19/2019,07:05:00 AM,15.8,343.87,27.64,14.76505417
11/19/2019,07:10:00 AM,15.9,340.72,28.37,15.28613125
11/19/2019,07:15:00 AM,14.89,253.91,27.23,15.86602708
11/19/2019,07:20:00 AM,20.46,411.94,27.92,16.54816458
11/19/2019,07:25:00 AM,22.32,432.21,29.3,16.8047875
11/19/2019,07:30:00 AM,23.92,456.14,30.38,17.00743333
11/19/2019,07:35:00 AM,25.07,466.01,30.5,16.6916
11/19/2019,07:40:00 AM,27.08,493.3,31.84,16.62318333
11/19/2019,07:45:00 AM,26.08,471.56,33.33,16.56377708
11/19/2019,07:50:00 AM,17.69,303.64,31.07,16.6803125
11/19/2019,07:55:00 AM,17.66,267.23,26.27,16.64252917
11/19/2019,08:00:00 AM,13.43,216.11,25.08,16.5593875
11/19/2019,08:05:00 AM,23.4,391.87,25.41,16.535475
11/19/2019,08:10:00 AM,15.31,243.52,24.39,16.46621875
11/19/2019,08:15:00 AM,6.6,92.46,21.27,16.11613542
11/19/2019,08:20:00 AM,6.38,86.45,18.74,15.42963958
11/19/2019,08:25:00 AM,7.36,96.93,17.95,15.12459375
11/19/2019,08:30:00 AM,8.1,105.3,17.98,15.06534375
11/19/2019,08:35:00 AM,7.62,100.07,18.32,15.35202708
11/19/2019,08:40:00 AM,6.88,96.41,18.11,15.00466458
11/19/2019,08:45:00 AM,8.74,126.36,17.91,14.9407875
11/19/2019,08:50:00 AM,13.26,188.5,19.09,15.17988125
11/19/2019,08:55:00 AM,17.33,280.17,23.03,14.85748542
11/19/2019,09:00:00 AM,10.16,142.91,21.99,15.34483958
11/19/2019,09:05:00 AM,12.31,173.71,21.76,15.98821458
11/19/2019,09:10:00 AM,23.06,356.7,23.9,16.15852917
11/19/2019,09:15:00 AM,19.24,271.43,26.32,16.43005208
11/19/2019,09:20:00 AM,18.98,251.4,26.97,16.75999167
11/19/2019,09:25:00 AM,38.53,626.43,31.29,16.95177708
11/19/2019,09:30:00 AM,26.65,415.2,33.9,16.79495625
11/19/2019,09:35:00 AM,14.34,196.67,29.18,16.72040625
11/19/2019,09:40:00 AM,19.99,262.14,25.54,16.9680125
11/19/2019,09:45:00 AM,19.01,245.49,25.04,16.73924375
11/19/2019,09:50:00 AM,18.56,236.83,24.62,15.31242292
11/19/2019,09:55:00 AM,18.24,234.28,23.84,15.67730208
11/19/2019,10:00:00 AM,19.3,247.89,23.52,15.50409792
11/19/2019,10:05:00 AM,21.56,271.39,24.04,15.37566667
11/19/2019,10:10:00 AM,24.24,311.43,25.4,16.89540625
11/19/2019,10:15:00 AM,30.65,386.36,27.31,17.90149375
11/19/2019,10:20:00 AM,74.21,1132.38,38.48,18.36123958
11/19/2019,10:25:00 AM,69.41,1063.09,49.86,18.20618125
11/19/2019,10:30:00 AM,71.33,1111.46,54.45,18.78355625
11/19/2019,10:35:00 AM,69.42,1086.86,56.57,19.62264167
11/19/2019,10:40:00 AM,35.11,528.39,52.43,20.34681458
11/19/2019,10:45:00 AM,32.53,511.55,45.76,22.02340208
11/19/2019,10:50:00 AM,40.42,622.77,42.68,24.85528542
11/19/2019,10:55:00 AM,75.41,1135.84,51.28,25.92969583
11/19/2019,11:00:00 AM,68.56,1054.09,56.65,26.46126875
11/19/2019,11:05:00 AM,66.04,1011.42,58.16,26.66211875
11/19/2019,11:10:00 AM,67.03,1047.12,58,25.58490625
11/19/2019,11:15:00 AM,44.4,619.62,55.01,25.04415208
11/19/2019,11:20:00 AM,20.35,264.3,44.25,24.82733542
11/19/2019,11:25:00 AM,17.76,247,36.23,25.46990208
11/19/2019,11:30:00 AM,15.31,204.11,31.34,25.49388333
11/19/2019,11:35:00 AM,12.82,180.7,29.53,25.15581875
