,Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C]
0,11/26/2019,12:00:00 AM,x,1.02,11.33,11.81546786
1,11/26/2019,12:05:00 AM,x,1.02,11.62,11.88439063
2,11/26/2019,12:10:00 AM,x,1.02,11.75,11.94244167
3,11/26/2019,12:15:00 AM,x,1.02,11.76,12.0158825
4,11/26/2019,12:20:00 AM,x,1.02,11.79,12.071425
5,11/26/2019,12:25:00 AM,x,1.01,12.15,12.13104375
6,11/26/2019,12:30:00 AM,x,1.02,12.54,12.2752375
7,11/26/2019,12:35:00 AM,x,1.02,12.4,12.40690417
8,11/26/2019,12:40:00 AM,x,1.02,12.44,12.52440417
9,11/26/2019,12:45:00 AM,x,1.02,12.71,12.61607083
10,11/26/2019,12:50:00 AM,x,1.02,12.66,12.67443125
11,11/26/2019,12:55:00 AM,x,1.02,12.82,12.69107083
12,11/26/2019,01:00:00 AM,x,1.01,13.06,12.67776458
13,11/26/2019,01:05:00 AM,x,1.02,13.2,12.678625
14,11/26/2019,01:10:00 AM,x,1.02,13.16,12.71031875
15,11/26/2019,01:15:00 AM,x,1.02,12.86,12.73031875
16,11/26/2019,01:20:00 AM,x,1.01,12.49,12.76281875
17,11/26/2019,01:25:00 AM,x,1.02,12.35,12.75698542
18,11/26/2019,01:30:00 AM,x,1.01,12.38,12.72448542
19,11/26/2019,01:35:00 AM,x,1.01,12.41,12.70034583
20,11/26/2019,01:40:00 AM,x,1.01,12.82,12.67537292
21,11/26/2019,01:45:00 AM,x,1.02,12.95,12.6554
22,11/26/2019,01:50:00 AM,x,1.02,13.05,12.6654
23,11/26/2019,01:55:00 AM,x,1.02,12.75,12.69959375
24,11/26/2019,02:00:00 AM,x,1.01,12.67,12.73709375
25,11/26/2019,02:05:00 AM,x,1.01,12.91,12.76459375
26,11/26/2019,02:10:00 AM,x,1.01,12.86,12.72959375
27,11/26/2019,02:15:00 AM,x,1.01,12.62,12.65712083
28,11/26/2019,02:20:00 AM,x,1.01,12.61,12.55131458
29,11/26/2019,02:25:00 AM,x,1.01,12.76,12.47220208
30,11/26/2019,02:30:00 AM,x,1.01,12.83,12.39389583
31,11/26/2019,02:35:00 AM,x,1.01,12.74,12.3030625
32,11/26/2019,02:40:00 AM,x,1.01,12.4,12.24058958
33,11/26/2019,02:45:00 AM,x,1.01,12.08,12.23808958
34,11/26/2019,02:50:00 AM,x,1.01,11.78,12.26892292
35,11/26/2019,02:55:00 AM,x,1.0,11.8,12.30475625
36,11/26/2019,03:00:00 AM,x,1.0,11.73,12.33392292
37,11/26/2019,03:05:00 AM,x,1.01,11.82,12.37475625
38,11/26/2019,03:10:00 AM,x,1.0,12.11,12.45808958
39,11/26/2019,03:15:00 AM,x,1.01,12.59,12.58558958
40,11/26/2019,03:20:00 AM,x,1.01,12.98,12.74142292
41,11/26/2019,03:25:00 AM,x,1.01,13.19,12.87639583
42,11/26/2019,03:30:00 AM,x,1.01,13.18,13.01136875
43,11/26/2019,03:35:00 AM,x,1.01,13.23,13.13803542
44,11/26/2019,03:40:00 AM,x,1.01,13.4,13.20884167
45,11/26/2019,03:45:00 AM,x,1.01,13.61,13.23300833
46,11/26/2019,03:50:00 AM,x,1.01,13.65,13.244675
47,11/26/2019,03:55:00 AM,x,1.01,13.42,13.24384167
48,11/26/2019,04:00:00 AM,x,1.01,13.35,13.24800833
49,11/26/2019,04:05:00 AM,x,1.01,13.34,13.26050833
50,11/26/2019,04:10:00 AM,x,1.01,12.96,13.27050833
51,11/26/2019,04:15:00 AM,x,1.01,12.88,13.25550833
52,11/26/2019,04:20:00 AM,x,1.01,13.12,13.222175
53,11/26/2019,04:25:00 AM,x,1.01,13.18,13.192175
54,11/26/2019,04:30:00 AM,x,1.01,13.23,13.14384167
