Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [°C],Temperatura Ambiente [°C]
10/01/2019,12:00:00 AM,x,1.04,10.27,10.33953333
10/01/2019,12:05:00 AM,x,1.04,10.06,10.38191429
10/01/2019,12:10:00 AM,x,1.04,10.25,10.40745
10/01/2019,12:15:00 AM,x,1.04,10.46,10.40842222
10/01/2019,12:20:00 AM,x,1.04,10.64,10.4002325
10/01/2019,12:25:00 AM,x,1.04,10.56,10.38262273
10/01/2019,12:30:00 AM,x,1.04,10.67,10.369925
10/01/2019,12:35:00 AM,x,1.04,10.62,10.38904545
10/01/2019,12:40:00 AM,x,1.04,10.45,10.39543864
10/01/2019,12:45:00 AM,x,1.03,10.36,10.37910455
10/01/2019,12:50:00 AM,x,1.03,10.24,10.34549773
10/01/2019,12:55:00 AM,x,1.03,10.13,10.30189091
10/01/2019,01:00:00 AM,x,1.03,10.27,10.20646591
10/01/2019,01:05:00 AM,x,1.03,10.32,10.10470682
10/01/2019,01:10:00 AM,x,1.03,10.28,10.01749318
10/01/2019,01:15:00 AM,x,1.03,10.27,9.92025
10/01/2019,01:20:00 AM,x,1.03,10.08,9.822097727
10/01/2019,01:25:00 AM,x,1.03,9.62,9.723036364
10/01/2019,01:30:00 AM,x,1.02,9.5,9.612127273
10/01/2019,01:35:00 AM,x,1.02,9.49,9.490309091
10/01/2019,01:40:00 AM,x,1.02,9.29,9.371218182
10/01/2019,01:45:00 AM,x,1.02,9.16,9.258490909
10/01/2019,01:50:00 AM,x,1.02,9.04,9.163945455
10/01/2019,01:55:00 AM,x,1.03,9.05,9.114854545
10/01/2019,02:00:00 AM,x,1.03,8.98,9.083915909
10/01/2019,02:05:00 AM,x,1.03,8.97,9.062038636
10/01/2019,02:10:00 AM,x,1.03,9.03,9.079252273
10/01/2019,02:15:00 AM,x,1.03,9.04,9.124647727
10/01/2019,02:20:00 AM,x,1.03,9.08,9.190043182
10/01/2019,02:25:00 AM,x,1.03,9.16,9.265438636
10/01/2019,02:30:00 AM,x,1.04,9.25,9.352652273
10/01/2019,02:35:00 AM,x,1.04,9.48,9.438077273
10/01/2019,02:40:00 AM,x,1.04,9.66,9.521684091
10/01/2019,02:45:00 AM,x,1.04,9.76,9.638927273
10/01/2019,02:50:00 AM,x,1.05,9.88,9.788868182
10/01/2019,02:55:00 AM,x,1.05,9.94,9.942445455
10/01/2019,03:00:00 AM,x,1.04,9.91,10.07605227
10/01/2019,03:05:00 AM,x,1.04,9.95,10.13150682
10/01/2019,03:10:00 AM,x,1.04,10.33,10.14968864
10/01/2019,03:15:00 AM,x,1.05,10.73,10.16699091
10/01/2019,03:20:00 AM,x,1.05,10.85,10.20432273
10/01/2019,03:25:00 AM,x,1.05,10.72,10.24983636
10/01/2019,03:30:00 AM,x,1.04,10.09,10.29804773
10/01/2019,03:35:00 AM,x,1.04,9.86,10.33171364
10/01/2019,03:40:00 AM,x,1.03,9.95,10.34265227
10/01/2019,03:45:00 AM,x,1.03,10.29,10.31725682
10/01/2019,03:50:00 AM,x,1.03,10.44,10.288225
10/01/2019,03:55:00 AM,x,1.03,10.44,10.29282955
10/01/2019,04:00:00 AM,x,1.03,10.32,10.387375
10/01/2019,04:05:00 AM,x,1.03,10.45,10.51919318
10/01/2019,04:10:00 AM,x,1.03,10.45,10.64552727
10/01/2019,04:15:00 AM,x,1.03,10.53,10.73186136
10/01/2019,04:20:00 AM,x,1.03,10.77,10.79186136
10/01/2019,04:25:00 AM,x,1.04,11.13,10.84095227
10/01/2019,04:30:00 AM,x,1.04,11.31,10.90095227
10/01/2019,04:35:00 AM,x,1.04,11.34,10.94913409
10/01/2019,04:40:00 AM,x,1.04,11.24,10.99458864
10/01/2019,04:45:00 AM,x,1.03,11.1,11.02913409
10/01/2019,04:50:00 AM,x,1.03,10.98,11.05731591
10/01/2019,04:55:00 AM,x,1.03,10.98,11.06552727
10/01/2019,05:00:00 AM,x,1.03,10.98,11.06192045
10/01/2019,05:05:00 AM,x,1.03,10.95,11.05282955
10/01/2019,05:10:00 AM,x,1.03,10.91,11.04186136
10/01/2019,05:15:00 AM,x,1.03,11.08,11.03815227
10/01/2019,05:20:00 AM,x,1.03,11.22,11.06383864
10/01/2019,05:25:00 AM,x,1.03,11.27,11.10059091
10/01/2019,05:30:00 AM,x,1.04,11.24,11.13805682
10/01/2019,05:35:00 AM,x,1.06,11.12,11.17911364
10/01/2019,05:40:00 AM,0,1.67,11.08,11.20595
10/01/2019,05:45:00 AM,0,2.49,11.31,11.18950455
10/01/2019,05:50:00 AM,0,3.36,11.46,11.157975
10/01/2019,05:55:00 AM,0.08,5.58,11.54,11.14271136
10/01/2019,06:00:00 AM,0.26,8.98,11.66,11.15941136
10/01/2019,06:05:00 AM,0.85,16.87,11.72,11.21642727
10/01/2019,06:10:00 AM,1.78,28.75,11.8,11.30578636
10/01/2019,06:15:00 AM,2.17,33.24,11.92,11.42603864
10/01/2019,06:20:00 AM,2.12,32.35,12.12,11.56305227
10/01/2019,06:25:00 AM,2.04,31.08,12.4,11.71096818
10/01/2019,06:30:00 AM,2.26,34.07,12.82,11.88315682
10/01/2019,06:35:00 AM,2.9,42.81,13.4,12.07435455
10/01/2019,06:40:00 AM,2.99,43.02,13.95,12.2765
10/01/2019,06:45:00 AM,3.02,43.14,14.26,12.45831818
10/01/2019,06:50:00 AM,3.95,53.67,14.73,12.58808182
10/01/2019,06:55:00 AM,3.67,49.47,14.87,12.65879773
10/01/2019,07:00:00 AM,4.37,57.08,15.13,12.48669318
10/01/2019,07:05:00 AM,5.71,73.87,15.49,12.47283409
10/01/2019,07:10:00 AM,7.76,101.24,16.13,13.03380682
10/01/2019,07:15:00 AM,11.23,144.43,17.19,13.626825
10/01/2019,07:20:00 AM,14.76,198.53,18.62,14.12714545
10/01/2019,07:25:00 AM,23.42,375.09,22.01,14.75867727
10/01/2019,07:30:00 AM,25.69,478.27,27.4,15.42220682
10/01/2019,07:35:00 AM,21.83,357.46,30.34,15.48162955
10/01/2019,07:40:00 AM,22.37,388.58,32.01,15.65909773
10/01/2019,07:45:00 AM,20.14,335.1,29.38,15.51745
10/01/2019,07:50:00 AM,16.67,266.49,28.87,15.88519773
10/01/2019,07:55:00 AM,8.69,139.27,25.1,16.81398182
10/01/2019,08:00:00 AM,21.6,345.45,24.97,17.77128409
10/01/2019,08:05:00 AM,28.67,423.02,28.54,17.72837045
10/01/2019,08:10:00 AM,49.42,752.68,35.4,16.87365
10/01/2019,08:15:00 AM,45.48,707.6,39.21,16.99534091
10/01/2019,08:20:00 AM,37.1,537.04,37.49,16.75526136
10/01/2019,08:25:00 AM,21.82,322.26,32.86,17.47355909
10/01/2019,08:30:00 AM,28.04,400.6,31.27,18.58145227
10/01/2019,08:35:00 AM,53.84,801.87,36.04,18.99256818
10/01/2019,08:40:00 AM,42.28,630.22,40.31,19.42943636
10/01/2019,08:45:00 AM,44.9,723.44,41.08,19.45741591
10/01/2019,08:50:00 AM,29.12,414,41.93,18.79775
10/01/2019,08:55:00 AM,15.17,209.24,32.73,17.78268182
10/01/2019,09:00:00 AM,18.2,246.95,27.34,17.56845455
10/01/2019,09:05:00 AM,30.62,425.74,29.58,17.96267273
10/01/2019,09:10:00 AM,27.54,358.13,28.16,18.05684545
10/01/2019,09:15:00 AM,40.37,525.85,29.87,16.91514318
10/01/2019,09:20:00 AM,49.61,699.36,33.95,15.86575682
10/01/2019,09:25:00 AM,42.17,560.8,34.12,15.56317045
10/01/2019,09:30:00 AM,42.19,588.75,33.45,15.01288636
10/01/2019,09:35:00 AM,21.68,284.5,30.11,15.08512727
10/01/2019,09:40:00 AM,60.88,858.17,32.9,15.23183182
10/01/2019,09:45:00 AM,43.26,654.1,38.19,15.61672045
10/01/2019,09:50:00 AM,24.24,309.5,32.66,16.03993636
10/01/2019,09:55:00 AM,41.2,533.2,30.59,15.91545909
10/01/2019,10:00:00 AM,34.52,438.52,30.79,16.10774091
10/01/2019,10:05:00 AM,29.05,358.63,29.79,15.4959
10/01/2019,10:10:00 AM,29.98,371.58,29.09,16.37690682
10/01/2019,10:15:00 AM,30.48,383.81,28.35,16.11595909
10/01/2019,10:20:00 AM,34.97,445.7,29.01,15.41713636
10/01/2019,10:25:00 AM,26.32,319.67,26.82,15.63966591
10/01/2019,10:30:00 AM,29.44,368.2,26.1,15.794875
10/01/2019,10:35:00 AM,26.21,343.06,25.85,15.86370909
10/01/2019,10:40:00 AM,30.59,385.19,26.58,16.02847955
10/01/2019,10:45:00 AM,31.96,402.64,28,16.30994545
10/01/2019,10:50:00 AM,30.77,382.19,28.13,16.75867955
10/01/2019,10:55:00 AM,26.23,329.68,28.96,16.99991136
10/01/2019,11:00:00 AM,24.6,303.64,28.76,17.42959545
10/01/2019,11:05:00 AM,24.25,305.35,28.75,17.76256591
10/01/2019,11:10:00 AM,21.66,269.16,27.72,18.09930227
10/01/2019,11:15:00 AM,16.61,208.59,26.24,18.32292955
10/01/2019,11:20:00 AM,15.13,182.33,25.01,18.61395682
10/01/2019,11:25:00 AM,16.12,189.23,25.01,18.72627955
10/01/2019,11:30:00 AM,17.1,206.67,25.08,18.59015
10/01/2019,11:35:00 AM,19.15,230.91,25.27,18.05801818
10/01/2019,11:40:00 AM,20.98,265.72,26.01,16.75284318
10/01/2019,11:45:00 AM,19.48,242.15,26.78,17.36093864
10/01/2019,11:50:00 AM,17.14,210.74,26.33,17.80814318
10/01/2019,11:55:00 AM,25.01,294.33,26.96,18.71237727
10/01/2019,12:00:00 PM,36.41,507.61,29.47,19.16086136
10/01/2019,12:05:00 PM,77.04,1180.45,42.98,19.95525909
10/01/2019,12:10:00 PM,36.58,541.85,43.76,20.52045909
10/01/2019,12:15:00 PM,47.77,673.43,45.89,20.78666591
10/01/2019,12:20:00 PM,22.85,304.72,38.71,21.11144091
10/01/2019,12:25:00 PM,32.99,418.26,36.89,21.46189091
10/01/2019,12:30:00 PM,22.67,278.96,35.57,22.1631
10/01/2019,12:35:00 PM,27.56,331.96,34.38,23.35441136
10/01/2019,12:40:00 PM,27.78,337.28,32.8,22.20195227
10/01/2019,12:45:00 PM,16.22,202.97,29.65,21.95774773
10/01/2019,12:50:00 PM,18.5,233.87,28.85,21.37622045
10/01/2019,12:55:00 PM,20.83,261.97,29.2,21.19682273
10/01/2019,01:00:00 PM,28.88,358.16,29.36,20.50946136
10/01/2019,01:05:00 PM,47.18,614.99,33.46,19.26934773
10/01/2019,01:10:00 PM,28.38,341.93,32.43,18.169925
10/01/2019,01:15:00 PM,17.27,206.16,29.11,18.082575
10/01/2019,01:20:00 PM,16.49,188.21,27.44,17.81175227
10/01/2019,01:25:00 PM,17.1,186.99,25.02,17.96460909
10/01/2019,01:30:00 PM,40.25,506.46,26.41,18.62760455
10/01/2019,01:35:00 PM,69.4,881.7,38.4,19.72930455
10/01/2019,01:40:00 PM,47.08,609.15,41.89,20.93295227
10/01/2019,01:45:00 PM,65.52,944.61,48.97,21.54245
10/01/2019,01:50:00 PM,63.52,948.08,53.18,21.67710455
10/01/2019,01:55:00 PM,59.8,911.3,54.63,21.81902273
10/01/2019,02:00:00 PM,58.84,903.03,54.94,22.68917045
10/01/2019,02:05:00 PM,28.44,336.08,45.48,23.54189091
10/01/2019,02:10:00 PM,7.44,86.33,31.92,23.3784
10/01/2019,02:15:00 PM,11.45,107.25,26.29,23.58603864
10/01/2019,02:20:00 PM,15.02,113.11,24.18,23.24283182
10/01/2019,02:25:00 PM,24.05,162.41,24.8,22.77323864
10/01/2019,02:30:00 PM,29.38,206.01,25.82,22.34371818
10/01/2019,02:35:00 PM,47.88,251.87,28.48,20.98352727
10/01/2019,02:40:00 PM,18.1,186.64,26.62,20.17776818
10/01/2019,02:45:00 PM,25.46,216.55,25.63,19.91633182
10/01/2019,02:50:00 PM,37.34,211.47,26.72,19.80388864
10/01/2019,02:55:00 PM,25.24,154.56,25.89,19.79272955
10/01/2019,03:00:00 PM,38.74,160.76,24.82,19.77548864
10/01/2019,03:05:00 PM,24.8,125.51,24.33,19.59256136
10/01/2019,03:10:00 PM,7.63,77.89,22.46,19.33253409
10/01/2019,03:15:00 PM,6.37,62.86,21.31,19.23979773
10/01/2019,03:20:00 PM,8.6,67.11,21.58,19.08806364
10/01/2019,03:25:00 PM,11.44,79.23,21.51,18.87830455
10/01/2019,03:30:00 PM,9.68,111.63,21.91,18.77270227
10/01/2019,03:35:00 PM,13.45,147.88,22.5,18.59395
10/01/2019,03:40:00 PM,28.36,143.63,22.24,18.43711591
10/01/2019,03:45:00 PM,21.24,108.98,21.72,18.36594318
10/01/2019,03:50:00 PM,7.5,84.94,21.32,18.25359318
10/01/2019,03:55:00 PM,4.18,48.81,20.02,18.12918864
10/01/2019,04:00:00 PM,3.41,32.78,19.35,18.03033636
10/01/2019,04:05:00 PM,1.44,19.28,18.83,17.96340682
10/01/2019,04:10:00 PM,1.03,16.18,19.01,17.89973864
10/01/2019,04:15:00 PM,0.92,15.29,18.66,17.79267727
10/01/2019,04:20:00 PM,0.94,15.49,18.07,17.63889545
10/01/2019,04:25:00 PM,1.06,16.78,17.74,17.49805682
10/01/2019,04:30:00 PM,1.78,17.61,17.53,17.389975
10/01/2019,04:35:00 PM,1.36,18.41,17.47,17.32528182
10/01/2019,04:40:00 PM,2.29,19.37,17.63,17.25041818
10/01/2019,04:45:00 PM,5.36,30.22,17.85,17.18343409
10/01/2019,04:50:00 PM,5.98,34.94,18.02,17.14177727
10/01/2019,04:55:00 PM,4.98,30.9,18.1,17.11836818
10/01/2019,05:00:00 PM,3.23,23.33,18.25,17.06991364
10/01/2019,05:05:00 PM,2.72,23.98,18.44,16.99570682
10/01/2019,05:10:00 PM,3.48,31.5,18.45,16.89262955
10/01/2019,05:15:00 PM,3.13,34.82,18.24,16.80905227
10/01/2019,05:20:00 PM,1.68,23.78,17.71,16.74257273
10/01/2019,05:25:00 PM,1.15,18.01,17.01,16.66703636
10/01/2019,05:30:00 PM,0.78,13.68,16.5,16.57652273
10/01/2019,05:35:00 PM,0.42,9.95,16.19,16.48778864
10/01/2019,05:40:00 PM,0.13,6.2,16.15,16.40130227
10/01/2019,05:45:00 PM,0.05,4.21,16.29,16.33914091
10/01/2019,05:50:00 PM,0,2.62,16.35,16.320725
10/01/2019,05:55:00 PM,0,1.35,16.54,16.36977727
10/01/2019,06:00:00 PM,0,1.09,16.72,16.45694545
10/01/2019,06:05:00 PM,0,1.08,16.51,16.53763864
10/01/2019,06:10:00 PM,x,1.09,16.46,16.5591
10/01/2019,06:15:00 PM,x,1.09,16.77,16.53104545
10/01/2019,06:20:00 PM,x,1.1,17,16.45559545
10/01/2019,06:25:00 PM,x,1.1,17.05,16.29730227
10/01/2019,06:30:00 PM,x,1.1,16.79,16.07554318
10/01/2019,06:35:00 PM,x,1.09,16.22,15.83739091
10/01/2019,06:40:00 PM,x,1.09,15.88,15.58472273
10/01/2019,06:45:00 PM,x,1.08,15.47,15.29478182
10/01/2019,06:50:00 PM,x,1.08,14.79,14.98850682
10/01/2019,06:55:00 PM,x,1.07,14.28,14.69768636
10/01/2019,07:00:00 PM,x,1.07,13.89,14.43232045
10/01/2019,07:05:00 PM,x,1.07,13.68,14.21419773
10/01/2019,07:10:00 PM,x,1.07,13.58,14.04062045
10/01/2019,07:15:00 PM,x,1.07,13.63,13.91974091
10/01/2019,07:20:00 PM,x,1.07,13.85,13.85431591
10/01/2019,07:25:00 PM,x,1.07,13.87,13.81886136
10/01/2019,07:30:00 PM,x,1.07,13.82,13.78249773
10/01/2019,07:35:00 PM,x,1.07,13.97,13.72613409
10/01/2019,07:40:00 PM,x,1.07,14.14,13.65431591
10/01/2019,07:45:00 PM,x,1.07,14.07,13.5698
10/01/2019,07:50:00 PM,x,1.07,13.89,13.49710227
10/01/2019,07:55:00 PM,x,1.07,13.49,13.45619318
10/01/2019,08:00:00 PM,x,1.07,13.06,13.44710227
10/01/2019,08:05:00 PM,x,1.07,12.79,13.41164773
10/01/2019,08:10:00 PM,x,1.06,12.7,13.35619318
10/01/2019,08:15:00 PM,x,1.06,13.05,13.28804091
10/01/2019,08:20:00 PM,x,1.07,13.42,13.23900909
10/01/2019,08:25:00 PM,x,1.07,13.72,13.22270455
10/01/2019,08:30:00 PM,x,1.07,13.58,13.23185455
10/01/2019,08:35:00 PM,x,1.07,13.53,13.25009545
10/01/2019,08:40:00 PM,x,1.06,13.32,13.26648864
10/01/2019,08:45:00 PM,x,1.05,13.35,13.24288182
10/01/2019,08:50:00 PM,x,1.05,13.31,13.18563864
10/01/2019,08:55:00 PM,x,1.05,13.16,13.10930455
10/01/2019,09:00:00 PM,x,1.05,12.99,13.05297045
10/01/2019,09:05:00 PM,x,1.05,12.88,13.01297045
10/01/2019,09:10:00 PM,x,1.05,12.79,12.978425
10/01/2019,09:15:00 PM,x,1.06,12.79,12.92291136
10/01/2019,09:20:00 PM,x,1.06,12.88,12.84921591
10/01/2019,09:25:00 PM,x,1.06,12.96,12.76464091
10/01/2019,09:30:00 PM,x,1.07,13.09,12.66824773
10/01/2019,09:35:00 PM,x,1.06,12.94,12.59733864
10/01/2019,09:40:00 PM,x,1.07,12.74,12.56730909
10/01/2019,09:45:00 PM,x,1.07,12.5,12.5564
10/01/2019,09:50:00 PM,x,1.06,12.23,12.55458182
10/01/2019,09:55:00 PM,x,1.06,11.93,12.55185455
10/01/2019,10:00:00 PM,x,1.05,12.1,12.52461136
10/01/2019,10:05:00 PM,x,1.06,12.46,12.48915682
10/01/2019,10:10:00 PM,x,1.06,12.67,12.490125
10/01/2019,10:15:00 PM,x,1.06,12.86,12.52654773
