"Fecha","Hora","Potencia [kW]","Insolacion [W/m2]","Temperatura de modulos [øC]","Temperatura Ambiente [øC]"
"10/8/2019","0:00","x","1.04","12.29","12.67786667"
"10/8/2019","0:05","x","1.04","12.29","12.68762857"
"10/8/2019","0:10","x","1.04","12.56","12.66745"
"10/8/2019","0:15","x","1.04","12.93","12.63953333"
"10/8/2019","0:20","x","1.04","13.15","12.5892325"
"10/8/2019","0:25","x","1.04","13.05","12.52535"
"10/8/2019","0:30","x","1.04","12.78","12.48083409"
"10/8/2019","0:35","x","1.04","12.56","12.45086364"
"10/8/2019","0:40","x","1.04","12.45","12.43180227"
"10/8/2019","0:45","x","1.03","12.17","12.42089318"
"10/8/2019","0:50","x","1.03","11.92","12.419075"
"10/8/2019","0:55","x","1.03","11.8","12.43813636"
"10/8/2019","1:00","x","1.03","11.96","12.47813636"
"10/8/2019","1:05","x","1.03","12.35","12.52631818"
"10/8/2019","1:10","x","1.04","12.81","12.53995455"
"10/8/2019","1:15","x","1.04","13.13","12.53995455"
"10/8/2019","1:20","x","1.05","13.26","12.54631818"
"10/8/2019","1:25","x","1.04","13.22","12.53995455"
"10/8/2019","1:30","x","1.04","13.09","12.51177273"
"10/8/2019","1:35","x","1.04","12.6","12.45995455"
"10/8/2019","1:40","x","1.03","12.17","12.359075"
"10/8/2019","1:45","x","1.03","11.99","12.19455909"
"10/8/2019","1:50","x","1.03","11.73","12.00189091"
"10/8/2019","1:55","x","1.03","11.65","11.81010227"
"10/8/2019","2:00","x","1.03","11.78","11.61013182"
"10/8/2019","2:05","x","1.03","11.7","11.44019091"
"10/8/2019","2:10","x","1.03","11.32","11.31200909"
"10/8/2019","2:15","x","1.03","11.14","11.2111"
"10/8/2019","2:20","x","1.03","11.11","11.12928182"
"10/8/2019","2:25","x","1.03","10.89","11.06655455"
"10/8/2019","2:30","x","1.02","10.73","11.01291818"
"10/8/2019","2:35","x","1.03","10.76","10.9711"
"10/8/2019","2:40","x","1.03","10.88","10.98382727"
"10/8/2019","2:45","x","1.03","10.83","11.05197955"
"10/8/2019","2:50","x","1.03","10.96","11.12740455"
"10/8/2019","2:55","x","1.03","11.19","11.20282955"
"10/8/2019","3:00","x","1.03","11.24","11.29367955"
"10/8/2019","3:05","x","1.03","11.46","11.37367955"
"10/8/2019","3:10","x","1.04","11.89","11.418225"
"10/8/2019","3:15","x","1.04","11.94","11.46277045"
"10/8/2019","3:20","x","1.04","11.72","11.49458864"
"10/8/2019","3:25","x","1.04","11.73","11.49095227"
"10/8/2019","3:30","x","1.03","11.64","11.46913409"
"10/8/2019","3:35","x","1.03","11.37","11.41367955"
"10/8/2019","3:40","x","1.03","11.32","11.2928"
"10/8/2019","3:45","x","1.03","11.31","11.16373864"
"10/8/2019","3:50","x","1.03","11.15","11.05376818"
"10/8/2019","3:55","x","1.03","11","10.92837273"
"10/8/2019","4:00","x","1.03","10.85","10.79749318"
"10/8/2019","4:05","x","1.03","10.56","10.70025"
"10/8/2019","4:10","x","1.03","10.52","10.62661364"
"10/8/2019","4:15","x","1.03","10.51","10.57388636"
"10/8/2019","4:20","x","1.02","10.35","10.54570455"
"10/8/2019","4:25","x","1.02","10.2","10.53206818"
"10/8/2019","4:30","x","1.02","10.3","10.53297727"
"10/8/2019","4:35","x","1.03","10.51","10.56843182"
"10/8/2019","4:40","x","1.03","10.73","10.61388636"
"10/8/2019","4:45","x","1.03","10.84","10.66206818"
"10/8/2019","4:50","x","1.03","10.85","10.725675"
"10/8/2019","4:55","x","1.03","10.86","10.79746364"
"10/8/2019","5:00","x","1.03","10.95","10.86197955"
"10/8/2019","5:05","x","1.03","11.02","10.89561591"
"10/8/2019","5:10","x","1.03","11.04","10.885875"
"10/8/2019","5:15","x","1.03","11.05","10.85316364"
"10/8/2019","5:20","x","1.03","10.99","10.80156364"
"10/8/2019","5:25","x","1.03","11.01","10.736325"
"10/8/2019","5:30","x","1.03","10.88","10.65767955"
"10/8/2019","5:35","0","1.25","10.63","10.56539318"
"10/8/2019","5:40","0","1.64","10.5","10.47977045"
"10/8/2019","5:45","0","3.11","10.35","10.405875"
"10/8/2019","5:50","0.1","5.88","10.3","10.358925"
"10/8/2019","5:55","0.34","10.11","10.38","10.31846818"
"10/8/2019","6:00","0.74","15.65","10.48","10.30193864"
"10/8/2019","6:05","1.26","22.01","10.78","10.31246364"
"10/8/2019","6:10","1.82","28.81","11.14","10.36296364"
"10/8/2019","6:15","2.42","35.69","11.6","10.45166364"
"10/8/2019","6:20","3","41.8","11.89","10.57778864"
"10/8/2019","6:25","3.48","47.24","12.2","10.71508864"
"10/8/2019","6:30","3.9","53.38","12.44","10.82921136"
"10/8/2019","6:35","4.34","60.24","12.96","10.93576136"
"10/8/2019","6:40","4.82","67.55","13.42","11.1019"
"10/8/2019","6:45","5.24","72.73","13.86","11.32294773"
"10/8/2019","6:50","6","80.87","14.19","11.54878864"
"10/8/2019","6:55","7.15","94.87","14.31","11.79736136"
"10/8/2019","7:00","7.96","102.87","14.58","12.145225"
"10/8/2019","7:05","7.82","99.04","15.25","12.49066136"
"10/8/2019","7:10","8.08","102.72","16.21","12.81617273"
"10/8/2019","7:15","9.66","122.9","17.01","13.14462955"
"10/8/2019","7:20","10.45","130.8","17.65","13.505375"
"10/8/2019","7:25","8.16","101.18","17.82","13.91342955"
"10/8/2019","7:30","8.15","102.4","18.13","14.31763182"
"10/8/2019","7:35","8.06","102.3","18.13","14.56071818"
"10/8/2019","7:40","8.56","109.56","18.67","14.65760227"
"10/8/2019","7:45","8.51","108.31","19.05","14.760025"
"10/8/2019","7:50","8.45","105.99","19.16","15.11013864"
"10/8/2019","7:55","8.05","101.14","18.97","15.40892273"
"10/8/2019","8:00","11.44","141.38","19.3","15.55904318"
"10/8/2019","8:05","16.81","212.39","20.84","15.70213864"
"10/8/2019","8:10","23.24","294.08","23.7","16.08478409"
"10/8/2019","8:15","20.46","256.3","25.58","16.26441136"
"10/8/2019","8:20","19.85","247.13","25.85","16.51581591"
"10/8/2019","8:25","24.26","315.59","26.71","17.075625"
"10/8/2019","8:30","28.04","393.56","29.17","17.68035455"
"10/8/2019","8:35","22.49","301.28","29.11","18.04698409"
"10/8/2019","8:40","27.19","370.59","29.55","17.98445455"
"10/8/2019","8:45","28.78","378.13","30.77","17.15158864"
"10/8/2019","8:50","18.79","233.82","29.44","17.11347045"
"10/8/2019","8:55","12.38","149.01","26.2","17.84684773"
"10/8/2019","9:00","14.3","180.3","23.83","18.39717955"
"10/8/2019","9:05","24.92","317.09","23.76","18.4553"
"10/8/2019","9:10","49.2","649.27","29.19","18.544075"
"10/8/2019","9:15","39.64","537.57","34.87","18.15206591"
"10/8/2019","9:20","22.42","279.37","33.6","17.66443636"
"10/8/2019","9:25","17.95","225.14","29.75","17.34652727"
"10/8/2019","9:30","14.27","180.07","25.81","17.29142727"
"10/8/2019","9:35","12.32","163.62","23.8","17.64532955"
"10/8/2019","9:40","24.66","318.81","24.53","18.41672273"
"10/8/2019","9:45","21.42","264.71","25.08","18.44524091"
"10/8/2019","9:50","16.8","208.61","24.64","17.78512727"
"10/8/2019","9:55","18.12","220.18","24.52","17.41384773"
"10/8/2019","10:00","18.78","225","24.66","17.37660455"
"10/8/2019","10:05","22.85","283.26","25.78","17.48917273"
"10/8/2019","10:10","17.74","223.61","24.98","18.04675227"
"10/8/2019","10:15","19.04","241.87","25.12","18.40891818"
"10/8/2019","10:20","19.15","232.65","25.91","18.582375"
"10/8/2019","10:25","15.96","196.06","25.92","18.65700227"
"10/8/2019","10:30","14.44","177.52","25.49","18.7157"
"10/8/2019","10:35","11.45","140.86","24.88","18.96757727"
"10/8/2019","10:40","8.86","112.9","24.13","19.10460227"
"10/8/2019","10:45","9.28","123.44","23.78","19.57225682"
"10/8/2019","10:50","14.24","184.46","24.18","20.07582045"
"10/8/2019","10:55","18.86","240.21","25.8","20.30876136"
"10/8/2019","11:00","21.26","263.24","27.9","20.38168182"
"10/8/2019","11:05","26.93","325.54","29.8","20.35425227"
"10/8/2019","11:10","21.46","240.51","30.22","20.22285909"
"10/8/2019","11:15","11.11","129.29","28.09","20.02665"
"10/8/2019","11:20","9.38","115.68","25.87","19.83789773"
"10/8/2019","11:25","10.14","126.07","24.62","19.51306818"
"10/8/2019","11:30","9.7","119.99","23.9","19.16933636"
"10/8/2019","11:35","9.4","118.91","22.88","18.93775909"
"10/8/2019","11:40","9.66","123.08","21.61","18.470125"
"10/8/2019","11:45","10.96","139.73","20.65","17.83588182"
"10/8/2019","11:50","14.72","186.46","20.48","17.18991136"
"10/8/2019","11:55","16","199.58","22.05","16.36817955"
"10/8/2019","12:00","14.76","183.92","22.65","15.66046591"
"10/8/2019","12:05","13.79","172.94","22.88","15.14621591"
"10/8/2019","12:10","12.97","160.88","22.14","14.83615"
"10/8/2019","12:15","13.57","168.47","20.48","14.75692045"
"10/8/2019","12:20","16.44","204.81","18.14","14.94170455"
"10/8/2019","12:25","18.35","229.37","19.67","15.11277273"
"10/8/2019","12:30","17.84","222.81","20.6","15.28426818"
"10/8/2019","12:35","20.52","251.41","22.37","15.47884773"
"10/8/2019","12:40","21.58","264.7","23.84","15.71361818"
"10/8/2019","12:45","19.39","239.61","24.24","16.11298864"
"10/8/2019","12:50","18.04","225.68","24.78","16.74688636"
"10/8/2019","12:55","14.9","185.26","24.58","17.221525"
"10/8/2019","13:00","10.18","127.39","23.54","17.38041591"
"10/8/2019","13:05","6.44","82.65","22.18","17.15066591"
"10/8/2019","13:10","3.95","51.76","21.08","16.80210227"
"10/8/2019","13:15","3.7","50.26","20.09","16.23939545"
"10/8/2019","13:20","5.72","75.8","19.9","15.70301364"
"10/8/2019","13:25","6.77","90.57","18.05","15.23121136"
"10/8/2019","13:30","11.64","150.71","16.57","14.73392273"
"10/8/2019","13:35","14.65","182.06","17.32","14.17544318"
"10/8/2019","13:40","16.43","198.68","16.72","13.54228182"
"10/8/2019","13:45","13.78","163.84","16.87","12.889025"
"10/8/2019","13:50","9","109.87","16.94","12.33095227"
"10/8/2019","13:55","7.42","94.78","17.01","12.00926364"
"10/8/2019","14:00","5.8","73.52","15.74","12.09720227"
"10/8/2019","14:05","4.7","60.83","14.41","12.25349091"
"10/8/2019","14:10","5.64","75.67","13.73","12.49246818"
"10/8/2019","14:15","7.37","98.84","14.51","12.66101818"
"10/8/2019","14:20","8.21","104.68","14.97","12.57943182"
"10/8/2019","14:25","7","91.1","15.6","12.40446591"
"10/8/2019","14:30","4.9","65.47","15.25","12.28909318"
"10/8/2019","14:35","5.71","73.18","15.27","12.25153864"
"10/8/2019","14:40","4.08","55.1","15.19","12.22177273"
"10/8/2019","14:45","3.23","47.33","14.01","12.07686136"
"10/8/2019","14:50","3.54","51.23","13.67","11.96131364"
"10/8/2019","14:55","3.97","57.8","13.96","11.80562273"
"10/8/2019","15:00","4.82","68.31","14.24","11.66356364"
"10/8/2019","15:05","6.68","90.36","13.88","11.58914545"
"10/8/2019","15:10","9.4","120.81","13.63","11.48773182"
"10/8/2019","15:15","9.98","126.25","14.4","11.44092727"
"10/8/2019","15:20","9.47","119.18","14.8","11.41916591"
"10/8/2019","15:25","9.28","115.09","15.3","11.34852045"
"10/8/2019","15:30","8.27","102.06","15.39","11.25884091"
"10/8/2019","15:35","6.96","86.04","15.08","11.26852045"
"10/8/2019","15:40","5.52","68.71","14.19","11.39484545"
"10/8/2019","15:45","4.2","53.98","13.52","11.43862955"
"10/8/2019","15:50","3.31","44.48","12.75","11.44650682"
"10/8/2019","15:55","3.05","41.74","12.39","11.38763182"
"10/8/2019","16:00","2.89","40.93","12.38","11.26026364"
"10/8/2019","16:05","2.87","39.9","12.39","11.08491591"
"10/8/2019","16:10","3.02","42.2","12.15","10.9687"
"10/8/2019","16:15","3.05","42.36","12.39","10.87841591"
"10/8/2019","16:20","3.17","43.94","12.34","10.84979773"
"10/8/2019","16:25","3.38","46.4","12.18","10.89908636"
"10/8/2019","16:30","3.52","47.85","11.91","10.99637273"
"10/8/2019","16:35","3.62","48.66","12.26","11.11418864"
"10/8/2019","16:40","3.6","48.23","12.34","11.26454091"
"10/8/2019","16:45","3.61","48.32","12.56","11.39054318"
"10/8/2019","16:50","3.68","48.75","13.16","11.53345682"
"10/8/2019","16:55","3.72","48.31","13.69","11.70843864"
"10/8/2019","17:00","3.59","45.87","13.88","11.91200227"
"10/8/2019","17:05","3.2","40.85","13.76","12.09094318"
"10/8/2019","17:10","2.64","34.79","13.53","12.26358864"
"10/8/2019","17:15","2.06","28.8","13.42","12.41394545"
"10/8/2019","17:20","1.52","22.56","13.33","12.49946364"
"10/8/2019","17:25","1.01","16.49","13.13","12.52098864"
"10/8/2019","17:30","0.59","11.48","13.02","12.50499318"
"10/8/2019","17:35","0.28","7.95","12.93","12.46173409"
"10/8/2019","17:40","0.1","5.43","12.82","12.40781364"
"10/8/2019","17:45","0.01","3.19","12.62","12.32162045"
"10/8/2019","17:50","0","1.64","12.41","12.20971818"
"10/8/2019","17:55","0","1.13","12.25","12.09988182"
"10/8/2019","18:00","0","1.03","11.99","11.978"
"10/8/2019","18:05","0","1.04","11.84","11.84477955"
"10/8/2019","18:10","x","1.05","11.57","11.71229545"
"10/8/2019","18:15","x","1.05","11.4","11.60228409"
"10/8/2019","18:20","x","1.05","11.42","11.50769318"
"10/8/2019","18:25","x","1.04","11.34","11.41432273"
"10/8/2019","18:30","x","1.04","11.24","11.34974773"
"10/8/2019","18:35","x","1.04","11.22","11.30520227"
"10/8/2019","18:40","x","1.04","11.34","11.28795909"
"10/8/2019","18:45","x","1.04","11.35","11.25980682"
"10/8/2019","18:50","x","1.04","11.22","11.22804773"
"10/8/2019","18:55","x","1.04","11.28","11.21716818"
"10/8/2019","19:00","x","1.04","11.35","11.20265227"
"10/8/2019","19:05","x","1.04","11.38","11.19904545"
"10/8/2019","19:10","x","1.04","11.09","11.17725682"
"10/8/2019","19:15","x","1.03","11.07","11.12365"
"10/8/2019","19:20","x","1.03","11.22","11.07731591"
"10/8/2019","19:25","x","1.03","11.08","11.02461818"
"10/8/2019","19:30","x","1.03","11.18","10.95919318"
"10/8/2019","19:35","x","1.03","11.1","10.90013182"
"10/8/2019","19:40","x","1.03","10.76","10.87740455"
"10/8/2019","19:45","x","1.03","10.71","10.86104091"
"10/8/2019","19:50","x","1.03","10.7","10.83467727"
"10/8/2019","19:55","x","1.03","10.63","10.82649545"
"10/8/2019","20:00","x","1.03","10.73","10.81831364"
"10/8/2019","20:05","x","1.04","10.84","10.81828409"
"10/8/2019","20:10","x","1.03","10.89","10.83916364"
"10/8/2019","20:15","x","1.03","10.93","10.84734545"
"10/8/2019","20:20","x","1.03","10.99","10.84640682"
"10/8/2019","20:25","x","1.03","11.09","10.84910455"
"10/8/2019","20:30","x","1.04","11.1","10.839075"
"10/8/2019","20:35","x","1.04","10.99","10.81362045"
"10/8/2019","20:40","x","1.03","10.8","10.78631818"
"10/8/2019","20:45","x","1.04","10.69","10.75631818"
"10/8/2019","20:50","x","1.04","10.66","10.73174318"
"10/8/2019","20:55","x","1.04","10.62","10.68262273"
"10/8/2019","21:00","x","1.04","10.56","10.62537955"
"10/8/2019","21:05","x","1.04","10.59","10.58083409"
"10/8/2019","21:10","x","1.03","10.6","10.55901591"
"10/8/2019","21:15","x","1.04","10.72","10.54268182"
"10/8/2019","21:20","x","1.04","10.55","10.52362045"
"10/8/2019","21:25","x","1.03","10.47","10.50365"
"10/8/2019","21:30","x","1.04","10.5","10.50277045"
"10/8/2019","21:35","x","1.03","10.56","10.50734545"
"10/8/2019","21:40","x","1.03","10.51","10.48734545"
