Fecha,Hora,Potencia [kW],Insolaci�n [W/m�],Temperatura de modulos [�C],Temperatura ambiente [�C],,,,
15/10/2019,12:00:00 AM,x,1,3,10,12,9,786741667,
15/10/2019,12:05:00 AM,x,1,3,10,19,9,712425,
15/10/2019,12:10:00 AM,x,1,3,9,94,9,6554375,
15/10/2019,12:15:00 AM,x,1,2,9,64,9,614447222,
15/10/2019,12:20:00 AM,x,1,2,9,52,9,590655,
15/10/2019,12:25:00 AM,x,1,1,9,51,9,564825,
15/10/2019,12:30:00 AM,x,1,3,9,3,9,478461364,
15/10/2019,12:35:00 AM,x,1,3,9,29,9,3794,
15/10/2019,12:40:00 AM,x,1,3,9,32,9,298490909,
15/10/2019,12:45:00 AM,x,1,3,9,41,9,264825,
15/10/2019,12:50:00 AM,x,1,3,9,34,9,246613636,
15/10/2019,12:55:00 AM,x,1,3,9,17,9,225645455,
15/10/2019,01:00:00 AM,x,1,2,9,1,9,224736364,
15/10/2019,01:05:00 AM,x,1,3,9,5,9,220190909,
15/10/2019,01:10:00 AM,x,1,3,9,27,9,204736364,
15/10/2019,01:15:00 AM,x,1,3,9,32,9,202009091,
15/10/2019,01:20:00 AM,x,1,3,9,28,9,209281818,
15/10/2019,01:25:00 AM,x,1,3,9,29,9,207493182,
15/10/2019,01:30:00 AM,x,1,3,9,24,9,191129545,
15/10/2019,01:35:00 AM,x,1,3,9,15,9,178402273,
15/10/2019,01:40:00 AM,x,1,3,9,38,9,141159091,
15/10/2019,01:45:00 AM,x,1,3,9,42,9,91188636,
15/10/2019,01:50:00 AM,x,1,2,9,15,9,32127273,
15/10/2019,01:55:00 AM,x,1,2,8,92,8,966702273,
15/10/2019,02:00:00 AM,x,1,3,8,91,8,897640909,
15/10/2019,02:05:00 AM,x,1,2,8,86,8,825881818,
15/10/2019,02:10:00 AM,x,1,2,8,77,8,716820455,
15/10/2019,02:15:00 AM,x,1,2,8,63,8,601395455,
15/10/2019,02:20:00 AM,x,1,2,8,57,8,504122727,
15/10/2019,02:25:00 AM,x,1,2,8,48,8,41685,
15/10/2019,02:30:00 AM,x,1,1,8,36,8,329606818,
15/10/2019,02:35:00 AM,x,1,2,8,18,8,254181818,
15/10/2019,02:40:00 AM,x,1,2,8,15,8,179636364,
15/10/2019,02:45:00 AM,x,1,2,8,8,8,114181818,
15/10/2019,02:50:00 AM,x,1,2,7,96,8,48727273,
15/10/2019,02:55:00 AM,x,1,2,7,95,7,985090909,
15/10/2019,03:00:00 AM,x,1,1,8,3,7,929606818,
15/10/2019,03:05:00 AM,x,1,2,7,95,7,885061364,
15/10/2019,03:10:00 AM,x,1,2,7,91,7,833243182,
15/10/2019,03:15:00 AM,x,1,2,7,85,7,783243182,
15/10/2019,03:20:00 AM,x,1,2,7,78,7,771425,
15/10/2019,03:25:00 AM,x,1,2,7,75,7,765940909,
15/10/2019,03:30:00 AM,x,1,2,7,69,7,744093182,
15/10/2019,03:35:00 AM,x,1,2,7,58,7,719547727,
15/10/2019,03:40:00 AM,x,1,2,7,53,7,707729545,
15/10/2019,03:45:00 AM,x,1,2,7,83,7,704093182,
15/10/2019,03:50:00 AM,x,1,3,7,89,7,715002273,
15/10/2019,03:55:00 AM,x,1,2,7,79,7,723184091,
15/10/2019,04:00:00 AM,x,1,2,7,68,7,713213636,
15/10/2019,04:05:00 AM,x,1,2,7,78,7,709577273,
15/10/2019,04:10:00 AM,x,1,2,7,81,7,715970455,
15/10/2019,04:15:00 AM,x,1,2,7,9,7,721454545,
15/10/2019,04:20:00 AM,x,1,2,7,84,7,717847727,
15/10/2019,04:25:00 AM,x,1,1,7,58,7,738786364,
15/10/2019,04:30:00 AM,x,1,2,7,54,7,783331818,
15/10/2019,04:35:00 AM,x,1,1,7,6,7,792452273,
15/10/2019,04:40:00 AM,x,1,1,7,89,7,7743,
15/10/2019,04:45:00 AM,x,1,2,7,85,7,749813636,
15/10/2019,04:50:00 AM,x,1,1,8,2,7,746206818,
15/10/2019,04:55:00 AM,x,1,2,8,17,7,787115909,
15/10/2019,05:00:00 AM,x,1,1,7,88,7,830781818,
15/10/2019,05:05:00 AM,x,1,1,7,61,7,884388636,
15/10/2019,05:10:00 AM,x,1,7,63,7,909311364,,
15/10/2019,05:15:00 AM,x,1,1,7,8,7,933570455,
15/10/2019,05:20:00 AM,x,1,1,8,3,7,932163636,
15/10/2019,05:25:00 AM,x,1,1,8,2,7,904761364,
15/10/2019,05:30:00 AM,x,1,2,8,19,7,915304545,
15/10/2019,05:35:00 AM,0,1,19,8,17,7,966645455,
15/10/2019,05:40:00 AM,0,2,4,8,15,7,995131818,
15/10/2019,05:45:00 AM,0,1,3,64,8,9,7,990215909
15/10/2019,05:50:00 AM,0,14,6,91,8,6,7,987390909
15/10/2019,05:55:00 AM,0,37,10,98,8,32,8,17181818
15/10/2019,06:00:00 AM,0,61,14,71,8,62,8,46711364
15/10/2019,06:05:00 AM,0,82,17,82,8,49,8,75934091
15/10/2019,06:10:00 AM,1,20,52,8,38,8,107384091,
15/10/2019,06:15:00 AM,1,25,24,12,8,75,8,155570455
15/10/2019,06:20:00 AM,1,5,27,85,9,22,8,230461364
15/10/2019,06:25:00 AM,1,67,30,41,9,47,8,320875
15/10/2019,06:30:00 AM,1,8,32,53,9,51,8,381381818
15/10/2019,06:35:00 AM,1,96,34,78,9,56,8,146722727
15/10/2019,06:40:00 AM,2,18,38,1,9,74,8,244715909
15/10/2019,06:45:00 AM,3,6,49,87,10,28,8,551395455
15/10/2019,06:50:00 AM,3,7,58,84,10,87,8,923918182
15/10/2019,06:55:00 AM,3,23,73,11,18,9,367188636,
15/10/2019,07:00:00 AM,5,44,280,32,14,44,10,13712727
15/10/2019,07:05:00 AM,9,98,318,43,19,14,10,93583409
15/10/2019,07:10:00 AM,16,331,9,22,1,11,25378864,
15/10/2019,07:15:00 AM,18,94,357,15,24,2,11,41156364
15/10/2019,07:20:00 AM,22,13,404,38,26,5,11,98784091
15/10/2019,07:25:00 AM,18,1,307,32,26,91,12,63087727
