Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C],,,,
22/10/2019,12:00:00 AM,x,1,3,12,73,12,6999125,
22/10/2019,12:05:00 AM,x,1,3,12,61,12,79657143,
22/10/2019,12:10:00 AM,x,1,3,12,62,12,906525,
22/10/2019,12:15:00 AM,x,1,2,12,65,12,99204444,
22/10/2019,12:20:00 AM,x,1,3,12,73,13,254925,
22/10/2019,12:25:00 AM,x,1,3,13,6,13,3013182,
22/10/2019,12:30:00 AM,x,1,3,13,41,13,6376818,
22/10/2019,12:35:00 AM,x,1,4,13,71,13,11922273,
22/10/2019,12:40:00 AM,x,1,4,13,71,13,18558636,
22/10/2019,12:45:00 AM,x,1,3,13,36,13,22828409,
22/10/2019,12:50:00 AM,x,1,3,13,11,13,23831364,
22/10/2019,12:55:00 AM,x,1,3,13,1,13,21379773,
22/10/2019,01:00:00 AM,x,1,3,13,22,13,15834318,
22/10/2019,01:05:00 AM,x,1,3,13,35,13,7928182,
22/10/2019,01:10:00 AM,x,1,3,13,12,13,385682,
22/10/2019,01:15:00 AM,x,1,2,12,84,12,96206818,
22/10/2019,01:20:00 AM,x,1,2,12,79,12,94209773,
22/10/2019,01:25:00 AM,x,1,3,12,8,12,92937045,
22/10/2019,01:30:00 AM,x,1,3,12,84,12,92303636,
22/10/2019,01:35:00 AM,x,1,3,12,88,12,90849091,
22/10/2019,01:40:00 AM,x,1,2,12,9,12,90667273,
22/10/2019,01:45:00 AM,x,1,2,12,89,12,92030909,
22/10/2019,01:50:00 AM,x,1,3,12,96,12,9294,
22/10/2019,01:55:00 AM,x,1,2,13,15,12,93124773,
22/10/2019,02:00:00 AM,x,1,3,13,19,12,94582273,
22/10/2019,02:05:00 AM,x,1,3,13,1,12,97857955,
22/10/2019,02:10:00 AM,x,1,2,12,99,13,13125,
22/10/2019,02:15:00 AM,x,1,2,12,89,13,4582273,
22/10/2019,02:20:00 AM,x,1,2,12,82,13,6221591,
22/10/2019,02:25:00 AM,x,1,2,13,13,5494318,,
22/10/2019,02:30:00 AM,x,1,2,13,24,13,5133636,
22/10/2019,02:35:00 AM,x,1,2,13,28,13,7863864,
22/10/2019,02:40:00 AM,x,1,3,13,25,13,12318409,
22/10/2019,02:45:00 AM,x,1,2,13,14,13,19133636,
22/10/2019,02:50:00 AM,x,1,2,13,7,13,2677,
22/10/2019,02:55:00 AM,x,1,2,13,15,13,29315455,
22/10/2019,03:00:00 AM,x,1,2,13,4,13,20954773,
22/10/2019,03:05:00 AM,x,1,2,13,48,13,7412273,
22/10/2019,03:10:00 AM,x,1,3,13,64,12,91145455,
22/10/2019,03:15:00 AM,x,1,2,13,66,12,74060455,
22/10/2019,03:20:00 AM,x,1,2,13,28,12,55702727,
22/10/2019,03:25:00 AM,x,1,1,12,32,12,36072273,
22/10/2019,03:30:00 AM,x,1,1,11,79,12,13350909,
22/10/2019,03:35:00 AM,x,1,1,11,46,11,94356818,
22/10/2019,03:40:00 AM,x,1,11,26,11,79908182,,
22/10/2019,03:45:00 AM,x,1,11,5,11,68544545,,
22/10/2019,03:50:00 AM,x,1,10,99,11,63817273,,
22/10/2019,03:55:00 AM,x,1,10,9,11,69905227,,
22/10/2019,04:00:00 AM,x,1,11,39,11,81356818,,
22/10/2019,04:05:00 AM,x,1,1,12,5,11,95172045,
22/10/2019,04:10:00 AM,x,1,2,12,41,12,10257045,
22/10/2019,04:15:00 AM,x,1,2,12,76,12,26705682,
22/10/2019,04:20:00 AM,x,1,2,12,99,12,43790682,
22/10/2019,04:25:00 AM,x,1,2,13,5,12,61512045,
22/10/2019,04:30:00 AM,x,1,2,12,98,12,75051591,
22/10/2019,04:35:00 AM,x,1,2,12,92,12,82139545,
22/10/2019,04:40:00 AM,x,1,2,12,86,12,85139545,
22/10/2019,04:45:00 AM,x,1,2,12,87,12,84506136,
22/10/2019,04:50:00 AM,x,1,2,12,85,12,81506136,
22/10/2019,04:55:00 AM,x,1,2,12,88,12,77324318,
22/10/2019,05:00:00 AM,x,1,2,12,83,12,74051591,
22/10/2019,05:05:00 AM,x,1,2,12,74,12,70960682,
22/10/2019,05:10:00 AM,x,1,1,12,69,12,69124773,
22/10/2019,05:15:00 AM,x,1,2,12,66,12,67616364,
22/10/2019,05:20:00 AM,x,1,2,12,59,12,67690455,
22/10/2019,05:25:00 AM,x,1,2,12,62,12,68407045,
22/10/2019,05:30:00 AM,x,1,2,12,58,12,69446136,
22/10/2019,05:35:00 AM,0,1,8,12,66,12,694425,
22/10/2019,05:40:00 AM,0,1,51,12,72,12,67724773,
22/10/2019,05:45:00 AM,0,2,12,89,12,64155227,,
22/10/2019,05:50:00 AM,0,1,3,21,13,3,12,577625
22/10/2019,05:55:00 AM,0,26,8,58,13,19,12,49418636
22/10/2019,06:00:00 AM,0,6,13,34,13,14,12,43028409
22/10/2019,06:05:00 AM,1,15,20,67,13,14,12,40434318
22/10/2019,06:10:00 AM,1,87,30,64,13,23,12,39436364
22/10/2019,06:15:00 AM,3,1,47,58,13,4,12,37416136
22/10/2019,06:20:00 AM,4,48,68,3,13,88,12,33523864
22/10/2019,06:25:00 AM,5,36,81,11,14,48,12,8360682
22/10/2019,06:30:00 AM,5,4,81,86,15,11,98332273,
22/10/2019,06:35:00 AM,5,29,80,58,15,18,12,348182
22/10/2019,06:40:00 AM,4,96,76,53,15,9,11,98220227
22/10/2019,06:45:00 AM,4,84,78,23,15,4,12,9467955
22/10/2019,06:50:00 AM,7,64,193,44,16,43,12,33541591
22/10/2019,06:55:00 AM,10,6,223,59,18,87,12,56472727
22/10/2019,07:00:00 AM,11,59,226,77,20,6,12,89859318
22/10/2019,07:05:00 AM,15,86,306,15,21,95,13,31071364
22/10/2019,07:10:00 AM,18,14,344,28,24,28,13,75722045
22/10/2019,07:15:00 AM,19,91,370,55,26,36,14,240175
22/10/2019,07:20:00 AM,22,9,412,42,27,77,15,9759773
22/10/2019,07:25:00 AM,23,63,414,9,29,47,15,81391364
22/10/2019,07:30:00 AM,24,64,424,17,30,88,16,37782273
22/10/2019,07:35:00 AM,26,41,446,2,32,1,16,95952955
22/10/2019,07:40:00 AM,28,43,465,23,32,93,17,36152955
22/10/2019,07:45:00 AM,26,24,418,62,33,18,17,41619318
22/10/2019,07:50:00 AM,22,99,361,76,31,24,17,375125
22/10/2019,07:55:00 AM,22,91,354,37,30,41,17,19085227
22/10/2019,08:00:00 AM,20,88,317,88,28,73,16,96025909
22/10/2019,08:05:00 AM,19,8,290,68,26,96,16,83185227
22/10/2019,08:10:00 AM,24,89,374,51,27,9,16,87335227
22/10/2019,08:15:00 AM,30,31,458,32,28,81,16,88217955
22/10/2019,08:20:00 AM,34,6,513,69,30,68,17,90594545
22/10/2019,08:25:00 AM,41,4,615,14,34,55,17,8596
22/10/2019,08:30:00 AM,45,85,692,25,38,6,18,65725
22/10/2019,08:35:00 AM,48,36,733,3,42,9,19,1294
22/10/2019,08:40:00 AM,49,54,755,94,44,24,19,68207955
22/10/2019,08:45:00 AM,23,57,331,87,41,53,19,96348864
22/10/2019,08:50:00 AM,39,88,592,21,37,63,20,43596591
22/10/2019,08:55:00 AM,16,39,222,6,34,39,20,77385455
22/10/2019,09:00:00 AM,15,62,206,26,29,41,20,82539773
22/10/2019,09:05:00 AM,14,26,180,68,26,87,20,79070909
22/10/2019,09:10:00 AM,20,92,272,92,25,88,20,68787727
22/10/2019,09:15:00 AM,17,41,214,39,26,15,19,49810227
22/10/2019,09:20:00 AM,16,1,192,47,24,53,19,456825
22/10/2019,09:25:00 AM,19,48,235,42,24,32,18,51532727
22/10/2019,09:30:00 AM,17,44,211,54,24,76,16,92417955
22/10/2019,09:35:00 AM,16,7,199,36,25,2,16,57106364
22/10/2019,09:40:00 AM,14,8,177,64,23,43,17,40301818
22/10/2019,09:45:00 AM,14,3,168,95,23,42,17,76489545
22/10/2019,09:50:00 AM,13,81,171,49,22,39,18,48475
22/10/2019,09:55:00 AM,48,22,653,11,26,43,18,37997045
22/10/2019,10:00:00 AM,48,24,686,35,39,42,18,68427955
22/10/2019,10:05:00 AM,22,72,282,72,35,35,18,58838864
22/10/2019,10:10:00 AM,22,44,274,37,32,8,18,47985
22/10/2019,10:15:00 AM,24,8,305,72,31,33,18,75735682
22/10/2019,10:20:00 AM,31,1,392,76,33,8,19,176725
22/10/2019,10:25:00 AM,28,67,351,62,32,66,20,89420682
22/10/2019,10:30:00 AM,36,73,439,2,31,76,21,65208636
22/10/2019,10:35:00 AM,48,23,596,53,35,85,21,53654545
22/10/2019,10:40:00 AM,35,76,459,64,35,92,21,46022955
22/10/2019,10:45:00 AM,33,17,441,55,35,78,21,36190455
22/10/2019,10:50:00 AM,29,78,370,27,36,13,21,19891818
22/10/2019,10:55:00 AM,21,95,270,76,34,25,20,63361818
22/10/2019,11:00:00 AM,14,98,191,98,31,13,20,56735
22/10/2019,11:05:00 AM,17,83,216,2,29,35,20,93665909
22/10/2019,11:10:00 AM,18,19,208,23,27,8,20,89882273
22/10/2019,11:15:00 AM,19,28,232,54,26,8,20,29361136
22/10/2019,11:20:00 AM,32,89,399,26,27,99,20,49860227
22/10/2019,11:25:00 AM,37,48,458,86,31,67,20,39857955
22/10/2019,11:30:00 AM,28,24,338,61,31,53,20,36888182
22/10/2019,11:35:00 AM,26,24,318,6,30,92,20,49249545
22/10/2019,11:40:00 AM,41,9,569,16,33,27,20,67439091
22/10/2019,11:45:00 AM,20,86,267,35,35,4,20,88618636
22/10/2019,11:50:00 AM,21,25,270,46,33,14,21,31606364
22/10/2019,11:55:00 AM,17,96,215,57,31,57,21,30172727
22/10/2019,12:00:00 PM,15,89,175,9,29,4,20,88269091
22/10/2019,12:05:00 PM,10,85,118,5,26,15,20,43764318
22/10/2019,12:10:00 PM,6,47,72,24,23,2,20,41195
22/10/2019,12:15:00 PM,4,18,52,84,21,46,19,20217045
22/10/2019,12:20:00 PM,4,39,60,2,18,55,18,11388409
22/10/2019,12:25:00 PM,4,68,64,13,18,16,82847273,
22/10/2019,12:30:00 PM,2,98,42,77,17,6,15,47365909
22/10/2019,12:35:00 PM,2,32,36,1,15,66,14,33097273
22/10/2019,12:40:00 PM,2,95,46,66,14,56,13,43831591
22/10/2019,12:45:00 PM,5,36,73,88,14,78,12,75881364
22/10/2019,12:50:00 PM,10,42,130,94,14,68,12,376125
22/10/2019,12:55:00 PM,14,88,182,76,14,72,12,128409
22/10/2019,01:00:00 PM,14,26,168,19,15,21,11,71146136
22/10/2019,01:05:00 PM,13,43,154,37,16,5,11,52155227
22/10/2019,01:10:00 PM,12,134,21,16,63,11,58220227,
22/10/2019,01:15:00 PM,13,81,140,93,16,97,11,68851818
22/10/2019,01:20:00 PM,14,77,140,23,16,35,11,95541818
22/10/2019,01:25:00 PM,9,73,110,71,16,8,12,35740909
22/10/2019,01:30:00 PM,6,78,89,21,15,3,12,70734773
22/10/2019,01:35:00 PM,4,69,58,44,15,61,12,92426136
22/10/2019,01:40:00 PM,4,25,52,5,15,24,13,47475
22/10/2019,01:45:00 PM,4,32,53,22,15,9,13,16093409
22/10/2019,01:50:00 PM,4,68,56,24,15,3,13,29204091
22/10/2019,01:55:00 PM,2,87,34,98,14,73,13,330425
22/10/2019,02:00:00 PM,1,79,24,3,14,2,13,335125
22/10/2019,02:05:00 PM,1,51,21,43,14,32,13,22110455
22/10/2019,02:10:00 PM,1,9,16,99,14,19,13,3819318
22/10/2019,02:15:00 PM,0,84,15,24,13,73,12,85497727
22/10/2019,02:20:00 PM,0,6,12,18,13,3,12,70621364
22/10/2019,02:25:00 PM,0,37,8,85,12,74,12,485925
22/10/2019,02:30:00 PM,0,18,6,57,12,67,12,28024091
22/10/2019,02:35:00 PM,0,4,4,42,11,68,12,6163409
22/10/2019,02:40:00 PM,0,5,4,77,11,5,11,83424091
22/10/2019,02:45:00 PM,0,6,5,36,11,74,11,64042273
22/10/2019,02:50:00 PM,0,12,6,77,11,39,11,45970909
22/10/2019,02:55:00 PM,0,2,7,8,11,41,11,31338636
22/10/2019,03:00:00 PM,0,19,7,42,11,46,11,16759318
22/10/2019,03:05:00 PM,0,23,7,8,11,39,11,10921591
22/10/2019,03:10:00 PM,0,29,8,84,11,39,11,5650682
22/10/2019,03:15:00 PM,0,37,9,96,11,24,10,99246591
22/10/2019,03:20:00 PM,0,46,10,99,11,2,10,96615227
22/10/2019,03:25:00 PM,0,48,11,3,11,22,10,95303636
22/10/2019,03:30:00 PM,0,43,10,64,11,24,10,92595
22/10/2019,03:35:00 PM,0,46,10,61,11,11,10,88900227
22/10/2019,03:40:00 PM,0,43,10,42,11,2,10,85087045
22/10/2019,03:45:00 PM,0,38,9,83,11,2,10,85024545
22/10/2019,03:50:00 PM,0,36,9,47,11,32,10,87226364
22/10/2019,03:55:00 PM,0,29,8,28,11,19,10,88418409
22/10/2019,04:00:00 PM,0,23,7,69,10,98,10,8783
22/10/2019,04:05:00 PM,0,25,7,9,10,94,10,90489091
22/10/2019,04:10:00 PM,0,24,7,71,11,16,10,93319545
22/10/2019,04:15:00 PM,0,19,7,23,11,32,10,964375
22/10/2019,04:20:00 PM,0,16,6,65,11,2,10,971275
22/10/2019,04:25:00 PM,0,12,6,17,11,3,10,98088182
22/10/2019,04:30:00 PM,0,1,5,61,11,24,11,1898182
22/10/2019,04:35:00 PM,0,7,4,84,11,33,11,6588409
22/10/2019,04:40:00 PM,0,4,4,2,11,36,11,10782727
22/10/2019,04:45:00 PM,0,1,3,75,11,21,11,14107955
22/10/2019,04:50:00 PM,0,3,49,11,14,11,17358636,
22/10/2019,04:55:00 PM,0,3,41,11,26,11,21596818,
22/10/2019,05:00:00 PM,0,3,41,11,31,11,23503182,
22/10/2019,05:05:00 PM,0,3,36,11,48,11,25186364,
22/10/2019,05:10:00 PM,0,3,36,11,56,11,25573182,
22/10/2019,05:15:00 PM,0,3,34,11,45,11,27657727,
22/10/2019,05:20:00 PM,0,3,21,11,4,11,32003182,
22/10/2019,05:25:00 PM,0,2,85,11,36,11,36072955,
22/10/2019,05:30:00 PM,0,2,22,11,43,11,39415455,
22/10/2019,05:35:00 PM,0,1,66,11,32,11,41191818,
22/10/2019,05:40:00 PM,0,1,31,11,36,11,43968182,
22/10/2019,05:45:00 PM,0,1,9,11,54,11,48287045,
22/10/2019,05:50:00 PM,0,1,2,11,63,11,5011,
22/10/2019,05:55:00 PM,0,1,2,11,6,11,50193182,
22/10/2019,06:00:00 PM,x,1,4,11,6,11,49090227,
22/10/2019,06:05:00 PM,x,1,4,11,79,11,47094545,
22/10/2019,06:10:00 PM,x,1,3,11,85,11,459075,
22/10/2019,06:15:00 PM,x,1,4,11,53,11,45655455,
22/10/2019,06:20:00 PM,x,1,3,11,31,11,47379773,
22/10/2019,06:25:00 PM,x,1,3,11,27,11,50649545,
22/10/2019,06:30:00 PM,x,1,3,11,8,11,53379773,
22/10/2019,06:35:00 PM,x,1,2,11,22,11,5411,
22/10/2019,06:40:00 PM,x,1,2,11,51,11,54473636,
22/10/2019,06:45:00 PM,x,1,3,11,82,11,575675,
22/10/2019,06:50:00 PM,x,1,3,11,96,11,62840227,
22/10/2019,06:55:00 PM,x,1,3,11,9,11,685675,
22/10/2019,07:00:00 PM,x,1,3,11,87,11,74294773,
22/10/2019,07:05:00 PM,x,1,3,11,89,11,76658409,
22/10/2019,07:10:00 PM,x,1,3,11,87,11,76112955,
22/10/2019,07:15:00 PM,x,1,3,11,89,11,72934091,
22/10/2019,07:20:00 PM,x,1,3,11,9,11,70027955,
22/10/2019,07:25:00 PM,x,1,3,11,71,11,71573409,
22/10/2019,07:30:00 PM,x,1,2,11,48,11,74391591,
22/10/2019,07:35:00 PM,x,1,2,11,45,11,73667273,
22/10/2019,07:40:00 PM,x,1,2,11,47,11,70124773,
22/10/2019,07:45:00 PM,x,1,2,11,64,11,66218636,
22/10/2019,07:50:00 PM,x,1,3,12,7,11,62221591,
22/10/2019,07:55:00 PM,x,1,3,12,18,11,59133636,
22/10/2019,08:00:00 PM,x,1,2,11,81,11,57042727,
22/10/2019,08:05:00 PM,x,1,2,11,48,11,54951818,
22/10/2019,08:10:00 PM,x,1,2,11,46,11,5377,
22/10/2019,08:15:00 PM,x,1,2,11,46,11,51588182,
22/10/2019,08:20:00 PM,x,1,2,11,37,11,44954773,
22/10/2019,08:25:00 PM,x,1,2,11,25,11,36230455,
22/10/2019,08:30:00 PM,x,1,2,11,22,11,30230455,
22/10/2019,08:35:00 PM,x,1,2,11,34,11,28230455,
22/10/2019,08:40:00 PM,x,1,2,11,4,11,27230455,
22/10/2019,08:45:00 PM,x,1,2,11,34,11,26685,
22/10/2019,08:50:00 PM,x,1,2,11,22,11,27048636,
22/10/2019,08:55:00 PM,x,1,2,11,15,11,28321364,
22/10/2019,09:00:00 PM,x,1,2,11,26,11,28503182,
22/10/2019,09:05:00 PM,x,1,2,11,35,11,26957727,
22/10/2019,09:10:00 PM,x,1,2,11,4,11,25230455,
22/10/2019,09:15:00 PM,x,1,2,11,41,11,24503182,
22/10/2019,09:20:00 PM,x,1,2,11,39,11,24230455,
22/10/2019,09:25:00 PM,x,1,2,11,24,11,24230455,
22/10/2019,09:30:00 PM,x,1,2,11,17,11,21685,
22/10/2019,09:35:00 PM,x,1,2,11,21,11,17775909,
22/10/2019,09:40:00 PM,x,1,2,11,26,11,12957727,
22/10/2019,09:45:00 PM,x,1,2,11,19,11,7775909,
22/10/2019,09:50:00 PM,x,1,2,11,15,11,2866818,
22/10/2019,09:55:00 PM,x,1,2,10,98,10,99321364,
22/10/2019,10:00:00 PM,x,1,2,10,92,10,97139545,
22/10/2019,10:05:00 PM,x,1,2,10,87,10,95048636,
22/10/2019,10:10:00 PM,x,1,2,10,84,10,92048636,
22/10/2019,10:15:00 PM,x,1,2,10,85,10,87866818,
22/10/2019,10:20:00 PM,x,1,2,10,85,10,83775909,
22/10/2019,10:25:00 PM,x,1,2,10,93,10,81321364,
22/10/2019,10:30:00 PM,x,1,2,10,98,10,76957727,
22/10/2019,10:35:00 PM,x,1,2,10,93,10,70957727,
22/10/2019,10:40:00 PM,x,1,2,10,73,10,65321364,
22/10/2019,10:45:00 PM,x,1,2,10,7,10,59503182,
22/10/2019,10:50:00 PM,x,1,2,10,71,10,52048636,
22/10/2019,10:55:00 PM,x,1,2,10,44,10,44230455,
22/10/2019,11:00:00 PM,x,1,2,10,21,10,35775909,
22/10/2019,11:05:00 PM,x,1,2,10,22,10,26412273,
22/10/2019,11:10:00 PM,x,1,2,10,21,10,17139545,
22/10/2019,11:15:00 PM,x,1,2,10,3,10,7412273,
22/10/2019,11:20:00 PM,x,1,2,10,7,9,957759091,
22/10/2019,11:25:00 PM,x,1,2,10,5,9,854122727,
22/10/2019,11:30:00 PM,x,1,2,9,9,9,780486364,
22/10/2019,11:35:00 PM,x,1,2,9,71,9,725031818,
22/10/2019,11:40:00 PM,x,1,2,9,63,9,664122727,
22/10/2019,11:45:00 PM,x,1,2,9,43,9,615031818,
22/10/2019,11:50:00 PM,x,1,2,9,3,9,554122727,
22/10/2019,11:55:00 PM,x,1,2,9,4,9,505940909,
23/10/2019,12:00:00 AM,x,1,2,9,61,9,527759091,
23/10/2019,12:05:00 AM,x,1,2,9,54,9,622275,
23/10/2019,12:10:00 AM,x,1,2,9,49,9,727729545,
23/10/2019,12:15:00 AM,x,1,2,9,4,9,838638636,
23/10/2019,12:20:00 AM,x,1,2,9,52,9,965002273,
23/10/2019,12:25:00 AM,x,1,2,10,14,10,7591136,
23/10/2019,12:30:00 AM,x,1,3,10,75,10,15772955,
23/10/2019,12:35:00 AM,x,1,2,10,79,10,27318409,
23/10/2019,12:40:00 AM,x,1,2,10,65,10,40136591,
23/10/2019,12:45:00 AM,x,1,2,10,69,10,52136591,
23/10/2019,12:50:00 AM,x,1,2,10,62,10,61954773,
23/10/2019,12:55:00 AM,x,1,2,10,51,10,64048636,
23/10/2019,01:00:00 AM,x,1,2,10,81,10,59963636,
23/10/2019,01:05:00 AM,x,1,2,10,9,10,54148409,
23/10/2019,01:10:00 AM,x,1,2,10,72,10,48696818,
23/10/2019,01:15:00 AM,x,1,2,10,6,10,42608864,
23/10/2019,01:20:00 AM,x,1,1,10,37,10,37339091,
23/10/2019,01:25:00 AM,x,1,1,10,3,10,32796591,
23/10/2019,01:30:00 AM,x,1,1,10,15,10,24617727,
23/10/2019,01:35:00 AM,x,1,1,10,5,10,15345,
23/10/2019,01:40:00 AM,x,1,1,10,2,10,7166136,
23/10/2019,01:45:00 AM,x,1,1,10,4,10,529773,
23/10/2019,01:50:00 AM,x,1,1,10,1,9,977086364,
