Fecha,Hora,Potencia [kW],Insolacion [W/m2],Temperatura de modulos [C],Temperatura Ambiente [C]
10/29/2019,12:00:00 AM,x,1.02,12.06,11.74034583
10/29/2019,12:05:00 AM,x,1.02,12.23,11.62989286
10/29/2019,12:10:00 AM,x,1.02,12.15,11.54584375
10/29/2019,12:15:00 AM,x,1.01,11.75,11.47265833
10/29/2019,12:20:00 AM,x,1.01,11.35,11.43511
10/29/2019,12:25:00 AM,x,1.01,11.1,11.40529773
10/29/2019,12:30:00 AM,x,1.01,11,11.31623636
10/29/2019,12:35:00 AM,x,1,10.99,11.20626591
10/29/2019,12:40:00 AM,x,1.01,10.92,11.10902273
10/29/2019,12:45:00 AM,x,1.01,11.13,11.05175
10/29/2019,12:50:00 AM,x,1.01,11.14,11.03629545
10/29/2019,12:55:00 AM,x,1.01,11.08,11.05902273
10/29/2019,01:00:00 AM,x,1.01,11.02,11.12993182
10/29/2019,01:05:00 AM,x,1.01,11.08,11.25169091
10/29/2019,01:10:00 AM,x,1.01,11.12,11.40435909
10/29/2019,01:15:00 AM,x,1.01,11.18,11.52069318
10/29/2019,01:20:00 AM,x,1.01,11.35,11.60157273
10/29/2019,01:25:00 AM,x,1.01,11.78,11.6343
10/29/2019,01:30:00 AM,x,1.02,12.33,11.64793636
10/29/2019,01:35:00 AM,x,1.03,12.6,11.63066364
10/29/2019,01:40:00 AM,x,1.02,12.41,11.59796591
10/29/2019,01:45:00 AM,x,1.02,12.03,11.54799545
10/29/2019,01:50:00 AM,x,1.01,11.44,11.50166136
10/29/2019,01:55:00 AM,x,1.01,11.17,11.40896364
10/29/2019,02:00:00 AM,x,1.01,10.89,11.28629545
10/29/2019,02:05:00 AM,x,1,10.76,11.15911136
10/29/2019,02:10:00 AM,x,1,10.63,11.03095909
10/29/2019,02:15:00 AM,x,1,10.84,10.91283636
10/29/2019,02:20:00 AM,x,1,10.76,10.84374545
10/29/2019,02:25:00 AM,x,1,10.98,10.76468409
10/29/2019,02:30:00 AM,x,1,11.2,10.68471364
10/29/2019,02:35:00 AM,x,1.01,11,10.60380455
10/29/2019,02:40:00 AM,x,1,10.73,10.55380455
10/29/2019,02:45:00 AM,x,1.01,10.68,10.49925909
10/29/2019,02:50:00 AM,x,1,10.3,10.47104773
10/29/2019,02:55:00 AM,x,1,10.01,10.42374545
10/29/2019,03:00:00 AM,x,1,9.87,10.34189773
10/29/2019,03:05:00 AM,x,1,10.08,10.26192727
10/29/2019,03:10:00 AM,x,1,10.24,10.20374545
10/29/2019,03:15:00 AM,x,1.01,10.45,10.12650227
10/29/2019,03:20:00 AM,x,1.01,10.46,10.06922955
10/29/2019,03:25:00 AM,x,1.01,10.3,10.03104773
10/29/2019,03:30:00 AM,x,1,10.12,9.991956818
10/29/2019,03:35:00 AM,x,1,10.09,9.933775
10/29/2019,03:40:00 AM,x,1,9.83,9.857411364
10/29/2019,03:45:00 AM,x,1,9.67,9.76835
10/29/2019,03:50:00 AM,x,1,9.59,9.678379545
10/29/2019,03:55:00 AM,x,1,9.44,9.603863636
10/29/2019,04:00:00 AM,x,1,9.44,9.562015909
10/29/2019,04:05:00 AM,x,1,9.4,9.541077273
10/29/2019,04:10:00 AM,x,1,9.47,9.561956818
10/29/2019,04:15:00 AM,x,1,9.47,9.614654545
10/29/2019,04:20:00 AM,x,1,9.48,9.673686364
10/29/2019,04:25:00 AM,x,1.01,9.66,9.730020455
10/29/2019,04:30:00 AM,x,1.01,9.86,9.787263636
10/29/2019,04:35:00 AM,x,1.01,10.06,9.848143182
10/29/2019,04:40:00 AM,x,1.01,10.25,9.892659091
10/29/2019,04:45:00 AM,x,1.02,10.24,9.918084091
10/29/2019,04:50:00 AM,x,1.01,10.06,9.958963636
10/29/2019,04:55:00 AM,x,1.01,10.07,9.984418182
10/29/2019,05:00:00 AM,x,1.01,10.07,10.01350909
10/29/2019,05:05:00 AM,x,1.01,9.96,10.03438864
10/29/2019,05:10:00 AM,x,1.01,9.75,10.02857955
10/29/2019,05:15:00 AM,x,1.01,9.93,10.00923182
10/29/2019,05:20:00 AM,x,1.01,9.94,10.05141136
10/29/2019,05:25:00 AM,x,1.01,10.18,10.12137273
10/29/2019,05:30:00 AM,x,1.02,10.29,10.19580682
10/29/2019,05:35:00 AM,0,1.13,10.19,10.24885682
10/29/2019,05:40:00 AM,0,2.03,10.06,10.301125
10/29/2019,05:45:00 AM,0.05,4.58,10.64,10.28526591
10/29/2019,05:50:00 AM,0.23,8.1,11.07,10.23651818
10/29/2019,05:55:00 AM,0.54,12.74,11.27,10.15933636
10/29/2019,06:00:00 AM,1.06,19.67,11.15,10.07952045
10/29/2019,06:05:00 AM,1.73,28.55,11.22,10.00274545
10/29/2019,06:10:00 AM,2.44,38.07,10.96,9.946438636
10/29/2019,06:15:00 AM,3.08,46.74,10.89,9.859793182
10/29/2019,06:20:00 AM,3.64,54.21,11.06,9.719840909
10/29/2019,06:25:00 AM,4.09,60.65,11.35,9.584411364
10/29/2019,06:30:00 AM,4.49,66.5,11.47,9.492277273
10/29/2019,06:35:00 AM,4.84,72.78,11.74,9.407243182
10/29/2019,06:40:00 AM,5.18,80.06,12.14,9.525486364
10/29/2019,06:45:00 AM,5.87,105.93,12.71,9.808770455
10/29/2019,06:50:00 AM,7.45,142.27,13.99,10.06889318
