Fecha,Hora,Potencia [kW],Insolaci¢n [W/mý],Temperatura de modulos [øC],Temperatura ambiente [øC]
09/23/2020,12:00:00 AM,x,0.98,11.14,11.74632083
09/23/2020,12:05:00 AM,x,0.98,11.43,11.80653571
09/23/2020,12:10:00 AM,x,0.98,11.76,11.84294688
09/23/2020,12:15:00 AM,x,0.99,12.02,11.86571111
09/23/2020,12:20:00 AM,x,0.99,12.2,11.8609225
09/23/2020,12:25:00 AM,x,0.99,12.12,11.84248864
09/23/2020,12:30:00 AM,x,0.99,12.2,11.876125
09/23/2020,12:35:00 AM,x,0.99,12.13,11.88157955
09/23/2020,12:40:00 AM,x,0.99,12.08,11.86521591
09/23/2020,12:45:00 AM,x,0.99,11.85,11.83979091
09/23/2020,12:50:00 AM,x,0.98,11.69,11.81800227
09/23/2020,12:55:00 AM,x,0.98,11.51,11.83345682
09/23/2020,01:00:00 AM,x,0.98,11.49,11.85254773
09/23/2020,01:05:00 AM,x,0.98,11.58,11.87800227
09/23/2020,01:10:00 AM,x,0.98,11.74,11.89163864
09/23/2020,01:15:00 AM,x,0.98,11.96,11.91621364
09/23/2020,01:20:00 AM,x,0.99,12.29,11.95621364
09/23/2020,01:25:00 AM,x,0.99,12.41,12.02712273
09/23/2020,01:30:00 AM,x,0.99,12.41,12.11530455
09/23/2020,01:35:00 AM,x,0.99,12.23,12.21072955
09/23/2020,01:40:00 AM,x,0.98,12.12,12.29251818
09/23/2020,01:45:00 AM,x,0.98,12.13,12.3407
09/23/2020,01:50:00 AM,x,0.98,12.29,12.35436591
09/23/2020,01:55:00 AM,x,0.98,12.46,12.34530455
09/23/2020,02:00:00 AM,x,0.99,12.63,12.24351591
09/23/2020,02:05:00 AM,x,0.99,12.64,12.01721136
09/23/2020,02:10:00 AM,x,0.98,12.49,11.75817955
09/23/2020,02:15:00 AM,x,0.98,12.44,11.46645
09/23/2020,02:20:00 AM,x,0.98,12.31,11.15472045
09/23/2020,02:25:00 AM,x,0.98,11.29,10.85571818
09/23/2020,02:30:00 AM,x,0.97,9.74,10.55492727
09/23/2020,02:35:00 AM,x,0.96,9.27,10.23140909
09/23/2020,02:40:00 AM,x,0.95,8.92,9.922377273
09/23/2020,02:45:00 AM,x,0.95,8.86,9.611556818
09/23/2020,02:50:00 AM,x,0.95,9.17,9.315252273
09/23/2020,02:55:00 AM,x,0.95,9.32,9.120765909
09/23/2020,03:00:00 AM,x,0.95,9.08,9.078977273
09/23/2020,03:05:00 AM,x,0.96,9.09,9.093493182
09/23/2020,03:10:00 AM,x,0.95,9.02,9.136161364
09/23/2020,03:15:00 AM,x,0.96,9.05,9.194284091
09/23/2020,03:20:00 AM,x,0.96,9.15,9.225134091
09/23/2020,03:25:00 AM,x,0.96,9.28,9.233256818
09/23/2020,03:30:00 AM,x,0.97,9.43,9.271409091
09/23/2020,03:35:00 AM,x,0.97,9.39,9.310470455
09/23/2020,03:40:00 AM,x,0.97,9.5,9.345865909
09/23/2020,03:45:00 AM,x,0.97,9.51,9.381290909
09/23/2020,03:50:00 AM,x,0.97,9.41,9.413988636
09/23/2020,03:55:00 AM,x,0.96,9.5,9.431231818
09/23/2020,04:00:00 AM,x,0.97,9.52,9.439413636
09/23/2020,04:05:00 AM,x,0.97,9.41,9.467595455
09/23/2020,04:10:00 AM,x,0.97,9.44,9.490322727
09/23/2020,04:15:00 AM,x,0.97,9.51,9.525777273
09/23/2020,04:20:00 AM,x,0.97,9.47,9.563959091
09/23/2020,04:25:00 AM,x,0.97,9.52,9.587565909
09/23/2020,04:30:00 AM,x,0.97,9.7,9.577565909
09/23/2020,04:35:00 AM,x,0.97,9.75,9.572140909
09/23/2020,04:40:00 AM,x,0.97,9.9,9.562170455
09/23/2020,04:45:00 AM,x,0.97,9.83,9.551290909
09/23/2020,04:50:00 AM,x,0.97,9.76,9.548593182
09/23/2020,04:55:00 AM,x,0.97,9.41,9.524077273
09/23/2020,05:00:00 AM,x,0.96,9.35,9.483197727
09/23/2020,05:05:00 AM,x,0.96,9.33,9.437772727
09/23/2020,05:10:00 AM,x,0.96,9.39,9.379620455
09/23/2020,05:15:00 AM,x,0.96,9.44,9.339620455
09/23/2020,05:20:00 AM,x,0.96,9.25,9.303197727
09/23/2020,05:25:00 AM,x,0.96,9.25,9.2973
09/23/2020,05:30:00 AM,x,0.96,9.25,9.295786364
09/23/2020,05:35:00 AM,x,0.96,9.26,9.297468182
09/23/2020,05:40:00 AM,x,0.97,9.39,9.280520455
09/23/2020,05:45:00 AM,x,0.99,9.36,9.261765909
09/23/2020,05:50:00 AM,x,1.12,9.35,9.254843182
09/23/2020,05:55:00 AM,0,1.78,9.36,9.2348
09/23/2020,06:00:00 AM,0,3.16,9.42,9.227470455
09/23/2020,06:05:00 AM,0,4.85,9.33,9.236209091
09/23/2020,06:10:00 AM,0.07,7,9.43,9.247134091
09/23/2020,06:15:00 AM,0.18,10.38,9.48,9.279906818
09/23/2020,06:20:00 AM,0.43,17.59,9.57,9.3241
09/23/2020,06:25:00 AM,0.88,26.21,9.99,9.371956818
09/23/2020,06:30:00 AM,1.13,30.31,10.31,9.405
09/23/2020,06:35:00 AM,1.32,33.58,10.57,9.431479545
09/23/2020,06:40:00 AM,1.38,33.59,10.78,9.463704545
09/23/2020,06:45:00 AM,1.22,30.47,10.79,9.485622727
09/23/2020,06:50:00 AM,0.97,25.89,10.67,9.510011364
09/23/2020,06:55:00 AM,0.77,22.13,10.4,9.532795455
09/23/2020,07:00:00 AM,0.82,23.58,10.23,9.524075
09/23/2020,07:05:00 AM,0.98,27.17,10.44,9.499197727
09/23/2020,07:10:00 AM,1.27,32.5,10.44,9.453795455
09/23/2020,07:15:00 AM,1.7,40.72,10.59,9.422613636
09/23/2020,07:20:00 AM,2.17,48.96,10.98,9.376331818
09/23/2020,07:25:00 AM,2.94,62.8,11.27,9.293759091
09/23/2020,07:30:00 AM,3.88,78,11.74,9.149659091
09/23/2020,07:35:00 AM,3.92,77.88,11.72,9.003836364
09/23/2020,07:40:00 AM,3.5,70.87,11.76,8.906893182
09/23/2020,07:45:00 AM,3.41,70.17,11.6,8.870856818
09/23/2020,07:50:00 AM,4.58,93.77,11.82,8.946697727
09/23/2020,07:55:00 AM,7.18,144.66,12.58,9.076361364
09/23/2020,08:00:00 AM,9.65,187.91,14.06,9.423838636
09/23/2020,08:05:00 AM,12.36,234.85,15.95,9.642175
09/23/2020,08:10:00 AM,14.76,289.84,18.29,9.379652273
09/23/2020,08:15:00 AM,15.2,306.06,20.17,9.553822727
09/23/2020,08:20:00 AM,18.04,360.76,22.38,10.17831818
09/23/2020,08:25:00 AM,16.48,324.7,23.58,11.07956591
