"Fecha","Potencia [kW]","Insolación [W/m²]"
"8/28/2020 1:00","x","0.98"
"8/28/2020 2:00","x","0.98"
"8/28/2020 3:00","x","0.98"
"8/28/2020 4:00","x","0.97"
"8/28/2020 5:00","x","0.97"
"8/28/2020 6:00","0.01","1.97"
"8/28/2020 7:00","1.03","23.89"
"8/28/2020 8:00","10.94","231.99"
"8/28/2020 9:00","26.58","522.53"
"8/28/2020 10:00","38.43","722.06"
"8/28/2020 11:00","36.25","646.36"
"8/28/2020 12:00","37.88","656.73"
"8/28/2020 13:00","53.12","952.67"
"8/28/2020 14:00","35.07","642.8"
"8/28/2020 15:00","28.59","676.24"
"8/28/2020 16:00","16.12","319.17"
"8/28/2020 17:00","8.78","118.76"
"8/28/2020 18:00","2.53","43.27"
"8/28/2020 19:00","0.01","1.81"
"8/28/2020 20:00","x","1.02"
"8/28/2020 21:00","x","1.01"
"8/28/2020 22:00","x","0.99"
"8/28/2020 23:00","x","0.99"
"8/29/2020 0:00","x","0.99"
"8/29/2020 1:00","x","0.98"
"8/29/2020 2:00","x","0.97"
"8/29/2020 3:00","x","0.97"
"8/29/2020 4:00","x","0.97"
"8/29/2020 5:00","x","0.98"
"8/29/2020 6:00","0.02","2.17"
"8/29/2020 7:00","1.88","41.03"
"8/29/2020 8:00","12.04","250.16"
"8/29/2020 9:00","31.04","620.78"
"8/29/2020 10:00","41.86","810.41"
"8/29/2020 11:00","46.29","872.28"
"8/29/2020 12:00","48.82","907.87"
"8/29/2020 13:00","16.31","283.17"
"8/29/2020 14:00","11.29","187.5"
"8/29/2020 15:00","9.03","146.94"
"8/29/2020 16:00","8.95","154.83"
"8/29/2020 17:00","3.12","55.16"
"8/29/2020 18:00","0.03","3.36"
"8/29/2020 19:00","0","1.01"
"8/29/2020 20:00","x","1"
"8/29/2020 21:00","x","1"
"8/29/2020 22:00","x","0.99"
"8/29/2020 23:00","x","0.99"
"8/30/2020 0:00","x","0.98"
"8/30/2020 1:00","x","0.99"
"8/30/2020 2:00","x","0.99"
"8/30/2020 3:00","x","0.98"
"8/30/2020 4:00","x","0.98"
"8/30/2020 5:00","x","0.98"
"8/30/2020 6:00","0","1.31"
"8/30/2020 7:00","1.71","34.43"
"8/30/2020 8:00","5.15","88.91"
"8/30/2020 9:00","15.02","254.5"
"8/30/2020 10:00","12.21","205.54"
"8/30/2020 11:00","23.25","389.17"
"8/30/2020 12:00","33.71","570.41"
"8/30/2020 13:00","25.48","407.1"
"8/30/2020 14:00","22.38","358.68"
"8/30/2020 15:00","9.06","148.87"
"8/30/2020 16:00","16.3","262.94"
"8/30/2020 17:00","7.03","118.31"
"8/30/2020 18:00","2.99","53"
"8/30/2020 19:00","0.01","1.55"
"8/30/2020 20:00","x","1.01"
"8/30/2020 21:00","x","1"
"8/30/2020 22:00","x","1"
"8/30/2020 23:00","x","0.99"
"8/31/2020 0:00","x","0.99"
"8/31/2020 1:00","x","0.99"
"8/31/2020 2:00","x","0.99"
"8/31/2020 3:00","x","0.98"
"8/31/2020 4:00","x","0.97"
"8/31/2020 5:00","x","0.98"
"8/31/2020 6:00","0","1.66"
"8/31/2020 7:00","1.28","28.83"
"8/31/2020 8:00","10.36","216.89"
"8/31/2020 9:00","26.5","528.24"
"8/31/2020 10:00","36.99","688.48"
"8/31/2020 11:00","50.58","932.51"
"8/31/2020 12:00","37.07","658.7"
"8/31/2020 13:00","45.29","800.52"
"8/31/2020 14:00","23.16","372.97"
"8/31/2020 15:00","11.47","193.7"
"8/31/2020 16:00","5.51","95.27"
"8/31/2020 17:00","0.9","22.94"
"8/31/2020 18:00","0.1","4.97"
"8/31/2020 19:00","0","1.02"
"8/31/2020 20:00","x","1.02"
"8/31/2020 21:00","x","1.01"
"8/31/2020 22:00","x","1"
"8/31/2020 23:00","x","1"
"9/1/2020 0:00","x","0.99"
"9/1/2020 1:00","x","0.99"
"9/1/2020 2:00","x","0.99"
"9/1/2020 3:00","x","0.98"
"9/1/2020 4:00","x","0.98"
"9/1/2020 5:00","x","0.98"
"9/1/2020 6:00","0","1.66"
"9/1/2020 7:00","1.48","34.27"
"9/1/2020 8:00","9.61","174.14"
"9/1/2020 9:00","20.48","378.25"
"9/1/2020 10:00","32.41","585.56"
"9/1/2020 11:00","17.53","291.74"
"9/1/2020 12:00","19.6","327.05"
"9/1/2020 13:00","25.69","414.39"
"9/1/2020 14:00","33.07","572.75"
"9/1/2020 15:00","27.45","597.67"
"9/1/2020 16:00","7.69","137.63"
"9/1/2020 17:00","2.16","39.83"
"9/1/2020 18:00","1.87","34.46"
"9/1/2020 19:00","0","1.15"
"9/1/2020 20:00","x","1.02"
"9/1/2020 21:00","x","1.01"
"9/1/2020 22:00","x","1"
"9/1/2020 23:00","x","0.99"
"9/2/2020 0:00","x","0.99"
"9/2/2020 1:00","x","0.99"
"9/2/2020 2:00","x","0.99"
"9/2/2020 3:00","x","0.99"
"9/2/2020 4:00","x","0.98"
"9/2/2020 5:00","x","0.98"
"9/2/2020 6:00","x","1"
"9/2/2020 7:00","0.01","3"
"9/2/2020 8:00","1.37","29.74"
"9/2/2020 9:00","5.02","84.83"
"9/2/2020 10:00","12.25","202.47"
"9/2/2020 11:00","13.72","236.94"
"9/2/2020 12:00","4.33","76.4"
"9/2/2020 13:00","5.73","100.64"
"9/2/2020 14:00","2.68","51.38"
"9/2/2020 15:00","4.75","84.83"
"9/2/2020 16:00","5.85","102.64"
"9/2/2020 17:00","7.51","110.98"
"9/2/2020 18:00","1.08","23.46"
"9/2/2020 19:00","0","1.05"
"9/2/2020 20:00","x","0.99"
"9/2/2020 21:00","x","0.98"
"9/2/2020 22:00","x","0.98"
"9/2/2020 23:00","x","0.98"
"9/3/2020 0:00","x","0.98"
"9/3/2020 1:00","x","0.98"
"9/3/2020 2:00","x","0.98"
"9/3/2020 3:00","x","0.98"
"9/3/2020 4:00","x","0.98"
"9/3/2020 5:00","x","0.97"
"9/3/2020 6:00","0","1.66"
"9/3/2020 7:00","1.27","28.7"
"9/3/2020 8:00","10.95","232.14"
"9/3/2020 9:00","15.33","294.69"
"9/3/2020 10:00","12.07","357.98"
"9/3/2020 11:00","x","x"
"9/3/2020 12:00","x","x"
"9/3/2020 13:00","x","x"
"9/3/2020 14:00","x","x"
"9/3/2020 15:00","x","x"
"9/3/2020 16:00","x","x"
"9/3/2020 17:00","x","x"
"9/3/2020 18:00","x","x"
"9/3/2020 19:00","x","x"
"9/3/2020 20:00","x","x"
"9/3/2020 21:00","x","x"
"9/3/2020 22:00","x","x"
"9/3/2020 23:00","x","x"
"9/4/2020 0:00","x","x"
