"Fecha","Potencia [kW]","Insolación [W/m²]"
"0:00","x","0.99"
"0:05","x","0.98"
"0:10","x","0.99"
"0:15","x","0.98"
"0:20","x","0.98"
"0:25","x","0.98"
"0:30","x","0.99"
"0:35","x","0.99"
"0:40","x","0.99"
"0:45","x","0.99"
"0:50","x","0.99"
"0:55","x","0.99"
"1:00","x","0.98"
"1:05","x","0.98"
"1:10","x","0.98"
"1:15","x","0.97"
"1:20","x","0.97"
"1:25","x","0.97"
"1:30","x","0.97"
"1:35","x","0.97"
"1:40","x","0.98"
"1:45","x","0.98"
"1:50","x","0.98"
"1:55","x","0.98"
"2:00","x","0.98"
"2:05","x","0.98"
"2:10","x","0.98"
"2:15","x","0.97"
"2:20","x","0.98"
"2:25","x","0.98"
"2:30","x","0.98"
"2:35","x","0.98"
"2:40","x","0.97"
"2:45","x","0.98"
"2:50","x","0.97"
"2:55","x","0.98"
"3:00","x","0.98"
"3:05","x","0.97"
"3:10","x","0.97"
"3:15","x","0.97"
"3:20","x","0.97"
"3:25","x","0.98"
"3:30","x","0.97"
"3:35","x","0.97"
"3:40","x","0.98"
"3:45","x","0.98"
"3:50","x","0.98"
"3:55","x","0.98"
"4:00","x","0.98"
"4:05","x","0.98"
"4:10","x","0.97"
"4:15","x","0.98"
"4:20","x","0.98"
"4:25","x","0.98"
"4:30","x","0.98"
"4:35","x","0.99"
"4:40","x","0.98"
"4:45","x","0.98"
"4:50","x","0.98"
"4:55","x","0.99"
"5:00","x","0.99"
"5:05","x","0.99"
"5:10","x","0.98"
"5:15","x","0.98"
"5:20","x","0.97"
"5:25","x","0.97"
"5:30","x","0.98"
"5:35","x","0.98"
"5:40","x","1"
"5:45","0","1.22"
"5:50","0","1.71"
"5:55","0","2.33"
"6:00","0.02","4.79"
"6:05","0.06","6.46"
"6:10","0.19","9.12"
"6:15","0.36","13.23"
"6:20","0.62","17.24"
"6:25","0.74","19.12"
"6:30","1.04","24.39"
"6:35","1.22","27.23"
"6:40","1.54","32.52"
"6:45","1.62","33.34"
"6:50","1.66","33.84"
"6:55","2.34","46.23"
"7:00","3.85","73.45"
"7:05","5.4","100.83"
"7:10","7.09","130.66"
"7:15","7.68","138.68"
"7:20","6.96","119.96"
"7:25","6.7","113.66"
"7:30","7.22","123.08"
"7:35","14.27","304.6"
"7:40","22.63","468"
"7:45","16.57","300.83"
"7:50","12.61","214.84"
"7:55","12.22","209.03"
"8:00","14.59","259.26"
"8:05","14.96","258.22"
"8:10","12.31","214.27"
"8:15","14.81","264.14"
"8:20","13.58","232.42"
"8:25","21.9","393.01"
"8:30","20.14","376.68"
"8:35","10.61","183.39"
"8:40","9.79","173.06"
"8:45","14.89","271.18"
"8:50","17.04","279.86"
"8:55","13.08","224.16"
"9:00","14.41","261.99"
"9:05","23.86","456.16"
"9:10","39.9","738.25"
"9:15","36.6","715.31"
"9:20","15.79","264.06"
"9:25","9.95","175.56"
"9:30","15.84","290.91"
"9:35","17.02","290.33"
"9:40","11.9","201.82"
"9:45","15.31","262.75"
"9:50","17.69","290.88"
"9:55","14.27","243.42"
"10:00","17.34","289.28"
"10:05","19.72","331.67"
"10:10","23.74","399.78"
"10:15","28.45","492.81"
"10:20","26.33","461.69"
"10:25","32.23","552.32"
"10:30","25.37","449.09"
"10:35","21.48","372.96"
"10:40","27.04","455.26"
"10:45","20.16","339.7"
"10:50","16.97","278.69"
"10:55","16.78","272.61"
"11:00","20.75","348.25"
"11:05","23.12","388.25"
"11:10","22.61","376.21"
"11:15","22.02","359.33"
"11:20","21.86","359.01"
"11:25","24","397.64"
"11:30","25.03","412.5"
"11:35","27.66","449"
"11:40","25.27","405.45"
"11:45","25.62","417.21"
"11:50","34.86","610.01"
"11:55","40.9","733.05"
"12:00","17.88","302.78"
"12:05","20.66","339.34"
"12:10","17.59","296.22"
"12:15","18.4","310.43"
"12:20","17.82","292.78"
"12:25","15.83","250.32"
"12:30","15.4","255.29"
"12:35","15.24","244.76"
"12:40","15.12","242.28"
"12:45","19.86","326.23"
"12:50","27.11","467.87"
"12:55","23.9","377.73"
"13:00","16.32","251.36"
"13:05","14.72","232.81"
"13:10","15.74","257.11"
"13:15","17.5","287.94"
"13:20","20.98","344.61"
"13:25","22.62","367.85"
"13:30","25.2","406.81"
"13:35","37.66","652.89"
"13:40","27.71","445.37"
"13:45","26.22","415.59"
"13:50","27.14","428.04"
"13:55","23.21","365.04"
"14:00","20.88","327.12"
"14:05","19.27","292.4"
"14:10","20.52","305.6"
"14:15","23.05","351.94"
"14:20","38.86","779.05"
"14:25","18.49","307.01"
"14:30","17.89","275.88"
"14:35","16.86","250.42"
"14:40","14.72","223.88"
"14:45","13.88","212.37"
"14:50","13.44","204.2"
"14:55","14.69","233.11"
"15:00","17.26","271.23"
"15:05","19.76","365.17"
"15:10","16.85","287.05"
"15:15","19.87","435.48"
"15:20","21.28","491.81"
"15:25","25.13","651.35"
"15:30","18.46","393.5"
"15:35","13.1","215.9"
"15:40","12.83","228.17"
"15:45","10.96","166.7"
"15:50","9.61","138.41"
"15:55","10.21","134.15"
"16:00","13.09","144.27"
"16:05","9.98","88.99"
"16:10","10.39","83.35"
"16:15","5.59","62.56"
"16:20","7.72","79.86"
"16:25","8.53","113.86"
"16:30","7.75","107.79"
"16:35","9.53","143.91"
"16:40","8.54","126.58"
"16:45","4.27","64.52"
"16:50","4.62","71.43"
"16:55","5.05","70.18"
"17:00","3.19","44.18"
"17:05","2.11","33.09"
"17:10","1.6","25.58"
"17:15","1.37","26.87"
"17:20","1.08","20.94"
"17:25","0.86","18.8"
"17:30","0.77","18.61"
"17:35","0.54","15.27"
"17:40","0.65","16.11"
"17:45","0.74","17.7"
"17:50","0.47","14.44"
"17:55","0.13","7.75"
"18:00","x","x"
"18:05","x","x"
"18:10","x","x"
"18:15","x","x"
"18:20","x","x"
"18:25","x","x"
"18:30","x","x"
"18:35","x","x"
"18:40","x","x"
"18:45","x","x"
"18:50","x","x"
"18:55","x","x"
"19:00","x","x"
"19:05","x","x"
"19:10","x","x"
"19:15","x","x"
"19:20","x","x"
"19:25","x","x"
"19:30","x","x"
"19:35","x","x"
"19:40","x","x"
"19:45","x","x"
"19:50","x","x"
"19:55","x","x"
"20:00","x","x"
"20:05","x","x"
"20:10","x","x"
"20:15","x","x"
"20:20","x","x"
"20:25","x","x"
"20:30","x","x"
"20:35","x","x"
"20:40","x","x"
"20:45","x","x"
"20:50","x","x"
"20:55","x","x"
"21:00","x","x"
"21:05","x","x"
"21:10","x","x"
"21:15","x","x"
"21:20","x","x"
"21:25","x","x"
"21:30","x","x"
"21:35","x","x"
"21:40","x","x"
"21:45","x","x"
"21:50","x","x"
"21:55","x","x"
"22:00","x","x"
"22:05","x","x"
"22:10","x","x"
"22:15","x","x"
"22:20","x","x"
"22:25","x","x"
"22:30","x","x"
"22:35","x","x"
"22:40","x","x"
"22:45","x","x"
"22:50","x","x"
"22:55","x","x"
"23:00","x","x"
"23:05","x","x"
"23:10","x","x"
"23:15","x","x"
"23:20","x","x"
"23:25","x","x"
"23:30","x","x"
"23:35","x","x"
"23:40","x","x"
"23:45","x","x"
"23:50","x","x"
"23:55","x","x"
"","",""
"","",""
"","","x"
