,Fecha,Potencia,Insolacion
0,0:00,x,0.99
1,0:05,x,0.98
2,0:10,x,0.99
3,0:15,x,0.98
4,0:20,x,0.98
5,0:25,x,0.98
6,0:30,x,0.99
7,0:35,x,0.99
8,0:40,x,0.99
9,0:45,x,0.99
10,0:50,x,0.99
11,0:55,x,0.99
12,1:00,x,0.98
13,1:05,x,0.98
14,1:10,x,0.98
15,1:15,x,0.97
16,1:20,x,0.97
17,1:25,x,0.97
18,1:30,x,0.97
19,1:35,x,0.97
20,1:40,x,0.98
21,1:45,x,0.98
22,1:50,x,0.98
23,1:55,x,0.98
24,2:00,x,0.98
25,2:05,x,0.98
26,2:10,x,0.98
27,2:15,x,0.97
28,2:20,x,0.98
29,2:25,x,0.98
30,2:30,x,0.98
31,2:35,x,0.98
32,2:40,x,0.97
33,2:45,x,0.98
34,2:50,x,0.97
35,2:55,x,0.98
36,3:00,x,0.98
37,3:05,x,0.97
38,3:10,x,0.97
39,3:15,x,0.97
40,3:20,x,0.97
41,3:25,x,0.98
42,3:30,x,0.97
43,3:35,x,0.97
44,3:40,x,0.98
45,3:45,x,0.98
46,3:50,x,0.98
47,3:55,x,0.98
48,4:00,x,0.98
49,4:05,x,0.98
50,4:10,x,0.97
51,4:15,x,0.98
52,4:20,x,0.98
53,4:25,x,0.98
54,4:30,x,0.98
55,4:35,x,0.99
56,4:40,x,0.98
57,4:45,x,0.98
58,4:50,x,0.98
59,4:55,x,0.99
60,5:00,x,0.99
61,5:05,x,0.99
62,5:10,x,0.98
63,5:15,x,0.98
64,5:20,x,0.97
65,5:25,x,0.97
66,5:30,x,0.98
67,5:35,x,0.98
68,5:40,x,1
69,5:45,0,1.22
70,5:50,0,1.71
71,5:55,0,2.33
72,6:00,0.02,4.79
73,6:05,0.06,6.46
74,6:10,0.19,9.12
75,6:15,0.36,13.23
76,6:20,0.62,17.24
77,6:25,0.74,19.12
78,6:30,1.04,24.39
79,6:35,1.22,27.23
80,6:40,1.54,32.52
81,6:45,1.62,33.34
82,6:50,1.66,33.84
83,6:55,2.34,46.23
84,7:00,3.85,73.45
85,7:05,5.4,100.83
86,7:10,7.09,130.66
87,7:15,7.68,138.68
88,7:20,6.96,119.96
89,7:25,6.7,113.66
90,7:30,7.22,123.08
91,7:35,14.27,304.6
92,7:40,22.63,468
93,7:45,16.57,300.83
94,7:50,12.61,214.84
95,7:55,12.22,209.03
96,8:00,14.59,259.26
97,8:05,14.96,258.22
98,8:10,12.31,214.27
99,8:15,14.81,264.14
100,8:20,13.58,232.42
101,8:25,21.9,393.01
102,8:30,20.14,376.68
103,8:35,10.61,183.39
104,8:40,9.79,173.06
105,8:45,14.89,271.18
106,8:50,17.04,279.86
107,8:55,13.08,224.16
108,9:00,14.41,261.99
109,9:05,23.86,456.16
110,9:10,39.9,738.25
111,9:15,36.6,715.31
112,9:20,15.79,264.06
113,9:25,9.95,175.56
114,9:30,15.84,290.91
115,9:35,17.02,290.33
116,9:40,11.9,201.82
117,9:45,15.31,262.75
118,9:50,17.69,290.88
119,9:55,14.27,243.42
120,10:00,17.34,289.28
121,10:05,19.72,331.67
122,10:10,23.74,399.78
123,10:15,28.45,492.81
124,10:20,26.33,461.69
125,10:25,32.23,552.32
126,10:30,25.37,449.09
127,10:35,21.48,372.96
128,10:40,27.04,455.26
129,10:45,20.16,339.7
130,10:50,16.97,278.69
131,10:55,16.78,272.61
132,11:00,20.75,348.25
133,11:05,23.12,388.25
134,11:10,22.61,376.21
135,11:15,22.02,359.33
136,11:20,21.86,359.01
137,11:25,24,397.64
138,11:30,25.03,412.5
139,11:35,27.66,449
140,11:40,25.27,405.45
141,11:45,25.62,417.21
